Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","45 to 54 years",99691,"(+/- 2232 )",102098,"(+/- 3271 )",90025,"(+/- 2909 )",114027,"(+/- 3411 )",95633,"(+/- 1595 )",115243,"(+/- 3485 )",93014,"(+/- 3310 )"
People,"Sex and Age","55 to 59 years",40938,"(+/- 2636 )",52147,"(+/- 3725 )",46494,"(+/- 3308 )",53182,"(+/- 2879 )",53994,"(+/- 3017 )",48516,"(+/- 2988 )",44795,"(+/- 3239 )"
People,"Sex and Age","60 to 64 years",41469,"(+/- 2525 )",52675,"(+/- 3583 )",59558,"(+/- 3477 )",58400,"(+/- 3358 )",49146,"(+/- 3101 )",51461,"(+/- 2977 )",49919,"(+/- 2805 )"
People,"Sex and Age","65 to 74 years",67578,"(+/- 1659 )",88336,"(+/- 2720 )",97382,"(+/- 1856 )",82474,"(+/- 2266 )",78590,"(+/- 1259 )",71423,"(+/- 2255 )",73359,"(+/- 2409 )"
People,"Sex and Age","75 to 84 years",27791,"(+/- 1796 )",33940,"(+/- 2280 )",44552,"(+/- 2923 )",37259,"(+/- 2420 )",34497,"(+/- 1783 )",29298,"(+/- 1891 )",31756,"(+/- 1753 )"
People,"Sex and Age","85 years and over",9971,"(+/- 1300 )",12761,"(+/- 1720 )",13367,"(+/- 1701 )",12674,"(+/- 1606 )",10257,"(+/- 1521 )",11074,"(+/- 1381 )",11828,"(+/- 1472 )"
People,"Sex and Age","Median age (years)",35.5,"(+/- 0.2 )",38.5,"(+/- 0.6 )",42.0,"(+/- 0.4 )",37.6,"(+/- 0.5 )",36.4,"(+/- 0.2 )",37.7,"(+/- 0.5 )",37.2,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",679351,"(+/- 4176 )",669648,"(+/- 6275 )",610198,"(+/- 3895 )",688793,"(+/- 5881 )",652345,"(+/- 1802 )",635179,"(+/- 6746 )",634608,"(+/- 5504 )"
People,"Sex and Age","65 years and over",105340,"(+/- 1945 )",135037,"(+/- 3107 )",155301,"(+/- 3165 )",132407,"(+/- 2955 )",123344,"(+/- 1509 )",111795,"(+/- 2663 )",116943,"(+/- 2713 )"
People,Race,"Total population",838929,"(+/- 5497 )",820942,"(+/- 6377 )",769771,"(+/- 4618 )",908778,"(+/- 7755 )",840942,"(+/- 1447 )",833948,"(+/- 8734 )",798759,"(+/- 6828 )"
People,Race,"One race",700924,"(+/- 10429 )",727125,"(+/- 8905 )",648130,"(+/- 9802 )",779842,"(+/- 11883 )",721625,"(+/- 7383 )",710651,"(+/- 11806 )",658442,"(+/- 10608 )"
People,Race,White,522649,"(+/- 9774 )",665194,"(+/- 8683 )",583978,"(+/- 8736 )",677986,"(+/- 10738 )",615015,"(+/- 6519 )",501465,"(+/- 9994 )",535096,"(+/- 9867 )"
People,Race,"Black or African American",66189,"(+/- 4479 )",6995,"(+/- 1301 )",6239,"(+/- 1075 )",14793,"(+/- 2579 )",43233,"(+/- 3446 )",76697,"(+/- 4749 )",15221,"(+/- 3037 )"
People,Race,"American Indian and Alaska Native",7515,"(+/- 2333 )",4555,"(+/- 1544 )",13122,"(+/- 2921 )",9891,"(+/- 3155 )",7389,"(+/- 2312 )",6388,"(+/- 1868 )",11517,"(+/- 3235 )"
People,Race,Asian,25954,"(+/- 1850 )",27004,"(+/- 2632 )",6116,"(+/- 1202 )",22039,"(+/- 2940 )",20111,"(+/- 1952 )",55705,"(+/- 3696 )",28164,"(+/- 2712 )"
People,Race,"Native Hawaiian and Other Pacific Islander",765,"(+/- 535 )",1305,"(+/- 1168 )",957,"(+/- 713 )",807,"(+/- 515 )",2272,"(+/- 565 )",1873,"(+/- 650 )",689,"(+/- 503 )"
People,Race,"Some other race",77852,"(+/- 8763 )",22072,"(+/- 4187 )",37718,"(+/- 5283 )",54326,"(+/- 6629 )",33605,"(+/- 5001 )",68523,"(+/- 7384 )",67755,"(+/- 7955 )"
People,Race,"Two or more races",138005,"(+/- 8482 )",93817,"(+/- 6594 )",121641,"(+/- 8747 )",128936,"(+/- 8873 )",119317,"(+/- 7276 )",123297,"(+/- 8782 )",140317,"(+/- 9581 )"
People,"Hispanic or Latino and Race","Total population",838929,"(+/- 5497 )",820942,"(+/- 6377 )",769771,"(+/- 4618 )",908778,"(+/- 7755 )",840942,"(+/- 1447 )",833948,"(+/- 8734 )",798759,"(+/- 6828 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",224773,"(+/- 3891 )",95845,"(+/- 4467 )",193600,"(+/- 2649 )",205105,"(+/- 4709 )",147269,"(+/- 1035 )",184109,"(+/- 6947 )",242513,"(+/- 6367 )"
People,"Hispanic or Latino and Race",Mexican,166855,"(+/- 7658 )",61929,"(+/- 5575 )",117741,"(+/- 8555 )",158159,"(+/- 7272 )",86204,"(+/- 6660 )",127647,"(+/- 7392 )",188377,"(+/- 7954 )"
People,"Hispanic or Latino and Race","Puerto Rican",5285,"(+/- 1478 )",3195,"(+/- 1113 )",2084,"(+/- 1141 )",3408,"(+/- 1327 )",8711,"(+/- 3283 )",7820,"(+/- 2196 )",5141,"(+/- 2292 )"
People,"Hispanic or Latino and Race",Cuban,2385,"(+/- 1152 )",1353,"(+/- 670 )",924,"(+/- 638 )",1147,"(+/- 910 )",2109,"(+/- 1295 )",2328,"(+/- 918 )",1967,"(+/- 1002 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",50248,"(+/- 6982 )",29368,"(+/- 4333 )",72851,"(+/- 8688 )",42391,"(+/- 6555 )",50245,"(+/- 6366 )",46314,"(+/- 5456 )",47028,"(+/- 7548 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",614156,"(+/- 5519 )",725097,"(+/- 7789 )",576171,"(+/- 4918 )",703673,"(+/- 7977 )",693673,"(+/- 1688 )",649839,"(+/- 9469 )",556246,"(+/- 7590 )"
People,"Place of Birth","Total population",838929,"(+/- 5497 )",820942,"(+/- 6377 )",769771,"(+/- 4618 )",908778,"(+/- 7755 )",840942,"(+/- 1447 )",833948,"(+/- 8734 )",798759,"(+/- 6828 )"
People,"Place of Birth",Native,729530,"(+/- 9020 )",758827,"(+/- 7927 )",724257,"(+/- 5879 )",834772,"(+/- 8652 )",786221,"(+/- 4925 )",697114,"(+/- 9156 )",711075,"(+/- 7768 )"
People,"Place of Birth","Born in United States",717207,"(+/- 8709 )",745484,"(+/- 7953 )",715815,"(+/- 6044 )",823399,"(+/- 8794 )",760129,"(+/- 6225 )",683960,"(+/- 9077 )",701494,"(+/- 8543 )"
People,"Place of Birth","State of residence",332895,"(+/- 9071 )",289495,"(+/- 8924 )",369997,"(+/- 9369 )",428364,"(+/- 9810 )",265613,"(+/- 8839 )",335299,"(+/- 8376 )",389633,"(+/- 11001 )"
People,"Place of Birth","Different state",384312,"(+/- 9653 )",455989,"(+/- 10107 )",345818,"(+/- 7972 )",395035,"(+/- 10233 )",494516,"(+/- 9618 )",348661,"(+/- 9360 )",311861,"(+/- 10130 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",12323,"(+/- 2358 )",13343,"(+/- 1876 )",8442,"(+/- 1925 )",11373,"(+/- 2038 )",26092,"(+/- 3315 )",13154,"(+/- 2546 )",9581,"(+/- 2420 )"
People,"Place of Birth","Foreign born",109399,"(+/- 6778 )",62115,"(+/- 4688 )",45514,"(+/- 4284 )",74006,"(+/- 5874 )",54721,"(+/- 4835 )",136834,"(+/- 7692 )",87684,"(+/- 6385 )"
People,Ancestry,"Total population",838929,"(+/- 5497 )",820942,"(+/- 6377 )",769771,"(+/- 4618 )",908778,"(+/- 7755 )",840942,"(+/- 1447 )",833948,"(+/- 8734 )",798759,"(+/- 6828 )"
People,Ancestry,American,22342,"(+/- 3307 )",33693,"(+/- 5228 )",24508,"(+/- 3197 )",29120,"(+/- 3672 )",34748,"(+/- 4837 )",31539,"(+/- 4491 )",23155,"(+/- 4547 )"
People,Ancestry,Arab,7332,"(+/- 1853 )",3470,"(+/- 1302 )",1920,"(+/- 1290 )",2079,"(+/- 835 )",1841,"(+/- 981 )",7918,"(+/- 3148 )",2050,"(+/- 900 )"
People,Ancestry,Czech,4741,"(+/- 1214 )",6049,"(+/- 1399 )",4322,"(+/- 1290 )",5424,"(+/- 1703 )",4734,"(+/- 1582 )",4191,"(+/- 1275 )",3057,"(+/- 1434 )"
People,Ancestry,Danish,4962,"(+/- 1392 )",6431,"(+/- 1570 )",5978,"(+/- 2113 )",6049,"(+/- 1333 )",4750,"(+/- 1711 )",5033,"(+/- 1491 )",4309,"(+/- 1433 )"
People,Ancestry,Dutch,9962,"(+/- 2155 )",13960,"(+/- 2560 )",11391,"(+/- 2951 )",14061,"(+/- 2540 )",10938,"(+/- 2530 )",7320,"(+/- 1571 )",11047,"(+/- 2264 )"
People,Ancestry,English,97966,"(+/- 6483 )",116881,"(+/- 6774 )",100224,"(+/- 7227 )",115474,"(+/- 8563 )",111175,"(+/- 6791 )",94340,"(+/- 6280 )",93790,"(+/- 6100 )"
People,Ancestry,"French (except Basque)",18547,"(+/- 2453 )",21401,"(+/- 4037 )",15770,"(+/- 2332 )",18821,"(+/- 2366 )",21867,"(+/- 3265 )",17048,"(+/- 3171 )",16165,"(+/- 2920 )"
People,Ancestry,"French Canadian",2065,"(+/- 620 )",4983,"(+/- 3275 )",3684,"(+/- 930 )",3740,"(+/- 1161 )",1852,"(+/- 668 )",2048,"(+/- 742 )",2076,"(+/- 754 )"
People,Ancestry,German,132032,"(+/- 6525 )",177064,"(+/- 8279 )",132345,"(+/- 8743 )",179796,"(+/- 8792 )",152117,"(+/- 8316 )",123748,"(+/- 7611 )",127678,"(+/- 7360 )"
People,Ancestry,Greek,3510,"(+/- 1193 )",3851,"(+/- 1440 )",2636,"(+/- 1267 )",1966,"(+/- 908 )",1874,"(+/- 1535 )",2552,"(+/- 1197 )",3368,"(+/- 1255 )"
People,Ancestry,Hungarian,3149,"(+/- 1133 )",3341,"(+/- 945 )",3877,"(+/- 1309 )",2269,"(+/- 1142 )",1856,"(+/- 766 )",1966,"(+/- 688 )",2136,"(+/- 757 )"
People,Ancestry,Irish,89420,"(+/- 5343 )",99064,"(+/- 6589 )",81788,"(+/- 5120 )",94757,"(+/- 6894 )",96746,"(+/- 7334 )",84773,"(+/- 5830 )",83891,"(+/- 5897 )"
People,Ancestry,Italian,43782,"(+/- 5019 )",46086,"(+/- 3735 )",34770,"(+/- 4874 )",41565,"(+/- 5200 )",35886,"(+/- 4702 )",35336,"(+/- 3880 )",41682,"(+/- 4510 )"
People,Ancestry,Lithuanian,2723,"(+/- 1170 )",2262,"(+/- 875 )",679,"(+/- 455 )",1084,"(+/- 682 )",1058,"(+/- 475 )",1652,"(+/- 886 )",1444,"(+/- 763 )"
People,Ancestry,Norwegian,12662,"(+/- 2275 )",21747,"(+/- 3584 )",12297,"(+/- 1996 )",17661,"(+/- 2578 )",15180,"(+/- 2556 )",14438,"(+/- 2513 )",14265,"(+/- 2104 )"
People,Ancestry,Polish,21474,"(+/- 3219 )",27356,"(+/- 4128 )",14148,"(+/- 3392 )",13804,"(+/- 2259 )",18895,"(+/- 4092 )",19953,"(+/- 3254 )",19051,"(+/- 2641 )"
People,Ancestry,Portuguese,1540,"(+/- 609 )",2847,"(+/- 1711 )",3525,"(+/- 2635 )",2494,"(+/- 1042 )",2008,"(+/- 846 )",2165,"(+/- 953 )",2224,"(+/- 1094 )"
People,Ancestry,Russian,13129,"(+/- 3647 )",10875,"(+/- 2204 )",3148,"(+/- 948 )",7602,"(+/- 2021 )",7667,"(+/- 2369 )",9788,"(+/- 1922 )",7717,"(+/- 2043 )"
People,Ancestry,Scotch-Irish,6130,"(+/- 1121 )",8639,"(+/- 1841 )",9783,"(+/- 2308 )",8227,"(+/- 1223 )",11953,"(+/- 2332 )",5724,"(+/- 1045 )",6982,"(+/- 1499 )"
People,Ancestry,Scottish,14116,"(+/- 2173 )",24239,"(+/- 2862 )",18632,"(+/- 2436 )",19267,"(+/- 2540 )",22958,"(+/- 3918 )",17614,"(+/- 2555 )",16920,"(+/- 2693 )"
People,Ancestry,Slovak,1531,"(+/- 948 )",1434,"(+/- 730 )",1516,"(+/- 740 )",835,"(+/- 433 )",1284,"(+/- 603 )",918,"(+/- 579 )",1171,"(+/- 582 )"
People,Ancestry,"Subsaharan African",17713,"(+/- 4814 )",3195,"(+/- 1256 )",1715,"(+/- 664 )",2015,"(+/- 928 )",5171,"(+/- 1983 )",20441,"(+/- 4261 )",3306,"(+/- 2000 )"
People,Ancestry,Swedish,14534,"(+/- 2505 )",23318,"(+/- 4067 )",14836,"(+/- 2534 )",16744,"(+/- 2784 )",13315,"(+/- 2161 )",14352,"(+/- 2043 )",11789,"(+/- 1893 )"
People,Ancestry,Swiss,5674,"(+/- 1951 )",5190,"(+/- 1436 )",2773,"(+/- 1221 )",3298,"(+/- 1145 )",2763,"(+/- 1008 )",2198,"(+/- 829 )",2184,"(+/- 686 )"
People,Ancestry,Ukrainian,3368,"(+/- 1060 )",3242,"(+/- 1200 )",789,"(+/- 482 )",1213,"(+/- 580 )",1753,"(+/- 837 )",1585,"(+/- 564 )",3250,"(+/- 1343 )"
People,Ancestry,Welsh,5433,"(+/- 1373 )",8545,"(+/- 1757 )",6064,"(+/- 2082 )",5927,"(+/- 1267 )",6385,"(+/- 1788 )",4379,"(+/- 1212 )",4668,"(+/- 1225 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1608,"(+/- 928 )",419,"(+/- 397 )",745,"(+/- 679 )",737,"(+/- 489 )",2477,"(+/- 1261 )",2951,"(+/- 1611 )",1002,"(+/- 1078 )"
People,"Veteran Status","Civilian population 18 years and over",677789,"(+/- 4148 )",667907,"(+/- 6272 )",608991,"(+/- 4242 )",687561,"(+/- 5974 )",619072,"(+/- 3257 )",632326,"(+/- 6796 )",634317,"(+/- 5503 )"
People,"Veteran Status","Civilian veterans",32518,"(+/- 2656 )",40640,"(+/- 3407 )",51409,"(+/- 4241 )",52408,"(+/- 4261 )",88152,"(+/- 5022 )",43179,"(+/- 2961 )",40179,"(+/- 3163 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",831809,"(+/- 5548 )",815181,"(+/- 6587 )",760427,"(+/- 4993 )",897681,"(+/- 7787 )",791349,"(+/- 4378 )",827014,"(+/- 9015 )",792036,"(+/- 7168 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",84133,"(+/- 4642 )",76816,"(+/- 5289 )",105640,"(+/- 5784 )",94256,"(+/- 4505 )",101313,"(+/- 6294 )",84361,"(+/- 4667 )",93827,"(+/- 5036 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",159398,"(+/- 2985 )",151230,"(+/- 3419 )",159467,"(+/- 1900 )",219341,"(+/- 3930 )",188359,"(+/- 1417 )",198681,"(+/- 4849 )",163894,"(+/- 4953 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4945,"(+/- 1156 )",4700,"(+/- 1777 )",6478,"(+/- 1710 )",6654,"(+/- 1373 )",9532,"(+/- 1966 )",8957,"(+/- 1598 )",7042,"(+/- 1748 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",569092,"(+/- 4340 )",530570,"(+/- 5634 )",447909,"(+/- 5055 )",548361,"(+/- 5965 )",482248,"(+/- 4388 )",517834,"(+/- 6594 )",513296,"(+/- 5471 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",47859,"(+/- 3812 )",38923,"(+/- 4186 )",52412,"(+/- 4138 )",46534,"(+/- 3684 )",55437,"(+/- 4467 )",42825,"(+/- 3930 )",50318,"(+/- 4007 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",103319,"(+/- 1979 )",133381,"(+/- 3131 )",153051,"(+/- 3247 )",129979,"(+/- 2971 )",120742,"(+/- 1619 )",110499,"(+/- 2602 )",114846,"(+/- 2665 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",31329,"(+/- 2344 )",33193,"(+/- 2548 )",46750,"(+/- 2634 )",41068,"(+/- 2491 )",36344,"(+/- 2809 )",32579,"(+/- 2337 )",36467,"(+/- 2557 )"
People,"Residence 1 Year Ago","Population 1 year and over",830060,"(+/- 5627 )",814709,"(+/- 6440 )",763718,"(+/- 4762 )",900192,"(+/- 8089 )",831205,"(+/- 2084 )",825694,"(+/- 9047 )",792050,"(+/- 6801 )"
People,"Residence 1 Year Ago","Same house",670218,"(+/- 12807 )",649831,"(+/- 12048 )",664661,"(+/- 8559 )",759194,"(+/- 11922 )",675830,"(+/- 10870 )",700315,"(+/- 11069 )",674432,"(+/- 10156 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",159842,"(+/- 10725 )",164878,"(+/- 9799 )",99057,"(+/- 7921 )",140998,"(+/- 9764 )",155375,"(+/- 10643 )",125379,"(+/- 8063 )",117618,"(+/- 9888 )"
People,"Residence 1 Year Ago","Different house in the U.S.",154915,"(+/- 10344 )",158065,"(+/- 9808 )",97548,"(+/- 7947 )",139329,"(+/- 9728 )",149456,"(+/- 10658 )",121219,"(+/- 8152 )",116391,"(+/- 9936 )"
People,"Residence 1 Year Ago","Same county",66790,"(+/- 7683 )",66711,"(+/- 6956 )",42563,"(+/- 5149 )",56141,"(+/- 7087 )",66214,"(+/- 8107 )",49041,"(+/- 6157 )",50714,"(+/- 6177 )"
People,"Residence 1 Year Ago","Different county",88125,"(+/- 7361 )",91354,"(+/- 6874 )",54985,"(+/- 7048 )",83188,"(+/- 8480 )",83242,"(+/- 8549 )",72178,"(+/- 6540 )",65677,"(+/- 7259 )"
People,"Residence 1 Year Ago","Same state",40520,"(+/- 5272 )",49608,"(+/- 5595 )",29471,"(+/- 4232 )",50796,"(+/- 6732 )",24439,"(+/- 4084 )",50723,"(+/- 5635 )",43161,"(+/- 5418 )"
People,"Residence 1 Year Ago","Different state",47605,"(+/- 5045 )",41746,"(+/- 4013 )",25514,"(+/- 5065 )",32392,"(+/- 6043 )",58803,"(+/- 7419 )",21455,"(+/- 4182 )",22516,"(+/- 4526 )"
People,"Residence 1 Year Ago",Abroad,4927,"(+/- 1686 )",6813,"(+/- 1722 )",1509,"(+/- 740 )",1669,"(+/- 617 )",5919,"(+/- 2163 )",4160,"(+/- 1955 )",1227,"(+/- 606 )"
Workers,"Employment Status","Population 16 years and over",696923,"(+/- 4290 )",689844,"(+/- 6255 )",629398,"(+/- 4837 )",715102,"(+/- 6209 )",675365,"(+/- 2492 )",659370,"(+/- 6855 )",654624,"(+/- 5538 )"
Workers,"Employment Status","In labor force",514789,"(+/- 6697 )",462872,"(+/- 7203 )",379638,"(+/- 6930 )",488268,"(+/- 6682 )",439186,"(+/- 6181 )",468790,"(+/- 7765 )",459293,"(+/- 7075 )"
Workers,"Employment Status","Civilian labor force",513227,"(+/- 6778 )",461131,"(+/- 7074 )",378431,"(+/- 6955 )",487036,"(+/- 6745 )",405913,"(+/- 6979 )",465937,"(+/- 7836 )",459002,"(+/- 7065 )"
Workers,"Employment Status",Employed,482388,"(+/- 6505 )",441150,"(+/- 7178 )",360777,"(+/- 7057 )",463347,"(+/- 6808 )",380645,"(+/- 7137 )",441786,"(+/- 7958 )",432013,"(+/- 7116 )"
Workers,"Employment Status",Unemployed,30839,"(+/- 3273 )",19981,"(+/- 2466 )",17654,"(+/- 2599 )",23689,"(+/- 2671 )",25268,"(+/- 3372 )",24151,"(+/- 3073 )",26989,"(+/- 2947 )"
Workers,"Employment Status","Armed Forces",1562,"(+/- 803 )",1741,"(+/- 1262 )",1207,"(+/- 1054 )",1232,"(+/- 802 )",33273,"(+/- 2762 )",2853,"(+/- 989 )",291,"(+/- 212 )"
Workers,"Employment Status","Not in labor force",182134,"(+/- 5881 )",226972,"(+/- 6571 )",249760,"(+/- 6536 )",226834,"(+/- 5603 )",236179,"(+/- 6644 )",190580,"(+/- 5176 )",195331,"(+/- 5603 )"
Workers,"Employment Status","Civilian labor force",513227,"(+/- 6778 )",461131,"(+/- 7074 )",378431,"(+/- 6955 )",487036,"(+/- 6745 )",405913,"(+/- 6979 )",465937,"(+/- 7836 )",459002,"(+/- 7065 )"
Workers,"Employment Status","Unemployment Rate",6.0,"(+/- 0.6 )",4.3,"(+/- 0.5 )",4.7,"(+/- 0.7 )",4.9,"(+/- 0.5 )",6.2,"(+/- 0.8 )",5.2,"(+/- 0.7 )",5.9,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",474611,"(+/- 6603 )",436435,"(+/- 7567 )",354449,"(+/- 7359 )",457093,"(+/- 7109 )",407014,"(+/- 6393 )",436766,"(+/- 7882 )",426214,"(+/- 6818 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",262300,"(+/- 7837 )",246808,"(+/- 6480 )",249117,"(+/- 7450 )",305465,"(+/- 9044 )",285690,"(+/- 7695 )",271102,"(+/- 7401 )",284972,"(+/- 6850 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",26218,"(+/- 3762 )",24043,"(+/- 2834 )",30057,"(+/- 3654 )",37868,"(+/- 4350 )",30371,"(+/- 3621 )",33967,"(+/- 3384 )",28848,"(+/- 3558 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",12629,"(+/- 2310 )",5387,"(+/- 1500 )",5276,"(+/- 1792 )",1394,"(+/- 659 )",882,"(+/- 482 )",8202,"(+/- 1745 )",5798,"(+/- 1453 )"
Workers,"Commuting to Work",Walked,12336,"(+/- 1740 )",12280,"(+/- 1998 )",11370,"(+/- 2022 )",8077,"(+/- 2049 )",13256,"(+/- 1801 )",4858,"(+/- 1290 )",5463,"(+/- 1316 )"
Workers,"Commuting to Work","Other means",12486,"(+/- 2095 )",14614,"(+/- 2491 )",7896,"(+/- 1633 )",5060,"(+/- 1368 )",4784,"(+/- 1027 )",6718,"(+/- 1323 )",6330,"(+/- 1718 )"
Workers,"Commuting to Work","Worked from home",148642,"(+/- 6018 )",133303,"(+/- 6299 )",50733,"(+/- 4612 )",99229,"(+/- 5864 )",72031,"(+/- 4405 )",111919,"(+/- 4928 )",94803,"(+/- 4237 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.3,"(+/- 0.6 )",23.5,"(+/- 0.7 )",21.9,"(+/- 0.7 )",27.2,"(+/- 0.8 )",22.6,"(+/- 0.7 )",27.5,"(+/- 0.9 )",27.3,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",482388,"(+/- 6505 )",441150,"(+/- 7178 )",360777,"(+/- 7057 )",463347,"(+/- 6808 )",380645,"(+/- 7137 )",441786,"(+/- 7958 )",432013,"(+/- 7116 )"
Workers,Occupation,"Management, business, science, and arts occupations",261835,"(+/- 7698 )",232648,"(+/- 6740 )",137731,"(+/- 5997 )",202331,"(+/- 6245 )",173763,"(+/- 6934 )",207820,"(+/- 6660 )",192286,"(+/- 6227 )"
Workers,Occupation,"Service occupations",64233,"(+/- 4488 )",57023,"(+/- 4072 )",63433,"(+/- 4701 )",65033,"(+/- 5245 )",61911,"(+/- 5040 )",62592,"(+/- 4430 )",65734,"(+/- 4791 )"
Workers,Occupation,"Sales and office occupations",87124,"(+/- 5716 )",87674,"(+/- 5717 )",73974,"(+/- 5253 )",96383,"(+/- 5845 )",72817,"(+/- 4783 )",91490,"(+/- 4959 )",84014,"(+/- 4790 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30074,"(+/- 3360 )",29855,"(+/- 3569 )",42901,"(+/- 3744 )",46759,"(+/- 3554 )",34947,"(+/- 3379 )",34333,"(+/- 3241 )",42109,"(+/- 3869 )"
Workers,Occupation,"Production, transportation, and material moving occupations",39122,"(+/- 3417 )",33950,"(+/- 3800 )",42738,"(+/- 3598 )",52841,"(+/- 3766 )",37207,"(+/- 3675 )",45551,"(+/- 3711 )",47870,"(+/- 3945 )"
Workers,Industry,"Civilian employed population 16 years and over",482388,"(+/- 6505 )",441150,"(+/- 7178 )",360777,"(+/- 7057 )",463347,"(+/- 6808 )",380645,"(+/- 7137 )",441786,"(+/- 7958 )",432013,"(+/- 7116 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4217,"(+/- 1000 )",6791,"(+/- 1959 )",13866,"(+/- 2472 )",16910,"(+/- 2225 )",2131,"(+/- 846 )",3905,"(+/- 1006 )",4932,"(+/- 1558 )"
Workers,Industry,Construction,32057,"(+/- 3581 )",28104,"(+/- 3466 )",32573,"(+/- 2769 )",41797,"(+/- 3313 )",30110,"(+/- 3262 )",37497,"(+/- 3709 )",41318,"(+/- 3554 )"
Workers,Industry,Manufacturing,30686,"(+/- 2750 )",38814,"(+/- 3381 )",16861,"(+/- 2318 )",39992,"(+/- 3380 )",21684,"(+/- 2522 )",30429,"(+/- 3144 )",32179,"(+/- 3026 )"
