Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE"
People,"Sex and Age","65 years and over",122153,"(+/- 5255 )",133966,"(+/- 3538 )",141085,"(+/- 1927 )",108982,"(+/- 1614 )",136603,"(+/- 1621 )",159708,"(+/- 3210 )",110543,"(+/- 5012 )",110089,"(+/- 4872 )",108179,"(+/- 4769 )",120332,"(+/- 3518 )"
People,Race,"Total population",801211,"(+/- 13441 )",767914,"(+/- 10252 )",781241,"(+/- 3265 )",752581,"(+/- 3778 )",763080,"(+/- 2952 )",738969,"(+/- 8758 )",799770,"(+/- 9370 )",783018,"(+/- 13466 )",760454,"(+/- 10066 )",790454,"(+/- 12073 )"
People,Race,"One race",726032,"(+/- 12924 )",672960,"(+/- 11662 )",697936,"(+/- 6649 )",596382,"(+/- 11266 )",691563,"(+/- 7506 )",648240,"(+/- 10756 )",710594,"(+/- 12539 )",697877,"(+/- 12956 )",671735,"(+/- 11437 )",668706,"(+/- 10430 )"
People,Race,White,551487,"(+/- 12922 )",523383,"(+/- 9933 )",610098,"(+/- 5579 )",413269,"(+/- 6767 )",621727,"(+/- 5752 )",553873,"(+/- 9768 )",527935,"(+/- 9836 )",530258,"(+/- 13636 )",306414,"(+/- 10679 )",501004,"(+/- 10003 )"
People,Race,"Black or African American",12430,"(+/- 3331 )",29154,"(+/- 3525 )",12278,"(+/- 2131 )",7446,"(+/- 1598 )",15360,"(+/- 2527 )",25997,"(+/- 3361 )",36494,"(+/- 6613 )",23060,"(+/- 5434 )",91435,"(+/- 8812 )",55131,"(+/- 5089 )"
People,Race,"American Indian and Alaska Native",7209,"(+/- 1378 )",8575,"(+/- 1860 )",9543,"(+/- 2659 )",18018,"(+/- 2565 )",11824,"(+/- 2400 )",12300,"(+/- 1758 )",4807,"(+/- 1563 )",8282,"(+/- 2721 )",5118,"(+/- 2308 )",14948,"(+/- 3705 )"
People,Race,Asian,116588,"(+/- 8028 )",74508,"(+/- 5110 )",29162,"(+/- 2009 )",13529,"(+/- 1502 )",16617,"(+/- 2202 )",29862,"(+/- 4106 )",114240,"(+/- 7549 )",83609,"(+/- 6830 )",200796,"(+/- 8700 )",53790,"(+/- 4262 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1431,"(+/- 739 )",2883,"(+/- 1013 )",3856,"(+/- 1180 )",4351,"(+/- 1720 )",4749,"(+/- 996 )",5004,"(+/- 1185 )",1401,"(+/- 718 )",4414,"(+/- 2268 )",11670,"(+/- 2226 )",14797,"(+/- 2309 )"
People,Race,"Some other race",36887,"(+/- 5961 )",34457,"(+/- 5834 )",32999,"(+/- 5516 )",139769,"(+/- 12759 )",21286,"(+/- 3938 )",21204,"(+/- 4060 )",25717,"(+/- 4917 )",48254,"(+/- 6999 )",56302,"(+/- 7404 )",29036,"(+/- 5053 )"
People,Race,"Two or more races",75179,"(+/- 6410 )",94954,"(+/- 7780 )",83305,"(+/- 6991 )",156199,"(+/- 10534 )",71517,"(+/- 6220 )",90729,"(+/- 5884 )",89176,"(+/- 7703 )",85141,"(+/- 6728 )",88719,"(+/- 6383 )",121748,"(+/- 9357 )"
People,"Hispanic or Latino and Race","Total population",801211,"(+/- 13441 )",767914,"(+/- 10252 )",781241,"(+/- 3265 )",752581,"(+/- 3778 )",763080,"(+/- 2952 )",738969,"(+/- 8758 )",799770,"(+/- 9370 )",783018,"(+/- 13466 )",760454,"(+/- 10066 )",790454,"(+/- 12073 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",77433,"(+/- 6461 )",91269,"(+/- 5596 )",86029,"(+/- 2103 )",307053,"(+/- 2728 )",57803,"(+/- 1067 )",63797,"(+/- 3397 )",68579,"(+/- 6895 )",100582,"(+/- 8685 )",100763,"(+/- 8463 )",105848,"(+/- 5733 )"
People,"Hispanic or Latino and Race",Mexican,54892,"(+/- 5722 )",65573,"(+/- 6008 )",62250,"(+/- 4610 )",280144,"(+/- 6383 )",39679,"(+/- 3306 )",42137,"(+/- 3875 )",40644,"(+/- 5984 )",76156,"(+/- 8150 )",72487,"(+/- 7663 )",67363,"(+/- 7381 )"
People,"Hispanic or Latino and Race","Puerto Rican",3249,"(+/- 1437 )",3397,"(+/- 2009 )",3307,"(+/- 1489 )",564,"(+/- 470 )",3061,"(+/- 1138 )",4691,"(+/- 1742 )",3782,"(+/- 1491 )",2280,"(+/- 951 )",3430,"(+/- 1271 )",13651,"(+/- 3568 )"
People,"Hispanic or Latino and Race",Cuban,1201,"(+/- 944 )",1817,"(+/- 1423 )",1231,"(+/- 757 )",1046,"(+/- 741 )",1077,"(+/- 708 )",1230,"(+/- 1012 )",1708,"(+/- 913 )",1921,"(+/- 1201 )",1344,"(+/- 840 )",1584,"(+/- 831 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",18091,"(+/- 3650 )",20482,"(+/- 4798 )",19241,"(+/- 3940 )",25299,"(+/- 5883 )",13986,"(+/- 2991 )",15739,"(+/- 3201 )",22445,"(+/- 4445 )",20225,"(+/- 4486 )",23502,"(+/- 5012 )",23250,"(+/- 4060 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",723778,"(+/- 14381 )",676645,"(+/- 10696 )",695212,"(+/- 3399 )",445528,"(+/- 2801 )",705277,"(+/- 3054 )",675172,"(+/- 8833 )",731191,"(+/- 10973 )",682436,"(+/- 14141 )",659691,"(+/- 10754 )",684606,"(+/- 9911 )"
People,"Place of Birth","Total population",801211,"(+/- 13441 )",767914,"(+/- 10252 )",781241,"(+/- 3265 )",752581,"(+/- 3778 )",763080,"(+/- 2952 )",738969,"(+/- 8758 )",799770,"(+/- 9370 )",783018,"(+/- 13466 )",760454,"(+/- 10066 )",790454,"(+/- 12073 )"
People,"Place of Birth",Native,648205,"(+/- 12524 )",654363,"(+/- 11741 )",707001,"(+/- 8395 )",633251,"(+/- 6313 )",726611,"(+/- 5159 )",689380,"(+/- 8315 )",655029,"(+/- 10653 )",655489,"(+/- 12382 )",521453,"(+/- 12421 )",704599,"(+/- 12118 )"
People,"Place of Birth","Born in United States",634902,"(+/- 12649 )",637217,"(+/- 11717 )",699567,"(+/- 8461 )",624202,"(+/- 6412 )",712306,"(+/- 5829 )",673683,"(+/- 8699 )",640589,"(+/- 10902 )",644426,"(+/- 12430 )",506396,"(+/- 11948 )",675382,"(+/- 11452 )"
People,"Place of Birth","State of residence",379256,"(+/- 12615 )",372730,"(+/- 10504 )",322921,"(+/- 8425 )",430809,"(+/- 9107 )",411558,"(+/- 8810 )",352180,"(+/- 8507 )",310069,"(+/- 10201 )",393561,"(+/- 12947 )",292683,"(+/- 10744 )",367104,"(+/- 11118 )"
People,"Place of Birth","Different state",255646,"(+/- 8443 )",264487,"(+/- 8193 )",376646,"(+/- 9925 )",193393,"(+/- 8093 )",300748,"(+/- 9243 )",321503,"(+/- 8943 )",330520,"(+/- 10636 )",250865,"(+/- 9497 )",213713,"(+/- 9412 )",308278,"(+/- 10915 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",13303,"(+/- 2028 )",17146,"(+/- 2752 )",7434,"(+/- 1712 )",9049,"(+/- 2560 )",14305,"(+/- 2930 )",15697,"(+/- 2339 )",14440,"(+/- 2146 )",11063,"(+/- 2472 )",15057,"(+/- 2538 )",29217,"(+/- 4333 )"
People,"Place of Birth","Foreign born",153006,"(+/- 7469 )",113551,"(+/- 6943 )",74240,"(+/- 7365 )",119330,"(+/- 5851 )",36469,"(+/- 4196 )",49589,"(+/- 4528 )",144741,"(+/- 8099 )",127529,"(+/- 7248 )",239001,"(+/- 9883 )",85855,"(+/- 5680 )"
People,Ancestry,"Total population",801211,"(+/- 13441 )",767914,"(+/- 10252 )",781241,"(+/- 3265 )",752581,"(+/- 3778 )",763080,"(+/- 2952 )",738969,"(+/- 8758 )",799770,"(+/- 9370 )",783018,"(+/- 13466 )",760454,"(+/- 10066 )",790454,"(+/- 12073 )"
People,Ancestry,American,24203,"(+/- 4392 )",24912,"(+/- 3429 )",34980,"(+/- 4659 )",25165,"(+/- 3997 )",43115,"(+/- 6515 )",26870,"(+/- 4031 )",17607,"(+/- 2956 )",24955,"(+/- 3720 )",17302,"(+/- 2705 )",31612,"(+/- 4685 )"
People,Ancestry,Arab,4633,"(+/- 2475 )",6960,"(+/- 3273 )",3422,"(+/- 2197 )",1852,"(+/- 1480 )",1602,"(+/- 1449 )",1978,"(+/- 1057 )",6692,"(+/- 1589 )",3278,"(+/- 1410 )",4037,"(+/- 1828 )",5471,"(+/- 3361 )"
People,Ancestry,Czech,1656,"(+/- 584 )",1649,"(+/- 526 )",3183,"(+/- 2043 )",2752,"(+/- 1706 )",3023,"(+/- 1786 )",2953,"(+/- 1219 )",5280,"(+/- 1997 )",3668,"(+/- 1554 )",3129,"(+/- 860 )",1903,"(+/- 801 )"
People,Ancestry,Danish,6430,"(+/- 1496 )",5641,"(+/- 1316 )",5910,"(+/- 1450 )",4300,"(+/- 1247 )",5069,"(+/- 1310 )",4730,"(+/- 1151 )",9582,"(+/- 2794 )",5473,"(+/- 1710 )",4409,"(+/- 1470 )",6008,"(+/- 1542 )"
People,Ancestry,Dutch,20103,"(+/- 3773 )",14275,"(+/- 2308 )",12144,"(+/- 2203 )",10153,"(+/- 2687 )",11915,"(+/- 2492 )",9408,"(+/- 1892 )",12065,"(+/- 2154 )",10672,"(+/- 2059 )",5744,"(+/- 1392 )",8245,"(+/- 2434 )"
People,Ancestry,English,112228,"(+/- 7586 )",106070,"(+/- 6808 )",104540,"(+/- 7050 )",82000,"(+/- 8301 )",109557,"(+/- 8068 )",102878,"(+/- 6881 )",113668,"(+/- 6357 )",89812,"(+/- 5768 )",58257,"(+/- 5723 )",90170,"(+/- 5828 )"
People,Ancestry,"French (except Basque)",19606,"(+/- 3000 )",18725,"(+/- 2785 )",22711,"(+/- 3297 )",16301,"(+/- 3084 )",20013,"(+/- 2860 )",16159,"(+/- 2196 )",23219,"(+/- 4002 )",17731,"(+/- 3322 )",13579,"(+/- 2590 )",18408,"(+/- 2944 )"
People,Ancestry,"French Canadian",4351,"(+/- 1222 )",3441,"(+/- 1065 )",4991,"(+/- 1326 )",3025,"(+/- 1075 )",4610,"(+/- 1629 )",3834,"(+/- 1057 )",4373,"(+/- 1513 )",4144,"(+/- 1489 )",1687,"(+/- 620 )",4219,"(+/- 1408 )"
People,Ancestry,German,125702,"(+/- 8684 )",112098,"(+/- 6663 )",119535,"(+/- 7086 )",96144,"(+/- 7208 )",153847,"(+/- 9446 )",119412,"(+/- 7808 )",121674,"(+/- 6696 )",114905,"(+/- 7001 )",69174,"(+/- 4500 )",115973,"(+/- 8174 )"
People,Ancestry,Greek,1462,"(+/- 604 )",2816,"(+/- 1449 )",1845,"(+/- 1300 )",187,"(+/- 132 )",3194,"(+/- 1375 )",1715,"(+/- 905 )",3696,"(+/- 970 )",3461,"(+/- 1225 )",1199,"(+/- 654 )",705,"(+/- 411 )"
People,Ancestry,Hungarian,2298,"(+/- 880 )",1718,"(+/- 562 )",1695,"(+/- 609 )",1712,"(+/- 1667 )",816,"(+/- 592 )",2306,"(+/- 1185 )",2957,"(+/- 1103 )",1616,"(+/- 883 )",2479,"(+/- 1293 )",1328,"(+/- 625 )"
People,Ancestry,Irish,76979,"(+/- 7541 )",76764,"(+/- 5581 )",76376,"(+/- 5992 )",53849,"(+/- 5150 )",103684,"(+/- 7348 )",92501,"(+/- 6314 )",96827,"(+/- 7320 )",71148,"(+/- 4800 )",46123,"(+/- 3974 )",87562,"(+/- 7900 )"
People,Ancestry,Italian,20994,"(+/- 3237 )",22490,"(+/- 3205 )",18051,"(+/- 2462 )",12173,"(+/- 2628 )",31136,"(+/- 4104 )",24536,"(+/- 3684 )",38489,"(+/- 4544 )",27841,"(+/- 4066 )",20462,"(+/- 2967 )",22677,"(+/- 3085 )"
People,Ancestry,Lithuanian,1936,"(+/- 1304 )",1223,"(+/- 705 )",572,"(+/- 371 )",143,"(+/- 182 )",1183,"(+/- 772 )",1244,"(+/- 660 )",3197,"(+/- 1226 )",605,"(+/- 466 )",881,"(+/- 489 )",945,"(+/- 592 )"
People,Ancestry,Norwegian,39416,"(+/- 5025 )",42829,"(+/- 5573 )",34164,"(+/- 5098 )",16854,"(+/- 2261 )",31769,"(+/- 3883 )",37312,"(+/- 4433 )",31502,"(+/- 3841 )",32689,"(+/- 4306 )",20494,"(+/- 3468 )",31642,"(+/- 4330 )"
People,Ancestry,Polish,12931,"(+/- 2558 )",12861,"(+/- 2029 )",10025,"(+/- 2260 )",4824,"(+/- 1409 )",10168,"(+/- 2423 )",15305,"(+/- 2470 )",20928,"(+/- 2851 )",12962,"(+/- 2814 )",9917,"(+/- 2354 )",11926,"(+/- 2727 )"
People,Ancestry,Portuguese,3376,"(+/- 1893 )",3016,"(+/- 1339 )",2880,"(+/- 1283 )",1361,"(+/- 1001 )",3341,"(+/- 2123 )",2360,"(+/- 1003 )",2709,"(+/- 1141 )",3352,"(+/- 1785 )",2027,"(+/- 899 )",3220,"(+/- 951 )"
People,Ancestry,Russian,11481,"(+/- 2731 )",8310,"(+/- 2708 )",10082,"(+/- 2940 )",7922,"(+/- 3716 )",6758,"(+/- 1716 )",4753,"(+/- 1664 )",15743,"(+/- 2890 )",9557,"(+/- 3128 )",6782,"(+/- 1812 )",5025,"(+/- 1492 )"
People,Ancestry,Scotch-Irish,10178,"(+/- 2352 )",6994,"(+/- 1447 )",11484,"(+/- 2880 )",4369,"(+/- 1377 )",8099,"(+/- 2017 )",11053,"(+/- 1957 )",8063,"(+/- 1812 )",6574,"(+/- 1993 )",6856,"(+/- 1814 )",6936,"(+/- 1413 )"
People,Ancestry,Scottish,25674,"(+/- 4251 )",23535,"(+/- 3592 )",19561,"(+/- 2724 )",16643,"(+/- 2944 )",19739,"(+/- 2976 )",21760,"(+/- 2613 )",23570,"(+/- 2812 )",22727,"(+/- 3186 )",12836,"(+/- 2312 )",19381,"(+/- 3191 )"
People,Ancestry,Slovak,468,"(+/- 319 )",625,"(+/- 461 )",368,"(+/- 370 )",159,"(+/- 211 )",347,"(+/- 470 )",826,"(+/- 431 )",560,"(+/- 292 )",143,"(+/- 124 )",366,"(+/- 290 )",594,"(+/- 542 )"
People,Ancestry,"Subsaharan African",4699,"(+/- 2222 )",16431,"(+/- 3243 )",3025,"(+/- 1651 )",2583,"(+/- 1339 )",4763,"(+/- 2046 )",4717,"(+/- 2525 )",16389,"(+/- 4828 )",10903,"(+/- 4534 )",39378,"(+/- 8007 )",7043,"(+/- 1988 )"
People,Ancestry,Swedish,24187,"(+/- 4040 )",26767,"(+/- 3889 )",18951,"(+/- 3722 )",12761,"(+/- 2516 )",19090,"(+/- 2757 )",24228,"(+/- 3801 )",31971,"(+/- 3982 )",19623,"(+/- 2969 )",12940,"(+/- 1910 )",20715,"(+/- 4775 )"
People,Ancestry,Swiss,2004,"(+/- 999 )",2632,"(+/- 899 )",4057,"(+/- 1295 )",3093,"(+/- 1784 )",3270,"(+/- 1245 )",2611,"(+/- 1007 )",4312,"(+/- 1114 )",5705,"(+/- 1766 )",2332,"(+/- 1041 )",3049,"(+/- 1047 )"
People,Ancestry,Ukrainian,4030,"(+/- 1731 )",4960,"(+/- 1776 )",10306,"(+/- 4682 )",7289,"(+/- 4029 )",3776,"(+/- 1408 )",3454,"(+/- 1522 )",4992,"(+/- 1877 )",10564,"(+/- 3744 )",8346,"(+/- 3857 )",5585,"(+/- 2487 )"
People,Ancestry,Welsh,7809,"(+/- 1651 )",6270,"(+/- 1381 )",7325,"(+/- 1862 )",5623,"(+/- 2950 )",7712,"(+/- 2347 )",7520,"(+/- 1600 )",8006,"(+/- 1919 )",4555,"(+/- 1592 )",3059,"(+/- 899 )",5902,"(+/- 1361 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",945,"(+/- 586 )",1251,"(+/- 795 )",1671,"(+/- 1338 )",190,"(+/- 244 )",875,"(+/- 744 )",1805,"(+/- 1088 )",1917,"(+/- 1046 )",1189,"(+/- 669 )",2946,"(+/- 1164 )",3228,"(+/- 1492 )"
People,"Veteran Status","Civilian population 18 years and over",611303,"(+/- 9615 )",608243,"(+/- 7900 )",605941,"(+/- 2976 )",540288,"(+/- 2968 )",598027,"(+/- 3224 )",582578,"(+/- 7114 )",681269,"(+/- 9630 )",590503,"(+/- 10776 )",599252,"(+/- 8899 )",581087,"(+/- 9850 )"
People,"Veteran Status","Civilian veterans",36928,"(+/- 3148 )",48890,"(+/- 3247 )",55558,"(+/- 3212 )",33081,"(+/- 2828 )",58674,"(+/- 3282 )",75951,"(+/- 4628 )",27272,"(+/- 2656 )",48877,"(+/- 3237 )",30233,"(+/- 2876 )",75253,"(+/- 3830 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",795493,"(+/- 13430 )",752625,"(+/- 10954 )",776271,"(+/- 3412 )",745810,"(+/- 3804 )",747406,"(+/- 3328 )",714509,"(+/- 9162 )",794022,"(+/- 9232 )",780504,"(+/- 13521 )",753934,"(+/- 10164 )",757801,"(+/- 13155 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",75982,"(+/- 4696 )",99267,"(+/- 4866 )",120374,"(+/- 5274 )",104354,"(+/- 5319 )",123153,"(+/- 5667 )",117629,"(+/- 4865 )",78453,"(+/- 6175 )",88347,"(+/- 4657 )",82016,"(+/- 5536 )",110043,"(+/- 5523 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",188770,"(+/- 6598 )",148089,"(+/- 5720 )",173737,"(+/- 1992 )",211857,"(+/- 2552 )",160794,"(+/- 2369 )",141120,"(+/- 3809 )",117191,"(+/- 5780 )",191741,"(+/- 7407 )",159423,"(+/- 7267 )",181360,"(+/- 5660 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6160,"(+/- 1374 )",6949,"(+/- 1523 )",9678,"(+/- 1813 )",8505,"(+/- 1827 )",12167,"(+/- 1857 )",7250,"(+/- 1722 )",3054,"(+/- 792 )",9677,"(+/- 2143 )",5240,"(+/- 1426 )",7624,"(+/- 1848 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",485486,"(+/- 10212 )",472273,"(+/- 8494 )",462633,"(+/- 3393 )",426933,"(+/- 3281 )",453344,"(+/- 2878 )",415909,"(+/- 6635 )",569018,"(+/- 9830 )",479869,"(+/- 10610 )",488321,"(+/- 8801 )",457889,"(+/- 9636 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36554,"(+/- 3735 )",49933,"(+/- 4055 )",62071,"(+/- 4470 )",57258,"(+/- 3890 )",63993,"(+/- 4098 )",57502,"(+/- 4217 )",46511,"(+/- 5318 )",41716,"(+/- 3470 )",41320,"(+/- 3751 )",58178,"(+/- 3826 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",121237,"(+/- 5226 )",132263,"(+/- 3490 )",139901,"(+/- 1961 )",107020,"(+/- 1649 )",133268,"(+/- 1752 )",157480,"(+/- 3203 )",107813,"(+/- 5042 )",108894,"(+/- 4853 )",106190,"(+/- 4594 )",118552,"(+/- 3535 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33268,"(+/- 3020 )",42385,"(+/- 2545 )",48625,"(+/- 2143 )",38591,"(+/- 2551 )",46993,"(+/- 2648 )",52877,"(+/- 2882 )",28888,"(+/- 2628 )",36954,"(+/- 3099 )",35456,"(+/- 3323 )",44241,"(+/- 3203 )"
People,"Residence 1 Year Ago","Population 1 year and over",792796,"(+/- 13219 )",759703,"(+/- 10168 )",773094,"(+/- 3339 )",741564,"(+/- 4467 )",755569,"(+/- 2951 )",731791,"(+/- 8877 )",793873,"(+/- 9387 )",774587,"(+/- 13578 )",751975,"(+/- 9880 )",782398,"(+/- 11886 )"
People,"Residence 1 Year Ago","Same house",686390,"(+/- 15417 )",646088,"(+/- 13442 )",664359,"(+/- 8939 )",648876,"(+/- 11297 )",637545,"(+/- 8401 )",626484,"(+/- 11154 )",608719,"(+/- 11776 )",669996,"(+/- 16190 )",632605,"(+/- 11764 )",653905,"(+/- 15192 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",106406,"(+/- 8642 )",113615,"(+/- 9312 )",108735,"(+/- 9112 )",92688,"(+/- 10154 )",118024,"(+/- 7759 )",105307,"(+/- 9145 )",185154,"(+/- 8982 )",104591,"(+/- 10645 )",119370,"(+/- 8771 )",128493,"(+/- 11102 )"
People,"Residence 1 Year Ago","Different house in the U.S.",101505,"(+/- 8600 )",109326,"(+/- 9161 )",107769,"(+/- 8989 )",90056,"(+/- 9944 )",115736,"(+/- 7691 )",101134,"(+/- 8629 )",174843,"(+/- 8668 )",100876,"(+/- 10195 )",110512,"(+/- 8491 )",122887,"(+/- 11053 )"
People,"Residence 1 Year Ago","Same county",57075,"(+/- 6756 )",58038,"(+/- 7330 )",57811,"(+/- 6454 )",56721,"(+/- 8002 )",67466,"(+/- 6792 )",47791,"(+/- 5273 )",117469,"(+/- 8024 )",62819,"(+/- 7818 )",77646,"(+/- 7435 )",69345,"(+/- 9380 )"
People,"Residence 1 Year Ago","Different county",44430,"(+/- 6054 )",51288,"(+/- 4959 )",49958,"(+/- 6620 )",33335,"(+/- 4902 )",48270,"(+/- 4452 )",53343,"(+/- 7012 )",57374,"(+/- 5421 )",38057,"(+/- 6272 )",32866,"(+/- 5244 )",53542,"(+/- 6180 )"
