Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,Ancestry,Greek,309,"(+/- 219 )",399,"(+/- 298 )",764,"(+/- 415 )",3763,"(+/- 2536 )",574,"(+/- 325 )",1245,"(+/- 620 )"
People,Ancestry,Hungarian,704,"(+/- 436 )",919,"(+/- 599 )",1192,"(+/- 637 )",3985,"(+/- 2236 )",636,"(+/- 490 )",1546,"(+/- 777 )"
People,Ancestry,Irish,59548,"(+/- 5239 )",85924,"(+/- 8078 )",96729,"(+/- 7540 )",119750,"(+/- 8649 )",71267,"(+/- 6861 )",85890,"(+/- 7198 )"
People,Ancestry,Italian,9036,"(+/- 2058 )",18274,"(+/- 3628 )",17595,"(+/- 3313 )",25002,"(+/- 3796 )",6669,"(+/- 2621 )",14222,"(+/- 2894 )"
People,Ancestry,Lithuanian,280,"(+/- 294 )",161,"(+/- 196 )",703,"(+/- 363 )",1073,"(+/- 501 )",114,"(+/- 195 )",133,"(+/- 155 )"
People,Ancestry,Norwegian,2734,"(+/- 882 )",2569,"(+/- 952 )",3125,"(+/- 885 )",1402,"(+/- 606 )",1014,"(+/- 746 )",2688,"(+/- 1003 )"
People,Ancestry,Polish,6587,"(+/- 1767 )",7384,"(+/- 2688 )",8755,"(+/- 1576 )",10754,"(+/- 2804 )",3537,"(+/- 1467 )",8403,"(+/- 2361 )"
People,Ancestry,Portuguese,397,"(+/- 402 )",344,"(+/- 380 )",907,"(+/- 648 )",872,"(+/- 775 )",16,"(+/- 30 )",623,"(+/- 483 )"
People,Ancestry,Russian,863,"(+/- 446 )",2160,"(+/- 1237 )",3686,"(+/- 1371 )",2207,"(+/- 1343 )",164,"(+/- 195 )",1970,"(+/- 942 )"
People,Ancestry,Scotch-Irish,5655,"(+/- 1456 )",8123,"(+/- 2034 )",7120,"(+/- 1443 )",12086,"(+/- 2747 )",7221,"(+/- 2344 )",11012,"(+/- 2040 )"
People,Ancestry,Scottish,11653,"(+/- 2034 )",12927,"(+/- 3079 )",17004,"(+/- 2563 )",16396,"(+/- 3182 )",10195,"(+/- 2825 )",20641,"(+/- 3520 )"
People,Ancestry,Slovak,60,"(+/- 99 )",126,"(+/- 157 )",477,"(+/- 343 )",457,"(+/- 321 )",149,"(+/- 197 )",763,"(+/- 365 )"
People,Ancestry,"Subsaharan African",2309,"(+/- 1127 )",2697,"(+/- 1342 )",23344,"(+/- 5796 )",1652,"(+/- 771 )",285,"(+/- 238 )",7296,"(+/- 3032 )"
People,Ancestry,Swedish,2860,"(+/- 976 )",2682,"(+/- 1008 )",4126,"(+/- 1311 )",3280,"(+/- 989 )",598,"(+/- 353 )",2373,"(+/- 951 )"
People,Ancestry,Swiss,1306,"(+/- 924 )",2080,"(+/- 1524 )",2090,"(+/- 664 )",2293,"(+/- 1750 )",388,"(+/- 282 )",1064,"(+/- 829 )"
People,Ancestry,Ukrainian,317,"(+/- 335 )",970,"(+/- 662 )",911,"(+/- 611 )",1091,"(+/- 665 )",345,"(+/- 566 )",1715,"(+/- 1658 )"
People,Ancestry,Welsh,2798,"(+/- 961 )",3603,"(+/- 1259 )",4170,"(+/- 1379 )",5870,"(+/- 1665 )",2844,"(+/- 1376 )",6061,"(+/- 1782 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",583,"(+/- 440 )",578,"(+/- 481 )",3546,"(+/- 2193 )",670,"(+/- 654 )",126,"(+/- 163 )",680,"(+/- 541 )"
People,"Veteran Status","Civilian population 18 years and over",544624,"(+/- 3318 )",597226,"(+/- 3663 )",585335,"(+/- 2781 )",597078,"(+/- 3744 )",535638,"(+/- 4158 )",615355,"(+/- 4088 )"
People,"Veteran Status","Civilian veterans",38552,"(+/- 2666 )",51533,"(+/- 3517 )",39504,"(+/- 2651 )",42183,"(+/- 3306 )",29133,"(+/- 2289 )",36692,"(+/- 3115 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",690782,"(+/- 4630 )",770864,"(+/- 5154 )",743079,"(+/- 3965 )",771952,"(+/- 5993 )",674719,"(+/- 4982 )",776996,"(+/- 5231 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",150207,"(+/- 6689 )",132934,"(+/- 6215 )",102319,"(+/- 4980 )",106644,"(+/- 5291 )",173825,"(+/- 6535 )",117258,"(+/- 4869 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",159287,"(+/- 2711 )",182032,"(+/- 2759 )",163697,"(+/- 1835 )",185138,"(+/- 2968 )",153647,"(+/- 2789 )",168789,"(+/- 3146 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",14139,"(+/- 2271 )",10612,"(+/- 2016 )",6675,"(+/- 1806 )",8127,"(+/- 1731 )",12033,"(+/- 2068 )",10746,"(+/- 2084 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",399331,"(+/- 3758 )",463054,"(+/- 3979 )",455112,"(+/- 2880 )",463004,"(+/- 4250 )",397881,"(+/- 4110 )",487515,"(+/- 3554 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",82253,"(+/- 5402 )",72358,"(+/- 5010 )",52372,"(+/- 3903 )",57200,"(+/- 4219 )",99092,"(+/- 4428 )",62491,"(+/- 4191 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",132164,"(+/- 2316 )",125778,"(+/- 1923 )",124270,"(+/- 1389 )",123810,"(+/- 1958 )",123191,"(+/- 2436 )",120692,"(+/- 2462 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",53815,"(+/- 3060 )",49964,"(+/- 2631 )",43272,"(+/- 2242 )",41317,"(+/- 2378 )",62700,"(+/- 3063 )",44021,"(+/- 2280 )"
People,"Residence 1 Year Ago","Population 1 year and over",706148,"(+/- 3780 )",779344,"(+/- 4623 )",740286,"(+/- 4168 )",775193,"(+/- 5683 )",682988,"(+/- 4362 )",776687,"(+/- 5117 )"
People,"Residence 1 Year Ago","Same house",624382,"(+/- 8125 )",674099,"(+/- 9088 )",631395,"(+/- 8705 )",680776,"(+/- 9065 )",616023,"(+/- 9167 )",651544,"(+/- 8409 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",81766,"(+/- 7332 )",105245,"(+/- 8964 )",108891,"(+/- 8270 )",94417,"(+/- 8474 )",66965,"(+/- 7661 )",125143,"(+/- 7947 )"
People,"Residence 1 Year Ago","Different house in the U.S.",80290,"(+/- 7250 )",103039,"(+/- 9166 )",105511,"(+/- 8321 )",92800,"(+/- 8376 )",66256,"(+/- 7616 )",123248,"(+/- 8027 )"
People,"Residence 1 Year Ago","Same county",40815,"(+/- 5756 )",50152,"(+/- 6716 )",73113,"(+/- 7299 )",38941,"(+/- 5345 )",33734,"(+/- 5543 )",66239,"(+/- 7223 )"
People,"Residence 1 Year Ago","Different county",39475,"(+/- 4276 )",52887,"(+/- 6088 )",32398,"(+/- 3711 )",53859,"(+/- 6916 )",32522,"(+/- 5389 )",57009,"(+/- 4943 )"
People,"Residence 1 Year Ago","Same state",22444,"(+/- 3147 )",31858,"(+/- 5484 )",11536,"(+/- 1985 )",34936,"(+/- 5905 )",23258,"(+/- 4721 )",36425,"(+/- 3998 )"
People,"Residence 1 Year Ago","Different state",17031,"(+/- 2743 )",21029,"(+/- 3924 )",20862,"(+/- 3353 )",18923,"(+/- 2958 )",9264,"(+/- 1986 )",20584,"(+/- 3158 )"
People,"Residence 1 Year Ago",Abroad,1476,"(+/- 1240 )",2206,"(+/- 1067 )",3380,"(+/- 1494 )",1617,"(+/- 794 )",709,"(+/- 420 )",1895,"(+/- 1055 )"
Workers,"Employment Status","Population 16 years and over",571502,"(+/- 3444 )",625238,"(+/- 4363 )",605464,"(+/- 2849 )",620383,"(+/- 4198 )",553944,"(+/- 4482 )",636327,"(+/- 4410 )"
Workers,"Employment Status","In labor force",315773,"(+/- 5837 )",375233,"(+/- 6987 )",390726,"(+/- 6440 )",391807,"(+/- 5907 )",250673,"(+/- 6208 )",401457,"(+/- 6650 )"
Workers,"Employment Status","Civilian labor force",306858,"(+/- 5908 )",368745,"(+/- 7048 )",389286,"(+/- 6407 )",390684,"(+/- 5844 )",250476,"(+/- 6178 )",400937,"(+/- 6686 )"
Workers,"Employment Status",Employed,291344,"(+/- 6203 )",348505,"(+/- 7127 )",369834,"(+/- 6876 )",370952,"(+/- 5817 )",230789,"(+/- 6252 )",380907,"(+/- 6735 )"
Workers,"Employment Status",Unemployed,15514,"(+/- 2282 )",20240,"(+/- 2521 )",19452,"(+/- 2761 )",19732,"(+/- 2550 )",19687,"(+/- 2630 )",20030,"(+/- 2911 )"
Workers,"Employment Status","Armed Forces",8915,"(+/- 1152 )",6488,"(+/- 1477 )",1440,"(+/- 816 )",1123,"(+/- 714 )",197,"(+/- 249 )",520,"(+/- 423 )"
Workers,"Employment Status","Not in labor force",255729,"(+/- 5859 )",250005,"(+/- 6259 )",214738,"(+/- 6010 )",228576,"(+/- 5341 )",303271,"(+/- 6553 )",234870,"(+/- 6935 )"
Workers,"Employment Status","Civilian labor force",306858,"(+/- 5908 )",368745,"(+/- 7048 )",389286,"(+/- 6407 )",390684,"(+/- 5844 )",250476,"(+/- 6178 )",400937,"(+/- 6686 )"
Workers,"Employment Status","Unemployment Rate",5.1,"(+/- 0.7 )",5.5,"(+/- 0.7 )",5.0,"(+/- 0.7 )",5.1,"(+/- 0.6 )",7.9,"(+/- 1.0 )",5.0,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",293291,"(+/- 6332 )",346251,"(+/- 6961 )",362749,"(+/- 6933 )",365171,"(+/- 6061 )",222381,"(+/- 6461 )",372585,"(+/- 6660 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",233709,"(+/- 6779 )",274765,"(+/- 8411 )",262586,"(+/- 6949 )",267832,"(+/- 7338 )",176117,"(+/- 6423 )",284709,"(+/- 7529 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",25477,"(+/- 3468 )",32620,"(+/- 4157 )",27174,"(+/- 2934 )",27735,"(+/- 3614 )",25737,"(+/- 3524 )",26582,"(+/- 3056 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",648,"(+/- 508 )",681,"(+/- 495 )",4328,"(+/- 1213 )",1711,"(+/- 609 )",443,"(+/- 357 )",2686,"(+/- 1065 )"
Workers,"Commuting to Work",Walked,9411,"(+/- 1390 )",6136,"(+/- 1603 )",5210,"(+/- 1092 )",5243,"(+/- 1257 )",4200,"(+/- 1402 )",9311,"(+/- 1816 )"
Workers,"Commuting to Work","Other means",3114,"(+/- 835 )",3224,"(+/- 1157 )",5881,"(+/- 1624 )",5799,"(+/- 1448 )",1012,"(+/- 421 )",3638,"(+/- 956 )"
Workers,"Commuting to Work","Worked from home",20932,"(+/- 2569 )",28825,"(+/- 3380 )",57570,"(+/- 3926 )",56851,"(+/- 4595 )",14872,"(+/- 2302 )",45659,"(+/- 4116 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.0,"(+/- 0.7 )",24.9,"(+/- 0.8 )",20.5,"(+/- 0.5 )",25.3,"(+/- 0.7 )",26.3,"(+/- 1.2 )",23.0,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",291344,"(+/- 6203 )",348505,"(+/- 7127 )",369834,"(+/- 6876 )",370952,"(+/- 5817 )",230789,"(+/- 6252 )",380907,"(+/- 6735 )"
Workers,Occupation,"Management, business, science, and arts occupations",89531,"(+/- 4780 )",113045,"(+/- 6034 )",144616,"(+/- 5398 )",158714,"(+/- 5408 )",70737,"(+/- 3815 )",161925,"(+/- 6578 )"
Workers,Occupation,"Service occupations",44867,"(+/- 3367 )",53950,"(+/- 4072 )",48561,"(+/- 3780 )",44837,"(+/- 3515 )",43014,"(+/- 4492 )",59262,"(+/- 4812 )"
Workers,Occupation,"Sales and office occupations",57453,"(+/- 3988 )",72110,"(+/- 4131 )",77807,"(+/- 4976 )",73315,"(+/- 5032 )",49986,"(+/- 3475 )",75632,"(+/- 5728 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",31729,"(+/- 3316 )",30480,"(+/- 3083 )",22925,"(+/- 2614 )",32512,"(+/- 3237 )",24418,"(+/- 2496 )",26789,"(+/- 2905 )"
Workers,Occupation,"Production, transportation, and material moving occupations",67764,"(+/- 4001 )",78920,"(+/- 5068 )",75925,"(+/- 4776 )",61574,"(+/- 3814 )",42634,"(+/- 3624 )",57299,"(+/- 3697 )"
Workers,Industry,"Civilian employed population 16 years and over",291344,"(+/- 6203 )",348505,"(+/- 7127 )",369834,"(+/- 6876 )",370952,"(+/- 5817 )",230789,"(+/- 6252 )",380907,"(+/- 6735 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9437,"(+/- 1635 )",4845,"(+/- 1270 )",333,"(+/- 270 )",5259,"(+/- 1573 )",6679,"(+/- 1564 )",7563,"(+/- 1549 )"
Workers,Industry,Construction,21431,"(+/- 2404 )",20499,"(+/- 2260 )",17540,"(+/- 2337 )",26734,"(+/- 2669 )",17185,"(+/- 2442 )",19929,"(+/- 2566 )"
Workers,Industry,Manufacturing,55313,"(+/- 3554 )",63357,"(+/- 4378 )",43344,"(+/- 4039 )",49163,"(+/- 4271 )",27095,"(+/- 2943 )",47996,"(+/- 3818 )"
Workers,Industry,"Wholesale trade",5214,"(+/- 1134 )",6689,"(+/- 1879 )",7895,"(+/- 1321 )",10386,"(+/- 2173 )",4008,"(+/- 1121 )",5365,"(+/- 1164 )"
Workers,Industry,"Retail trade",36208,"(+/- 3552 )",46640,"(+/- 4373 )",39634,"(+/- 3432 )",43094,"(+/- 3775 )",30562,"(+/- 3387 )",49079,"(+/- 3985 )"
Workers,Industry,"Transportation and warehousing, and utilities",18673,"(+/- 2134 )",22551,"(+/- 2509 )",39261,"(+/- 4188 )",24468,"(+/- 2810 )",13182,"(+/- 2043 )",22027,"(+/- 3100 )"
Workers,Industry,Information,2539,"(+/- 883 )",3539,"(+/- 1078 )",6954,"(+/- 1345 )",5366,"(+/- 1281 )",3608,"(+/- 1009 )",3765,"(+/- 1069 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",12465,"(+/- 1705 )",16439,"(+/- 2583 )",31215,"(+/- 2973 )",27453,"(+/- 3161 )",9200,"(+/- 1749 )",18223,"(+/- 2042 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",21245,"(+/- 2751 )",24591,"(+/- 2656 )",40135,"(+/- 3981 )",40735,"(+/- 3791 )",13694,"(+/- 2480 )",40227,"(+/- 3274 )"
Workers,Industry,"Educational services, and health care and social assistance",63944,"(+/- 3948 )",77274,"(+/- 4866 )",85738,"(+/- 4748 )",85876,"(+/- 4869 )",64039,"(+/- 4052 )",96424,"(+/- 5722 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",17840,"(+/- 2084 )",27880,"(+/- 3297 )",31961,"(+/- 3701 )",22775,"(+/- 2499 )",16402,"(+/- 2573 )",32284,"(+/- 3112 )"
Workers,Industry,"Other services, except public administration",14884,"(+/- 2057 )",17188,"(+/- 2373 )",16834,"(+/- 2667 )",16294,"(+/- 2012 )",10442,"(+/- 2136 )",17768,"(+/- 2128 )"
Workers,Industry,"Public administration",12151,"(+/- 2084 )",17013,"(+/- 2552 )",8990,"(+/- 1434 )",13349,"(+/- 2340 )",14693,"(+/- 2573 )",20257,"(+/- 2272 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",291344,"(+/- 6203 )",348505,"(+/- 7127 )",369834,"(+/- 6876 )",370952,"(+/- 5817 )",230789,"(+/- 6252 )",380907,"(+/- 6735 )"
Workers,"Class of Worker","Private wage and salary workers",230335,"(+/- 6875 )",279809,"(+/- 7173 )",315258,"(+/- 6947 )",309771,"(+/- 5800 )",171333,"(+/- 6300 )",289117,"(+/- 6332 )"
Workers,"Class of Worker","Government workers",41869,"(+/- 3984 )",50169,"(+/- 4045 )",36972,"(+/- 2906 )",43990,"(+/- 3455 )",44508,"(+/- 4127 )",67690,"(+/- 4300 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",17837,"(+/- 2113 )",17692,"(+/- 2115 )",17356,"(+/- 2372 )",16396,"(+/- 2157 )",14303,"(+/- 2310 )",22929,"(+/- 2867 )"
Workers,"Class of Worker","Unpaid family workers",1303,"(+/- 677 )",835,"(+/- 609 )",248,"(+/- 256 )",795,"(+/- 572 )",645,"(+/- 415 )",1171,"(+/- 735 )"
Housing,"Housing Occupancy","Total housing units",331291,"(+/- 2327 )",338220,"(+/- 2226 )",347063,"(+/- 1606 )",324770,"(+/- 2441 )",317858,"(+/- 3016 )",349025,"(+/- 2584 )"
Housing,"Housing Occupancy","Occupied housing units",281733,"(+/- 3478 )",300863,"(+/- 3622 )",321139,"(+/- 3447 )",298625,"(+/- 3788 )",261414,"(+/- 5032 )",321908,"(+/- 3661 )"
