Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,Ancestry,Ukrainian,1209,"(+/- 659 )",2194,"(+/- 1480 )",2924,"(+/- 1239 )",1950,"(+/- 908 )",2949,"(+/- 897 )",1736,"(+/- 1124 )",652,"(+/- 269 )",1485,"(+/- 518 )"
People,Ancestry,Welsh,2540,"(+/- 726 )",2801,"(+/- 1322 )",3316,"(+/- 1236 )",2821,"(+/- 891 )",3519,"(+/- 1142 )",1795,"(+/- 711 )",1640,"(+/- 486 )",2777,"(+/- 637 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",654,"(+/- 412 )",633,"(+/- 442 )",1204,"(+/- 901 )",2936,"(+/- 2182 )",1894,"(+/- 1490 )",809,"(+/- 824 )",1021,"(+/- 732 )",894,"(+/- 689 )"
People,"Veteran Status","Civilian population 18 years and over",533520,"(+/- 1950 )",559011,"(+/- 3121 )",561556,"(+/- 5891 )",553411,"(+/- 3529 )",580368,"(+/- 6468 )",553718,"(+/- 5467 )",512315,"(+/- 3375 )",540121,"(+/- 1822 )"
People,"Veteran Status","Civilian veterans",32635,"(+/- 1974 )",35386,"(+/- 2744 )",31370,"(+/- 2680 )",24951,"(+/- 2294 )",24380,"(+/- 2844 )",34308,"(+/- 2752 )",35969,"(+/- 1835 )",46921,"(+/- 2394 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",681315,"(+/- 3215 )",733626,"(+/- 3091 )",732475,"(+/- 8043 )",714978,"(+/- 4914 )",721496,"(+/- 8175 )",738479,"(+/- 7270 )",658732,"(+/- 4138 )",670857,"(+/- 3114 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",79203,"(+/- 3083 )",69526,"(+/- 4673 )",73791,"(+/- 4977 )",81517,"(+/- 4586 )",87300,"(+/- 4972 )",69779,"(+/- 4146 )",88525,"(+/- 3601 )",99581,"(+/- 3633 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",157642,"(+/- 1598 )",178587,"(+/- 2442 )",172980,"(+/- 6354 )",167471,"(+/- 3023 )",146325,"(+/- 6748 )",190216,"(+/- 4608 )",153498,"(+/- 1989 )",140208,"(+/- 1278 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6723,"(+/- 1129 )",6678,"(+/- 1687 )",7663,"(+/- 1810 )",6983,"(+/- 1714 )",8504,"(+/- 1736 )",7055,"(+/- 1601 )",4249,"(+/- 849 )",7913,"(+/- 1424 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",403840,"(+/- 2493 )",448582,"(+/- 3410 )",436323,"(+/- 5987 )",437432,"(+/- 3546 )",481630,"(+/- 6451 )",445232,"(+/- 5981 )",372168,"(+/- 2997 )",386782,"(+/- 2383 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36910,"(+/- 2585 )",35091,"(+/- 3148 )",34916,"(+/- 3733 )",45153,"(+/- 3654 )",49516,"(+/- 3879 )",35675,"(+/- 3003 )",42741,"(+/- 2798 )",46953,"(+/- 2959 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",119833,"(+/- 1523 )",106457,"(+/- 1814 )",123172,"(+/- 4463 )",110075,"(+/- 1890 )",93541,"(+/- 4324 )",103031,"(+/- 2893 )",133066,"(+/- 1858 )",143867,"(+/- 1300 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",35570,"(+/- 1980 )",27757,"(+/- 2077 )",31212,"(+/- 2759 )",29381,"(+/- 1928 )",29280,"(+/- 2314 )",27049,"(+/- 2267 )",41535,"(+/- 1727 )",44715,"(+/- 2165 )"
People,"Residence 1 Year Ago","Population 1 year and over",684707,"(+/- 2685 )",730886,"(+/- 3441 )",725141,"(+/- 7854 )",713075,"(+/- 4925 )",720580,"(+/- 7766 )",736490,"(+/- 6984 )",659490,"(+/- 4196 )",675497,"(+/- 2565 )"
People,"Residence 1 Year Ago","Same house",595956,"(+/- 6010 )",649681,"(+/- 7648 )",642180,"(+/- 11991 )",616653,"(+/- 8222 )",588734,"(+/- 11205 )",657002,"(+/- 8835 )",586957,"(+/- 6767 )",593501,"(+/- 5426 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",88751,"(+/- 5375 )",81205,"(+/- 7172 )",82961,"(+/- 9450 )",96422,"(+/- 7084 )",131846,"(+/- 8520 )",79488,"(+/- 6678 )",72533,"(+/- 5344 )",81996,"(+/- 5673 )"
People,"Residence 1 Year Ago","Different house in the U.S.",86520,"(+/- 5418 )",79277,"(+/- 7145 )",80713,"(+/- 9430 )",95046,"(+/- 7038 )",128119,"(+/- 8635 )",78408,"(+/- 6745 )",70673,"(+/- 5290 )",81112,"(+/- 5655 )"
People,"Residence 1 Year Ago","Same county",45345,"(+/- 4829 )",36415,"(+/- 5017 )",51264,"(+/- 6759 )",41460,"(+/- 5554 )",73556,"(+/- 6546 )",28026,"(+/- 4952 )",34598,"(+/- 4442 )",38691,"(+/- 4040 )"
People,"Residence 1 Year Ago","Different county",41175,"(+/- 3989 )",42862,"(+/- 5291 )",29449,"(+/- 4309 )",53586,"(+/- 6032 )",54563,"(+/- 5790 )",50382,"(+/- 5435 )",36075,"(+/- 3297 )",42421,"(+/- 4179 )"
People,"Residence 1 Year Ago","Same state",29776,"(+/- 3446 )",33247,"(+/- 4732 )",21262,"(+/- 3758 )",37759,"(+/- 5373 )",35235,"(+/- 5019 )",44093,"(+/- 5020 )",22076,"(+/- 2650 )",33779,"(+/- 3472 )"
People,"Residence 1 Year Ago","Different state",11399,"(+/- 2026 )",9615,"(+/- 2178 )",8187,"(+/- 2498 )",15827,"(+/- 3319 )",19328,"(+/- 3218 )",6289,"(+/- 2068 )",13999,"(+/- 2304 )",8642,"(+/- 1619 )"
People,"Residence 1 Year Ago",Abroad,2231,"(+/- 761 )",1928,"(+/- 758 )",2248,"(+/- 1534 )",1376,"(+/- 705 )",3727,"(+/- 1437 )",1080,"(+/- 529 )",1860,"(+/- 739 )",884,"(+/- 432 )"
Workers,"Employment Status","Population 16 years and over",552157,"(+/- 2387 )",582745,"(+/- 3446 )",583464,"(+/- 6014 )",572011,"(+/- 4052 )",596426,"(+/- 6554 )",576441,"(+/- 6037 )",531807,"(+/- 3540 )",559075,"(+/- 2210 )"
Workers,"Employment Status","In labor force",375190,"(+/- 5085 )",420025,"(+/- 5846 )",408191,"(+/- 6537 )",390471,"(+/- 5446 )",432986,"(+/- 6848 )",414955,"(+/- 7211 )",341410,"(+/- 3612 )",330917,"(+/- 3726 )"
Workers,"Employment Status","Civilian labor force",375028,"(+/- 5087 )",419033,"(+/- 5838 )",407934,"(+/- 6480 )",390379,"(+/- 5432 )",432140,"(+/- 7048 )",414351,"(+/- 7161 )",341042,"(+/- 3617 )",329849,"(+/- 3773 )"
Workers,"Employment Status",Employed,360415,"(+/- 5508 )",400085,"(+/- 5716 )",389627,"(+/- 6572 )",368243,"(+/- 5366 )",401713,"(+/- 7474 )",398272,"(+/- 7348 )",326866,"(+/- 4017 )",312730,"(+/- 3746 )"
Workers,"Employment Status",Unemployed,14613,"(+/- 1899 )",18948,"(+/- 2490 )",18307,"(+/- 2534 )",22136,"(+/- 2886 )",30427,"(+/- 3710 )",16079,"(+/- 2550 )",14176,"(+/- 1579 )",17119,"(+/- 1702 )"
Workers,"Employment Status","Armed Forces",162,"(+/- 118 )",992,"(+/- 638 )",257,"(+/- 297 )",92,"(+/- 98 )",846,"(+/- 698 )",604,"(+/- 357 )",368,"(+/- 183 )",1068,"(+/- 459 )"
Workers,"Employment Status","Not in labor force",176967,"(+/- 4444 )",162720,"(+/- 4796 )",175273,"(+/- 5419 )",181540,"(+/- 5244 )",163440,"(+/- 5673 )",161486,"(+/- 5504 )",190397,"(+/- 3763 )",228158,"(+/- 3889 )"
Workers,"Employment Status","Civilian labor force",375028,"(+/- 5087 )",419033,"(+/- 5838 )",407934,"(+/- 6480 )",390379,"(+/- 5432 )",432140,"(+/- 7048 )",414351,"(+/- 7161 )",341042,"(+/- 3617 )",329849,"(+/- 3773 )"
Workers,"Employment Status","Unemployment Rate",3.9,"(+/- 0.5 )",4.5,"(+/- 0.6 )",4.5,"(+/- 0.6 )",5.7,"(+/- 0.7 )",7.0,"(+/- 0.8 )",3.9,"(+/- 0.6 )",4.2,"(+/- 0.5 )",5.2,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",354301,"(+/- 5291 )",395022,"(+/- 5700 )",382538,"(+/- 6749 )",361639,"(+/- 5362 )",394889,"(+/- 7402 )",391330,"(+/- 7420 )",320996,"(+/- 4136 )",307427,"(+/- 3859 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",262494,"(+/- 5293 )",261582,"(+/- 6467 )",231419,"(+/- 7105 )",210619,"(+/- 6347 )",207283,"(+/- 7032 )",286924,"(+/- 8483 )",242447,"(+/- 4780 )",229749,"(+/- 4097 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",30879,"(+/- 2735 )",28058,"(+/- 3473 )",24590,"(+/- 2917 )",25530,"(+/- 2895 )",25233,"(+/- 3534 )",25685,"(+/- 3674 )",25301,"(+/- 2289 )",22219,"(+/- 1904 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",3395,"(+/- 983 )",2678,"(+/- 1333 )",4377,"(+/- 1297 )",7746,"(+/- 1702 )",16002,"(+/- 2724 )",2449,"(+/- 1041 )",1835,"(+/- 799 )",2151,"(+/- 770 )"
Workers,"Commuting to Work",Walked,12996,"(+/- 1459 )",7055,"(+/- 1190 )",3719,"(+/- 1192 )",9341,"(+/- 1862 )",13344,"(+/- 2082 )",5991,"(+/- 1232 )",11850,"(+/- 1328 )",8805,"(+/- 1339 )"
Workers,"Commuting to Work","Other means",5467,"(+/- 1223 )",4856,"(+/- 1176 )",5515,"(+/- 1665 )",7454,"(+/- 1450 )",11125,"(+/- 2241 )",2736,"(+/- 783 )",5099,"(+/- 982 )",4220,"(+/- 876 )"
Workers,"Commuting to Work","Worked from home",39070,"(+/- 3040 )",90793,"(+/- 4924 )",112918,"(+/- 6099 )",100949,"(+/- 5058 )",121902,"(+/- 4670 )",67545,"(+/- 4310 )",34464,"(+/- 2308 )",40283,"(+/- 2597 )"
