Housing,"Gross Rent","No rent paid",5656,"(+/- 1103 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",395656,"(+/- 4126 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",20504,"(+/- 2475 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",12424,"(+/- 2155 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",28678,"(+/- 2586 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",27613,"(+/- 3181 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",46550,"(+/- 3923 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",71075,"(+/- 4703 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",53506,"(+/- 3613 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",64231,"(+/- 4193 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",38050,"(+/- 3676 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",33025,"(+/- 2579 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",71091,"(+/- 1795 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",95633,"(+/- 2883 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",987964,"(+/- 1320 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",931238,"(+/- 5842 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",703762,"(+/- 12910 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",396200,"(+/- 11690 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",56726,"(+/- 5726 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",221810,"(+/- 1801 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",8251,"(+/- 2413 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",8.6,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",15.0,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",19.0,"(+/- 6.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.2,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",6.5,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",5.6,"(+/- 4.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",24.9,"(+/- 4.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",35.7,"(+/- 5.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",58.4,"(+/- 14.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",11.6,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",16.8,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",16.7,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",21.4,"(+/- 3.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",15.1,"(+/- 2.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.2,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.9,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",9.0,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",21.9,"(+/- 1.7 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",234867,"(+/- 5591 )"
Education,"School Enrollment","Nursery school, preschool",13172,"(+/- 2090 )"
Education,"School Enrollment",Kindergarten,11518,"(+/- 2000 )"
Education,"School Enrollment","Elementary school (grades 1-8)",88957,"(+/- 3118 )"
Education,"School Enrollment","High school (grades 9-12)",51152,"(+/- 2932 )"
Education,"School Enrollment","College or graduate school",70068,"(+/- 4699 )"
Education,"Educational Attainment","Population 25 years and over",711104,"(+/- 1307 )"
Education,"Educational Attainment","Less than 9th grade",23325,"(+/- 2563 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",38141,"(+/- 4000 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",201366,"(+/- 7791 )"
Education,"Educational Attainment","Some college, no degree",128883,"(+/- 5301 )"
Education,"Educational Attainment","Associate's degree",66097,"(+/- 4563 )"
Education,"Educational Attainment","Bachelor's degree",146295,"(+/- 6975 )"
Education,"Educational Attainment","Graduate or professional degree",106997,"(+/- 5385 )"
Education,"Educational Attainment","Percent high school graduate or higher",91.4,"(+/- 0.6 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",35.6,"(+/- 1.1 )"


"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District (At Large) Estimate","District (At Large) Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",422044,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",113,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",437,H
Business,"Paid employees for pay period including March 12",Utilities,2475,H
Business,"Paid employees for pay period including March 12",Construction,23465,G
Business,"Paid employees for pay period including March 12",Manufacturing,29718,G
Business,"Paid employees for pay period including March 12","Wholesale trade",18414,H
Business,"Paid employees for pay period including March 12","Retail trade",55071,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",18444,H
Business,"Paid employees for pay period including March 12",Information,7225,G
Business,"Paid employees for pay period including March 12","Finance and insurance",41109,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",6361,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",32771,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",6591,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",29864,G
Business,"Paid employees for pay period including March 12","Educational services",6943,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",75037,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",9296,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",42981,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",15408,G
Business,"Paid employees for pay period including March 12","Industries not classified",321,J
Business,"Annual payroll ($1,000)","Total for all sectors",25114966,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",6075,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",38811,H
Business,"Annual payroll ($1,000)",Utilities,308614,H
Business,"Annual payroll ($1,000)",Construction,1442917,G
Business,"Annual payroll ($1,000)",Manufacturing,1935684,G
Business,"Annual payroll ($1,000)","Wholesale trade",1976991,H
Business,"Annual payroll ($1,000)","Retail trade",1597930,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",790370,H
Business,"Annual payroll ($1,000)",Information,567471,G
Business,"Annual payroll ($1,000)","Finance and insurance",4450672,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",354852,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",3609625,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",740189,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",1300699,G
Business,"Annual payroll ($1,000)","Educational services",272761,G
Business,"Annual payroll ($1,000)","Health care and social assistance",4300989,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",216559,G
Business,"Annual payroll ($1,000)","Accommodation and food services",720082,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",475405,G
Business,"Annual payroll ($1,000)","Industries not classified",8270,G
Business,"Total Establishments","Total for all sectors",27472,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",35,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",23,X
Business,"Total Establishments",Utilities,72,X
Business,"Total Establishments",Construction,2387,X
Business,"Total Establishments",Manufacturing,580,X
Business,"Total Establishments","Wholesale trade",1209,X
Business,"Total Establishments","Retail trade",3674,X
Business,"Total Establishments","Transportation and warehousing",795,X
Business,"Total Establishments",Information,718,X
Business,"Total Establishments","Finance and insurance",1999,X
Business,"Total Establishments","Real estate and rental and leasing",1359,X
Business,"Total Establishments","Professional, scientific, and technical services",3473,X
Business,"Total Establishments","Management of companies and enterprises",584,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1591,X
Business,"Total Establishments","Educational services",347,X
Business,"Total Establishments","Health care and social assistance",3276,X
Business,"Total Establishments","Arts, entertainment, and recreation",517,X
Business,"Total Establishments","Accommodation and food services",2268,X
Business,"Total Establishments","Other services (except public administration)",2307,X
Business,"Total Establishments","Industries not classified",258,X


"Source: 2020 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
