Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","45 to 54 years",79005,"(+/- 1267 )",84951,"(+/- 2531 )",89635,"(+/- 2519 )",80971,"(+/- 1593 )",81136,"(+/- 2158 )",85279,"(+/- 1780 )",91051,"(+/- 2065 )",93595,"(+/- 3117 )",90728,"(+/- 3891 )",97569,"(+/- 2753 )",105711,"(+/- 4102 )",85069,"(+/- 3769 )",77397,"(+/- 4215 )",80423,"(+/- 4053 )"
People,"Sex and Age","55 to 59 years",51960,"(+/- 2371 )",48541,"(+/- 2801 )",48591,"(+/- 2607 )",48179,"(+/- 2863 )",43383,"(+/- 2702 )",45235,"(+/- 2329 )",50501,"(+/- 2147 )",50584,"(+/- 2689 )",49476,"(+/- 3175 )",55115,"(+/- 3021 )",53330,"(+/- 3570 )",45197,"(+/- 2978 )",38304,"(+/- 3003 )",45072,"(+/- 3613 )"
People,"Sex and Age","60 to 64 years",61502,"(+/- 2368 )",48671,"(+/- 2592 )",50117,"(+/- 2516 )",56025,"(+/- 2652 )",49916,"(+/- 2694 )",52548,"(+/- 2387 )",53333,"(+/- 2062 )",49640,"(+/- 2583 )",51824,"(+/- 3411 )",56745,"(+/- 3319 )",58393,"(+/- 3594 )",46846,"(+/- 2729 )",43273,"(+/- 2904 )",44862,"(+/- 3419 )"
People,"Sex and Age","65 to 74 years",107103,"(+/- 785 )",77774,"(+/- 1907 )",75193,"(+/- 1940 )",85582,"(+/- 1202 )",78737,"(+/- 1586 )",80333,"(+/- 1019 )",86357,"(+/- 1551 )",75692,"(+/- 2563 )",80008,"(+/- 3664 )",84250,"(+/- 2912 )",82331,"(+/- 4062 )",72629,"(+/- 3155 )",60529,"(+/- 3115 )",71740,"(+/- 3851 )"
People,"Sex and Age","75 to 84 years",50081,"(+/- 1278 )",34410,"(+/- 2028 )",32952,"(+/- 2077 )",41028,"(+/- 1414 )",38515,"(+/- 2077 )",36028,"(+/- 1457 )",38774,"(+/- 1485 )",34016,"(+/- 2201 )",38786,"(+/- 2526 )",38882,"(+/- 1874 )",40599,"(+/- 3239 )",30800,"(+/- 2224 )",26467,"(+/- 2157 )",32147,"(+/- 2223 )"
People,"Sex and Age","85 years and over",17560,"(+/- 1406 )",15895,"(+/- 1730 )",12333,"(+/- 1740 )",13992,"(+/- 1286 )",13694,"(+/- 1634 )",13101,"(+/- 1133 )",14051,"(+/- 1456 )",12049,"(+/- 1678 )",13459,"(+/- 1670 )",13592,"(+/- 1490 )",15869,"(+/- 2045 )",12245,"(+/- 1418 )",10867,"(+/- 1512 )",12834,"(+/- 1619 )"
People,"Sex and Age","Median age (years)",47.1,"(+/- 0.3 )",37.5,"(+/- 0.5 )",38.2,"(+/- 0.4 )",42.1,"(+/- 0.4 )",41.3,"(+/- 0.5 )",39.1,"(+/- 0.4 )",42.2,"(+/- 0.4 )",39.1,"(+/- 0.5 )",41.4,"(+/- 0.8 )",43.1,"(+/- 0.7 )",42.7,"(+/- 0.8 )",35.9,"(+/- 0.6 )",34.9,"(+/- 0.7 )",39.2,"(+/- 1.0 )"
People,"Sex and Age","18 years and over",580046,"(+/- 1435 )",583767,"(+/- 4275 )",582173,"(+/- 4254 )",560147,"(+/- 3697 )",519803,"(+/- 3262 )",560227,"(+/- 831 )",564176,"(+/- 3233 )",587878,"(+/- 4889 )",578191,"(+/- 6286 )",567601,"(+/- 5435 )",600170,"(+/- 6943 )",584304,"(+/- 7002 )",507343,"(+/- 9045 )",523048,"(+/- 8736 )"
People,"Sex and Age","65 years and over",174744,"(+/- 951 )",128079,"(+/- 2550 )",120478,"(+/- 2419 )",140602,"(+/- 1684 )",130946,"(+/- 1714 )",129462,"(+/- 956 )",139182,"(+/- 1982 )",121757,"(+/- 2898 )",132253,"(+/- 5093 )",136724,"(+/- 3772 )",138799,"(+/- 5503 )",115674,"(+/- 4249 )",97863,"(+/- 4444 )",116721,"(+/- 4689 )"
People,Race,"Total population",707596,"(+/- 1359 )",761672,"(+/- 3773 )",756944,"(+/- 4102 )",698588,"(+/- 4576 )",664225,"(+/- 4156 )",720214,"(+/- 1079 )",715356,"(+/- 3773 )",742257,"(+/- 5476 )",711987,"(+/- 6798 )",725418,"(+/- 5627 )",757991,"(+/- 6864 )",741026,"(+/- 7744 )",674738,"(+/- 11433 )",672799,"(+/- 10955 )"
People,Race,"One race",667227,"(+/- 2796 )",692821,"(+/- 7378 )",694666,"(+/- 5598 )",662752,"(+/- 5734 )",623846,"(+/- 4511 )",665221,"(+/- 4163 )",665800,"(+/- 5531 )",686041,"(+/- 6484 )",665266,"(+/- 7741 )",691849,"(+/- 6874 )",699228,"(+/- 8294 )",674954,"(+/- 10490 )",626862,"(+/- 12162 )",634784,"(+/- 11133 )"
People,Race,White,632466,"(+/- 2623 )",594177,"(+/- 7449 )",595520,"(+/- 5967 )",630300,"(+/- 5298 )",492088,"(+/- 4176 )",574211,"(+/- 3185 )",618498,"(+/- 5199 )",595764,"(+/- 6971 )",515089,"(+/- 8496 )",638395,"(+/- 7141 )",556432,"(+/- 9498 )",538860,"(+/- 9280 )",228329,"(+/- 7856 )",227884,"(+/- 7428 )"
People,Race,"Black or African American",9435,"(+/- 1456 )",48847,"(+/- 5460 )",61072,"(+/- 4807 )",12234,"(+/- 1375 )",116530,"(+/- 2785 )",56700,"(+/- 2468 )",30499,"(+/- 2457 )",39450,"(+/- 3915 )",99258,"(+/- 5198 )",30095,"(+/- 4831 )",42285,"(+/- 5138 )",77879,"(+/- 6418 )",361977,"(+/- 9816 )",358789,"(+/- 9588 )"
People,Race,"American Indian and Alaska Native",16181,"(+/- 1697 )",4413,"(+/- 1903 )",2247,"(+/- 709 )",4640,"(+/- 1724 )",1811,"(+/- 712 )",3813,"(+/- 1511 )",1344,"(+/- 452 )",3095,"(+/- 1185 )",2071,"(+/- 1441 )",2437,"(+/- 1286 )",1810,"(+/- 542 )",1652,"(+/- 738 )",3857,"(+/- 2041 )",1817,"(+/- 852 )"
People,Race,Asian,3871,"(+/- 793 )",16301,"(+/- 2275 )",18348,"(+/- 2300 )",7301,"(+/- 848 )",5028,"(+/- 981 )",11536,"(+/- 1375 )",6092,"(+/- 1411 )",34284,"(+/- 3202 )",41886,"(+/- 3818 )",11395,"(+/- 3123 )",90638,"(+/- 5172 )",39273,"(+/- 2536 )",7112,"(+/- 1556 )",29190,"(+/- 3441 )"
People,Race,"Native Hawaiian and Other Pacific Islander",436,"(+/- 449 )",281,"(+/- 255 )",137,"(+/- 180 )",137,"(+/- 125 )",154,"(+/- 243 )",292,"(+/- 222 )",26,"(+/- 55 )",64,"(+/- 79 )",193,"(+/- 203 )",120,"(+/- 141 )",0,"(+/- 181 )",204,"(+/- 287 )",252,"(+/- 170 )",216,"(+/- 211 )"
People,Race,"Some other race",4838,"(+/- 1166 )",28802,"(+/- 4567 )",17342,"(+/- 3663 )",8140,"(+/- 1960 )",8235,"(+/- 2088 )",18669,"(+/- 3188 )",9341,"(+/- 1964 )",13384,"(+/- 2980 )",6769,"(+/- 2012 )",9407,"(+/- 2310 )",8063,"(+/- 2232 )",17086,"(+/- 3397 )",25335,"(+/- 4547 )",16888,"(+/- 3146 )"
People,Race,"Two or more races",40369,"(+/- 2700 )",68851,"(+/- 5675 )",62278,"(+/- 5875 )",35836,"(+/- 2972 )",40379,"(+/- 3662 )",54993,"(+/- 4372 )",49556,"(+/- 4012 )",56216,"(+/- 5015 )",46721,"(+/- 5692 )",33569,"(+/- 3841 )",58763,"(+/- 5191 )",66072,"(+/- 6859 )",47876,"(+/- 5762 )",38015,"(+/- 5765 )"
People,"Hispanic or Latino and Race","Total population",707596,"(+/- 1359 )",761672,"(+/- 3773 )",756944,"(+/- 4102 )",698588,"(+/- 4576 )",664225,"(+/- 4156 )",720214,"(+/- 1079 )",715356,"(+/- 3773 )",742257,"(+/- 5476 )",711987,"(+/- 6798 )",725418,"(+/- 5627 )",757991,"(+/- 6864 )",741026,"(+/- 7744 )",674738,"(+/- 11433 )",672799,"(+/- 10955 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",15435,"(+/- 572 )",83085,"(+/- 3874 )",55058,"(+/- 3839 )",26746,"(+/- 1770 )",35194,"(+/- 1740 )",50123,"(+/- 166 )",36467,"(+/- 1283 )",38819,"(+/- 1910 )",21272,"(+/- 2726 )",26888,"(+/- 2248 )",35392,"(+/- 3532 )",54241,"(+/- 4819 )",50444,"(+/- 5226 )",30552,"(+/- 4539 )"
People,"Hispanic or Latino and Race",Mexican,9361,"(+/- 1299 )",59801,"(+/- 4913 )",34514,"(+/- 3828 )",18504,"(+/- 2090 )",27081,"(+/- 2584 )",41381,"(+/- 2366 )",25643,"(+/- 2192 )",27234,"(+/- 2529 )",10834,"(+/- 2121 )",19784,"(+/- 2549 )",22143,"(+/- 3138 )",36232,"(+/- 4188 )",34642,"(+/- 5367 )",17653,"(+/- 3606 )"
People,"Hispanic or Latino and Race","Puerto Rican",2268,"(+/- 703 )",5209,"(+/- 1924 )",6618,"(+/- 1962 )",1932,"(+/- 729 )",901,"(+/- 521 )",1826,"(+/- 1058 )",3791,"(+/- 1395 )",2340,"(+/- 842 )",4262,"(+/- 1302 )",2067,"(+/- 970 )",3886,"(+/- 1654 )",5819,"(+/- 1925 )",7903,"(+/- 2344 )",5136,"(+/- 1768 )"
People,"Hispanic or Latino and Race",Cuban,443,"(+/- 346 )",3056,"(+/- 1861 )",1588,"(+/- 1060 )",487,"(+/- 274 )",2404,"(+/- 1177 )",634,"(+/- 360 )",2294,"(+/- 1312 )",881,"(+/- 712 )",2222,"(+/- 1551 )",1210,"(+/- 600 )",1091,"(+/- 678 )",2023,"(+/- 1691 )",682,"(+/- 492 )",504,"(+/- 457 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",3363,"(+/- 740 )",15019,"(+/- 3522 )",12338,"(+/- 3157 )",5823,"(+/- 1730 )",4808,"(+/- 1531 )",6282,"(+/- 1900 )",4739,"(+/- 1377 )",8364,"(+/- 2286 )",3954,"(+/- 995 )",3827,"(+/- 1210 )",8272,"(+/- 2064 )",10167,"(+/- 2544 )",7217,"(+/- 2158 )",7259,"(+/- 2699 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",692161,"(+/- 1505 )",678587,"(+/- 5355 )",701886,"(+/- 5413 )",671842,"(+/- 4070 )",629031,"(+/- 3490 )",670091,"(+/- 1071 )",678889,"(+/- 3887 )",703438,"(+/- 5414 )",690715,"(+/- 6793 )",698530,"(+/- 6248 )",722599,"(+/- 7093 )",686785,"(+/- 9150 )",624294,"(+/- 11390 )",642247,"(+/- 10534 )"
People,"Place of Birth","Total population",707596,"(+/- 1359 )",761672,"(+/- 3773 )",756944,"(+/- 4102 )",698588,"(+/- 4576 )",664225,"(+/- 4156 )",720214,"(+/- 1079 )",715356,"(+/- 3773 )",742257,"(+/- 5476 )",711987,"(+/- 6798 )",725418,"(+/- 5627 )",757991,"(+/- 6864 )",741026,"(+/- 7744 )",674738,"(+/- 11433 )",672799,"(+/- 10955 )"
People,"Place of Birth",Native,693893,"(+/- 2222 )",718770,"(+/- 6206 )",715498,"(+/- 5351 )",685551,"(+/- 4753 )",648396,"(+/- 5065 )",687739,"(+/- 3198 )",693266,"(+/- 4445 )",683532,"(+/- 7196 )",628922,"(+/- 8366 )",684510,"(+/- 6679 )",647701,"(+/- 9009 )",648141,"(+/- 8912 )",620768,"(+/- 11896 )",610831,"(+/- 11265 )"
People,"Place of Birth","Born in United States",690208,"(+/- 2496 )",712706,"(+/- 6327 )",707865,"(+/- 5833 )",679583,"(+/- 4756 )",644806,"(+/- 5170 )",682031,"(+/- 3462 )",689127,"(+/- 4774 )",676980,"(+/- 7284 )",620973,"(+/- 8573 )",679859,"(+/- 6694 )",641990,"(+/- 8914 )",639685,"(+/- 8792 )",612726,"(+/- 11925 )",600925,"(+/- 11596 )"
People,"Place of Birth","State of residence",547910,"(+/- 5513 )",608890,"(+/- 9415 )",588069,"(+/- 7388 )",592401,"(+/- 5716 )",560880,"(+/- 7139 )",502648,"(+/- 7102 )",530799,"(+/- 7446 )",561096,"(+/- 6997 )",532633,"(+/- 9161 )",607877,"(+/- 7551 )",524612,"(+/- 9345 )",512130,"(+/- 9649 )",525663,"(+/- 11132 )",495077,"(+/- 11078 )"
People,"Place of Birth","Different state",142298,"(+/- 4851 )",103816,"(+/- 6098 )",119796,"(+/- 5702 )",87182,"(+/- 4772 )",83926,"(+/- 4995 )",179383,"(+/- 7524 )",158328,"(+/- 6641 )",115884,"(+/- 4584 )",88340,"(+/- 5127 )",71982,"(+/- 4255 )",117378,"(+/- 5882 )",127555,"(+/- 6986 )",87063,"(+/- 5580 )",105848,"(+/- 6074 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3685,"(+/- 891 )",6064,"(+/- 1240 )",7633,"(+/- 1615 )",5968,"(+/- 1740 )",3590,"(+/- 1110 )",5708,"(+/- 1544 )",4139,"(+/- 1007 )",6552,"(+/- 1350 )",7949,"(+/- 1607 )",4651,"(+/- 1423 )",5711,"(+/- 1392 )",8456,"(+/- 1812 )",8042,"(+/- 2252 )",9906,"(+/- 2294 )"
People,"Place of Birth","Foreign born",13703,"(+/- 1719 )",42902,"(+/- 4737 )",41446,"(+/- 3632 )",13037,"(+/- 1882 )",15829,"(+/- 3171 )",32475,"(+/- 2982 )",22090,"(+/- 2828 )",58725,"(+/- 4281 )",83065,"(+/- 5554 )",40908,"(+/- 4121 )",110290,"(+/- 5271 )",92885,"(+/- 5381 )",53970,"(+/- 5662 )",61968,"(+/- 4919 )"
People,Ancestry,"Total population",707596,"(+/- 1359 )",761672,"(+/- 3773 )",756944,"(+/- 4102 )",698588,"(+/- 4576 )",664225,"(+/- 4156 )",720214,"(+/- 1079 )",715356,"(+/- 3773 )",742257,"(+/- 5476 )",711987,"(+/- 6798 )",725418,"(+/- 5627 )",757991,"(+/- 6864 )",741026,"(+/- 7744 )",674738,"(+/- 11433 )",672799,"(+/- 10955 )"
People,Ancestry,American,28851,"(+/- 3725 )",24571,"(+/- 3610 )",25333,"(+/- 3610 )",33333,"(+/- 3002 )",36213,"(+/- 5351 )",23750,"(+/- 2970 )",43561,"(+/- 5474 )",29724,"(+/- 3228 )",24724,"(+/- 3834 )",31825,"(+/- 4687 )",22670,"(+/- 3774 )",38457,"(+/- 5733 )",23631,"(+/- 4111 )",19334,"(+/- 3241 )"
People,Ancestry,Arab,1347,"(+/- 512 )",3826,"(+/- 2092 )",4751,"(+/- 1865 )",2067,"(+/- 802 )",7072,"(+/- 3378 )",2109,"(+/- 1226 )",4691,"(+/- 1907 )",7989,"(+/- 2609 )",26271,"(+/- 4417 )",14124,"(+/- 3368 )",23188,"(+/- 4234 )",56741,"(+/- 5709 )",40003,"(+/- 6160 )",22721,"(+/- 4780 )"
People,Ancestry,Czech,4540,"(+/- 1134 )",1679,"(+/- 593 )",3324,"(+/- 1720 )",4906,"(+/- 1070 )",4140,"(+/- 1670 )",3305,"(+/- 944 )",2574,"(+/- 931 )",2758,"(+/- 762 )",2505,"(+/- 1059 )",2731,"(+/- 1169 )",1954,"(+/- 652 )",1952,"(+/- 621 )",550,"(+/- 322 )",971,"(+/- 484 )"
People,Ancestry,Danish,3003,"(+/- 766 )",3487,"(+/- 957 )",4089,"(+/- 1331 )",4002,"(+/- 1146 )",2277,"(+/- 709 )",2207,"(+/- 732 )",1846,"(+/- 514 )",1558,"(+/- 488 )",765,"(+/- 446 )",1353,"(+/- 547 )",2006,"(+/- 648 )",1675,"(+/- 697 )",619,"(+/- 367 )",276,"(+/- 217 )"
People,Ancestry,Dutch,17379,"(+/- 2409 )",128437,"(+/- 9597 )",88092,"(+/- 7767 )",20204,"(+/- 2421 )",7484,"(+/- 1963 )",53118,"(+/- 4486 )",11843,"(+/- 1811 )",14246,"(+/- 2497 )",6504,"(+/- 1617 )",7957,"(+/- 1640 )",10695,"(+/- 2581 )",8735,"(+/- 1844 )",3576,"(+/- 1652 )",2492,"(+/- 722 )"
People,Ancestry,English,96822,"(+/- 5574 )",72209,"(+/- 5712 )",80858,"(+/- 5667 )",101010,"(+/- 5355 )",74169,"(+/- 5701 )",88144,"(+/- 6367 )",118604,"(+/- 6089 )",107032,"(+/- 6040 )",62461,"(+/- 4592 )",75735,"(+/- 6685 )",78090,"(+/- 5695 )",73132,"(+/- 5388 )",22082,"(+/- 3456 )",27480,"(+/- 3996 )"
People,Ancestry,"French (except Basque)",40690,"(+/- 3265 )",14917,"(+/- 1959 )",17432,"(+/- 2753 )",25482,"(+/- 2729 )",27161,"(+/- 3272 )",16704,"(+/- 2181 )",22427,"(+/- 2258 )",25841,"(+/- 3412 )",23228,"(+/- 2934 )",25448,"(+/- 2887 )",20916,"(+/- 2831 )",21093,"(+/- 2949 )",10346,"(+/- 2764 )",7022,"(+/- 1343 )"
People,Ancestry,"French Canadian",17521,"(+/- 2047 )",5126,"(+/- 1142 )",4840,"(+/- 1437 )",10707,"(+/- 2022 )",11419,"(+/- 1969 )",4934,"(+/- 1491 )",8880,"(+/- 2518 )",8839,"(+/- 1690 )",9794,"(+/- 1644 )",11537,"(+/- 2113 )",11734,"(+/- 2620 )",8818,"(+/- 2115 )",3818,"(+/- 1255 )",1899,"(+/- 694 )"
People,Ancestry,German,156683,"(+/- 6110 )",128532,"(+/- 7642 )",139749,"(+/- 7606 )",176971,"(+/- 6591 )",130089,"(+/- 7180 )",147695,"(+/- 6850 )",168900,"(+/- 8526 )",149345,"(+/- 7060 )",117473,"(+/- 7144 )",157170,"(+/- 7555 )",125046,"(+/- 7378 )",106040,"(+/- 6319 )",34335,"(+/- 3846 )",42202,"(+/- 4829 )"
People,Ancestry,Greek,1800,"(+/- 637 )",1730,"(+/- 804 )",1239,"(+/- 700 )",1393,"(+/- 645 )",1065,"(+/- 538 )",2423,"(+/- 1175 )",1622,"(+/- 555 )",5187,"(+/- 1221 )",5969,"(+/- 1948 )",2433,"(+/- 750 )",5449,"(+/- 1706 )",3812,"(+/- 1265 )",1348,"(+/- 686 )",2128,"(+/- 730 )"
People,Ancestry,Hungarian,3773,"(+/- 965 )",4585,"(+/- 1761 )",3701,"(+/- 1762 )",4432,"(+/- 1075 )",6043,"(+/- 1361 )",4613,"(+/- 1127 )",6899,"(+/- 1460 )",4838,"(+/- 1032 )",3842,"(+/- 852 )",5310,"(+/- 1687 )",8067,"(+/- 1943 )",12975,"(+/- 2348 )",2311,"(+/- 1034 )",5932,"(+/- 2408 )"
People,Ancestry,Irish,79891,"(+/- 4875 )",60166,"(+/- 5385 )",71201,"(+/- 5626 )",79597,"(+/- 4263 )",70338,"(+/- 5204 )",68626,"(+/- 4830 )",90305,"(+/- 6042 )",88577,"(+/- 4848 )",72104,"(+/- 5022 )",80420,"(+/- 5834 )",84493,"(+/- 6561 )",66582,"(+/- 5662 )",27292,"(+/- 3206 )",26357,"(+/- 2978 )"
People,Ancestry,Italian,31993,"(+/- 3111 )",18375,"(+/- 3459 )",22333,"(+/- 2705 )",20079,"(+/- 2415 )",15018,"(+/- 2571 )",21177,"(+/- 4000 )",26154,"(+/- 3177 )",41913,"(+/- 3858 )",56658,"(+/- 4784 )",59809,"(+/- 5110 )",50519,"(+/- 4420 )",37383,"(+/- 4988 )",13110,"(+/- 2339 )",17108,"(+/- 2824 )"
People,Ancestry,Lithuanian,1885,"(+/- 625 )",3589,"(+/- 1336 )",3112,"(+/- 1325 )",751,"(+/- 397 )",985,"(+/- 588 )",1010,"(+/- 358 )",745,"(+/- 324 )",2023,"(+/- 738 )",1806,"(+/- 754 )",1112,"(+/- 428 )",3497,"(+/- 1456 )",2303,"(+/- 785 )",501,"(+/- 314 )",2527,"(+/- 1547 )"
People,Ancestry,Norwegian,12615,"(+/- 1717 )",5737,"(+/- 1255 )",5668,"(+/- 1865 )",3990,"(+/- 1054 )",2689,"(+/- 1056 )",7259,"(+/- 1989 )",7080,"(+/- 2711 )",4656,"(+/- 952 )",3870,"(+/- 1191 )",3036,"(+/- 1018 )",4452,"(+/- 1204 )",3978,"(+/- 1076 )",785,"(+/- 419 )",838,"(+/- 416 )"
People,Ancestry,Polish,57546,"(+/- 3408 )",39293,"(+/- 4993 )",43119,"(+/- 5377 )",38555,"(+/- 2788 )",47904,"(+/- 4939 )",31828,"(+/- 3870 )",48947,"(+/- 4777 )",58477,"(+/- 5036 )",82005,"(+/- 5725 )",85429,"(+/- 5399 )",75862,"(+/- 5604 )",61175,"(+/- 5179 )",26170,"(+/- 3587 )",27877,"(+/- 3996 )"
People,Ancestry,Portuguese,295,"(+/- 196 )",130,"(+/- 146 )",475,"(+/- 530 )",520,"(+/- 335 )",316,"(+/- 309 )",558,"(+/- 347 )",341,"(+/- 239 )",276,"(+/- 252 )",824,"(+/- 691 )",564,"(+/- 366 )",879,"(+/- 783 )",728,"(+/- 459 )",223,"(+/- 275 )",302,"(+/- 348 )"
People,Ancestry,Russian,2656,"(+/- 659 )",1823,"(+/- 926 )",2526,"(+/- 914 )",3531,"(+/- 1079 )",2400,"(+/- 922 )",2580,"(+/- 954 )",2230,"(+/- 816 )",3867,"(+/- 1367 )",6459,"(+/- 1334 )",3737,"(+/- 1163 )",6436,"(+/- 1352 )",5488,"(+/- 1452 )",979,"(+/- 458 )",8956,"(+/- 2408 )"
People,Ancestry,Scotch-Irish,5045,"(+/- 1248 )",4918,"(+/- 1796 )",3458,"(+/- 895 )",4649,"(+/- 1020 )",4706,"(+/- 1197 )",4870,"(+/- 1113 )",6336,"(+/- 1871 )",6015,"(+/- 2109 )",4616,"(+/- 1263 )",3670,"(+/- 782 )",4844,"(+/- 1261 )",4591,"(+/- 1109 )",2159,"(+/- 938 )",2100,"(+/- 721 )"
People,Ancestry,Scottish,18731,"(+/- 2433 )",11688,"(+/- 2953 )",16519,"(+/- 3643 )",16352,"(+/- 2104 )",14503,"(+/- 2873 )",12876,"(+/- 1639 )",18315,"(+/- 2333 )",19289,"(+/- 2130 )",15192,"(+/- 2295 )",16079,"(+/- 2490 )",19500,"(+/- 2340 )",17426,"(+/- 2374 )",5356,"(+/- 1612 )",4810,"(+/- 1104 )"
People,Ancestry,Slovak,1428,"(+/- 421 )",1134,"(+/- 370 )",1116,"(+/- 570 )",885,"(+/- 408 )",1521,"(+/- 699 )",531,"(+/- 296 )",1465,"(+/- 937 )",2684,"(+/- 1282 )",2461,"(+/- 807 )",2199,"(+/- 973 )",2417,"(+/- 983 )",1414,"(+/- 587 )",835,"(+/- 582 )",704,"(+/- 435 )"
