Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
People,"Sex and Age","65 years and over",123335,"(+/- 2386 )",146781,"(+/- 2856 )",154148,"(+/- 3291 )",158788,"(+/- 5974 )",136905,"(+/- 4470 )",113248,"(+/- 3928 )",135219,"(+/- 4213 )",93067,"(+/- 4973 )",120047,"(+/- 5013 )",108915,"(+/- 4324 )",143752,"(+/- 4432 )",129416,"(+/- 4564 )"
People,Race,"Total population",749827,"(+/- 7719 )",739987,"(+/- 7283 )",761771,"(+/- 5843 )",804956,"(+/- 8724 )",757022,"(+/- 11362 )",762208,"(+/- 9284 )",761486,"(+/- 11976 )",797874,"(+/- 12983 )",778948,"(+/- 12069 )",808433,"(+/- 13813 )",761290,"(+/- 11430 )",783328,"(+/- 6650 )"
People,Race,"One race",691890,"(+/- 10607 )",655974,"(+/- 10396 )",698528,"(+/- 9027 )",737890,"(+/- 10637 )",676179,"(+/- 10673 )",678432,"(+/- 12139 )",690409,"(+/- 12691 )",618511,"(+/- 13337 )",610303,"(+/- 13630 )",692778,"(+/- 14332 )",683283,"(+/- 12011 )",712721,"(+/- 10871 )"
People,Race,White,452161,"(+/- 6464 )",480299,"(+/- 7612 )",555835,"(+/- 8575 )",628607,"(+/- 10671 )",500750,"(+/- 10361 )",357016,"(+/- 10089 )",510190,"(+/- 10751 )",235535,"(+/- 8888 )",300590,"(+/- 11786 )",161079,"(+/- 7411 )",536211,"(+/- 11938 )",344615,"(+/- 10547 )"
People,Race,"Black or African American",121862,"(+/- 3942 )",92654,"(+/- 5384 )",88989,"(+/- 4254 )",40909,"(+/- 4260 )",41978,"(+/- 5294 )",74469,"(+/- 5856 )",43660,"(+/- 5418 )",67493,"(+/- 8509 )",69719,"(+/- 4574 )",389409,"(+/- 10252 )",30439,"(+/- 4534 )",132504,"(+/- 8152 )"
People,Race,"American Indian and Alaska Native",2545,"(+/- 1626 )",2700,"(+/- 1538 )",1077,"(+/- 812 )",3670,"(+/- 2324 )",2281,"(+/- 1003 )",8851,"(+/- 3225 )",910,"(+/- 416 )",4507,"(+/- 1767 )",3896,"(+/- 2341 )",2618,"(+/- 1247 )",671,"(+/- 424 )",2001,"(+/- 1241 )"
People,Race,Asian,41032,"(+/- 3088 )",29076,"(+/- 2176 )",28369,"(+/- 3060 )",39825,"(+/- 4268 )",90635,"(+/- 6123 )",151986,"(+/- 6805 )",87970,"(+/- 4968 )",79010,"(+/- 5533 )",104316,"(+/- 7248 )",53526,"(+/- 4849 )",79860,"(+/- 4315 )",139450,"(+/- 7111 )"
People,Race,"Native Hawaiian and Other Pacific Islander",343,"(+/- 418 )",682,"(+/- 642 )",129,"(+/- 145 )",134,"(+/- 172 )",185,"(+/- 294 )",233,"(+/- 293 )",545,"(+/- 494 )",0,"(+/- 222 )",327,"(+/- 374 )",71,"(+/- 113 )",496,"(+/- 533 )",519,"(+/- 514 )"
People,Race,"Some other race",73947,"(+/- 6043 )",50563,"(+/- 8134 )",24129,"(+/- 5262 )",24745,"(+/- 4774 )",40350,"(+/- 6989 )",85877,"(+/- 9230 )",47134,"(+/- 7707 )",231966,"(+/- 12154 )",131455,"(+/- 10076 )",86075,"(+/- 10911 )",35606,"(+/- 6044 )",93632,"(+/- 10444 )"
People,Race,"Two or more races",57937,"(+/- 6605 )",84013,"(+/- 8729 )",63243,"(+/- 7277 )",67066,"(+/- 6896 )",80843,"(+/- 7140 )",83776,"(+/- 7783 )",71077,"(+/- 7565 )",179363,"(+/- 11656 )",168645,"(+/- 10492 )",115655,"(+/- 10081 )",78007,"(+/- 7604 )",70607,"(+/- 8687 )"
People,"Hispanic or Latino and Race","Total population",749827,"(+/- 7719 )",739987,"(+/- 7283 )",761771,"(+/- 5843 )",804956,"(+/- 8724 )",757022,"(+/- 11362 )",762208,"(+/- 9284 )",761486,"(+/- 11976 )",797874,"(+/- 12983 )",778948,"(+/- 12069 )",808433,"(+/- 13813 )",761290,"(+/- 11430 )",783328,"(+/- 6650 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",115964,"(+/- 2983 )",129317,"(+/- 2592 )",74365,"(+/- 4748 )",85531,"(+/- 6950 )",115883,"(+/- 8033 )",175013,"(+/- 7130 )",104939,"(+/- 8329 )",430570,"(+/- 13632 )",321087,"(+/- 9873 )",179698,"(+/- 11032 )",97075,"(+/- 8246 )",162193,"(+/- 9872 )"
People,"Hispanic or Latino and Race",Mexican,15803,"(+/- 3775 )",32747,"(+/- 5970 )",9425,"(+/- 2713 )",20207,"(+/- 5171 )",5726,"(+/- 2097 )",33694,"(+/- 7135 )",12612,"(+/- 4315 )",30617,"(+/- 7340 )",39815,"(+/- 7454 )",9749,"(+/- 3653 )",6379,"(+/- 2671 )",14226,"(+/- 4339 )"
People,"Hispanic or Latino and Race","Puerto Rican",56180,"(+/- 5241 )",61279,"(+/- 6134 )",34049,"(+/- 4178 )",24432,"(+/- 3717 )",21849,"(+/- 4262 )",42033,"(+/- 5309 )",16592,"(+/- 3679 )",75759,"(+/- 8222 )",48213,"(+/- 6412 )",45640,"(+/- 6283 )",23279,"(+/- 4857 )",35422,"(+/- 6203 )"
People,"Hispanic or Latino and Race",Cuban,2363,"(+/- 1401 )",2540,"(+/- 1156 )",2905,"(+/- 1409 )",4943,"(+/- 1454 )",7682,"(+/- 3167 )",5761,"(+/- 2014 )",8741,"(+/- 2241 )",32728,"(+/- 5223 )",8733,"(+/- 2995 )",7310,"(+/- 2463 )",7039,"(+/- 2605 )",3515,"(+/- 1740 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",41618,"(+/- 5808 )",32751,"(+/- 4571 )",27986,"(+/- 5278 )",35949,"(+/- 5297 )",80626,"(+/- 8478 )",93525,"(+/- 8382 )",66994,"(+/- 7995 )",291466,"(+/- 12641 )",224326,"(+/- 11978 )",116999,"(+/- 9896 )",60378,"(+/- 6478 )",109030,"(+/- 9975 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",633863,"(+/- 7419 )",610670,"(+/- 7070 )",687406,"(+/- 6982 )",719425,"(+/- 9374 )",641139,"(+/- 10049 )",587195,"(+/- 9423 )",656547,"(+/- 9453 )",367304,"(+/- 11215 )",457861,"(+/- 11388 )",628735,"(+/- 11567 )",664215,"(+/- 11693 )",621135,"(+/- 10839 )"
People,"Place of Birth","Total population",749827,"(+/- 7719 )",739987,"(+/- 7283 )",761771,"(+/- 5843 )",804956,"(+/- 8724 )",757022,"(+/- 11362 )",762208,"(+/- 9284 )",761486,"(+/- 11976 )",797874,"(+/- 12983 )",778948,"(+/- 12069 )",808433,"(+/- 13813 )",761290,"(+/- 11430 )",783328,"(+/- 6650 )"
People,"Place of Birth",Native,673272,"(+/- 8675 )",664935,"(+/- 9413 )",691446,"(+/- 7555 )",713275,"(+/- 9996 )",601245,"(+/- 11232 )",527609,"(+/- 11299 )",606989,"(+/- 11143 )",445354,"(+/- 12606 )",475398,"(+/- 14003 )",552703,"(+/- 17348 )",626506,"(+/- 11825 )",553417,"(+/- 11085 )"
People,"Place of Birth","Born in United States",650839,"(+/- 8031 )",640335,"(+/- 9473 )",676808,"(+/- 8183 )",701380,"(+/- 9996 )",587309,"(+/- 10954 )",510534,"(+/- 11175 )",594700,"(+/- 10967 )",414774,"(+/- 12691 )",445605,"(+/- 13367 )",527363,"(+/- 16714 )",615358,"(+/- 12266 )",534980,"(+/- 10908 )"
People,"Place of Birth","State of residence",406069,"(+/- 9480 )",440338,"(+/- 10524 )",465170,"(+/- 8761 )",496337,"(+/- 10975 )",383418,"(+/- 10453 )",353142,"(+/- 10874 )",412811,"(+/- 13035 )",295722,"(+/- 11528 )",325718,"(+/- 11600 )",368063,"(+/- 14585 )",444060,"(+/- 11325 )",354971,"(+/- 10198 )"
People,"Place of Birth","Different state",244770,"(+/- 8036 )",199997,"(+/- 8679 )",211638,"(+/- 7436 )",205043,"(+/- 7329 )",203891,"(+/- 8384 )",157392,"(+/- 8012 )",181889,"(+/- 8363 )",119052,"(+/- 8563 )",119887,"(+/- 7590 )",159300,"(+/- 9585 )",171298,"(+/- 8079 )",180009,"(+/- 7760 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",22433,"(+/- 2943 )",24600,"(+/- 5028 )",14638,"(+/- 2601 )",11895,"(+/- 2246 )",13936,"(+/- 3245 )",17075,"(+/- 2884 )",12289,"(+/- 2177 )",30580,"(+/- 3573 )",29793,"(+/- 4710 )",25340,"(+/- 3878 )",11148,"(+/- 2357 )",18437,"(+/- 4075 )"
People,"Place of Birth","Foreign born",76555,"(+/- 6736 )",75052,"(+/- 5867 )",70325,"(+/- 5552 )",91681,"(+/- 7743 )",155777,"(+/- 8344 )",234599,"(+/- 8303 )",154497,"(+/- 7625 )",352520,"(+/- 10582 )",303550,"(+/- 10579 )",255730,"(+/- 12157 )",134784,"(+/- 6775 )",229911,"(+/- 9400 )"
People,Ancestry,"Total population",749827,"(+/- 7719 )",739987,"(+/- 7283 )",761771,"(+/- 5843 )",804956,"(+/- 8724 )",757022,"(+/- 11362 )",762208,"(+/- 9284 )",761486,"(+/- 11976 )",797874,"(+/- 12983 )",778948,"(+/- 12069 )",808433,"(+/- 13813 )",761290,"(+/- 11430 )",783328,"(+/- 6650 )"
People,Ancestry,American,21989,"(+/- 3619 )",22730,"(+/- 3596 )",33714,"(+/- 6810 )",57157,"(+/- 9612 )",27103,"(+/- 4364 )",19984,"(+/- 4371 )",35733,"(+/- 4409 )",19829,"(+/- 4487 )",19178,"(+/- 3724 )",28446,"(+/- 4623 )",27795,"(+/- 3389 )",21081,"(+/- 3773 )"
People,Ancestry,Arab,4732,"(+/- 2100 )",2488,"(+/- 1245 )",5265,"(+/- 1756 )",9074,"(+/- 2707 )",10540,"(+/- 3661 )",10202,"(+/- 2780 )",9653,"(+/- 3178 )",13948,"(+/- 3224 )",18077,"(+/- 5534 )",11654,"(+/- 3938 )",9966,"(+/- 2857 )",12808,"(+/- 3963 )"
People,Ancestry,Czech,567,"(+/- 327 )",944,"(+/- 595 )",2287,"(+/- 1089 )",2545,"(+/- 1388 )",1795,"(+/- 665 )",1413,"(+/- 653 )",2647,"(+/- 941 )",409,"(+/- 229 )",542,"(+/- 369 )",813,"(+/- 606 )",2208,"(+/- 785 )",2461,"(+/- 1601 )"
People,Ancestry,Danish,552,"(+/- 290 )",1010,"(+/- 626 )",2159,"(+/- 1746 )",1051,"(+/- 590 )",1389,"(+/- 627 )",2229,"(+/- 957 )",2229,"(+/- 860 )",291,"(+/- 313 )",145,"(+/- 142 )",563,"(+/- 452 )",2553,"(+/- 1681 )",1750,"(+/- 847 )"
People,Ancestry,Dutch,3345,"(+/- 851 )",4402,"(+/- 1499 )",6966,"(+/- 2401 )",5238,"(+/- 1423 )",13593,"(+/- 2647 )",1751,"(+/- 622 )",6468,"(+/- 1389 )",2948,"(+/- 1267 )",2999,"(+/- 1264 )",580,"(+/- 325 )",8738,"(+/- 2277 )",3220,"(+/- 977 )"
People,Ancestry,English,51903,"(+/- 4582 )",66108,"(+/- 6186 )",63796,"(+/- 5373 )",48823,"(+/- 5004 )",36354,"(+/- 3636 )",24577,"(+/- 3361 )",51892,"(+/- 4389 )",11379,"(+/- 1848 )",9417,"(+/- 2025 )",12294,"(+/- 2255 )",47265,"(+/- 6030 )",28329,"(+/- 3194 )"
People,Ancestry,"French (except Basque)",6811,"(+/- 1332 )",8937,"(+/- 2115 )",9739,"(+/- 1997 )",6788,"(+/- 1573 )",8250,"(+/- 2073 )",4541,"(+/- 1471 )",9743,"(+/- 1694 )",4744,"(+/- 2172 )",3200,"(+/- 1165 )",4947,"(+/- 1576 )",8596,"(+/- 1728 )",6756,"(+/- 1572 )"
People,Ancestry,"French Canadian",790,"(+/- 542 )",1619,"(+/- 581 )",1859,"(+/- 791 )",2504,"(+/- 913 )",1960,"(+/- 776 )",1003,"(+/- 827 )",2452,"(+/- 1051 )",627,"(+/- 387 )",372,"(+/- 324 )",186,"(+/- 162 )",1866,"(+/- 892 )",1179,"(+/- 533 )"
People,Ancestry,German,100068,"(+/- 6880 )",99179,"(+/- 6886 )",106676,"(+/- 6935 )",87193,"(+/- 7358 )",86481,"(+/- 7151 )",44174,"(+/- 3753 )",93511,"(+/- 5091 )",23900,"(+/- 3295 )",28245,"(+/- 4036 )",17894,"(+/- 2576 )",80636,"(+/- 5921 )",50800,"(+/- 4672 )"
People,Ancestry,Greek,1835,"(+/- 689 )",2983,"(+/- 1127 )",4264,"(+/- 1541 )",6947,"(+/- 1860 )",9867,"(+/- 2975 )",4090,"(+/- 1627 )",6745,"(+/- 3152 )",1681,"(+/- 696 )",2389,"(+/- 1298 )",2588,"(+/- 1858 )",7431,"(+/- 2235 )",6456,"(+/- 2993 )"
People,Ancestry,Hungarian,3541,"(+/- 1176 )",4762,"(+/- 1202 )",9581,"(+/- 2198 )",13217,"(+/- 2792 )",8848,"(+/- 1916 )",8633,"(+/- 1597 )",9626,"(+/- 2054 )",1957,"(+/- 888 )",4049,"(+/- 1549 )",2230,"(+/- 1007 )",8775,"(+/- 2122 )",9373,"(+/- 1876 )"
People,Ancestry,Irish,131280,"(+/- 7515 )",125313,"(+/- 8006 )",141811,"(+/- 8583 )",134082,"(+/- 9018 )",103992,"(+/- 7763 )",70639,"(+/- 4971 )",112233,"(+/- 7576 )",37412,"(+/- 3780 )",36015,"(+/- 4719 )",31085,"(+/- 4879 )",111800,"(+/- 8235 )",67454,"(+/- 6060 )"
People,Ancestry,Italian,118532,"(+/- 8097 )",119513,"(+/- 7348 )",148539,"(+/- 9682 )",154663,"(+/- 9204 )",128636,"(+/- 8057 )",90533,"(+/- 6432 )",126139,"(+/- 7891 )",49969,"(+/- 5275 )",68175,"(+/- 6492 )",31609,"(+/- 4493 )",172759,"(+/- 10377 )",76353,"(+/- 6602 )"
People,Ancestry,Lithuanian,1970,"(+/- 679 )",3186,"(+/- 1413 )",3097,"(+/- 967 )",5932,"(+/- 2839 )",1963,"(+/- 737 )",1511,"(+/- 630 )",2882,"(+/- 1146 )",1215,"(+/- 686 )",825,"(+/- 500 )",958,"(+/- 604 )",2305,"(+/- 717 )",2429,"(+/- 1025 )"
People,Ancestry,Norwegian,2573,"(+/- 843 )",4779,"(+/- 2106 )",4125,"(+/- 1730 )",3497,"(+/- 1346 )",4737,"(+/- 1832 )",2290,"(+/- 891 )",4412,"(+/- 1697 )",740,"(+/- 415 )",331,"(+/- 281 )",1109,"(+/- 532 )",4232,"(+/- 1313 )",2203,"(+/- 915 )"
People,Ancestry,Polish,36566,"(+/- 4370 )",27229,"(+/- 3315 )",43990,"(+/- 4571 )",54449,"(+/- 5726 )",38315,"(+/- 4556 )",34534,"(+/- 4042 )",47593,"(+/- 3808 )",14184,"(+/- 2250 )",30294,"(+/- 3816 )",16200,"(+/- 2746 )",42448,"(+/- 4437 )",39083,"(+/- 4794 )"
People,Ancestry,Portuguese,811,"(+/- 529 )",1044,"(+/- 606 )",3910,"(+/- 1526 )",3735,"(+/- 1149 )",2236,"(+/- 1018 )",8035,"(+/- 2544 )",12286,"(+/- 3246 )",20346,"(+/- 3044 )",3879,"(+/- 1478 )",6936,"(+/- 2690 )",5380,"(+/- 1515 )",3088,"(+/- 1423 )"
People,Ancestry,Russian,12079,"(+/- 2947 )",8106,"(+/- 2178 )",8712,"(+/- 1983 )",16552,"(+/- 2902 )",17256,"(+/- 3106 )",11143,"(+/- 2422 )",13394,"(+/- 2294 )",5340,"(+/- 1403 )",9832,"(+/- 2084 )",4513,"(+/- 1409 )",14729,"(+/- 2298 )",13693,"(+/- 2447 )"
People,Ancestry,Scotch-Irish,2989,"(+/- 1924 )",3973,"(+/- 1486 )",4253,"(+/- 910 )",1912,"(+/- 780 )",2869,"(+/- 1143 )",1837,"(+/- 887 )",3625,"(+/- 1077 )",569,"(+/- 474 )",462,"(+/- 443 )",624,"(+/- 459 )",2728,"(+/- 981 )",1748,"(+/- 931 )"
People,Ancestry,Scottish,6580,"(+/- 1415 )",7821,"(+/- 1887 )",8471,"(+/- 1714 )",8449,"(+/- 1691 )",7795,"(+/- 2367 )",5474,"(+/- 1381 )",9015,"(+/- 1615 )",2947,"(+/- 1053 )",2758,"(+/- 958 )",2274,"(+/- 869 )",6632,"(+/- 1550 )",6649,"(+/- 1844 )"
People,Ancestry,Slovak,844,"(+/- 468 )",1209,"(+/- 698 )",2182,"(+/- 829 )",4137,"(+/- 1269 )",2011,"(+/- 874 )",3282,"(+/- 1075 )",4661,"(+/- 1238 )",669,"(+/- 533 )",1595,"(+/- 685 )",1703,"(+/- 763 )",2097,"(+/- 671 )",2016,"(+/- 727 )"
People,Ancestry,"Subsaharan African",7487,"(+/- 3129 )",8102,"(+/- 3362 )",11240,"(+/- 3565 )",3796,"(+/- 1994 )",4583,"(+/- 1620 )",9021,"(+/- 3496 )",6154,"(+/- 2074 )",10258,"(+/- 4052 )",7005,"(+/- 2558 )",45574,"(+/- 6794 )",4549,"(+/- 2247 )",10616,"(+/- 2684 )"
People,Ancestry,Swedish,3458,"(+/- 1126 )",3520,"(+/- 1198 )",3455,"(+/- 1141 )",2948,"(+/- 788 )",5295,"(+/- 1763 )",2611,"(+/- 962 )",4220,"(+/- 1386 )",1216,"(+/- 583 )",1188,"(+/- 605 )",1080,"(+/- 548 )",4159,"(+/- 1281 )",1763,"(+/- 487 )"
People,Ancestry,Swiss,915,"(+/- 672 )",1026,"(+/- 515 )",841,"(+/- 538 )",802,"(+/- 430 )",2113,"(+/- 745 )",443,"(+/- 323 )",2777,"(+/- 1237 )",545,"(+/- 622 )",1124,"(+/- 1118 )",275,"(+/- 207 )",2245,"(+/- 848 )",1026,"(+/- 748 )"
People,Ancestry,Ukrainian,5193,"(+/- 1591 )",4273,"(+/- 1616 )",4931,"(+/- 1296 )",6968,"(+/- 2058 )",6162,"(+/- 1609 )",3795,"(+/- 1167 )",7447,"(+/- 1931 )",1915,"(+/- 711 )",3676,"(+/- 1494 )",2049,"(+/- 1118 )",6269,"(+/- 1580 )",7478,"(+/- 2936 )"
People,Ancestry,Welsh,4270,"(+/- 1397 )",4186,"(+/- 1376 )",2340,"(+/- 944 )",2308,"(+/- 894 )",1302,"(+/- 567 )",1027,"(+/- 450 )",3415,"(+/- 1038 )",1002,"(+/- 743 )",835,"(+/- 764 )",527,"(+/- 315 )",2291,"(+/- 651 )",1766,"(+/- 914 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",8318,"(+/- 2367 )",5140,"(+/- 1982 )",8440,"(+/- 2256 )",7360,"(+/- 2831 )",11041,"(+/- 2807 )",18262,"(+/- 4666 )",10291,"(+/- 2740 )",12036,"(+/- 2945 )",10661,"(+/- 2697 )",75161,"(+/- 10378 )",7844,"(+/- 3482 )",19173,"(+/- 4719 )"
People,"Veteran Status","Civilian population 18 years and over",584037,"(+/- 5325 )",583708,"(+/- 6076 )",606540,"(+/- 5424 )",601227,"(+/- 9131 )",596046,"(+/- 8157 )",600740,"(+/- 7090 )",596966,"(+/- 8962 )",629317,"(+/- 11545 )",607903,"(+/- 9078 )",620457,"(+/- 10232 )",597427,"(+/- 9913 )",610707,"(+/- 6077 )"
People,"Veteran Status","Civilian veterans",30227,"(+/- 2250 )",33304,"(+/- 3074 )",40507,"(+/- 2983 )",29654,"(+/- 2800 )",24447,"(+/- 2348 )",20593,"(+/- 2453 )",21306,"(+/- 2010 )",9078,"(+/- 1901 )",14567,"(+/- 2073 )",16796,"(+/- 2168 )",24164,"(+/- 2490 )",18842,"(+/- 2431 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",742820,"(+/- 7536 )",721659,"(+/- 8870 )",743932,"(+/- 5969 )",799273,"(+/- 8886 )",749650,"(+/- 11795 )",755674,"(+/- 9517 )",752469,"(+/- 11937 )",793026,"(+/- 12585 )",776394,"(+/- 11705 )",797941,"(+/- 14087 )",754453,"(+/- 11282 )",776349,"(+/- 7006 )"
