Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","18 years and over",559136,"(+/- 7489 )",600014,"(+/- 9586 )",630681,"(+/- 7090 )",609763,"(+/- 4240 )",608028,"(+/- 5367 )",600406,"(+/- 5474 )",618950,"(+/- 2475 )",557672,"(+/- 4373 )"
People,"Sex and Age","65 years and over",107910,"(+/- 3462 )",156361,"(+/- 4070 )",140035,"(+/- 2802 )",135510,"(+/- 2350 )",127788,"(+/- 2386 )",134163,"(+/- 2349 )",144721,"(+/- 1496 )",138280,"(+/- 2021 )"
People,Race,"Total population",710566,"(+/- 9562 )",763765,"(+/- 12613 )",817915,"(+/- 10009 )",783543,"(+/- 4812 )",783027,"(+/- 8831 )",788813,"(+/- 9052 )",799499,"(+/- 3186 )",721059,"(+/- 5738 )"
People,Race,"One race",662052,"(+/- 10550 )",701521,"(+/- 14479 )",753268,"(+/- 10252 )",731772,"(+/- 6471 )",719185,"(+/- 9996 )",739760,"(+/- 9336 )",727883,"(+/- 5812 )",664045,"(+/- 6643 )"
People,Race,White,281962,"(+/- 8645 )",622634,"(+/- 13224 )",711718,"(+/- 10311 )",668344,"(+/- 6524 )",498656,"(+/- 7608 )",674961,"(+/- 8639 )",687776,"(+/- 5403 )",629909,"(+/- 6404 )"
People,Race,"Black or African American",340440,"(+/- 7262 )",32458,"(+/- 5804 )",22430,"(+/- 2954 )",33486,"(+/- 2772 )",168626,"(+/- 6222 )",38689,"(+/- 4887 )",8683,"(+/- 1606 )",22003,"(+/- 2046 )"
People,Race,"American Indian and Alaska Native",559,"(+/- 361 )",664,"(+/- 409 )",2186,"(+/- 765 )",3420,"(+/- 1717 )",5644,"(+/- 2440 )",3098,"(+/- 1034 )",4574,"(+/- 1479 )",1901,"(+/- 1013 )"
People,Race,Asian,24867,"(+/- 3838 )",37577,"(+/- 4181 )",9948,"(+/- 1771 )",12471,"(+/- 1357 )",12522,"(+/- 1937 )",11602,"(+/- 2068 )",10931,"(+/- 1496 )",4246,"(+/- 975 )"
People,Race,"Native Hawaiian and Other Pacific Islander",340,"(+/- 435 )",266,"(+/- 243 )",525,"(+/- 359 )",801,"(+/- 707 )",1972,"(+/- 610 )",600,"(+/- 490 )",2546,"(+/- 1456 )",107,"(+/- 144 )"
People,Race,"Some other race",13884,"(+/- 4264 )",7922,"(+/- 2187 )",6461,"(+/- 2172 )",13250,"(+/- 3078 )",31765,"(+/- 4532 )",10810,"(+/- 2905 )",13373,"(+/- 3660 )",5879,"(+/- 1833 )"
People,Race,"Two or more races",48514,"(+/- 5753 )",62244,"(+/- 7804 )",64647,"(+/- 7109 )",51771,"(+/- 4545 )",63842,"(+/- 6126 )",49053,"(+/- 4522 )",71616,"(+/- 5477 )",57014,"(+/- 4857 )"
People,"Hispanic or Latino and Race","Total population",710566,"(+/- 9562 )",763765,"(+/- 12613 )",817915,"(+/- 10009 )",783543,"(+/- 4812 )",783027,"(+/- 8831 )",788813,"(+/- 9052 )",799499,"(+/- 3186 )",721059,"(+/- 5738 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",28969,"(+/- 2839 )",22504,"(+/- 3600 )",22485,"(+/- 2547 )",33395,"(+/- 1266 )",76920,"(+/- 3115 )",36834,"(+/- 3192 )",44039,"(+/- 588 )",16299,"(+/- 1808 )"
People,"Hispanic or Latino and Race",Mexican,18722,"(+/- 3147 )",8971,"(+/- 2365 )",11584,"(+/- 1809 )",19208,"(+/- 2496 )",50767,"(+/- 4793 )",24644,"(+/- 3102 )",22344,"(+/- 3165 )",9595,"(+/- 1975 )"
People,"Hispanic or Latino and Race","Puerto Rican",1854,"(+/- 1021 )",2329,"(+/- 1496 )",1213,"(+/- 605 )",3431,"(+/- 1640 )",2448,"(+/- 1168 )",2242,"(+/- 1336 )",3326,"(+/- 1574 )",1597,"(+/- 605 )"
People,"Hispanic or Latino and Race",Cuban,1642,"(+/- 644 )",1118,"(+/- 839 )",592,"(+/- 381 )",237,"(+/- 165 )",2349,"(+/- 1605 )",613,"(+/- 477 )",261,"(+/- 272 )",632,"(+/- 402 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",6751,"(+/- 2135 )",10086,"(+/- 2712 )",9096,"(+/- 2463 )",10519,"(+/- 2323 )",21356,"(+/- 3901 )",9335,"(+/- 2494 )",18108,"(+/- 2808 )",4475,"(+/- 930 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",681597,"(+/- 9632 )",741261,"(+/- 12427 )",795430,"(+/- 9908 )",750148,"(+/- 4726 )",706107,"(+/- 8863 )",751979,"(+/- 8957 )",755460,"(+/- 3261 )",704760,"(+/- 5716 )"
People,"Place of Birth","Total population",710566,"(+/- 9562 )",763765,"(+/- 12613 )",817915,"(+/- 10009 )",783543,"(+/- 4812 )",783027,"(+/- 8831 )",788813,"(+/- 9052 )",799499,"(+/- 3186 )",721059,"(+/- 5738 )"
People,"Place of Birth",Native,667906,"(+/- 9217 )",706802,"(+/- 13052 )",800429,"(+/- 10417 )",759353,"(+/- 6011 )",736509,"(+/- 9071 )",761796,"(+/- 8705 )",772227,"(+/- 4246 )",711927,"(+/- 5871 )"
People,"Place of Birth","Born in United States",663954,"(+/- 9162 )",701842,"(+/- 13086 )",794835,"(+/- 10493 )",753309,"(+/- 6521 )",731201,"(+/- 9002 )",756725,"(+/- 8611 )",764269,"(+/- 4314 )",707892,"(+/- 5877 )"
People,"Place of Birth","State of residence",495454,"(+/- 10314 )",506662,"(+/- 12836 )",611299,"(+/- 11830 )",491662,"(+/- 8409 )",474301,"(+/- 10845 )",510857,"(+/- 9891 )",461134,"(+/- 8848 )",534012,"(+/- 7590 )"
People,"Place of Birth","Different state",168500,"(+/- 7728 )",195180,"(+/- 8537 )",183536,"(+/- 9367 )",261647,"(+/- 8878 )",256900,"(+/- 9383 )",245868,"(+/- 7076 )",303135,"(+/- 9413 )",173880,"(+/- 7026 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3952,"(+/- 1209 )",4960,"(+/- 1464 )",5594,"(+/- 1575 )",6044,"(+/- 1502 )",5308,"(+/- 1263 )",5071,"(+/- 1141 )",7958,"(+/- 1716 )",4035,"(+/- 1219 )"
People,"Place of Birth","Foreign born",42660,"(+/- 4452 )",56963,"(+/- 5638 )",17486,"(+/- 2806 )",24190,"(+/- 3492 )",46518,"(+/- 4356 )",27017,"(+/- 3352 )",27272,"(+/- 2784 )",9132,"(+/- 1600 )"
People,Ancestry,"Total population",710566,"(+/- 9562 )",763765,"(+/- 12613 )",817915,"(+/- 10009 )",783543,"(+/- 4812 )",783027,"(+/- 8831 )",788813,"(+/- 9052 )",799499,"(+/- 3186 )",721059,"(+/- 5738 )"
People,Ancestry,American,42596,"(+/- 6251 )",37117,"(+/- 4349 )",53986,"(+/- 5737 )",57297,"(+/- 6039 )",35311,"(+/- 4506 )",50223,"(+/- 4048 )",57537,"(+/- 5777 )",54344,"(+/- 5590 )"
People,Ancestry,Arab,2141,"(+/- 861 )",7091,"(+/- 2855 )",1805,"(+/- 954 )",3128,"(+/- 1969 )",2946,"(+/- 1301 )",1783,"(+/- 1190 )",2360,"(+/- 1229 )",774,"(+/- 535 )"
People,Ancestry,Czech,2031,"(+/- 814 )",5165,"(+/- 1461 )",2099,"(+/- 969 )",1316,"(+/- 539 )",1852,"(+/- 809 )",3210,"(+/- 1101 )",4048,"(+/- 2045 )",1372,"(+/- 707 )"
People,Ancestry,Danish,1529,"(+/- 944 )",2168,"(+/- 784 )",2109,"(+/- 1640 )",1477,"(+/- 716 )",2344,"(+/- 792 )",2567,"(+/- 808 )",2889,"(+/- 1327 )",1414,"(+/- 867 )"
People,Ancestry,Dutch,4941,"(+/- 1859 )",9247,"(+/- 2561 )",8972,"(+/- 2054 )",10566,"(+/- 2125 )",7760,"(+/- 1774 )",6403,"(+/- 1113 )",10884,"(+/- 2351 )",8240,"(+/- 1971 )"
People,Ancestry,English,40606,"(+/- 4017 )",95647,"(+/- 6072 )",92996,"(+/- 6338 )",113019,"(+/- 7285 )",83675,"(+/- 6591 )",103036,"(+/- 6838 )",125261,"(+/- 8298 )",82205,"(+/- 6842 )"
People,Ancestry,"French (except Basque)",14247,"(+/- 1868 )",23201,"(+/- 3287 )",25553,"(+/- 3737 )",13428,"(+/- 2123 )",13002,"(+/- 1870 )",13709,"(+/- 3333 )",16737,"(+/- 2562 )",19574,"(+/- 2888 )"
People,Ancestry,"French Canadian",365,"(+/- 230 )",1439,"(+/- 646 )",2713,"(+/- 1629 )",1089,"(+/- 644 )",1357,"(+/- 683 )",758,"(+/- 456 )",2983,"(+/- 1593 )",1116,"(+/- 933 )"
People,Ancestry,German,99243,"(+/- 6986 )",227643,"(+/- 9935 )",263619,"(+/- 10461 )",173564,"(+/- 10230 )",124377,"(+/- 7234 )",168873,"(+/- 9464 )",153702,"(+/- 8837 )",139419,"(+/- 9018 )"
People,Ancestry,Greek,3792,"(+/- 1686 )",3540,"(+/- 1783 )",1210,"(+/- 606 )",806,"(+/- 546 )",1378,"(+/- 741 )",1044,"(+/- 655 )",1219,"(+/- 823 )",548,"(+/- 490 )"
People,Ancestry,Hungarian,2570,"(+/- 1155 )",3857,"(+/- 1041 )",1811,"(+/- 962 )",1856,"(+/- 900 )",1048,"(+/- 434 )",1113,"(+/- 630 )",1055,"(+/- 754 )",1379,"(+/- 885 )"
People,Ancestry,Irish,60762,"(+/- 5670 )",120880,"(+/- 7513 )",117336,"(+/- 9753 )",95136,"(+/- 6822 )",83076,"(+/- 5415 )",95379,"(+/- 7383 )",104789,"(+/- 8145 )",85334,"(+/- 7290 )"
People,Ancestry,Italian,24014,"(+/- 3771 )",43876,"(+/- 4064 )",31743,"(+/- 4699 )",19598,"(+/- 3216 )",24420,"(+/- 2661 )",22464,"(+/- 4043 )",15537,"(+/- 2680 )",13317,"(+/- 2582 )"
People,Ancestry,Lithuanian,664,"(+/- 306 )",990,"(+/- 519 )",666,"(+/- 308 )",168,"(+/- 158 )",338,"(+/- 219 )",347,"(+/- 409 )",1319,"(+/- 1059 )",1112,"(+/- 1010 )"
People,Ancestry,Norwegian,4162,"(+/- 1531 )",4291,"(+/- 1494 )",5888,"(+/- 2255 )",4421,"(+/- 1162 )",5215,"(+/- 1414 )",6799,"(+/- 2060 )",11871,"(+/- 3575 )",2274,"(+/- 1095 )"
People,Ancestry,Polish,10828,"(+/- 2408 )",24197,"(+/- 3026 )",16451,"(+/- 3436 )",8845,"(+/- 2133 )",10368,"(+/- 2216 )",10670,"(+/- 2489 )",8936,"(+/- 2843 )",6245,"(+/- 1904 )"
People,Ancestry,Portuguese,794,"(+/- 557 )",751,"(+/- 659 )",578,"(+/- 392 )",1224,"(+/- 634 )",953,"(+/- 466 )",353,"(+/- 240 )",1424,"(+/- 796 )",285,"(+/- 297 )"
People,Ancestry,Russian,3157,"(+/- 968 )",7196,"(+/- 1460 )",1635,"(+/- 789 )",1945,"(+/- 926 )",2199,"(+/- 781 )",1484,"(+/- 750 )",2833,"(+/- 1237 )",1214,"(+/- 702 )"
People,Ancestry,Scotch-Irish,2533,"(+/- 899 )",6422,"(+/- 1573 )",5136,"(+/- 1337 )",7969,"(+/- 1788 )",7865,"(+/- 2097 )",6753,"(+/- 1485 )",9832,"(+/- 1937 )",9456,"(+/- 1969 )"
People,Ancestry,Scottish,6942,"(+/- 1298 )",13424,"(+/- 2644 )",14546,"(+/- 2932 )",15409,"(+/- 2608 )",11980,"(+/- 2219 )",16790,"(+/- 2887 )",21416,"(+/- 3663 )",11256,"(+/- 1995 )"
People,Ancestry,Slovak,623,"(+/- 439 )",872,"(+/- 335 )",657,"(+/- 508 )",493,"(+/- 433 )",502,"(+/- 525 )",579,"(+/- 545 )",52,"(+/- 81 )",278,"(+/- 211 )"
People,Ancestry,"Subsaharan African",11959,"(+/- 3673 )",2178,"(+/- 1447 )",2916,"(+/- 1442 )",1604,"(+/- 899 )",6761,"(+/- 2589 )",8009,"(+/- 2268 )",2284,"(+/- 886 )",1893,"(+/- 740 )"
People,Ancestry,Swedish,4898,"(+/- 1906 )",6661,"(+/- 1726 )",5822,"(+/- 1752 )",6920,"(+/- 1615 )",6188,"(+/- 1547 )",9244,"(+/- 2485 )",7930,"(+/- 1816 )",3344,"(+/- 1302 )"
People,Ancestry,Swiss,1305,"(+/- 632 )",2606,"(+/- 924 )",2757,"(+/- 1069 )",6611,"(+/- 2291 )",1614,"(+/- 652 )",2709,"(+/- 863 )",1251,"(+/- 895 )",853,"(+/- 421 )"
People,Ancestry,Ukrainian,1245,"(+/- 836 )",2248,"(+/- 929 )",269,"(+/- 283 )",822,"(+/- 585 )",538,"(+/- 363 )",725,"(+/- 365 )",765,"(+/- 467 )",368,"(+/- 311 )"
People,Ancestry,Welsh,2370,"(+/- 1103 )",4645,"(+/- 1280 )",4258,"(+/- 1414 )",2528,"(+/- 770 )",3536,"(+/- 870 )",5462,"(+/- 1342 )",4826,"(+/- 1905 )",1531,"(+/- 576 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",3295,"(+/- 2065 )",560,"(+/- 491 )",410,"(+/- 422 )",1278,"(+/- 1112 )",1422,"(+/- 708 )",1040,"(+/- 1075 )",443,"(+/- 326 )",178,"(+/- 203 )"
People,"Veteran Status","Civilian population 18 years and over",558124,"(+/- 7532 )",599362,"(+/- 9513 )",629449,"(+/- 6998 )",593281,"(+/- 4324 )",606624,"(+/- 5326 )",598033,"(+/- 5479 )",617817,"(+/- 2605 )",557362,"(+/- 4363 )"
People,"Veteran Status","Civilian veterans",31908,"(+/- 2894 )",34000,"(+/- 2642 )",51936,"(+/- 3101 )",49858,"(+/- 3364 )",44200,"(+/- 3227 )",45726,"(+/- 3074 )",49423,"(+/- 3552 )",48373,"(+/- 3348 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",703510,"(+/- 9804 )",755558,"(+/- 12639 )",806490,"(+/- 10540 )",754488,"(+/- 5156 )",775414,"(+/- 8657 )",772187,"(+/- 9323 )",791362,"(+/- 3474 )",704292,"(+/- 5882 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",108269,"(+/- 5930 )",78249,"(+/- 4032 )",107925,"(+/- 7203 )",123759,"(+/- 6227 )",113141,"(+/- 5769 )",107095,"(+/- 4677 )",118074,"(+/- 6166 )",141457,"(+/- 6148 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",150850,"(+/- 4602 )",163491,"(+/- 5629 )",186788,"(+/- 5138 )",172849,"(+/- 2476 )",174413,"(+/- 5461 )",187996,"(+/- 5849 )",179667,"(+/- 1905 )",162586,"(+/- 3358 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8396,"(+/- 1987 )",3980,"(+/- 857 )",9389,"(+/- 2447 )",9709,"(+/- 1544 )",8471,"(+/- 1608 )",9301,"(+/- 1509 )",7702,"(+/- 1434 )",9614,"(+/- 1836 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",447815,"(+/- 6545 )",439893,"(+/- 8510 )",482843,"(+/- 7213 )",450451,"(+/- 3999 )",476192,"(+/- 5323 )",455000,"(+/- 5460 )",470797,"(+/- 2674 )",409463,"(+/- 4499 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",61115,"(+/- 4655 )",32722,"(+/- 2843 )",53328,"(+/- 4398 )",62960,"(+/- 4766 )",58548,"(+/- 4706 )",54492,"(+/- 3740 )",61883,"(+/- 4933 )",77860,"(+/- 4717 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",104845,"(+/- 3624 )",152174,"(+/- 4280 )",136859,"(+/- 2872 )",131188,"(+/- 2451 )",124809,"(+/- 2316 )",129191,"(+/- 2417 )",140898,"(+/- 1693 )",132243,"(+/- 2294 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",38758,"(+/- 2443 )",41547,"(+/- 2660 )",45208,"(+/- 3507 )",51090,"(+/- 2722 )",46122,"(+/- 2984 )",43302,"(+/- 2754 )",48489,"(+/- 3219 )",53983,"(+/- 2884 )"
People,"Residence 1 Year Ago","Population 1 year and over",702422,"(+/- 10142 )",756855,"(+/- 12376 )",809883,"(+/- 9915 )",774335,"(+/- 5187 )",775351,"(+/- 8804 )",778685,"(+/- 8950 )",792643,"(+/- 3258 )",712269,"(+/- 6009 )"
People,"Residence 1 Year Ago","Same house",609343,"(+/- 11967 )",667532,"(+/- 12504 )",717825,"(+/- 11782 )",654249,"(+/- 9599 )",658537,"(+/- 11728 )",680980,"(+/- 9979 )",680265,"(+/- 10641 )",613467,"(+/- 9792 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",93079,"(+/- 7851 )",89323,"(+/- 8192 )",92058,"(+/- 7955 )",120086,"(+/- 7372 )",116814,"(+/- 9035 )",97705,"(+/- 7476 )",112378,"(+/- 9999 )",98802,"(+/- 7835 )"
People,"Residence 1 Year Ago","Different house in the U.S.",90112,"(+/- 8162 )",86188,"(+/- 7817 )",90891,"(+/- 7726 )",116531,"(+/- 7292 )",113933,"(+/- 8832 )",95895,"(+/- 7424 )",109999,"(+/- 10277 )",98169,"(+/- 7798 )"
People,"Residence 1 Year Ago","Same county",49928,"(+/- 5973 )",44759,"(+/- 5389 )",39513,"(+/- 5165 )",48208,"(+/- 5542 )",64255,"(+/- 7075 )",44758,"(+/- 6011 )",56086,"(+/- 8347 )",48794,"(+/- 5715 )"
People,"Residence 1 Year Ago","Different county",40184,"(+/- 5320 )",41429,"(+/- 5614 )",51378,"(+/- 5004 )",68323,"(+/- 5704 )",49678,"(+/- 5776 )",51137,"(+/- 5614 )",53913,"(+/- 6397 )",49375,"(+/- 5630 )"
People,"Residence 1 Year Ago","Same state",22440,"(+/- 3904 )",22389,"(+/- 3806 )",34997,"(+/- 4109 )",40761,"(+/- 4835 )",22110,"(+/- 3611 )",30540,"(+/- 4373 )",32624,"(+/- 5093 )",33635,"(+/- 4345 )"
People,"Residence 1 Year Ago","Different state",17744,"(+/- 3372 )",19040,"(+/- 3851 )",16381,"(+/- 3172 )",27562,"(+/- 4041 )",27568,"(+/- 4132 )",20597,"(+/- 3753 )",21289,"(+/- 3623 )",15740,"(+/- 3662 )"
People,"Residence 1 Year Ago",Abroad,2967,"(+/- 1371 )",3135,"(+/- 1898 )",1167,"(+/- 914 )",3555,"(+/- 1954 )",2881,"(+/- 1332 )",1810,"(+/- 865 )",2379,"(+/- 1275 )",633,"(+/- 411 )"
Workers,"Employment Status","Population 16 years and over",576154,"(+/- 7711 )",620497,"(+/- 9733 )",655326,"(+/- 7873 )",629494,"(+/- 4333 )",627314,"(+/- 5765 )",623886,"(+/- 5748 )",640028,"(+/- 2939 )",576929,"(+/- 4561 )"
Workers,"Employment Status","In labor force",372999,"(+/- 8471 )",403693,"(+/- 8768 )",429683,"(+/- 8700 )",388044,"(+/- 5892 )",412334,"(+/- 7192 )",393348,"(+/- 6702 )",391503,"(+/- 5474 )",315403,"(+/- 6125 )"
Workers,"Employment Status","Civilian labor force",371987,"(+/- 8478 )",403041,"(+/- 8689 )",428451,"(+/- 8608 )",371081,"(+/- 6170 )",410930,"(+/- 7121 )",390975,"(+/- 6637 )",390370,"(+/- 5501 )",315093,"(+/- 6111 )"
Workers,"Employment Status",Employed,346514,"(+/- 8078 )",389335,"(+/- 8847 )",411129,"(+/- 8263 )",352652,"(+/- 5818 )",388331,"(+/- 7416 )",374553,"(+/- 6828 )",374761,"(+/- 6124 )",302156,"(+/- 6644 )"
Workers,"Employment Status",Unemployed,25473,"(+/- 3495 )",13706,"(+/- 1898 )",17322,"(+/- 2838 )",18429,"(+/- 2803 )",22599,"(+/- 2554 )",16422,"(+/- 2670 )",15609,"(+/- 2496 )",12937,"(+/- 2226 )"
Workers,"Employment Status","Armed Forces",1012,"(+/- 667 )",652,"(+/- 540 )",1232,"(+/- 803 )",16963,"(+/- 1715 )",1404,"(+/- 754 )",2373,"(+/- 879 )",1133,"(+/- 753 )",310,"(+/- 222 )"
Workers,"Employment Status","Not in labor force",203155,"(+/- 5630 )",216804,"(+/- 5714 )",225643,"(+/- 6079 )",241450,"(+/- 6015 )",214980,"(+/- 5895 )",230538,"(+/- 4664 )",248525,"(+/- 5470 )",261526,"(+/- 6098 )"
Workers,"Employment Status","Civilian labor force",371987,"(+/- 8478 )",403041,"(+/- 8689 )",428451,"(+/- 8608 )",371081,"(+/- 6170 )",410930,"(+/- 7121 )",390975,"(+/- 6637 )",390370,"(+/- 5501 )",315093,"(+/- 6111 )"
Workers,"Employment Status","Unemployment Rate",6.8,"(+/- 0.9 )",3.4,"(+/- 0.5 )",4.0,"(+/- 0.6 )",5.0,"(+/- 0.7 )",5.5,"(+/- 0.6 )",4.2,"(+/- 0.7 )",4.0,"(+/- 0.6 )",4.1,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",339944,"(+/- 8096 )",383685,"(+/- 8964 )",405303,"(+/- 8086 )",364125,"(+/- 5514 )",383175,"(+/- 7426 )",370689,"(+/- 6858 )",367636,"(+/- 6500 )",295439,"(+/- 6742 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",224720,"(+/- 7743 )",266938,"(+/- 7806 )",307984,"(+/- 9196 )",279900,"(+/- 5973 )",276748,"(+/- 6881 )",279073,"(+/- 6543 )",277144,"(+/- 8093 )",238842,"(+/- 6665 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",23664,"(+/- 2762 )",17008,"(+/- 2502 )",29683,"(+/- 4188 )",30868,"(+/- 3511 )",28665,"(+/- 3505 )",27893,"(+/- 2973 )",34995,"(+/- 3685 )",27833,"(+/- 2793 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",12706,"(+/- 2454 )",1272,"(+/- 672 )",459,"(+/- 437 )",971,"(+/- 564 )",4387,"(+/- 1265 )",1274,"(+/- 619 )",865,"(+/- 495 )",396,"(+/- 336 )"
Workers,"Commuting to Work",Walked,8318,"(+/- 1401 )",3338,"(+/- 1168 )",4923,"(+/- 1359 )",13417,"(+/- 2544 )",4565,"(+/- 1200 )",5612,"(+/- 1058 )",9459,"(+/- 2698 )",4012,"(+/- 1214 )"
Workers,"Commuting to Work","Other means",5331,"(+/- 1527 )",3806,"(+/- 1373 )",2931,"(+/- 924 )",4259,"(+/- 1252 )",5492,"(+/- 1678 )",5271,"(+/- 1282 )",4071,"(+/- 1060 )",2939,"(+/- 745 )"
Workers,"Commuting to Work","Worked from home",65205,"(+/- 5115 )",91323,"(+/- 5187 )",59323,"(+/- 4536 )",34710,"(+/- 3588 )",63318,"(+/- 3887 )",51566,"(+/- 3524 )",41102,"(+/- 3979 )",21417,"(+/- 2684 )"
