Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,Race,White,571318,"(+/- 7754 )",352124,"(+/- 10602 )",417061,"(+/- 13394 )",202343,"(+/- 9680 )",333039,"(+/- 7866 )",435339,"(+/- 8221 )",242223,"(+/- 8615 )",465397,"(+/- 9317 )"
People,Race,"Black or African American",84108,"(+/- 5028 )",282451,"(+/- 13623 )",179976,"(+/- 11623 )",388228,"(+/- 12829 )",312311,"(+/- 11858 )",115169,"(+/- 8433 )",352295,"(+/- 11513 )",95807,"(+/- 7376 )"
People,Race,"American Indian and Alaska Native",2337,"(+/- 1413 )",4256,"(+/- 2011 )",5491,"(+/- 2747 )",3276,"(+/- 1643 )",2719,"(+/- 1185 )",2923,"(+/- 1287 )",980,"(+/- 404 )",3226,"(+/- 1697 )"
People,Race,Asian,16340,"(+/- 2375 )",39133,"(+/- 4374 )",53738,"(+/- 5769 )",22989,"(+/- 3649 )",33765,"(+/- 2528 )",98051,"(+/- 5909 )",66850,"(+/- 5777 )",77116,"(+/- 4346 )"
People,Race,"Native Hawaiian and Other Pacific Islander",477,"(+/- 423 )",468,"(+/- 315 )",312,"(+/- 365 )",571,"(+/- 923 )",0,"(+/- 216 )",538,"(+/- 506 )",1097,"(+/- 783 )",82,"(+/- 98 )"
People,Race,"Some other race",16232,"(+/- 2699 )",34160,"(+/- 6403 )",35525,"(+/- 7296 )",111622,"(+/- 8072 )",51849,"(+/- 6360 )",61340,"(+/- 8907 )",21448,"(+/- 4575 )",73862,"(+/- 8935 )"
People,Race,"Two or more races",48219,"(+/- 5472 )",54087,"(+/- 7097 )",60391,"(+/- 7292 )",59496,"(+/- 7718 )",70441,"(+/- 6000 )",78411,"(+/- 7283 )",42056,"(+/- 5783 )",80066,"(+/- 6266 )"
People,"Hispanic or Latino and Race","Total population",739031,"(+/- 8336 )",766679,"(+/- 17986 )",752494,"(+/- 19806 )",788525,"(+/- 13761 )",804124,"(+/- 12822 )",791771,"(+/- 13262 )",726949,"(+/- 15440 )",795556,"(+/- 13820 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",38299,"(+/- 2626 )",61498,"(+/- 7687 )",70076,"(+/- 8744 )",146843,"(+/- 8499 )",86153,"(+/- 7309 )",116798,"(+/- 8420 )",40178,"(+/- 6293 )",124478,"(+/- 8023 )"
People,"Hispanic or Latino and Race",Mexican,12658,"(+/- 3259 )",14298,"(+/- 3764 )",13085,"(+/- 3275 )",19399,"(+/- 4740 )",20124,"(+/- 4127 )",9899,"(+/- 2841 )",9787,"(+/- 3700 )",16739,"(+/- 4052 )"
People,"Hispanic or Latino and Race","Puerto Rican",4367,"(+/- 1675 )",11102,"(+/- 3791 )",5440,"(+/- 1478 )",5837,"(+/- 1890 )",9450,"(+/- 2506 )",11554,"(+/- 3327 )",3259,"(+/- 1139 )",6141,"(+/- 1892 )"
People,"Hispanic or Latino and Race",Cuban,975,"(+/- 587 )",2438,"(+/- 1256 )",1786,"(+/- 750 )",2179,"(+/- 1033 )",2191,"(+/- 1256 )",1350,"(+/- 732 )",1637,"(+/- 754 )",2055,"(+/- 873 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",20299,"(+/- 3719 )",33660,"(+/- 5541 )",49765,"(+/- 8521 )",119428,"(+/- 9090 )",54388,"(+/- 7053 )",93995,"(+/- 8609 )",25495,"(+/- 5722 )",99543,"(+/- 8356 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",700732,"(+/- 8758 )",705181,"(+/- 17903 )",682418,"(+/- 19022 )",641682,"(+/- 14808 )",717971,"(+/- 12825 )",674973,"(+/- 10918 )",686771,"(+/- 15484 )",671078,"(+/- 11638 )"
People,"Place of Birth","Total population",739031,"(+/- 8336 )",766679,"(+/- 17986 )",752494,"(+/- 19806 )",788525,"(+/- 13761 )",804124,"(+/- 12822 )",791771,"(+/- 13262 )",726949,"(+/- 15440 )",795556,"(+/- 13820 )"
People,"Place of Birth",Native,696407,"(+/- 8118 )",671463,"(+/- 17069 )",631740,"(+/- 16981 )",626231,"(+/- 14910 )",694578,"(+/- 11212 )",621977,"(+/- 13430 )",637198,"(+/- 13713 )",606484,"(+/- 13050 )"
People,"Place of Birth","Born in United States",686897,"(+/- 8270 )",654676,"(+/- 17129 )",618464,"(+/- 16407 )",613849,"(+/- 15018 )",678968,"(+/- 12148 )",611552,"(+/- 13597 )",628880,"(+/- 14013 )",590406,"(+/- 12704 )"
People,"Place of Birth","State of residence",458921,"(+/- 8945 )",467603,"(+/- 15230 )",370496,"(+/- 13495 )",252303,"(+/- 11117 )",301265,"(+/- 10791 )",347272,"(+/- 11365 )",443824,"(+/- 12912 )",267480,"(+/- 9814 )"
People,"Place of Birth","Different state",227976,"(+/- 8098 )",187073,"(+/- 8861 )",247968,"(+/- 9504 )",361546,"(+/- 13170 )",377703,"(+/- 11895 )",264280,"(+/- 9276 )",185056,"(+/- 8079 )",322926,"(+/- 9571 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9510,"(+/- 1857 )",16787,"(+/- 3757 )",13276,"(+/- 2559 )",12382,"(+/- 2395 )",15610,"(+/- 3277 )",10425,"(+/- 1660 )",8318,"(+/- 1726 )",16078,"(+/- 2289 )"
People,"Place of Birth","Foreign born",42624,"(+/- 3720 )",95216,"(+/- 7898 )",120754,"(+/- 7920 )",162294,"(+/- 9935 )",109546,"(+/- 6840 )",169794,"(+/- 9089 )",89751,"(+/- 7470 )",189072,"(+/- 9432 )"
People,Ancestry,"Total population",739031,"(+/- 8336 )",766679,"(+/- 17986 )",752494,"(+/- 19806 )",788525,"(+/- 13761 )",804124,"(+/- 12822 )",791771,"(+/- 13262 )",726949,"(+/- 15440 )",795556,"(+/- 13820 )"
People,Ancestry,American,51213,"(+/- 5703 )",27364,"(+/- 5153 )",28288,"(+/- 4272 )",21268,"(+/- 3910 )",37058,"(+/- 4673 )",27435,"(+/- 4092 )",19352,"(+/- 3669 )",33277,"(+/- 4648 )"
People,Ancestry,Arab,1205,"(+/- 653 )",2510,"(+/- 1146 )",5528,"(+/- 1713 )",5107,"(+/- 2929 )",4906,"(+/- 2903 )",4803,"(+/- 1472 )",2797,"(+/- 1310 )",8074,"(+/- 2583 )"
People,Ancestry,Czech,2805,"(+/- 833 )",1959,"(+/- 703 )",1884,"(+/- 666 )",859,"(+/- 400 )",1071,"(+/- 664 )",2322,"(+/- 1063 )",2114,"(+/- 782 )",2856,"(+/- 1082 )"
People,Ancestry,Danish,815,"(+/- 551 )",1032,"(+/- 573 )",712,"(+/- 297 )",682,"(+/- 555 )",556,"(+/- 304 )",867,"(+/- 472 )",1070,"(+/- 772 )",1892,"(+/- 730 )"
People,Ancestry,Dutch,6577,"(+/- 1457 )",2613,"(+/- 1037 )",4064,"(+/- 1241 )",3210,"(+/- 1577 )",4750,"(+/- 1553 )",4964,"(+/- 1616 )",3922,"(+/- 1079 )",5687,"(+/- 1241 )"
People,Ancestry,English,106911,"(+/- 6786 )",57486,"(+/- 4773 )",64206,"(+/- 6276 )",35410,"(+/- 3307 )",66202,"(+/- 5745 )",69827,"(+/- 6082 )",48139,"(+/- 5850 )",88387,"(+/- 6331 )"
People,Ancestry,"French (except Basque)",13242,"(+/- 2689 )",8710,"(+/- 1928 )",9812,"(+/- 1915 )",5197,"(+/- 1636 )",8884,"(+/- 2419 )",9340,"(+/- 2018 )",5434,"(+/- 1470 )",16026,"(+/- 3063 )"
People,Ancestry,"French Canadian",2320,"(+/- 962 )",2933,"(+/- 1807 )",1654,"(+/- 677 )",2143,"(+/- 1148 )",2237,"(+/- 994 )",2020,"(+/- 862 )",722,"(+/- 864 )",2220,"(+/- 741 )"
People,Ancestry,German,131823,"(+/- 7811 )",96399,"(+/- 7327 )",94296,"(+/- 7067 )",46485,"(+/- 4212 )",64615,"(+/- 5536 )",113287,"(+/- 7438 )",67886,"(+/- 5822 )",106055,"(+/- 6072 )"
People,Ancestry,Greek,4099,"(+/- 1427 )",2907,"(+/- 1109 )",8182,"(+/- 3597 )",1808,"(+/- 1215 )",1492,"(+/- 676 )",5207,"(+/- 2253 )",2333,"(+/- 1100 )",5081,"(+/- 1363 )"
People,Ancestry,Hungarian,2619,"(+/- 905 )",1575,"(+/- 885 )",2409,"(+/- 690 )",866,"(+/- 420 )",1916,"(+/- 766 )",2681,"(+/- 1095 )",1297,"(+/- 659 )",4409,"(+/- 1141 )"
People,Ancestry,Irish,109223,"(+/- 6239 )",70727,"(+/- 5651 )",79320,"(+/- 6553 )",43172,"(+/- 5311 )",57376,"(+/- 5243 )",74760,"(+/- 6239 )",58166,"(+/- 5957 )",90171,"(+/- 7061 )"
People,Ancestry,Italian,52970,"(+/- 5102 )",37817,"(+/- 4609 )",38859,"(+/- 3698 )",16247,"(+/- 2463 )",25965,"(+/- 3331 )",29882,"(+/- 4129 )",23182,"(+/- 3030 )",42821,"(+/- 3775 )"
People,Ancestry,Lithuanian,3089,"(+/- 1170 )",1236,"(+/- 524 )",3646,"(+/- 1324 )",1374,"(+/- 623 )",957,"(+/- 636 )",1101,"(+/- 550 )",1825,"(+/- 758 )",3207,"(+/- 957 )"
People,Ancestry,Norwegian,4658,"(+/- 1739 )",1647,"(+/- 740 )",3594,"(+/- 1181 )",1612,"(+/- 656 )",4002,"(+/- 1506 )",4225,"(+/- 1597 )",1355,"(+/- 579 )",5515,"(+/- 1509 )"
People,Ancestry,Polish,26319,"(+/- 2766 )",28508,"(+/- 4203 )",23495,"(+/- 2822 )",8410,"(+/- 2274 )",12059,"(+/- 2060 )",14883,"(+/- 2774 )",15660,"(+/- 2699 )",23454,"(+/- 2987 )"
People,Ancestry,Portuguese,202,"(+/- 168 )",446,"(+/- 343 )",2273,"(+/- 1192 )",1035,"(+/- 720 )",643,"(+/- 455 )",1802,"(+/- 840 )",908,"(+/- 408 )",3389,"(+/- 1206 )"
People,Ancestry,Russian,3160,"(+/- 855 )",5494,"(+/- 2082 )",10881,"(+/- 1854 )",2828,"(+/- 1076 )",4084,"(+/- 1334 )",9817,"(+/- 2146 )",5486,"(+/- 1599 )",16664,"(+/- 2763 )"
People,Ancestry,Scotch-Irish,5471,"(+/- 1301 )",4107,"(+/- 1203 )",6390,"(+/- 1923 )",3853,"(+/- 1801 )",4100,"(+/- 1283 )",7372,"(+/- 2249 )",2239,"(+/- 775 )",6511,"(+/- 1382 )"
People,Ancestry,Scottish,16924,"(+/- 2870 )",7096,"(+/- 1743 )",10480,"(+/- 2069 )",5916,"(+/- 1618 )",8418,"(+/- 1658 )",12054,"(+/- 2103 )",6574,"(+/- 1449 )",14836,"(+/- 1981 )"
People,Ancestry,Slovak,1012,"(+/- 508 )",590,"(+/- 341 )",1258,"(+/- 731 )",601,"(+/- 446 )",1193,"(+/- 764 )",1329,"(+/- 607 )",1067,"(+/- 558 )",1585,"(+/- 711 )"
People,Ancestry,"Subsaharan African",7189,"(+/- 2462 )",34611,"(+/- 6001 )",30399,"(+/- 5491 )",52508,"(+/- 7057 )",34500,"(+/- 5925 )",27935,"(+/- 5041 )",34266,"(+/- 8412 )",37023,"(+/- 6363 )"
People,Ancestry,Swedish,4828,"(+/- 1867 )",2598,"(+/- 1112 )",4937,"(+/- 1427 )",2717,"(+/- 1157 )",3355,"(+/- 1077 )",5759,"(+/- 1664 )",2832,"(+/- 1036 )",5315,"(+/- 1311 )"
People,Ancestry,Swiss,1293,"(+/- 799 )",243,"(+/- 194 )",1422,"(+/- 867 )",1009,"(+/- 465 )",890,"(+/- 618 )",3201,"(+/- 1488 )",889,"(+/- 445 )",2256,"(+/- 889 )"
People,Ancestry,Ukrainian,1723,"(+/- 737 )",2249,"(+/- 1216 )",4740,"(+/- 2056 )",916,"(+/- 439 )",2196,"(+/- 1169 )",2096,"(+/- 877 )",1745,"(+/- 923 )",2874,"(+/- 780 )"
People,Ancestry,Welsh,6709,"(+/- 1817 )",3227,"(+/- 1114 )",3983,"(+/- 1151 )",1627,"(+/- 611 )",2853,"(+/- 1079 )",4250,"(+/- 1057 )",3029,"(+/- 914 )",4545,"(+/- 1051 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",6978,"(+/- 2825 )",10541,"(+/- 3436 )",7977,"(+/- 2391 )",16651,"(+/- 3556 )",15652,"(+/- 3682 )",9379,"(+/- 2579 )",7941,"(+/- 2129 )",13240,"(+/- 4678 )"
People,"Veteran Status","Civilian population 18 years and over",580270,"(+/- 6339 )",593503,"(+/- 12870 )",581333,"(+/- 14281 )",598094,"(+/- 11131 )",620788,"(+/- 10387 )",613092,"(+/- 9255 )",563396,"(+/- 11756 )",613422,"(+/- 10197 )"
People,"Veteran Status","Civilian veterans",45852,"(+/- 3058 )",42221,"(+/- 4137 )",36938,"(+/- 3618 )",47855,"(+/- 3344 )",62799,"(+/- 4125 )",34377,"(+/- 2735 )",32470,"(+/- 2936 )",30079,"(+/- 2529 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",728617,"(+/- 8413 )",746317,"(+/- 18389 )",740466,"(+/- 19339 )",778747,"(+/- 13629 )",791086,"(+/- 13053 )",769786,"(+/- 14266 )",716934,"(+/- 15015 )",787345,"(+/- 13830 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",87720,"(+/- 4037 )",94726,"(+/- 6433 )",78769,"(+/- 5069 )",83829,"(+/- 5129 )",81296,"(+/- 4680 )",86860,"(+/- 5517 )",102680,"(+/- 7373 )",68087,"(+/- 4300 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",156682,"(+/- 4518 )",164198,"(+/- 8345 )",162662,"(+/- 9398 )",184619,"(+/- 6351 )",173610,"(+/- 6576 )",175553,"(+/- 7109 )",162340,"(+/- 6913 )",178942,"(+/- 7006 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7813,"(+/- 1597 )",7975,"(+/- 1937 )",6269,"(+/- 1352 )",5382,"(+/- 1218 )",5353,"(+/- 1338 )",7259,"(+/- 1777 )",9585,"(+/- 2093 )",5568,"(+/- 1386 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",429014,"(+/- 6179 )",472956,"(+/- 11991 )",458959,"(+/- 13166 )",476870,"(+/- 10125 )",498426,"(+/- 10011 )",469383,"(+/- 11328 )",437119,"(+/- 10678 )",474756,"(+/- 10012 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39322,"(+/- 3367 )",52909,"(+/- 4398 )",39043,"(+/- 3920 )",44458,"(+/- 3775 )",40818,"(+/- 3391 )",45563,"(+/- 3849 )",54581,"(+/- 5173 )",30648,"(+/- 2889 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",142921,"(+/- 3225 )",109163,"(+/- 5040 )",118845,"(+/- 5265 )",117258,"(+/- 4727 )",119050,"(+/- 4046 )",124850,"(+/- 4128 )",117475,"(+/- 3921 )",133647,"(+/- 3996 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",40585,"(+/- 2608 )",33842,"(+/- 2668 )",33457,"(+/- 2874 )",33989,"(+/- 3340 )",35125,"(+/- 2790 )",34038,"(+/- 2490 )",38514,"(+/- 2904 )",31871,"(+/- 2558 )"
People,"Residence 1 Year Ago","Population 1 year and over",733018,"(+/- 8379 )",756038,"(+/- 17774 )",743482,"(+/- 19910 )",778009,"(+/- 13658 )",795854,"(+/- 12541 )",784165,"(+/- 13253 )",720118,"(+/- 16095 )",789031,"(+/- 14015 )"
People,"Residence 1 Year Ago","Same house",660579,"(+/- 9716 )",662808,"(+/- 18939 )",657112,"(+/- 19951 )",689397,"(+/- 14790 )",702983,"(+/- 13029 )",688864,"(+/- 13920 )",632415,"(+/- 16081 )",693076,"(+/- 15351 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",72439,"(+/- 7415 )",93230,"(+/- 8251 )",86370,"(+/- 7528 )",88612,"(+/- 8438 )",92871,"(+/- 8732 )",95301,"(+/- 8568 )",87703,"(+/- 8601 )",95955,"(+/- 6663 )"
People,"Residence 1 Year Ago","Different house in the U.S.",70405,"(+/- 7057 )",90321,"(+/- 7985 )",83820,"(+/- 7468 )",84621,"(+/- 8238 )",88920,"(+/- 8348 )",90292,"(+/- 7982 )",84520,"(+/- 8709 )",86691,"(+/- 6923 )"
People,"Residence 1 Year Ago","Same county",27651,"(+/- 4870 )",48005,"(+/- 6912 )",39647,"(+/- 5876 )",45866,"(+/- 6657 )",43247,"(+/- 6953 )",47465,"(+/- 6669 )",38405,"(+/- 5465 )",44815,"(+/- 5632 )"
People,"Residence 1 Year Ago","Different county",42754,"(+/- 5886 )",42316,"(+/- 5227 )",44173,"(+/- 5184 )",38755,"(+/- 6373 )",45673,"(+/- 6253 )",42827,"(+/- 5284 )",46115,"(+/- 6804 )",41876,"(+/- 4419 )"
People,"Residence 1 Year Ago","Same state",25872,"(+/- 4960 )",26168,"(+/- 4102 )",23063,"(+/- 3650 )",14927,"(+/- 3429 )",27734,"(+/- 5235 )",19533,"(+/- 3673 )",30257,"(+/- 5908 )",16919,"(+/- 3465 )"
People,"Residence 1 Year Ago","Different state",16882,"(+/- 3873 )",16148,"(+/- 3551 )",21110,"(+/- 3845 )",23828,"(+/- 5223 )",17939,"(+/- 3831 )",23294,"(+/- 4094 )",15858,"(+/- 3031 )",24957,"(+/- 3512 )"
People,"Residence 1 Year Ago",Abroad,2034,"(+/- 1515 )",2909,"(+/- 1281 )",2550,"(+/- 1067 )",3991,"(+/- 1390 )",3951,"(+/- 1687 )",5009,"(+/- 1809 )",3183,"(+/- 1184 )",9264,"(+/- 2627 )"
Workers,"Employment Status","Population 16 years and over",602882,"(+/- 6551 )",620116,"(+/- 13495 )",607337,"(+/- 14998 )",624601,"(+/- 11365 )",650480,"(+/- 9769 )",637072,"(+/- 9610 )",583356,"(+/- 12098 )",638907,"(+/- 10955 )"
Workers,"Employment Status","In labor force",381795,"(+/- 7971 )",413537,"(+/- 10504 )",428358,"(+/- 12439 )",425240,"(+/- 9864 )",442207,"(+/- 9474 )",409625,"(+/- 9803 )",361816,"(+/- 10091 )",441590,"(+/- 10701 )"
Workers,"Employment Status","Civilian labor force",379845,"(+/- 7793 )",404747,"(+/- 10395 )",420116,"(+/- 11921 )",419462,"(+/- 9438 )",432750,"(+/- 9571 )",406850,"(+/- 9852 )",360770,"(+/- 10124 )",438485,"(+/- 10659 )"
Workers,"Employment Status",Employed,357666,"(+/- 8045 )",379782,"(+/- 9933 )",399633,"(+/- 11061 )",389137,"(+/- 9152 )",407787,"(+/- 9668 )",383565,"(+/- 9439 )",334834,"(+/- 9228 )",418346,"(+/- 10487 )"
Workers,"Employment Status",Unemployed,22179,"(+/- 2618 )",24965,"(+/- 3266 )",20483,"(+/- 2832 )",30325,"(+/- 3453 )",24963,"(+/- 3055 )",23285,"(+/- 3048 )",25936,"(+/- 3219 )",20139,"(+/- 2857 )"
Workers,"Employment Status","Armed Forces",1950,"(+/- 1099 )",8790,"(+/- 2527 )",8242,"(+/- 4742 )",5778,"(+/- 1820 )",9457,"(+/- 2255 )",2775,"(+/- 1070 )",1046,"(+/- 445 )",3105,"(+/- 915 )"
Workers,"Employment Status","Not in labor force",221087,"(+/- 6770 )",206579,"(+/- 9338 )",178979,"(+/- 9003 )",199361,"(+/- 9002 )",208273,"(+/- 6998 )",227447,"(+/- 8483 )",221540,"(+/- 8071 )",197317,"(+/- 6487 )"
Workers,"Employment Status","Civilian labor force",379845,"(+/- 7793 )",404747,"(+/- 10395 )",420116,"(+/- 11921 )",419462,"(+/- 9438 )",432750,"(+/- 9571 )",406850,"(+/- 9852 )",360770,"(+/- 10124 )",438485,"(+/- 10659 )"
Workers,"Employment Status","Unemployment Rate",5.8,"(+/- 0.7 )",6.2,"(+/- 0.8 )",4.9,"(+/- 0.6 )",7.2,"(+/- 0.8 )",5.8,"(+/- 0.7 )",5.7,"(+/- 0.7 )",7.2,"(+/- 0.8 )",4.6,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",353228,"(+/- 8259 )",380029,"(+/- 9901 )",399859,"(+/- 11603 )",386875,"(+/- 9788 )",410238,"(+/- 9666 )",379884,"(+/- 9222 )",328468,"(+/- 8968 )",413765,"(+/- 10318 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",267724,"(+/- 7583 )",259957,"(+/- 9696 )",246396,"(+/- 8544 )",230682,"(+/- 8122 )",256212,"(+/- 9111 )",231710,"(+/- 7162 )",194538,"(+/- 8162 )",211430,"(+/- 7701 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",21888,"(+/- 2793 )",28708,"(+/- 3998 )",23188,"(+/- 3321 )",36330,"(+/- 4081 )",30872,"(+/- 3839 )",29376,"(+/- 3569 )",18249,"(+/- 3119 )",25036,"(+/- 3331 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",647,"(+/- 413 )",11013,"(+/- 2219 )",7990,"(+/- 1815 )",20433,"(+/- 2113 )",7996,"(+/- 2072 )",8457,"(+/- 2036 )",18943,"(+/- 2737 )",15693,"(+/- 2297 )"
Workers,"Commuting to Work",Walked,4514,"(+/- 1092 )",6402,"(+/- 1968 )",9959,"(+/- 2025 )",4677,"(+/- 1845 )",5200,"(+/- 1501 )",6060,"(+/- 1185 )",10504,"(+/- 2006 )",6246,"(+/- 1286 )"
Workers,"Commuting to Work","Other means",5106,"(+/- 1543 )",8138,"(+/- 1771 )",5613,"(+/- 1693 )",9120,"(+/- 2375 )",8745,"(+/- 2105 )",8937,"(+/- 2072 )",8631,"(+/- 1943 )",7849,"(+/- 1563 )"
