Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Median age (years)",36.5,"(+/- 0.4 )",38.4,"(+/- 0.4 )",37.6,"(+/- 0.3 )",36.8,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",531380,"(+/- 2206 )",554209,"(+/- 2472 )",598515,"(+/- 1379 )",548272,"(+/- 1873 )"
People,"Sex and Age","65 years and over",118692,"(+/- 1597 )",129875,"(+/- 1513 )",119122,"(+/- 561 )",121987,"(+/- 1083 )"
People,Race,"Total population",697903,"(+/- 2566 )",711743,"(+/- 2950 )",794125,"(+/- 2174 )",730811,"(+/- 2001 )"
People,Race,"One race",616449,"(+/- 5775 )",647242,"(+/- 5581 )",714518,"(+/- 6630 )",645469,"(+/- 7505 )"
People,Race,White,543333,"(+/- 4605 )",584164,"(+/- 4252 )",565911,"(+/- 6218 )",537418,"(+/- 4971 )"
People,Race,"Black or African American",22381,"(+/- 2310 )",30067,"(+/- 3041 )",59729,"(+/- 3146 )",42555,"(+/- 2977 )"
People,Race,"American Indian and Alaska Native",5374,"(+/- 2151 )",6664,"(+/- 1482 )",3414,"(+/- 1693 )",6218,"(+/- 1960 )"
People,Race,Asian,9135,"(+/- 1361 )",9932,"(+/- 1831 )",41570,"(+/- 1657 )",24785,"(+/- 1422 )"
People,Race,"Native Hawaiian and Other Pacific Islander",111,"(+/- 198 )",780,"(+/- 838 )",208,"(+/- 256 )",668,"(+/- 345 )"
People,Race,"Some other race",36115,"(+/- 4538 )",15635,"(+/- 2416 )",43686,"(+/- 5830 )",33825,"(+/- 6079 )"
People,Race,"Two or more races",81454,"(+/- 5243 )",64501,"(+/- 4966 )",79607,"(+/- 6249 )",85342,"(+/- 7211 )"
People,"Hispanic or Latino and Race","Total population",697903,"(+/- 2566 )",711743,"(+/- 2950 )",794125,"(+/- 2174 )",730811,"(+/- 2001 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",118811,"(+/- 1052 )",53762,"(+/- 636 )",101649,"(+/- 67 )",99501,"(+/- 938 )"
People,"Hispanic or Latino and Race",Mexican,90483,"(+/- 5362 )",37233,"(+/- 2698 )",74553,"(+/- 3782 )",83976,"(+/- 3668 )"
People,"Hispanic or Latino and Race","Puerto Rican",5802,"(+/- 1886 )",5606,"(+/- 1949 )",4048,"(+/- 1451 )",4165,"(+/- 1411 )"
People,"Hispanic or Latino and Race",Cuban,1631,"(+/- 1007 )",349,"(+/- 422 )",918,"(+/- 848 )",668,"(+/- 491 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",20895,"(+/- 4905 )",10574,"(+/- 2641 )",22130,"(+/- 3552 )",10692,"(+/- 3210 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",579092,"(+/- 2245 )",657981,"(+/- 2965 )",692476,"(+/- 2185 )",631310,"(+/- 1696 )"
People,"Place of Birth","Total population",697903,"(+/- 2566 )",711743,"(+/- 2950 )",794125,"(+/- 2174 )",730811,"(+/- 2001 )"
People,"Place of Birth",Native,645362,"(+/- 4495 )",689783,"(+/- 3698 )",712774,"(+/- 5208 )",684752,"(+/- 3944 )"
People,"Place of Birth","Born in United States",636526,"(+/- 5103 )",682174,"(+/- 3767 )",702567,"(+/- 5320 )",677196,"(+/- 4230 )"
People,"Place of Birth","State of residence",440577,"(+/- 7207 )",455294,"(+/- 7627 )",356289,"(+/- 9069 )",481168,"(+/- 8401 )"
People,"Place of Birth","Different state",195949,"(+/- 6846 )",226880,"(+/- 6759 )",346278,"(+/- 8781 )",196028,"(+/- 7971 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8836,"(+/- 1967 )",7609,"(+/- 1532 )",10207,"(+/- 2030 )",7556,"(+/- 1762 )"
People,"Place of Birth","Foreign born",52541,"(+/- 3696 )",21960,"(+/- 2788 )",81351,"(+/- 4514 )",46059,"(+/- 3586 )"
People,Ancestry,"Total population",697903,"(+/- 2566 )",711743,"(+/- 2950 )",794125,"(+/- 2174 )",730811,"(+/- 2001 )"
People,Ancestry,American,40532,"(+/- 4191 )",53492,"(+/- 4851 )",37653,"(+/- 5024 )",47298,"(+/- 5773 )"
People,Ancestry,Arab,405,"(+/- 370 )",517,"(+/- 344 )",4142,"(+/- 1697 )",4113,"(+/- 1783 )"
People,Ancestry,Czech,10378,"(+/- 2745 )",3159,"(+/- 923 )",6195,"(+/- 1900 )",3758,"(+/- 1125 )"
People,Ancestry,Danish,2878,"(+/- 870 )",2515,"(+/- 1124 )",3436,"(+/- 1160 )",1907,"(+/- 1102 )"
People,Ancestry,Dutch,6484,"(+/- 1338 )",7968,"(+/- 1826 )",10343,"(+/- 2278 )",6131,"(+/- 1409 )"
People,Ancestry,English,68803,"(+/- 5268 )",112390,"(+/- 6656 )",108397,"(+/- 6962 )",93328,"(+/- 6857 )"
People,Ancestry,"French (except Basque)",15114,"(+/- 2444 )",15213,"(+/- 2832 )",13079,"(+/- 2377 )",11992,"(+/- 2297 )"
People,Ancestry,"French Canadian",2523,"(+/- 838 )",1019,"(+/- 414 )",1312,"(+/- 574 )",1272,"(+/- 607 )"
People,Ancestry,German,190748,"(+/- 7705 )",170499,"(+/- 8232 )",158714,"(+/- 6980 )",163569,"(+/- 8929 )"
People,Ancestry,Greek,1004,"(+/- 672 )",1137,"(+/- 704 )",1412,"(+/- 686 )",849,"(+/- 679 )"
People,Ancestry,Hungarian,662,"(+/- 423 )",647,"(+/- 507 )",2031,"(+/- 976 )",734,"(+/- 557 )"
People,Ancestry,Irish,70443,"(+/- 5188 )",87771,"(+/- 6162 )",99478,"(+/- 7919 )",75075,"(+/- 6219 )"
People,Ancestry,Italian,12415,"(+/- 2400 )",16292,"(+/- 2768 )",26988,"(+/- 4616 )",12473,"(+/- 2903 )"
People,Ancestry,Lithuanian,741,"(+/- 1218 )",700,"(+/- 603 )",1103,"(+/- 472 )",149,"(+/- 152 )"
People,Ancestry,Norwegian,5088,"(+/- 1573 )",6233,"(+/- 1735 )",8612,"(+/- 1959 )",4959,"(+/- 1593 )"
People,Ancestry,Polish,5110,"(+/- 1046 )",8489,"(+/- 2073 )",14215,"(+/- 3253 )",7295,"(+/- 1588 )"
People,Ancestry,Portuguese,454,"(+/- 413 )",196,"(+/- 211 )",1151,"(+/- 1256 )",405,"(+/- 385 )"
People,Ancestry,Russian,5772,"(+/- 1282 )",1931,"(+/- 700 )",6101,"(+/- 1340 )",3828,"(+/- 1039 )"
People,Ancestry,Scotch-Irish,6424,"(+/- 1511 )",6397,"(+/- 1389 )",6387,"(+/- 1619 )",6320,"(+/- 1864 )"
People,Ancestry,Scottish,11799,"(+/- 1856 )",12059,"(+/- 1988 )",14168,"(+/- 2430 )",14790,"(+/- 2151 )"
People,Ancestry,Slovak,283,"(+/- 348 )",332,"(+/- 329 )",1274,"(+/- 1114 )",250,"(+/- 232 )"
People,Ancestry,"Subsaharan African",4322,"(+/- 1631 )",2625,"(+/- 920 )",9973,"(+/- 2442 )",3928,"(+/- 1889 )"
People,Ancestry,Swedish,15046,"(+/- 2239 )",9799,"(+/- 1998 )",11052,"(+/- 2299 )",7990,"(+/- 1685 )"
People,Ancestry,Swiss,4162,"(+/- 1318 )",3677,"(+/- 1276 )",4171,"(+/- 2412 )",1707,"(+/- 717 )"
People,Ancestry,Ukrainian,717,"(+/- 767 )",263,"(+/- 208 )",1145,"(+/- 521 )",532,"(+/- 360 )"
People,Ancestry,Welsh,3812,"(+/- 1266 )",3017,"(+/- 813 )",5926,"(+/- 1568 )",5096,"(+/- 1478 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1552,"(+/- 1027 )",1303,"(+/- 889 )",631,"(+/- 576 )",1407,"(+/- 863 )"
People,"Veteran Status","Civilian population 18 years and over",521607,"(+/- 2869 )",550155,"(+/- 2541 )",598254,"(+/- 1438 )",544945,"(+/- 2386 )"
People,"Veteran Status","Civilian veterans",36595,"(+/- 2610 )",43081,"(+/- 3085 )",29233,"(+/- 2369 )",38812,"(+/- 3200 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",675518,"(+/- 3503 )",696330,"(+/- 3144 )",788945,"(+/- 2568 )",717999,"(+/- 2647 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",94932,"(+/- 4559 )",109063,"(+/- 5486 )",79177,"(+/- 4385 )",102235,"(+/- 4988 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",166175,"(+/- 2070 )",156576,"(+/- 2208 )",195390,"(+/- 1251 )",182247,"(+/- 1439 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6991,"(+/- 1556 )",11011,"(+/- 2098 )",7031,"(+/- 1426 )",9438,"(+/- 1742 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",396686,"(+/- 3291 )",413710,"(+/- 2977 )",477071,"(+/- 1568 )",417613,"(+/- 2734 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",48537,"(+/- 3514 )",56510,"(+/- 3851 )",38545,"(+/- 3310 )",53793,"(+/- 3783 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",112657,"(+/- 1611 )",126044,"(+/- 1646 )",116484,"(+/- 800 )",118139,"(+/- 1291 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39404,"(+/- 1899 )",41542,"(+/- 2362 )",33601,"(+/- 2097 )",39004,"(+/- 2790 )"
People,"Residence 1 Year Ago","Population 1 year and over",689413,"(+/- 2918 )",705114,"(+/- 3175 )",784069,"(+/- 2383 )",721998,"(+/- 2412 )"
People,"Residence 1 Year Ago","Same house",579500,"(+/- 7109 )",599670,"(+/- 8621 )",675801,"(+/- 8201 )",606562,"(+/- 10241 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",109913,"(+/- 7409 )",105444,"(+/- 8028 )",108268,"(+/- 7774 )",115436,"(+/- 9855 )"
People,"Residence 1 Year Ago","Different house in the U.S.",104500,"(+/- 7481 )",102291,"(+/- 8070 )",104833,"(+/- 7706 )",113731,"(+/- 9905 )"
People,"Residence 1 Year Ago","Same county",52089,"(+/- 5302 )",51663,"(+/- 6217 )",51233,"(+/- 5351 )",72801,"(+/- 7351 )"
People,"Residence 1 Year Ago","Different county",52411,"(+/- 5626 )",50628,"(+/- 5117 )",53600,"(+/- 6131 )",40930,"(+/- 5582 )"
People,"Residence 1 Year Ago","Same state",29571,"(+/- 4094 )",25783,"(+/- 3205 )",19168,"(+/- 3914 )",20728,"(+/- 3290 )"
People,"Residence 1 Year Ago","Different state",22840,"(+/- 4296 )",24845,"(+/- 3852 )",34432,"(+/- 4948 )",20202,"(+/- 4844 )"
People,"Residence 1 Year Ago",Abroad,5413,"(+/- 1859 )",3153,"(+/- 1563 )",3435,"(+/- 1297 )",1705,"(+/- 865 )"
Workers,"Employment Status","Population 16 years and over",550179,"(+/- 2547 )",574379,"(+/- 2847 )",620505,"(+/- 1972 )",570316,"(+/- 2499 )"
Workers,"Employment Status","In labor force",363378,"(+/- 4838 )",355087,"(+/- 5428 )",434182,"(+/- 5324 )",367715,"(+/- 5837 )"
Workers,"Employment Status","Civilian labor force",353605,"(+/- 5468 )",351033,"(+/- 5545 )",433921,"(+/- 5333 )",364388,"(+/- 5924 )"
Workers,"Employment Status",Employed,339326,"(+/- 5993 )",336740,"(+/- 5861 )",419021,"(+/- 5749 )",342385,"(+/- 5722 )"
Workers,"Employment Status",Unemployed,14279,"(+/- 2254 )",14293,"(+/- 2163 )",14900,"(+/- 2402 )",22003,"(+/- 2944 )"
Workers,"Employment Status","Armed Forces",9773,"(+/- 1937 )",4054,"(+/- 1045 )",261,"(+/- 276 )",3327,"(+/- 1214 )"
Workers,"Employment Status","Not in labor force",186801,"(+/- 4822 )",219292,"(+/- 5534 )",186323,"(+/- 5188 )",202601,"(+/- 5591 )"
Workers,"Employment Status","Civilian labor force",353605,"(+/- 5468 )",351033,"(+/- 5545 )",433921,"(+/- 5333 )",364388,"(+/- 5924 )"
Workers,"Employment Status","Unemployment Rate",4.0,"(+/- 0.6 )",4.1,"(+/- 0.6 )",3.4,"(+/- 0.6 )",6.0,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",342305,"(+/- 5451 )",334917,"(+/- 5784 )",411554,"(+/- 5761 )",340815,"(+/- 5578 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",260650,"(+/- 5791 )",256501,"(+/- 6741 )",273847,"(+/- 6757 )",272992,"(+/- 6250 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",32275,"(+/- 3267 )",28374,"(+/- 3404 )",25579,"(+/- 3417 )",26359,"(+/- 2538 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",310,"(+/- 238 )",1329,"(+/- 1053 )",978,"(+/- 623 )",1186,"(+/- 709 )"
Workers,"Commuting to Work",Walked,14715,"(+/- 2094 )",7146,"(+/- 1702 )",4984,"(+/- 1665 )",4979,"(+/- 1112 )"
Workers,"Commuting to Work","Other means",5425,"(+/- 1276 )",3364,"(+/- 894 )",4926,"(+/- 1286 )",6056,"(+/- 1462 )"
Workers,"Commuting to Work","Worked from home",28930,"(+/- 3081 )",38203,"(+/- 3294 )",101240,"(+/- 4859 )",29243,"(+/- 2727 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",16.6,"(+/- 0.6 )",20.3,"(+/- 0.6 )",21.4,"(+/- 0.6 )",20.1,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",339326,"(+/- 5993 )",336740,"(+/- 5861 )",419021,"(+/- 5749 )",342385,"(+/- 5722 )"
Workers,Occupation,"Management, business, science, and arts occupations",126451,"(+/- 5424 )",132042,"(+/- 4843 )",213479,"(+/- 5435 )",129409,"(+/- 4659 )"
Workers,Occupation,"Service occupations",57572,"(+/- 4134 )",61901,"(+/- 4389 )",47161,"(+/- 3784 )",55410,"(+/- 4219 )"
Workers,Occupation,"Sales and office occupations",63788,"(+/- 4450 )",65463,"(+/- 4361 )",89287,"(+/- 5042 )",71913,"(+/- 4553 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",38385,"(+/- 3367 )",30813,"(+/- 3176 )",24706,"(+/- 2906 )",35323,"(+/- 3345 )"
Workers,Occupation,"Production, transportation, and material moving occupations",53130,"(+/- 3867 )",46521,"(+/- 3664 )",44388,"(+/- 3638 )",50330,"(+/- 3506 )"
Workers,Industry,"Civilian employed population 16 years and over",339326,"(+/- 5993 )",336740,"(+/- 5861 )",419021,"(+/- 5749 )",342385,"(+/- 5722 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",25818,"(+/- 2579 )",10322,"(+/- 1732 )",3100,"(+/- 961 )",6823,"(+/- 869 )"
Workers,Industry,Construction,18782,"(+/- 1928 )",21612,"(+/- 2385 )",27048,"(+/- 3070 )",22553,"(+/- 2535 )"
Workers,Industry,Manufacturing,42468,"(+/- 3424 )",35144,"(+/- 3029 )",36986,"(+/- 2768 )",54794,"(+/- 3716 )"
Workers,Industry,"Wholesale trade",7962,"(+/- 1398 )",6114,"(+/- 1494 )",10169,"(+/- 1797 )",7977,"(+/- 1277 )"
Workers,Industry,"Retail trade",36091,"(+/- 3403 )",35243,"(+/- 3153 )",43391,"(+/- 3693 )",37752,"(+/- 3487 )"
Workers,Industry,"Transportation and warehousing, and utilities",16912,"(+/- 2252 )",20669,"(+/- 2181 )",24410,"(+/- 2559 )",18244,"(+/- 2019 )"
Workers,Industry,Information,5825,"(+/- 1285 )",4313,"(+/- 968 )",9342,"(+/- 1743 )",4058,"(+/- 1066 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",14980,"(+/- 1811 )",18838,"(+/- 2189 )",44146,"(+/- 4214 )",17114,"(+/- 2070 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",23565,"(+/- 2442 )",26105,"(+/- 3065 )",66619,"(+/- 4415 )",29818,"(+/- 2855 )"
Workers,Industry,"Educational services, and health care and social assistance",89937,"(+/- 4463 )",91576,"(+/- 4965 )",96986,"(+/- 4266 )",82794,"(+/- 3996 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",25729,"(+/- 2711 )",27651,"(+/- 3095 )",26120,"(+/- 3530 )",28793,"(+/- 3333 )"
Workers,Industry,"Other services, except public administration",14504,"(+/- 1816 )",15270,"(+/- 2351 )",15272,"(+/- 2258 )",16143,"(+/- 2533 )"
Workers,Industry,"Public administration",16753,"(+/- 2125 )",23883,"(+/- 2595 )",15432,"(+/- 2372 )",15522,"(+/- 2127 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",339326,"(+/- 5993 )",336740,"(+/- 5861 )",419021,"(+/- 5749 )",342385,"(+/- 5722 )"
Workers,"Class of Worker","Private wage and salary workers",244832,"(+/- 6475 )",243924,"(+/- 6111 )",343773,"(+/- 6470 )",271748,"(+/- 5871 )"
Workers,"Class of Worker","Government workers",66716,"(+/- 3561 )",71227,"(+/- 3924 )",52761,"(+/- 3411 )",52267,"(+/- 3964 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",27242,"(+/- 2547 )",21182,"(+/- 2662 )",22102,"(+/- 2656 )",18060,"(+/- 2409 )"
Workers,"Class of Worker","Unpaid family workers",536,"(+/- 297 )",407,"(+/- 262 )",385,"(+/- 365 )",310,"(+/- 254 )"
Housing,"Housing Occupancy","Total housing units",316163,"(+/- 1269 )",319835,"(+/- 1441 )",328437,"(+/- 992 )",319918,"(+/- 992 )"
Housing,"Housing Occupancy","Occupied housing units",276432,"(+/- 3064 )",286978,"(+/- 3112 )",312454,"(+/- 2564 )",283162,"(+/- 3588 )"
Housing,"Housing Occupancy","Vacant housing units",39731,"(+/- 2885 )",32857,"(+/- 3131 )",15983,"(+/- 2389 )",36756,"(+/- 3430 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.3,"(+/- 0.4 )",0.8,"(+/- 0.3 )",0.5,"(+/- 0.3 )",1.3,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",4.4,"(+/- 1.0 )",5.5,"(+/- 1.5 )",5.0,"(+/- 1.4 )",8.2,"(+/- 1.4 )"
Housing,"Housing Tenure","Occupied housing units",276432,"(+/- 3064 )",286978,"(+/- 3112 )",312454,"(+/- 2564 )",283162,"(+/- 3588 )"
Housing,"Housing Tenure",Owner-occupied,185948,"(+/- 4251 )",192594,"(+/- 3890 )",210890,"(+/- 3637 )",187308,"(+/- 4228 )"
Housing,"Housing Tenure",Renter-occupied,90484,"(+/- 4071 )",94384,"(+/- 3842 )",101564,"(+/- 3652 )",95854,"(+/- 3999 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.54,"(+/- 0.04 )",2.49,"(+/- 0.04 )",2.71,"(+/- 0.03 )",2.68,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.20,"(+/- 0.07 )",2.18,"(+/- 0.07 )",2.13,"(+/- 0.07 )",2.23,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",276432,"(+/- 3064 )",286978,"(+/- 3112 )",312454,"(+/- 2564 )",283162,"(+/- 3588 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",78584,"(+/- 4237 )",79684,"(+/- 4337 )",90735,"(+/- 3611 )",83977,"(+/- 4480 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",54248,"(+/- 3500 )",62718,"(+/- 3589 )",76087,"(+/- 3962 )",58892,"(+/- 3268 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",35294,"(+/- 3035 )",34421,"(+/- 2670 )",37945,"(+/- 2872 )",36389,"(+/- 2938 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",48118,"(+/- 2832 )",49619,"(+/- 2871 )",56585,"(+/- 3532 )",49015,"(+/- 3002 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",28397,"(+/- 2274 )",29932,"(+/- 2022 )",28017,"(+/- 2435 )",29607,"(+/- 2246 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",31791,"(+/- 2166 )",30604,"(+/- 2071 )",23085,"(+/- 2204 )",25282,"(+/- 1992 )"
Housing,Value,"Owner-occupied units",185948,"(+/- 4251 )",192594,"(+/- 3890 )",210890,"(+/- 3637 )",187308,"(+/- 4228 )"
Housing,Value,"Less than $50,000",23969,"(+/- 1951 )",23821,"(+/- 2002 )",8092,"(+/- 1433 )",17156,"(+/- 1791 )"
Housing,Value,"$50,000 to $99,999",42723,"(+/- 2573 )",34221,"(+/- 2640 )",9186,"(+/- 1334 )",35740,"(+/- 2221 )"
Housing,Value,"$100,000 to $149,999",31698,"(+/- 2792 )",31334,"(+/- 2112 )",12254,"(+/- 1496 )",32916,"(+/- 2402 )"
Housing,Value,"$150,000 to $199,999",31198,"(+/- 2508 )",34196,"(+/- 2956 )",20391,"(+/- 2024 )",32054,"(+/- 2306 )"
Housing,Value,"$200,000 to $299,999",33760,"(+/- 2363 )",35155,"(+/- 2470 )",54335,"(+/- 2977 )",39323,"(+/- 2468 )"
Housing,Value,"$300,000 to $499,999",17523,"(+/- 1735 )",25507,"(+/- 1772 )",71315,"(+/- 3601 )",23155,"(+/- 1920 )"
Housing,Value,"$500,000 to $999,999",4208,"(+/- 863 )",7878,"(+/- 1328 )",31097,"(+/- 2361 )",6093,"(+/- 1330 )"
Housing,Value,"$1,000,000 or more",869,"(+/- 322 )",482,"(+/- 259 )",4220,"(+/- 974 )",871,"(+/- 429 )"
Housing,Value,"Median (dollars)",140400,"(+/- 4903 )",159000,"(+/- 3561 )",302700,"(+/- 7573 )",161400,"(+/- 3587 )"
Housing,"Mortgage Status","Owner-occupied units",185948,"(+/- 4251 )",192594,"(+/- 3890 )",210890,"(+/- 3637 )",187308,"(+/- 4228 )"
Housing,"Mortgage Status","Housing units with a mortgage",94169,"(+/- 3226 )",105065,"(+/- 4158 )",139847,"(+/- 4133 )",110962,"(+/- 3774 )"
Housing,"Mortgage Status","Housing units without a mortgage",91779,"(+/- 3660 )",87529,"(+/- 3258 )",71043,"(+/- 3444 )",76346,"(+/- 3199 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",94169,"(+/- 3226 )",105065,"(+/- 4158 )",139847,"(+/- 4133 )",110962,"(+/- 3774 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2493,"(+/- 756 )",1826,"(+/- 554 )",648,"(+/- 441 )",1279,"(+/- 478 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",27793,"(+/- 2265 )",27189,"(+/- 2305 )",9819,"(+/- 1485 )",29189,"(+/- 2245 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",33486,"(+/- 2632 )",36515,"(+/- 2637 )",31485,"(+/- 2854 )",38289,"(+/- 2451 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",19109,"(+/- 2038 )",21377,"(+/- 2120 )",42036,"(+/- 2876 )",23580,"(+/- 2515 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",6267,"(+/- 1209 )",10361,"(+/- 1470 )",24521,"(+/- 2654 )",10368,"(+/- 1566 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",2472,"(+/- 746 )",4955,"(+/- 1249 )",13364,"(+/- 1682 )",3440,"(+/- 975 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",2549,"(+/- 572 )",2842,"(+/- 917 )",17974,"(+/- 2398 )",4817,"(+/- 1257 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1234,"(+/- 29 )",1316,"(+/- 28 )",1824,"(+/- 32 )",1318,"(+/- 32 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",91779,"(+/- 3660 )",87529,"(+/- 3258 )",71043,"(+/- 3444 )",76346,"(+/- 3199 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",7618,"(+/- 1386 )",8635,"(+/- 1208 )",2494,"(+/- 777 )",6232,"(+/- 1025 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",21444,"(+/- 2009 )",18553,"(+/- 1984 )",4990,"(+/- 1130 )",18676,"(+/- 1995 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",33280,"(+/- 2437 )",30717,"(+/- 2309 )",19463,"(+/- 2471 )",24949,"(+/- 1776 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",17436,"(+/- 1776 )",17011,"(+/- 1873 )",20669,"(+/- 1959 )",16434,"(+/- 1811 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6883,"(+/- 1086 )",7635,"(+/- 1154 )",12385,"(+/- 1525 )",5865,"(+/- 979 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",5118,"(+/- 926 )",4978,"(+/- 995 )",11042,"(+/- 1673 )",4190,"(+/- 883 )"
