People,Ancestry,Irish,105663,"(+/- 5638 )"
People,Ancestry,Italian,46437,"(+/- 3544 )"
People,Ancestry,Lithuanian,2732,"(+/- 1035 )"
People,Ancestry,Norwegian,7312,"(+/- 1435 )"
People,Ancestry,Polish,24008,"(+/- 2582 )"
People,Ancestry,Portuguese,2639,"(+/- 912 )"
People,Ancestry,Russian,7833,"(+/- 2261 )"
People,Ancestry,Scotch-Irish,7076,"(+/- 1306 )"
People,Ancestry,Scottish,24695,"(+/- 2862 )"
People,Ancestry,Slovak,1858,"(+/- 893 )"
People,Ancestry,"Subsaharan African",2307,"(+/- 851 )"
People,Ancestry,Swedish,8774,"(+/- 1637 )"
People,Ancestry,Swiss,3028,"(+/- 1059 )"
People,Ancestry,Ukrainian,1660,"(+/- 660 )"
People,Ancestry,Welsh,6391,"(+/- 1535 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1350,"(+/- 598 )"
People,"Veteran Status","Civilian population 18 years and over",527490,"(+/- 1032 )"
People,"Veteran Status","Civilian veterans",31971,"(+/- 2430 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",639228,"(+/- 639 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",87986,"(+/- 3829 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",116451,"(+/- 882 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5835,"(+/- 1074 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",392706,"(+/- 1285 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44176,"(+/- 3150 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",130071,"(+/- 794 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37975,"(+/- 2052 )"
People,"Residence 1 Year Ago","Population 1 year and over",641007,"(+/- 929 )"
People,"Residence 1 Year Ago","Same house",564684,"(+/- 5468 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",76323,"(+/- 5410 )"
People,"Residence 1 Year Ago","Different house in the U.S.",74263,"(+/- 5446 )"
People,"Residence 1 Year Ago","Same county",31024,"(+/- 3468 )"
People,"Residence 1 Year Ago","Different county",43239,"(+/- 4282 )"
People,"Residence 1 Year Ago","Same state",11430,"(+/- 1968 )"
People,"Residence 1 Year Ago","Different state",31809,"(+/- 3854 )"
People,"Residence 1 Year Ago",Abroad,2060,"(+/- 719 )"
Workers,"Employment Status","Population 16 years and over",542827,"(+/- 1239 )"
Workers,"Employment Status","In labor force",349096,"(+/- 4760 )"
Workers,"Employment Status","Civilian labor force",347783,"(+/- 4854 )"
Workers,"Employment Status",Employed,333135,"(+/- 4976 )"
Workers,"Employment Status",Unemployed,14648,"(+/- 1989 )"
Workers,"Employment Status","Armed Forces",1313,"(+/- 639 )"
Workers,"Employment Status","Not in labor force",193731,"(+/- 4690 )"
Workers,"Employment Status","Civilian labor force",347783,"(+/- 4854 )"
Workers,"Employment Status","Unemployment Rate",4.2,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",327910,"(+/- 4771 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",220259,"(+/- 5372 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",24108,"(+/- 2415 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1704,"(+/- 767 )"
Workers,"Commuting to Work",Walked,12881,"(+/- 1777 )"
Workers,"Commuting to Work","Other means",4731,"(+/- 1032 )"
Workers,"Commuting to Work","Worked from home",64227,"(+/- 3790 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.0,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",333135,"(+/- 4976 )"
Workers,Occupation,"Management, business, science, and arts occupations",156758,"(+/- 4074 )"
Workers,Occupation,"Service occupations",46009,"(+/- 3266 )"
Workers,Occupation,"Sales and office occupations",59201,"(+/- 3629 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34263,"(+/- 2799 )"
Workers,Occupation,"Production, transportation, and material moving occupations",36904,"(+/- 3133 )"
Workers,Industry,"Civilian employed population 16 years and over",333135,"(+/- 4976 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",8859,"(+/- 1524 )"
Workers,Industry,Construction,28383,"(+/- 3037 )"
Workers,Industry,Manufacturing,33484,"(+/- 2568 )"
Workers,Industry,"Wholesale trade",5449,"(+/- 1201 )"
Workers,Industry,"Retail trade",38037,"(+/- 3330 )"
Workers,Industry,"Transportation and warehousing, and utilities",11248,"(+/- 1582 )"
Workers,Industry,Information,6668,"(+/- 1319 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",16367,"(+/- 1926 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",31848,"(+/- 2693 )"
Workers,Industry,"Educational services, and health care and social assistance",96066,"(+/- 4409 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",25927,"(+/- 2633 )"
Workers,Industry,"Other services, except public administration",15195,"(+/- 1885 )"
Workers,Industry,"Public administration",15604,"(+/- 2023 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",333135,"(+/- 4976 )"
Workers,"Class of Worker","Private wage and salary workers",253388,"(+/- 5309 )"
Workers,"Class of Worker","Government workers",50369,"(+/- 3054 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",28806,"(+/- 2506 )"
Workers,"Class of Worker","Unpaid family workers",572,"(+/- 343 )"
Housing,"Housing Occupancy","Total housing units",336747,"(+/- 140 )"
Housing,"Housing Occupancy","Occupied housing units",270163,"(+/- 3018 )"
Housing,"Housing Occupancy","Vacant housing units",66584,"(+/- 3046 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",2.4,"(+/- 0.9 )"
Housing,"Housing Tenure","Occupied housing units",270163,"(+/- 3018 )"
Housing,"Housing Tenure",Owner-occupied,196291,"(+/- 3522 )"
Housing,"Housing Tenure",Renter-occupied,73872,"(+/- 3285 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.42,"(+/- 0.03 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.96,"(+/- 0.06 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",270163,"(+/- 3018 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",63617,"(+/- 3279 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",54637,"(+/- 3192 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",33701,"(+/- 2765 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",48799,"(+/- 2740 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",30371,"(+/- 1976 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",39038,"(+/- 2224 )"
Housing,Value,"Owner-occupied units",196291,"(+/- 3522 )"
Housing,Value,"Less than $50,000",9209,"(+/- 1151 )"
Housing,Value,"$50,000 to $99,999",9734,"(+/- 1345 )"
Housing,Value,"$100,000 to $149,999",17821,"(+/- 1651 )"
Housing,Value,"$150,000 to $199,999",25160,"(+/- 1976 )"
Housing,Value,"$200,000 to $299,999",49760,"(+/- 2604 )"
Housing,Value,"$300,000 to $499,999",58058,"(+/- 2864 )"
Housing,Value,"$500,000 to $999,999",22716,"(+/- 1753 )"
Housing,Value,"$1,000,000 or more",3833,"(+/- 852 )"
Housing,Value,"Median (dollars)",271500,"(+/- 4832 )"
Housing,"Mortgage Status","Owner-occupied units",196291,"(+/- 3522 )"
Housing,"Mortgage Status","Housing units with a mortgage",118730,"(+/- 3858 )"
Housing,"Mortgage Status","Housing units without a mortgage",77561,"(+/- 3418 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",118730,"(+/- 3858 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",674,"(+/- 335 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",12560,"(+/- 1231 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",33860,"(+/- 2426 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",34196,"(+/- 2577 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",18554,"(+/- 1880 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",8445,"(+/- 1338 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",10441,"(+/- 1408 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1664,"(+/- 29 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",77561,"(+/- 3418 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",2529,"(+/- 702 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",7463,"(+/- 1305 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",16364,"(+/- 1436 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",19452,"(+/- 1646 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",14150,"(+/- 1732 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",17603,"(+/- 1705 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",729,"(+/- 17 )"
Housing,"Gross Rent","Occupied units paying rent",70080,"(+/- 3306 )"
Housing,"Gross Rent","Less than $500",7225,"(+/- 1331 )"
Housing,"Gross Rent","$500 to $999",22459,"(+/- 2479 )"
Housing,"Gross Rent","$1,000 to $1,499",20519,"(+/- 2046 )"
Housing,"Gross Rent","$1,500 to $1,999",15083,"(+/- 2020 )"
Housing,"Gross Rent","$2,000 to $2,499",2939,"(+/- 1166 )"
Housing,"Gross Rent","$2,500 to $2,999",1132,"(+/- 537 )"
Housing,"Gross Rent","$3,000 or more",723,"(+/- 397 )"
Housing,"Gross Rent","Median (dollars)",1115,"(+/- 36 )"
Housing,"Gross Rent","No rent paid",3792,"(+/- 846 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",270163,"(+/- 3018 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",10992,"(+/- 1489 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",11594,"(+/- 1784 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",20314,"(+/- 1939 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",20263,"(+/- 2169 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",30047,"(+/- 2651 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",46130,"(+/- 2934 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",39632,"(+/- 2607 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",46810,"(+/- 2610 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",20828,"(+/- 2049 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",23553,"(+/- 1995 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",72431,"(+/- 2216 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",94496,"(+/- 2629 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",639228,"(+/- 639 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",615853,"(+/- 2953 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",447212,"(+/- 6539 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",266143,"(+/- 5838 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",23375,"(+/- 2965 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",126087,"(+/- 1774 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",2375,"(+/- 878 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.3,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.9,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",12.2,"(+/- 4.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.7,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",2.8,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.0,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",23.1,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",31.1,"(+/- 4.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",51.3,"(+/- 17.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.3,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",10.4,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",10.2,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",11.4,"(+/- 3.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",9.9,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.2,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.1,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.1,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",22.7,"(+/- 1.9 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",143264,"(+/- 3577 )"
Education,"School Enrollment","Nursery school, preschool",8077,"(+/- 1412 )"
Education,"School Enrollment",Kindergarten,6713,"(+/- 1205 )"
Education,"School Enrollment","Elementary school (grades 1-8)",53211,"(+/- 1654 )"
Education,"School Enrollment","High school (grades 9-12)",26846,"(+/- 1439 )"
Education,"School Enrollment","College or graduate school",48417,"(+/- 2614 )"
Education,"Educational Attainment","Population 25 years and over",462705,"(+/- 1886 )"
Education,"Educational Attainment","Less than 9th grade",7766,"(+/- 1202 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",17461,"(+/- 2275 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",121159,"(+/- 4035 )"
Education,"Educational Attainment","Some college, no degree",72908,"(+/- 3936 )"
Education,"Educational Attainment","Associate's degree",37790,"(+/- 2829 )"
Education,"Educational Attainment","Bachelor's degree",120373,"(+/- 5118 )"
Education,"Educational Attainment","Graduate or professional degree",85248,"(+/- 4122 )"
Education,"Educational Attainment","Percent high school graduate or higher",94.5,"(+/- 0.5 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",44.4,"(+/- 1.2 )"


"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District (At Large) Estimate","District (At Large) Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",258423,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",463,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",467,H
Business,"Paid employees for pay period including March 12",Utilities,1197,H
Business,"Paid employees for pay period including March 12",Construction,14185,G
Business,"Paid employees for pay period including March 12",Manufacturing,30658,G
Business,"Paid employees for pay period including March 12","Wholesale trade",10671,G
Business,"Paid employees for pay period including March 12","Retail trade",37020,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",5821,G
Business,"Paid employees for pay period including March 12",Information,7207,G
Business,"Paid employees for pay period including March 12","Finance and insurance",8984,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",2982,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",12304,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",2120,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",8562,G
Business,"Paid employees for pay period including March 12","Educational services",14837,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",50381,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",7247,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",32790,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",10505,G
Business,"Paid employees for pay period including March 12","Industries not classified",22,H
Business,"Annual payroll ($1,000)","Total for all sectors",11668150,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",21171,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",38016,H
Business,"Annual payroll ($1,000)",Utilities,134269,H
Business,"Annual payroll ($1,000)",Construction,787157,G
Business,"Annual payroll ($1,000)",Manufacturing,1755876,G
Business,"Annual payroll ($1,000)","Wholesale trade",661859,G
Business,"Annual payroll ($1,000)","Retail trade",1201807,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",249079,G
Business,"Annual payroll ($1,000)",Information,516629,G
Business,"Annual payroll ($1,000)","Finance and insurance",758712,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",136437,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",910695,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",179354,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",301389,G
Business,"Annual payroll ($1,000)","Educational services",493056,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2496977,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",133311,G
Business,"Annual payroll ($1,000)","Accommodation and food services",567381,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",324182,G
Business,"Annual payroll ($1,000)","Industries not classified",793,G
Business,"Total Establishments","Total for all sectors",20540,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",138,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",44,X
Business,"Total Establishments",Utilities,63,X
Business,"Total Establishments",Construction,2642,X
Business,"Total Establishments",Manufacturing,1015,X
Business,"Total Establishments","Wholesale trade",720,X
Business,"Total Establishments","Retail trade",3033,X
Business,"Total Establishments","Transportation and warehousing",452,X
Business,"Total Establishments",Information,491,X
Business,"Total Establishments","Finance and insurance",914,X
Business,"Total Establishments","Real estate and rental and leasing",782,X
Business,"Total Establishments","Professional, scientific, and technical services",2046,X
Business,"Total Establishments","Management of companies and enterprises",75,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1186,X
Business,"Total Establishments","Educational services",413,X
Business,"Total Establishments","Health care and social assistance",2121,X
Business,"Total Establishments","Arts, entertainment, and recreation",440,X
Business,"Total Establishments","Accommodation and food services",1885,X
Business,"Total Establishments","Other services (except public administration)",2055,X
Business,"Total Establishments","Industries not classified",25,X


"Source: 2020 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
