Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,Ancestry,English,58719,"(+/- 5367 )",91744,"(+/- 5502 )",53989,"(+/- 4554 )",59475,"(+/- 4715 )",66562,"(+/- 6834 )"
People,Ancestry,"French (except Basque)",35065,"(+/- 4250 )",55798,"(+/- 5447 )",16328,"(+/- 2517 )",9870,"(+/- 1778 )",27018,"(+/- 3207 )"
People,Ancestry,"French Canadian",19363,"(+/- 3078 )",26806,"(+/- 3267 )",10114,"(+/- 1787 )",6078,"(+/- 1836 )",14224,"(+/- 3064 )"
People,Ancestry,German,56132,"(+/- 5026 )",72883,"(+/- 7164 )",51780,"(+/- 4740 )",49592,"(+/- 5353 )",63043,"(+/- 6312 )"
People,Ancestry,Greek,4662,"(+/- 1790 )",4465,"(+/- 1450 )",5117,"(+/- 1846 )",7163,"(+/- 1884 )",4666,"(+/- 1710 )"
People,Ancestry,Hungarian,3716,"(+/- 1046 )",3939,"(+/- 1415 )",5982,"(+/- 1412 )",7934,"(+/- 1479 )",6078,"(+/- 1905 )"
People,Ancestry,Irish,87126,"(+/- 6826 )",115568,"(+/- 7281 )",97921,"(+/- 6895 )",97575,"(+/- 5623 )",99642,"(+/- 7578 )"
People,Ancestry,Italian,88739,"(+/- 6287 )",99448,"(+/- 5701 )",134070,"(+/- 7679 )",103650,"(+/- 6767 )",123183,"(+/- 8539 )"
People,Ancestry,Lithuanian,4838,"(+/- 1602 )",4178,"(+/- 1145 )",4056,"(+/- 1123 )",3643,"(+/- 1364 )",6289,"(+/- 1647 )"
People,Ancestry,Norwegian,2523,"(+/- 835 )",4824,"(+/- 1186 )",1573,"(+/- 583 )",4245,"(+/- 1350 )",4087,"(+/- 1397 )"
People,Ancestry,Polish,53691,"(+/- 5406 )",51848,"(+/- 5375 )",38011,"(+/- 4019 )",36178,"(+/- 4794 )",49481,"(+/- 4618 )"
People,Ancestry,Portuguese,6862,"(+/- 1874 )",8304,"(+/- 1926 )",11497,"(+/- 3420 )",6876,"(+/- 2094 )",7912,"(+/- 1890 )"
People,Ancestry,Russian,7819,"(+/- 1316 )",7580,"(+/- 1875 )",8822,"(+/- 1729 )",14786,"(+/- 2806 )",8125,"(+/- 1910 )"
People,Ancestry,Scotch-Irish,1593,"(+/- 617 )",4080,"(+/- 1207 )",2389,"(+/- 1038 )",1983,"(+/- 573 )",3584,"(+/- 1092 )"
People,Ancestry,Scottish,8227,"(+/- 1579 )",17272,"(+/- 3019 )",6904,"(+/- 1409 )",10281,"(+/- 1906 )",11201,"(+/- 2081 )"
People,Ancestry,Slovak,888,"(+/- 396 )",1392,"(+/- 683 )",5172,"(+/- 1423 )",4868,"(+/- 1090 )",3926,"(+/- 1580 )"
People,Ancestry,"Subsaharan African",9198,"(+/- 2829 )",3207,"(+/- 1129 )",12546,"(+/- 4336 )",10608,"(+/- 3332 )",5839,"(+/- 1948 )"
People,Ancestry,Swedish,8868,"(+/- 1997 )",13407,"(+/- 2037 )",8392,"(+/- 1808 )",6190,"(+/- 1556 )",10296,"(+/- 2045 )"
People,Ancestry,Swiss,903,"(+/- 546 )",3505,"(+/- 2392 )",788,"(+/- 455 )",1456,"(+/- 664 )",1241,"(+/- 503 )"
People,Ancestry,Ukrainian,3574,"(+/- 1266 )",2665,"(+/- 991 )",3568,"(+/- 1933 )",5727,"(+/- 1902 )",4227,"(+/- 1750 )"
People,Ancestry,Welsh,1301,"(+/- 568 )",3546,"(+/- 1359 )",1263,"(+/- 646 )",1624,"(+/- 861 )",2351,"(+/- 831 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",31549,"(+/- 5854 )",5330,"(+/- 1470 )",17165,"(+/- 4731 )",34954,"(+/- 5828 )",10158,"(+/- 3361 )"
People,"Veteran Status","Civilian population 18 years and over",573423,"(+/- 6393 )",568627,"(+/- 4880 )",573607,"(+/- 7576 )",581473,"(+/- 5348 )",571644,"(+/- 9243 )"
People,"Veteran Status","Civilian veterans",28088,"(+/- 2842 )",40604,"(+/- 2856 )",26399,"(+/- 3040 )",18400,"(+/- 1877 )",27193,"(+/- 2917 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",708167,"(+/- 7433 )",686750,"(+/- 5615 )",705995,"(+/- 8029 )",740894,"(+/- 6642 )",715720,"(+/- 10999 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",88202,"(+/- 5737 )",91089,"(+/- 4496 )",79058,"(+/- 4735 )",76276,"(+/- 4958 )",92389,"(+/- 6431 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",141551,"(+/- 4602 )",130868,"(+/- 3339 )",137224,"(+/- 5054 )",163818,"(+/- 4596 )",152682,"(+/- 8225 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7114,"(+/- 1786 )",7400,"(+/- 1650 )",5263,"(+/- 1269 )",7237,"(+/- 1383 )",7919,"(+/- 1688 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",437769,"(+/- 7201 )",426567,"(+/- 4992 )",448422,"(+/- 7756 )",455281,"(+/- 5507 )",432775,"(+/- 9571 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44536,"(+/- 3958 )",42676,"(+/- 3284 )",41521,"(+/- 3295 )",32656,"(+/- 3901 )",45768,"(+/- 4449 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",128847,"(+/- 3414 )",129315,"(+/- 2760 )",120349,"(+/- 4323 )",121795,"(+/- 3648 )",130263,"(+/- 5902 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36552,"(+/- 3104 )",41013,"(+/- 2638 )",32274,"(+/- 2547 )",36383,"(+/- 2866 )",38702,"(+/- 3661 )"
People,"Residence 1 Year Ago","Population 1 year and over",711180,"(+/- 7176 )",699812,"(+/- 5325 )",705581,"(+/- 7942 )",736637,"(+/- 6171 )",718260,"(+/- 10847 )"
People,"Residence 1 Year Ago","Same house",640107,"(+/- 8123 )",615774,"(+/- 8710 )",623177,"(+/- 10333 )",645270,"(+/- 10685 )",644181,"(+/- 11710 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",71073,"(+/- 6070 )",84038,"(+/- 7561 )",82404,"(+/- 7466 )",91367,"(+/- 8240 )",74079,"(+/- 7514 )"
People,"Residence 1 Year Ago","Different house in the U.S.",67011,"(+/- 5857 )",82603,"(+/- 7577 )",76525,"(+/- 7530 )",87864,"(+/- 8070 )",71943,"(+/- 7433 )"
People,"Residence 1 Year Ago","Same county",40471,"(+/- 4880 )",36681,"(+/- 5133 )",42664,"(+/- 5840 )",50488,"(+/- 6447 )",39911,"(+/- 6342 )"
People,"Residence 1 Year Ago","Different county",26540,"(+/- 3599 )",45922,"(+/- 6110 )",33861,"(+/- 3889 )",37376,"(+/- 4782 )",32032,"(+/- 4583 )"
People,"Residence 1 Year Ago","Same state",11418,"(+/- 2220 )",22960,"(+/- 4645 )",14925,"(+/- 2996 )",5865,"(+/- 1881 )",13945,"(+/- 3489 )"
People,"Residence 1 Year Ago","Different state",15122,"(+/- 2907 )",22962,"(+/- 3786 )",18936,"(+/- 3098 )",31511,"(+/- 4674 )",18087,"(+/- 3578 )"
People,"Residence 1 Year Ago",Abroad,4062,"(+/- 1621 )",1435,"(+/- 720 )",5879,"(+/- 1609 )",3503,"(+/- 1558 )",2136,"(+/- 1017 )"
Workers,"Employment Status","Population 16 years and over",592976,"(+/- 6487 )",592195,"(+/- 4972 )",592602,"(+/- 8126 )",601981,"(+/- 5357 )",591560,"(+/- 9698 )"
Workers,"Employment Status","In labor force",385882,"(+/- 8296 )",380381,"(+/- 7582 )",395517,"(+/- 9082 )",403508,"(+/- 6975 )",384871,"(+/- 9853 )"
Workers,"Employment Status","Civilian labor force",384753,"(+/- 8356 )",373382,"(+/- 7616 )",394924,"(+/- 9112 )",403049,"(+/- 7034 )",384467,"(+/- 9743 )"
Workers,"Employment Status",Employed,358225,"(+/- 7853 )",352188,"(+/- 7229 )",365728,"(+/- 8935 )",377875,"(+/- 7077 )",356926,"(+/- 9562 )"
Workers,"Employment Status",Unemployed,26528,"(+/- 2956 )",21194,"(+/- 2563 )",29196,"(+/- 3100 )",25174,"(+/- 3059 )",27541,"(+/- 2908 )"
Workers,"Employment Status","Armed Forces",1129,"(+/- 515 )",6999,"(+/- 1075 )",593,"(+/- 349 )",459,"(+/- 388 )",404,"(+/- 472 )"
Workers,"Employment Status","Not in labor force",207094,"(+/- 7141 )",211814,"(+/- 5739 )",197085,"(+/- 6792 )",198473,"(+/- 5198 )",206689,"(+/- 6925 )"
Workers,"Employment Status","Civilian labor force",384753,"(+/- 8356 )",373382,"(+/- 7616 )",394924,"(+/- 9112 )",403049,"(+/- 7034 )",384467,"(+/- 9743 )"
Workers,"Employment Status","Unemployment Rate",6.9,"(+/- 0.7 )",5.7,"(+/- 0.7 )",7.4,"(+/- 0.8 )",6.2,"(+/- 0.7 )",7.2,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",353326,"(+/- 7985 )",350547,"(+/- 7289 )",357405,"(+/- 8778 )",368681,"(+/- 7351 )",348771,"(+/- 9500 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",240707,"(+/- 7003 )",252002,"(+/- 6941 )",237711,"(+/- 8001 )",214675,"(+/- 6274 )",239623,"(+/- 9598 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",23696,"(+/- 3352 )",22092,"(+/- 3418 )",28770,"(+/- 3567 )",27453,"(+/- 3887 )",29538,"(+/- 3908 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",8428,"(+/- 1821 )",3745,"(+/- 1378 )",9574,"(+/- 2159 )",17299,"(+/- 2350 )",4692,"(+/- 1405 )"
Workers,"Commuting to Work",Walked,5430,"(+/- 1294 )",7053,"(+/- 1728 )",14501,"(+/- 2062 )",11241,"(+/- 2142 )",6823,"(+/- 1993 )"
Workers,"Commuting to Work","Other means",4806,"(+/- 1164 )",3539,"(+/- 1165 )",6192,"(+/- 1470 )",7044,"(+/- 1736 )",5741,"(+/- 1553 )"
Workers,"Commuting to Work","Worked from home",70259,"(+/- 5036 )",62116,"(+/- 4476 )",60657,"(+/- 4781 )",90969,"(+/- 5092 )",62354,"(+/- 4150 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.4,"(+/- 0.6 )",25.5,"(+/- 0.9 )",25.0,"(+/- 0.7 )",27.9,"(+/- 0.9 )",27.2,"(+/- 1.1 )"
Workers,Occupation,"Civilian employed population 16 years and over",358225,"(+/- 7853 )",352188,"(+/- 7229 )",365728,"(+/- 8935 )",377875,"(+/- 7077 )",356926,"(+/- 9562 )"
Workers,Occupation,"Management, business, science, and arts occupations",166026,"(+/- 5566 )",159754,"(+/- 6585 )",170766,"(+/- 7243 )",191667,"(+/- 6017 )",159765,"(+/- 5878 )"
Workers,Occupation,"Service occupations",57645,"(+/- 3956 )",55456,"(+/- 4386 )",60355,"(+/- 5166 )",55576,"(+/- 4505 )",57368,"(+/- 4967 )"
Workers,Occupation,"Sales and office occupations",69352,"(+/- 4526 )",69111,"(+/- 4851 )",69541,"(+/- 5442 )",76373,"(+/- 4933 )",69044,"(+/- 4751 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",20511,"(+/- 2663 )",27667,"(+/- 3038 )",27874,"(+/- 3054 )",21326,"(+/- 2792 )",26748,"(+/- 3453 )"
Workers,Occupation,"Production, transportation, and material moving occupations",44691,"(+/- 3542 )",40200,"(+/- 3574 )",37192,"(+/- 3493 )",32933,"(+/- 3811 )",44001,"(+/- 3992 )"
Workers,Industry,"Civilian employed population 16 years and over",358225,"(+/- 7853 )",352188,"(+/- 7229 )",365728,"(+/- 8935 )",377875,"(+/- 7077 )",356926,"(+/- 9562 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",766,"(+/- 437 )",2778,"(+/- 1096 )",1033,"(+/- 634 )",397,"(+/- 301 )",2330,"(+/- 1162 )"
Workers,Industry,Construction,17971,"(+/- 2470 )",20819,"(+/- 2377 )",23086,"(+/- 2848 )",23452,"(+/- 2661 )",25013,"(+/- 3516 )"
Workers,Industry,Manufacturing,42493,"(+/- 3813 )",45863,"(+/- 3035 )",39022,"(+/- 3714 )",31096,"(+/- 3318 )",42781,"(+/- 3697 )"
Workers,Industry,"Wholesale trade",7494,"(+/- 1891 )",6683,"(+/- 1474 )",5074,"(+/- 1406 )",9301,"(+/- 1664 )",8656,"(+/- 1741 )"
Workers,Industry,"Retail trade",38725,"(+/- 3600 )",43635,"(+/- 4215 )",38737,"(+/- 4248 )",41158,"(+/- 3702 )",39709,"(+/- 4062 )"
Workers,Industry,"Transportation and warehousing, and utilities",17418,"(+/- 2731 )",16827,"(+/- 2443 )",14356,"(+/- 2134 )",16026,"(+/- 2530 )",15251,"(+/- 2606 )"
Workers,Industry,Information,6286,"(+/- 1317 )",4399,"(+/- 1087 )",6249,"(+/- 1363 )",11279,"(+/- 2232 )",6739,"(+/- 1284 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",35903,"(+/- 2989 )",24373,"(+/- 2351 )",24423,"(+/- 2944 )",49665,"(+/- 3500 )",28707,"(+/- 2880 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",42970,"(+/- 3889 )",37191,"(+/- 3618 )",36786,"(+/- 3204 )",58852,"(+/- 3907 )",38787,"(+/- 3171 )"
Workers,Industry,"Educational services, and health care and social assistance",92909,"(+/- 4953 )",94995,"(+/- 4550 )",119960,"(+/- 6292 )",87400,"(+/- 5166 )",96184,"(+/- 4651 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",24309,"(+/- 2938 )",29735,"(+/- 3217 )",24855,"(+/- 3205 )",24078,"(+/- 2879 )",24461,"(+/- 3116 )"
Workers,Industry,"Other services, except public administration",15616,"(+/- 2141 )",11431,"(+/- 1871 )",18635,"(+/- 2897 )",16887,"(+/- 2378 )",14870,"(+/- 2298 )"
Workers,Industry,"Public administration",15365,"(+/- 2213 )",13459,"(+/- 1936 )",13512,"(+/- 2058 )",8284,"(+/- 1585 )",13438,"(+/- 2102 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",358225,"(+/- 7853 )",352188,"(+/- 7229 )",365728,"(+/- 8935 )",377875,"(+/- 7077 )",356926,"(+/- 9562 )"
Workers,"Class of Worker","Private wage and salary workers",291841,"(+/- 7886 )",273114,"(+/- 7344 )",295213,"(+/- 8251 )",311997,"(+/- 8197 )",279163,"(+/- 9320 )"
Workers,"Class of Worker","Government workers",48235,"(+/- 3954 )",56998,"(+/- 4115 )",48698,"(+/- 4154 )",37520,"(+/- 3769 )",49800,"(+/- 4173 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",17657,"(+/- 2474 )",21598,"(+/- 2449 )",21553,"(+/- 2605 )",27981,"(+/- 2749 )",27507,"(+/- 3021 )"
Workers,"Class of Worker","Unpaid family workers",492,"(+/- 409 )",478,"(+/- 653 )",264,"(+/- 207 )",377,"(+/- 331 )",456,"(+/- 341 )"
Housing,"Housing Occupancy","Total housing units",314353,"(+/- 3919 )",308155,"(+/- 2809 )",306885,"(+/- 4207 )",296251,"(+/- 3446 )",310683,"(+/- 5272 )"
Housing,"Housing Occupancy","Occupied housing units",291567,"(+/- 4192 )",282851,"(+/- 3697 )",289543,"(+/- 4786 )",278120,"(+/- 4013 )",286232,"(+/- 5440 )"
Housing,"Housing Occupancy","Vacant housing units",22786,"(+/- 2999 )",25304,"(+/- 3051 )",17342,"(+/- 2576 )",18131,"(+/- 2502 )",24451,"(+/- 2493 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.3,"(+/- 0.3 )",0.5,"(+/- 0.4 )",0.9,"(+/- 0.5 )",0.7,"(+/- 0.4 )",0.7,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.2,"(+/- 1.3 )",4.7,"(+/- 1.5 )",3.2,"(+/- 0.9 )",4.1,"(+/- 1.3 )",3.7,"(+/- 1.1 )"
Housing,"Housing Tenure","Occupied housing units",291567,"(+/- 4192 )",282851,"(+/- 3697 )",289543,"(+/- 4786 )",278120,"(+/- 4013 )",286232,"(+/- 5440 )"
Housing,"Housing Tenure",Owner-occupied,194873,"(+/- 5280 )",201485,"(+/- 4510 )",176466,"(+/- 4687 )",181328,"(+/- 4405 )",197364,"(+/- 5158 )"
Housing,"Housing Tenure",Renter-occupied,96694,"(+/- 4494 )",81366,"(+/- 3643 )",113077,"(+/- 5160 )",96792,"(+/- 4411 )",88868,"(+/- 3876 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.52,"(+/- 0.04 )",2.49,"(+/- 0.04 )",2.56,"(+/- 0.05 )",2.78,"(+/- 0.05 )",2.59,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.16,"(+/- 0.07 )",2.05,"(+/- 0.08 )",2.07,"(+/- 0.06 )",2.37,"(+/- 0.07 )",2.22,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",291567,"(+/- 4192 )",282851,"(+/- 3697 )",289543,"(+/- 4786 )",278120,"(+/- 4013 )",286232,"(+/- 5440 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",68575,"(+/- 4521 )",67893,"(+/- 4604 )",75545,"(+/- 4244 )",66152,"(+/- 4449 )",62768,"(+/- 3941 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",60297,"(+/- 3744 )",55059,"(+/- 3617 )",65654,"(+/- 3505 )",57753,"(+/- 3890 )",59845,"(+/- 3673 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",36017,"(+/- 2692 )",34186,"(+/- 3129 )",34019,"(+/- 3466 )",40528,"(+/- 2425 )",37096,"(+/- 2863 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",51591,"(+/- 3751 )",53799,"(+/- 3395 )",49005,"(+/- 3621 )",48591,"(+/- 3356 )",53828,"(+/- 3701 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",34490,"(+/- 2666 )",31729,"(+/- 2705 )",30019,"(+/- 2527 )",32863,"(+/- 2858 )",33965,"(+/- 2681 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",40597,"(+/- 2686 )",40185,"(+/- 2688 )",35301,"(+/- 2497 )",32233,"(+/- 2796 )",38730,"(+/- 3233 )"
Housing,Value,"Owner-occupied units",194873,"(+/- 5280 )",201485,"(+/- 4510 )",176466,"(+/- 4687 )",181328,"(+/- 4405 )",197364,"(+/- 5158 )"
Housing,Value,"Less than $50,000",6524,"(+/- 1537 )",6688,"(+/- 1380 )",4699,"(+/- 1183 )",4389,"(+/- 1125 )",4345,"(+/- 1030 )"
Housing,Value,"$50,000 to $99,999",3933,"(+/- 1070 )",5146,"(+/- 1014 )",4337,"(+/- 992 )",3361,"(+/- 1034 )",5489,"(+/- 1096 )"
