Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Hispanic or Latino and Race","Total population",698553,"(+/- 8466 )",712769,"(+/- 6017 )",704555,"(+/- 6984 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",351776,"(+/- 7128 )",408166,"(+/- 4657 )",299294,"(+/- 5812 )"
People,"Hispanic or Latino and Race",Mexican,212875,"(+/- 10117 )",325681,"(+/- 8648 )",146774,"(+/- 9346 )"
People,"Hispanic or Latino and Race","Puerto Rican",3093,"(+/- 1969 )",5326,"(+/- 2526 )",3866,"(+/- 1421 )"
People,"Hispanic or Latino and Race",Cuban,2789,"(+/- 1576 )",1031,"(+/- 629 )",1270,"(+/- 743 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",133019,"(+/- 10624 )",76128,"(+/- 8678 )",147384,"(+/- 10471 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",346777,"(+/- 6114 )",304603,"(+/- 4209 )",405261,"(+/- 5253 )"
People,"Place of Birth","Total population",698553,"(+/- 8466 )",712769,"(+/- 6017 )",704555,"(+/- 6984 )"
People,"Place of Birth",Native,628718,"(+/- 10055 )",630804,"(+/- 9464 )",663721,"(+/- 8659 )"
People,"Place of Birth","Born in United States",619345,"(+/- 10291 )",622923,"(+/- 9294 )",656966,"(+/- 8354 )"
People,"Place of Birth","State of residence",365028,"(+/- 11598 )",361778,"(+/- 12107 )",402817,"(+/- 9470 )"
People,"Place of Birth","Different state",254317,"(+/- 8453 )",261145,"(+/- 10280 )",254149,"(+/- 9190 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9373,"(+/- 1782 )",7881,"(+/- 2100 )",6755,"(+/- 1646 )"
People,"Place of Birth","Foreign born",69835,"(+/- 5552 )",81965,"(+/- 7554 )",40834,"(+/- 5512 )"
People,Ancestry,"Total population",698553,"(+/- 8466 )",712769,"(+/- 6017 )",704555,"(+/- 6984 )"
People,Ancestry,American,20964,"(+/- 3587 )",32449,"(+/- 5575 )",25336,"(+/- 4078 )"
People,Ancestry,Arab,4194,"(+/- 2066 )",1141,"(+/- 851 )",905,"(+/- 443 )"
People,Ancestry,Czech,1678,"(+/- 697 )",1914,"(+/- 985 )",780,"(+/- 390 )"
People,Ancestry,Danish,2204,"(+/- 735 )",2637,"(+/- 1193 )",2493,"(+/- 954 )"
People,Ancestry,Dutch,6925,"(+/- 1920 )",3199,"(+/- 1252 )",5336,"(+/- 1304 )"
People,Ancestry,English,62439,"(+/- 5564 )",53570,"(+/- 6188 )",59626,"(+/- 4633 )"
People,Ancestry,"French (except Basque)",11136,"(+/- 2259 )",6425,"(+/- 1407 )",12534,"(+/- 2415 )"
People,Ancestry,"French Canadian",1774,"(+/- 773 )",374,"(+/- 300 )",2368,"(+/- 1237 )"
People,Ancestry,German,70242,"(+/- 5351 )",61071,"(+/- 6824 )",61302,"(+/- 5864 )"
People,Ancestry,Greek,1735,"(+/- 643 )",1439,"(+/- 1043 )",1808,"(+/- 1199 )"
People,Ancestry,Hungarian,1342,"(+/- 561 )",632,"(+/- 552 )",1252,"(+/- 640 )"
People,Ancestry,Irish,53107,"(+/- 6291 )",43283,"(+/- 5516 )",46453,"(+/- 4482 )"
People,Ancestry,Italian,25426,"(+/- 3800 )",8187,"(+/- 1644 )",18856,"(+/- 3267 )"
People,Ancestry,Lithuanian,212,"(+/- 160 )",856,"(+/- 880 )",958,"(+/- 432 )"
People,Ancestry,Norwegian,5151,"(+/- 1211 )",3934,"(+/- 1358 )",4327,"(+/- 1219 )"
People,Ancestry,Polish,10515,"(+/- 2590 )",5300,"(+/- 2151 )",8729,"(+/- 1937 )"
People,Ancestry,Portuguese,1825,"(+/- 803 )",875,"(+/- 518 )",1806,"(+/- 693 )"
People,Ancestry,Russian,4670,"(+/- 1363 )",1426,"(+/- 684 )",3543,"(+/- 933 )"
People,Ancestry,Scotch-Irish,6661,"(+/- 1788 )",3570,"(+/- 1115 )",5533,"(+/- 1409 )"
People,Ancestry,Scottish,11869,"(+/- 2589 )",9105,"(+/- 2178 )",10981,"(+/- 2124 )"
People,Ancestry,Slovak,212,"(+/- 185 )",77,"(+/- 133 )",725,"(+/- 482 )"
People,Ancestry,"Subsaharan African",5103,"(+/- 2471 )",1720,"(+/- 1022 )",1866,"(+/- 1209 )"
People,Ancestry,Swedish,8514,"(+/- 2316 )",3442,"(+/- 1248 )",4161,"(+/- 1129 )"
People,Ancestry,Swiss,1677,"(+/- 711 )",958,"(+/- 450 )",859,"(+/- 359 )"
People,Ancestry,Ukrainian,1028,"(+/- 695 )",509,"(+/- 377 )",761,"(+/- 429 )"
People,Ancestry,Welsh,4013,"(+/- 1107 )",3599,"(+/- 1455 )",5668,"(+/- 2516 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",646,"(+/- 493 )",1498,"(+/- 1137 )",878,"(+/- 415 )"
People,"Veteran Status","Civilian population 18 years and over",552126,"(+/- 6620 )",535540,"(+/- 5358 )",542003,"(+/- 5465 )"
People,"Veteran Status","Civilian veterans",42891,"(+/- 3034 )",45618,"(+/- 3658 )",40415,"(+/- 3322 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",690502,"(+/- 8810 )",693635,"(+/- 6465 )",693189,"(+/- 7861 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",103920,"(+/- 6365 )",120482,"(+/- 6447 )",111306,"(+/- 5866 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",142131,"(+/- 3401 )",171528,"(+/- 2561 )",157605,"(+/- 2789 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6034,"(+/- 1599 )",7705,"(+/- 1992 )",7919,"(+/- 1394 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",421591,"(+/- 6517 )",395662,"(+/- 5685 )",401010,"(+/- 6186 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",55569,"(+/- 5257 )",61062,"(+/- 4894 )",54942,"(+/- 4505 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",126780,"(+/- 2582 )",126445,"(+/- 2630 )",134574,"(+/- 3059 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42317,"(+/- 2965 )",51715,"(+/- 4029 )",48445,"(+/- 3086 )"
People,"Residence 1 Year Ago","Population 1 year and over",694272,"(+/- 8656 )",699907,"(+/- 6368 )",698072,"(+/- 7020 )"
People,"Residence 1 Year Ago","Same house",599333,"(+/- 11642 )",611747,"(+/- 10818 )",617891,"(+/- 10213 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",94939,"(+/- 9175 )",88160,"(+/- 9768 )",80181,"(+/- 8390 )"
People,"Residence 1 Year Ago","Different house in the U.S.",93465,"(+/- 9143 )",84970,"(+/- 9679 )",78079,"(+/- 8278 )"
People,"Residence 1 Year Ago","Same county",59948,"(+/- 7792 )",42524,"(+/- 6109 )",34994,"(+/- 5420 )"
People,"Residence 1 Year Ago","Different county",33517,"(+/- 4806 )",42446,"(+/- 7605 )",43085,"(+/- 5848 )"
People,"Residence 1 Year Ago","Same state",10965,"(+/- 2637 )",20024,"(+/- 4322 )",20040,"(+/- 3704 )"
People,"Residence 1 Year Ago","Different state",22552,"(+/- 4280 )",22422,"(+/- 5549 )",23045,"(+/- 4168 )"
People,"Residence 1 Year Ago",Abroad,1474,"(+/- 583 )",3190,"(+/- 1583 )",2102,"(+/- 1260 )"
Workers,"Employment Status","Population 16 years and over",574218,"(+/- 7029 )",559879,"(+/- 5603 )",565985,"(+/- 5966 )"
Workers,"Employment Status","In labor force",350828,"(+/- 8945 )",298387,"(+/- 8417 )",318617,"(+/- 7705 )"
Workers,"Employment Status","Civilian labor force",346685,"(+/- 9056 )",292870,"(+/- 8516 )",313772,"(+/- 7603 )"
Workers,"Employment Status",Employed,323692,"(+/- 8855 )",267260,"(+/- 9449 )",287654,"(+/- 8125 )"
Workers,"Employment Status",Unemployed,22993,"(+/- 3155 )",25610,"(+/- 3336 )",26118,"(+/- 3485 )"
Workers,"Employment Status","Armed Forces",4143,"(+/- 1305 )",5517,"(+/- 1367 )",4845,"(+/- 1053 )"
Workers,"Employment Status","Not in labor force",223390,"(+/- 7172 )",261492,"(+/- 8411 )",247368,"(+/- 6394 )"
Workers,"Employment Status","Civilian labor force",346685,"(+/- 9056 )",292870,"(+/- 8516 )",313772,"(+/- 7603 )"
Workers,"Employment Status","Unemployment Rate",6.6,"(+/- 0.9 )",8.7,"(+/- 1.2 )",8.3,"(+/- 1.1 )"
Workers,"Commuting to Work","Workers 16 years and over",323251,"(+/- 8377 )",266354,"(+/- 9414 )",287794,"(+/- 8426 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",224408,"(+/- 7976 )",199277,"(+/- 7819 )",209843,"(+/- 9071 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",23459,"(+/- 3150 )",29180,"(+/- 5326 )",22093,"(+/- 2922 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1645,"(+/- 698 )",319,"(+/- 282 )",1246,"(+/- 580 )"
Workers,"Commuting to Work",Walked,6176,"(+/- 1595 )",4148,"(+/- 1254 )",3952,"(+/- 1231 )"
Workers,"Commuting to Work","Other means",6264,"(+/- 1812 )",7214,"(+/- 2066 )",4521,"(+/- 1492 )"
Workers,"Commuting to Work","Worked from home",61299,"(+/- 5046 )",26216,"(+/- 2965 )",46139,"(+/- 3777 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.4,"(+/- 1.0 )",21.8,"(+/- 1.2 )",24.4,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",323692,"(+/- 8855 )",267260,"(+/- 9449 )",287654,"(+/- 8125 )"
Workers,Occupation,"Management, business, science, and arts occupations",151915,"(+/- 7162 )",93862,"(+/- 6236 )",118713,"(+/- 6112 )"
Workers,Occupation,"Service occupations",57864,"(+/- 4726 )",49739,"(+/- 4130 )",58595,"(+/- 4316 )"
Workers,Occupation,"Sales and office occupations",56034,"(+/- 3804 )",52631,"(+/- 5374 )",54851,"(+/- 4707 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",27347,"(+/- 3373 )",36239,"(+/- 3825 )",26784,"(+/- 3648 )"
Workers,Occupation,"Production, transportation, and material moving occupations",30532,"(+/- 3776 )",34789,"(+/- 4477 )",28711,"(+/- 2842 )"
Workers,Industry,"Civilian employed population 16 years and over",323692,"(+/- 8855 )",267260,"(+/- 9449 )",287654,"(+/- 8125 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",3865,"(+/- 1229 )",20960,"(+/- 3968 )",9657,"(+/- 1688 )"
Workers,Industry,Construction,21010,"(+/- 3069 )",24512,"(+/- 4135 )",17518,"(+/- 2756 )"
Workers,Industry,Manufacturing,14125,"(+/- 2464 )",10806,"(+/- 2321 )",9973,"(+/- 1839 )"
Workers,Industry,"Wholesale trade",6059,"(+/- 1729 )",4329,"(+/- 1378 )",5496,"(+/- 1587 )"
Workers,Industry,"Retail trade",31080,"(+/- 3577 )",29218,"(+/- 3287 )",31308,"(+/- 3547 )"
Workers,Industry,"Transportation and warehousing, and utilities",14709,"(+/- 2616 )",17889,"(+/- 3084 )",13180,"(+/- 1932 )"
Workers,Industry,Information,5052,"(+/- 1408 )",1969,"(+/- 941 )",3788,"(+/- 1178 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",17127,"(+/- 2702 )",9720,"(+/- 2167 )",14682,"(+/- 2510 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",56050,"(+/- 4636 )",22195,"(+/- 3770 )",40491,"(+/- 2822 )"
Workers,Industry,"Educational services, and health care and social assistance",84290,"(+/- 4370 )",68654,"(+/- 5557 )",74104,"(+/- 4975 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",31976,"(+/- 3699 )",20660,"(+/- 3112 )",28545,"(+/- 3471 )"
Workers,Industry,"Other services, except public administration",12743,"(+/- 2064 )",14148,"(+/- 2910 )",12640,"(+/- 2114 )"
Workers,Industry,"Public administration",25606,"(+/- 3060 )",22200,"(+/- 2814 )",26272,"(+/- 3002 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",323692,"(+/- 8855 )",267260,"(+/- 9449 )",287654,"(+/- 8125 )"
Workers,"Class of Worker","Private wage and salary workers",231361,"(+/- 7374 )",182499,"(+/- 8944 )",193381,"(+/- 7748 )"
Workers,"Class of Worker","Government workers",73794,"(+/- 4736 )",63263,"(+/- 4432 )",73525,"(+/- 4701 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",18125,"(+/- 2548 )",19370,"(+/- 3005 )",20286,"(+/- 2569 )"
Workers,"Class of Worker","Unpaid family workers",412,"(+/- 410 )",2128,"(+/- 1695 )",462,"(+/- 392 )"
Housing,"Housing Occupancy","Total housing units",313244,"(+/- 2735 )",317896,"(+/- 2759 )",316902,"(+/- 2791 )"
Housing,"Housing Occupancy","Occupied housing units",295010,"(+/- 3470 )",267215,"(+/- 4306 )",271782,"(+/- 3994 )"
Housing,"Housing Occupancy","Vacant housing units",18234,"(+/- 2382 )",50681,"(+/- 3421 )",45120,"(+/- 2959 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.3,"(+/- 0.2 )",1.2,"(+/- 0.5 )",0.9,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",3.4,"(+/- 1.1 )",5.0,"(+/- 1.5 )",5.8,"(+/- 1.8 )"
Housing,"Housing Tenure","Occupied housing units",295010,"(+/- 3470 )",267215,"(+/- 4306 )",271782,"(+/- 3994 )"
Housing,"Housing Tenure",Owner-occupied,191223,"(+/- 4607 )",186414,"(+/- 5904 )",202071,"(+/- 4959 )"
Housing,"Housing Tenure",Renter-occupied,103787,"(+/- 4671 )",80801,"(+/- 4952 )",69711,"(+/- 4255 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.48,"(+/- 0.05 )",2.69,"(+/- 0.05 )",2.60,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.08,"(+/- 0.08 )",2.36,"(+/- 0.10 )",2.40,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",295010,"(+/- 3470 )",267215,"(+/- 4306 )",271782,"(+/- 3994 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",84264,"(+/- 5249 )",70482,"(+/- 4975 )",65361,"(+/- 3968 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",67121,"(+/- 4617 )",52904,"(+/- 3919 )",53696,"(+/- 3886 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",35005,"(+/- 3398 )",33758,"(+/- 3603 )",34747,"(+/- 3483 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",54164,"(+/- 4121 )",50210,"(+/- 4405 )",51607,"(+/- 3340 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",29954,"(+/- 2873 )",28113,"(+/- 2865 )",31132,"(+/- 2544 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",24502,"(+/- 2229 )",31748,"(+/- 3244 )",35239,"(+/- 2855 )"
Housing,Value,"Owner-occupied units",191223,"(+/- 4607 )",186414,"(+/- 5904 )",202071,"(+/- 4959 )"
Housing,Value,"Less than $50,000",11455,"(+/- 2165 )",24313,"(+/- 2875 )",28810,"(+/- 2305 )"
Housing,Value,"$50,000 to $99,999",7097,"(+/- 1313 )",27130,"(+/- 2469 )",15475,"(+/- 1807 )"
Housing,Value,"$100,000 to $149,999",14198,"(+/- 2169 )",33228,"(+/- 3215 )",20366,"(+/- 2491 )"
Housing,Value,"$150,000 to $199,999",32115,"(+/- 2911 )",31818,"(+/- 3417 )",22667,"(+/- 2401 )"
Housing,Value,"$200,000 to $299,999",54435,"(+/- 4009 )",38143,"(+/- 3168 )",44465,"(+/- 3417 )"
Housing,Value,"$300,000 to $499,999",50495,"(+/- 3583 )",22926,"(+/- 3101 )",41723,"(+/- 2988 )"
Housing,Value,"$500,000 to $999,999",18678,"(+/- 2099 )",7771,"(+/- 1675 )",22585,"(+/- 2482 )"
Housing,Value,"$1,000,000 or more",2750,"(+/- 922 )",1085,"(+/- 581 )",5980,"(+/- 1053 )"
Housing,Value,"Median (dollars)",251700,"(+/- 6472 )",163200,"(+/- 4684 )",228700,"(+/- 6951 )"
Housing,"Mortgage Status","Owner-occupied units",191223,"(+/- 4607 )",186414,"(+/- 5904 )",202071,"(+/- 4959 )"
Housing,"Mortgage Status","Housing units with a mortgage",120405,"(+/- 5020 )",85809,"(+/- 5023 )",98997,"(+/- 5030 )"
Housing,"Mortgage Status","Housing units without a mortgage",70818,"(+/- 3806 )",100605,"(+/- 5575 )",103074,"(+/- 4261 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",120405,"(+/- 5020 )",85809,"(+/- 5023 )",98997,"(+/- 5030 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",886,"(+/- 677 )",1682,"(+/- 711 )",2236,"(+/- 812 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",20293,"(+/- 2355 )",28272,"(+/- 3118 )",17086,"(+/- 2177 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",47217,"(+/- 4344 )",28650,"(+/- 3621 )",37848,"(+/- 3945 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",27721,"(+/- 2374 )",17179,"(+/- 2450 )",22294,"(+/- 2721 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",12554,"(+/- 1885 )",5840,"(+/- 1768 )",10069,"(+/- 1512 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4695,"(+/- 1194 )",1915,"(+/- 906 )",5032,"(+/- 1047 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",7039,"(+/- 1569 )",2271,"(+/- 1001 )",4432,"(+/- 927 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1416,"(+/- 27 )",1209,"(+/- 47 )",1384,"(+/- 38 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",70818,"(+/- 3806 )",100605,"(+/- 5575 )",103074,"(+/- 4261 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",8892,"(+/- 1573 )",25269,"(+/- 2998 )",24734,"(+/- 2571 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",20494,"(+/- 2135 )",35408,"(+/- 2987 )",31146,"(+/- 2703 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",22184,"(+/- 1926 )",28231,"(+/- 2653 )",25767,"(+/- 2607 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",12124,"(+/- 1854 )",8342,"(+/- 1823 )",11707,"(+/- 1847 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3852,"(+/- 1060 )",2432,"(+/- 901 )",5392,"(+/- 1129 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",3272,"(+/- 704 )",923,"(+/- 452 )",4328,"(+/- 1124 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",447,"(+/- 16 )",354,"(+/- 11 )",380,"(+/- 13 )"
Housing,"Gross Rent","Occupied units paying rent",99026,"(+/- 4379 )",73731,"(+/- 4829 )",63515,"(+/- 3918 )"
Housing,"Gross Rent","Less than $500",5819,"(+/- 1316 )",12937,"(+/- 2591 )",8122,"(+/- 1557 )"
Housing,"Gross Rent","$500 to $999",51361,"(+/- 3852 )",37399,"(+/- 4315 )",25916,"(+/- 2792 )"
Housing,"Gross Rent","$1,000 to $1,499",29764,"(+/- 3380 )",18566,"(+/- 3126 )",19303,"(+/- 2574 )"
Housing,"Gross Rent","$1,500 to $1,999",9350,"(+/- 1890 )",3909,"(+/- 1444 )",7249,"(+/- 1378 )"
Housing,"Gross Rent","$2,000 to $2,499",1328,"(+/- 662 )",409,"(+/- 636 )",1910,"(+/- 807 )"
Housing,"Gross Rent","$2,500 to $2,999",454,"(+/- 478 )",196,"(+/- 320 )",157,"(+/- 205 )"
Housing,"Gross Rent","$3,000 or more",950,"(+/- 368 )",315,"(+/- 354 )",858,"(+/- 568 )"
Housing,"Gross Rent","Median (dollars)",938,"(+/- 25 )",793,"(+/- 30 )",962,"(+/- 37 )"
Housing,"Gross Rent","No rent paid",4761,"(+/- 1268 )",7070,"(+/- 1516 )",6196,"(+/- 1342 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",295010,"(+/- 3470 )",267215,"(+/- 4306 )",271782,"(+/- 3994 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",23665,"(+/- 3081 )",28334,"(+/- 3107 )",23084,"(+/- 2592 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",13804,"(+/- 2008 )",14086,"(+/- 2789 )",13785,"(+/- 2293 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",25523,"(+/- 3151 )",31001,"(+/- 3520 )",23884,"(+/- 2486 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",25315,"(+/- 3228 )",28339,"(+/- 3435 )",23635,"(+/- 2232 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",37740,"(+/- 3401 )",37424,"(+/- 4102 )",34930,"(+/- 3008 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",49897,"(+/- 3805 )",46988,"(+/- 4144 )",47749,"(+/- 3831 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",34697,"(+/- 3052 )",27507,"(+/- 3093 )",32206,"(+/- 2834 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",43812,"(+/- 4057 )",32184,"(+/- 3623 )",39318,"(+/- 3135 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",18930,"(+/- 2283 )",11320,"(+/- 2110 )",16392,"(+/- 1888 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",21627,"(+/- 2465 )",10032,"(+/- 1777 )",16799,"(+/- 1962 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",58354,"(+/- 2609 )",47592,"(+/- 2652 )",57438,"(+/- 2546 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",83483,"(+/- 3068 )",66752,"(+/- 3280 )",80005,"(+/- 3026 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",690502,"(+/- 8810 )",693635,"(+/- 6465 )",693189,"(+/- 7861 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",621925,"(+/- 9764 )",620171,"(+/- 10256 )",628105,"(+/- 10762 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",402632,"(+/- 12896 )",339507,"(+/- 15520 )",364625,"(+/- 12295 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",317320,"(+/- 13938 )",378345,"(+/- 12632 )",360958,"(+/- 10439 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",68577,"(+/- 7205 )",73464,"(+/- 8769 )",65084,"(+/- 7219 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",152864,"(+/- 4085 )",182618,"(+/- 3062 )",167985,"(+/- 3178 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",10802,"(+/- 3385 )",11469,"(+/- 3988 )",9837,"(+/- 2720 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",12.4,"(+/- 1.7 )",17.5,"(+/- 1.9 )",13.1,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",19.3,"(+/- 3.2 )",24.9,"(+/- 3.3 )",20.0,"(+/- 2.9 )"
