Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,Race,"Native Hawaiian and Other Pacific Islander",1175,"(+/- 1108 )",92,"(+/- 116 )",8328,"(+/- 1683 )",2219,"(+/- 1745 )"
People,Race,"Some other race",10956,"(+/- 2431 )",20562,"(+/- 4153 )",38268,"(+/- 5136 )",20802,"(+/- 2902 )"
People,Race,"Two or more races",48749,"(+/- 5934 )",42838,"(+/- 5024 )",166994,"(+/- 10505 )",40673,"(+/- 4950 )"
People,"Hispanic or Latino and Race","Total population",714143,"(+/- 3986 )",771880,"(+/- 2385 )",851053,"(+/- 4247 )",688815,"(+/- 4620 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",28847,"(+/- 1295 )",43743,"(+/- 249 )",131246,"(+/- 980 )",43805,"(+/- 1338 )"
People,"Hispanic or Latino and Race",Mexican,20612,"(+/- 2090 )",26062,"(+/- 3150 )",85893,"(+/- 5436 )",35838,"(+/- 2771 )"
People,"Hispanic or Latino and Race","Puerto Rican",1851,"(+/- 1359 )",1703,"(+/- 755 )",4688,"(+/- 1865 )",1174,"(+/- 797 )"
People,"Hispanic or Latino and Race",Cuban,0,"(+/- 213 )",709,"(+/- 603 )",1570,"(+/- 750 )",488,"(+/- 528 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",6384,"(+/- 1494 )",15269,"(+/- 3082 )",39095,"(+/- 5163 )",6305,"(+/- 2261 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",685296,"(+/- 4075 )",728137,"(+/- 2346 )",719807,"(+/- 4083 )",645010,"(+/- 4528 )"
People,"Place of Birth","Total population",714143,"(+/- 3986 )",771880,"(+/- 2385 )",851053,"(+/- 4247 )",688815,"(+/- 4620 )"
People,"Place of Birth",Native,702204,"(+/- 4417 )",742549,"(+/- 4128 )",770452,"(+/- 5891 )",667698,"(+/- 5232 )"
People,"Place of Birth","Born in United States",697658,"(+/- 4456 )",737774,"(+/- 4148 )",761181,"(+/- 5867 )",665468,"(+/- 5289 )"
People,"Place of Birth","State of residence",478798,"(+/- 7107 )",521775,"(+/- 8684 )",421613,"(+/- 9448 )",440130,"(+/- 8496 )"
People,"Place of Birth","Different state",218860,"(+/- 6930 )",215999,"(+/- 8431 )",339568,"(+/- 9941 )",225338,"(+/- 7733 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4546,"(+/- 1227 )",4775,"(+/- 1215 )",9271,"(+/- 1594 )",2230,"(+/- 799 )"
People,"Place of Birth","Foreign born",11939,"(+/- 1851 )",29331,"(+/- 3069 )",80601,"(+/- 4827 )",21117,"(+/- 2236 )"
People,Ancestry,"Total population",714143,"(+/- 3986 )",771880,"(+/- 2385 )",851053,"(+/- 4247 )",688815,"(+/- 4620 )"
People,Ancestry,American,72398,"(+/- 7087 )",55300,"(+/- 6147 )",51269,"(+/- 5794 )",53092,"(+/- 6490 )"
People,Ancestry,Arab,592,"(+/- 450 )",1812,"(+/- 1091 )",4548,"(+/- 2350 )",320,"(+/- 343 )"
People,Ancestry,Czech,1213,"(+/- 777 )",896,"(+/- 499 )",4176,"(+/- 1707 )",699,"(+/- 602 )"
People,Ancestry,Danish,747,"(+/- 586 )",1196,"(+/- 753 )",2074,"(+/- 998 )",493,"(+/- 443 )"
People,Ancestry,Dutch,4663,"(+/- 1334 )",4656,"(+/- 1489 )",7179,"(+/- 1527 )",5538,"(+/- 1794 )"
People,Ancestry,English,83131,"(+/- 7342 )",99014,"(+/- 7556 )",99625,"(+/- 7282 )",74591,"(+/- 7194 )"
People,Ancestry,"French (except Basque)",7528,"(+/- 1683 )",11897,"(+/- 2190 )",14178,"(+/- 2887 )",8180,"(+/- 2214 )"
People,Ancestry,"French Canadian",457,"(+/- 279 )",651,"(+/- 409 )",1843,"(+/- 929 )",1217,"(+/- 558 )"
People,Ancestry,German,71824,"(+/- 5966 )",69072,"(+/- 5752 )",103631,"(+/- 6739 )",47686,"(+/- 5080 )"
People,Ancestry,Greek,221,"(+/- 246 )",1514,"(+/- 840 )",346,"(+/- 243 )",1084,"(+/- 1380 )"
People,Ancestry,Hungarian,257,"(+/- 216 )",144,"(+/- 144 )",959,"(+/- 615 )",977,"(+/- 628 )"
People,Ancestry,Irish,80983,"(+/- 7389 )",69061,"(+/- 6011 )",73637,"(+/- 6878 )",59593,"(+/- 5840 )"
People,Ancestry,Italian,9053,"(+/- 2198 )",11800,"(+/- 2320 )",14492,"(+/- 3089 )",7347,"(+/- 1816 )"
People,Ancestry,Lithuanian,53,"(+/- 100 )",173,"(+/- 207 )",451,"(+/- 425 )",317,"(+/- 301 )"
People,Ancestry,Norwegian,1932,"(+/- 1059 )",1688,"(+/- 749 )",5420,"(+/- 1429 )",2669,"(+/- 1015 )"
People,Ancestry,Polish,5876,"(+/- 1939 )",5894,"(+/- 1672 )",10329,"(+/- 2104 )",2463,"(+/- 1011 )"
People,Ancestry,Portuguese,404,"(+/- 484 )",663,"(+/- 410 )",606,"(+/- 374 )",283,"(+/- 353 )"
People,Ancestry,Russian,579,"(+/- 504 )",1346,"(+/- 924 )",1418,"(+/- 736 )",810,"(+/- 691 )"
People,Ancestry,Scotch-Irish,6241,"(+/- 1596 )",8000,"(+/- 1659 )",9152,"(+/- 1805 )",6946,"(+/- 2160 )"
People,Ancestry,Scottish,8267,"(+/- 1555 )",11836,"(+/- 2264 )",19063,"(+/- 3475 )",8572,"(+/- 2103 )"
People,Ancestry,Slovak,395,"(+/- 325 )",191,"(+/- 299 )",289,"(+/- 277 )",389,"(+/- 583 )"
People,Ancestry,"Subsaharan African",1571,"(+/- 880 )",7430,"(+/- 3082 )",2881,"(+/- 1736 )",6274,"(+/- 1943 )"
People,Ancestry,Swedish,2032,"(+/- 1045 )",3044,"(+/- 1015 )",4195,"(+/- 1368 )",1266,"(+/- 619 )"
People,Ancestry,Swiss,781,"(+/- 444 )",1224,"(+/- 695 )",1060,"(+/- 565 )",884,"(+/- 835 )"
People,Ancestry,Ukrainian,84,"(+/- 119 )",189,"(+/- 195 )",697,"(+/- 638 )",0,"(+/- 213 )"
People,Ancestry,Welsh,1867,"(+/- 684 )",3031,"(+/- 1100 )",4484,"(+/- 1441 )",1937,"(+/- 1131 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",91,"(+/- 95 )",1843,"(+/- 1001 )",448,"(+/- 425 )",1334,"(+/- 747 )"
People,"Veteran Status","Civilian population 18 years and over",545874,"(+/- 3228 )",591701,"(+/- 2391 )",646061,"(+/- 3156 )",530857,"(+/- 3927 )"
People,"Veteran Status","Civilian veterans",40945,"(+/- 2750 )",47026,"(+/- 3106 )",50417,"(+/- 4531 )",38788,"(+/- 2724 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",693461,"(+/- 4654 )",760263,"(+/- 3345 )",844500,"(+/- 4410 )",676477,"(+/- 4675 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",147337,"(+/- 6725 )",117891,"(+/- 5673 )",113979,"(+/- 7321 )",137844,"(+/- 5771 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",165745,"(+/- 2226 )",175368,"(+/- 1125 )",204308,"(+/- 2509 )",156454,"(+/- 2887 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",12468,"(+/- 2128 )",11175,"(+/- 2345 )",12853,"(+/- 2614 )",12826,"(+/- 2287 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",396795,"(+/- 3682 )",459723,"(+/- 2871 )",516959,"(+/- 3538 )",387204,"(+/- 3612 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",75648,"(+/- 5283 )",62163,"(+/- 4332 )",60823,"(+/- 5217 )",67349,"(+/- 3973 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",130921,"(+/- 2190 )",125172,"(+/- 1701 )",123233,"(+/- 1913 )",132819,"(+/- 2267 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",59221,"(+/- 2913 )",44553,"(+/- 3172 )",40303,"(+/- 2914 )",57669,"(+/- 2624 )"
People,"Residence 1 Year Ago","Population 1 year and over",706416,"(+/- 4209 )",763649,"(+/- 2904 )",837820,"(+/- 4552 )",682426,"(+/- 4509 )"
People,"Residence 1 Year Ago","Same house",602395,"(+/- 8891 )",658328,"(+/- 10595 )",725961,"(+/- 11019 )",608843,"(+/- 8359 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",104021,"(+/- 8295 )",105321,"(+/- 9892 )",111859,"(+/- 9442 )",73583,"(+/- 6673 )"
People,"Residence 1 Year Ago","Different house in the U.S.",103108,"(+/- 8308 )",103487,"(+/- 9749 )",109323,"(+/- 9368 )",73038,"(+/- 6602 )"
People,"Residence 1 Year Ago","Same county",57474,"(+/- 7723 )",64549,"(+/- 7890 )",57347,"(+/- 7546 )",36049,"(+/- 4540 )"
People,"Residence 1 Year Ago","Different county",45634,"(+/- 4534 )",38938,"(+/- 5377 )",51976,"(+/- 5610 )",36989,"(+/- 4367 )"
People,"Residence 1 Year Ago","Same state",26074,"(+/- 3373 )",21345,"(+/- 3854 )",26972,"(+/- 4319 )",23038,"(+/- 3813 )"
People,"Residence 1 Year Ago","Different state",19560,"(+/- 3482 )",17593,"(+/- 3910 )",25004,"(+/- 4403 )",13951,"(+/- 2463 )"
People,"Residence 1 Year Ago",Abroad,913,"(+/- 465 )",1834,"(+/- 918 )",2536,"(+/- 1185 )",545,"(+/- 355 )"
Workers,"Employment Status","Population 16 years and over",567685,"(+/- 3655 )",614536,"(+/- 2678 )",671008,"(+/- 3707 )",551806,"(+/- 4107 )"
Workers,"Employment Status","In labor force",312307,"(+/- 6987 )",381510,"(+/- 5965 )",420849,"(+/- 7533 )",293936,"(+/- 5193 )"
Workers,"Employment Status","Civilian labor force",309930,"(+/- 6978 )",377046,"(+/- 5766 )",420434,"(+/- 7586 )",293587,"(+/- 5190 )"
Workers,"Employment Status",Employed,285654,"(+/- 7490 )",357791,"(+/- 5577 )",402184,"(+/- 7734 )",277882,"(+/- 5462 )"
Workers,"Employment Status",Unemployed,24276,"(+/- 3203 )",19255,"(+/- 2533 )",18250,"(+/- 2648 )",15705,"(+/- 2171 )"
Workers,"Employment Status","Armed Forces",2377,"(+/- 879 )",4464,"(+/- 1290 )",415,"(+/- 333 )",349,"(+/- 278 )"
Workers,"Employment Status","Not in labor force",255378,"(+/- 7287 )",233026,"(+/- 6156 )",250159,"(+/- 7333 )",257870,"(+/- 5384 )"
Workers,"Employment Status","Civilian labor force",309930,"(+/- 6978 )",377046,"(+/- 5766 )",420434,"(+/- 7586 )",293587,"(+/- 5190 )"
Workers,"Employment Status","Unemployment Rate",7.8,"(+/- 1.0 )",5.1,"(+/- 0.7 )",4.3,"(+/- 0.6 )",5.3,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",280686,"(+/- 7628 )",356490,"(+/- 5537 )",396661,"(+/- 7291 )",274080,"(+/- 5637 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",226053,"(+/- 7552 )",278565,"(+/- 6789 )",300517,"(+/- 7431 )",227016,"(+/- 6623 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",30072,"(+/- 3531 )",30753,"(+/- 3222 )",31431,"(+/- 4633 )",22959,"(+/- 3243 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",91,"(+/- 100 )",1114,"(+/- 706 )",736,"(+/- 485 )",534,"(+/- 377 )"
Workers,"Commuting to Work",Walked,4619,"(+/- 1217 )",3407,"(+/- 979 )",5159,"(+/- 1325 )",4449,"(+/- 1144 )"
Workers,"Commuting to Work","Other means",3774,"(+/- 1248 )",3065,"(+/- 912 )",3548,"(+/- 863 )",2670,"(+/- 889 )"
Workers,"Commuting to Work","Worked from home",16077,"(+/- 2158 )",39586,"(+/- 3723 )",55270,"(+/- 4310 )",16452,"(+/- 2441 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.4,"(+/- 0.8 )",22.5,"(+/- 0.6 )",20.8,"(+/- 0.6 )",23.7,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",285654,"(+/- 7490 )",357791,"(+/- 5577 )",402184,"(+/- 7734 )",277882,"(+/- 5462 )"
Workers,Occupation,"Management, business, science, and arts occupations",94490,"(+/- 5206 )",151755,"(+/- 7189 )",153327,"(+/- 7071 )",89925,"(+/- 4608 )"
Workers,Occupation,"Service occupations",46140,"(+/- 3398 )",55063,"(+/- 5030 )",57426,"(+/- 5046 )",50009,"(+/- 3964 )"
Workers,Occupation,"Sales and office occupations",57605,"(+/- 4636 )",78203,"(+/- 5753 )",82151,"(+/- 5224 )",49200,"(+/- 3635 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34365,"(+/- 2829 )",29564,"(+/- 3336 )",43231,"(+/- 4293 )",29828,"(+/- 2962 )"
Workers,Occupation,"Production, transportation, and material moving occupations",53054,"(+/- 4021 )",43206,"(+/- 3831 )",66049,"(+/- 4608 )",58920,"(+/- 4219 )"
Workers,Industry,"Civilian employed population 16 years and over",285654,"(+/- 7490 )",357791,"(+/- 5577 )",402184,"(+/- 7734 )",277882,"(+/- 5462 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",9419,"(+/- 1455 )",3035,"(+/- 786 )",7222,"(+/- 1736 )",12273,"(+/- 2315 )"
Workers,Industry,Construction,19914,"(+/- 2368 )",25102,"(+/- 3522 )",35913,"(+/- 3761 )",15900,"(+/- 2028 )"
Workers,Industry,Manufacturing,41048,"(+/- 3486 )",27023,"(+/- 3213 )",51688,"(+/- 4490 )",47455,"(+/- 3658 )"
Workers,Industry,"Wholesale trade",7317,"(+/- 1622 )",9627,"(+/- 2021 )",9800,"(+/- 1891 )",3952,"(+/- 1283 )"
Workers,Industry,"Retail trade",37761,"(+/- 3548 )",43373,"(+/- 4855 )",61103,"(+/- 4389 )",33652,"(+/- 3433 )"
Workers,Industry,"Transportation and warehousing, and utilities",18862,"(+/- 2423 )",20933,"(+/- 3012 )",27375,"(+/- 3336 )",16213,"(+/- 2513 )"
Workers,Industry,Information,3109,"(+/- 959 )",5983,"(+/- 1687 )",5322,"(+/- 1383 )",1836,"(+/- 665 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",12076,"(+/- 1644 )",28257,"(+/- 3692 )",20626,"(+/- 3068 )",10100,"(+/- 1665 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",15883,"(+/- 2233 )",34452,"(+/- 3846 )",35182,"(+/- 3691 )",19417,"(+/- 2256 )"
Workers,Industry,"Educational services, and health care and social assistance",70920,"(+/- 4179 )",99637,"(+/- 6598 )",85039,"(+/- 5332 )",69974,"(+/- 4072 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",19744,"(+/- 2633 )",23816,"(+/- 3633 )",34250,"(+/- 3659 )",20500,"(+/- 2421 )"
Workers,Industry,"Other services, except public administration",14828,"(+/- 2086 )",16042,"(+/- 2563 )",18586,"(+/- 2235 )",11856,"(+/- 2015 )"
Workers,Industry,"Public administration",14773,"(+/- 2358 )",20511,"(+/- 3010 )",10078,"(+/- 2054 )",14754,"(+/- 2148 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",285654,"(+/- 7490 )",357791,"(+/- 5577 )",402184,"(+/- 7734 )",277882,"(+/- 5462 )"
Workers,"Class of Worker","Private wage and salary workers",215705,"(+/- 6289 )",274666,"(+/- 7336 )",325766,"(+/- 8055 )",207833,"(+/- 6017 )"
Workers,"Class of Worker","Government workers",48683,"(+/- 3882 )",61790,"(+/- 5268 )",45264,"(+/- 3750 )",49604,"(+/- 3722 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20867,"(+/- 2608 )",20795,"(+/- 2881 )",30531,"(+/- 3610 )",19694,"(+/- 2869 )"
Workers,"Class of Worker","Unpaid family workers",399,"(+/- 283 )",540,"(+/- 375 )",623,"(+/- 395 )",751,"(+/- 609 )"
Housing,"Housing Occupancy","Total housing units",333468,"(+/- 1844 )",354588,"(+/- 1345 )",361257,"(+/- 1712 )",331455,"(+/- 1811 )"
Housing,"Housing Occupancy","Occupied housing units",273912,"(+/- 3619 )",319147,"(+/- 3627 )",323384,"(+/- 4108 )",267232,"(+/- 4274 )"
Housing,"Housing Occupancy","Vacant housing units",59556,"(+/- 3777 )",35441,"(+/- 3661 )",37873,"(+/- 3828 )",64223,"(+/- 4205 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.6,"(+/- 0.5 )",1.0,"(+/- 0.5 )",0.9,"(+/- 0.4 )",1.1,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.8,"(+/- 1.5 )",5.6,"(+/- 1.6 )",6.7,"(+/- 1.6 )",7.3,"(+/- 1.5 )"
Housing,"Housing Tenure","Occupied housing units",273912,"(+/- 3619 )",319147,"(+/- 3627 )",323384,"(+/- 4108 )",267232,"(+/- 4274 )"
Housing,"Housing Tenure",Owner-occupied,187597,"(+/- 4519 )",203248,"(+/- 4333 )",213858,"(+/- 5314 )",188335,"(+/- 3758 )"
Housing,"Housing Tenure",Renter-occupied,86315,"(+/- 4126 )",115899,"(+/- 4594 )",109526,"(+/- 4338 )",78897,"(+/- 4139 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.56,"(+/- 0.05 )",2.45,"(+/- 0.04 )",2.66,"(+/- 0.05 )",2.53,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.45,"(+/- 0.09 )",2.22,"(+/- 0.07 )",2.41,"(+/- 0.08 )",2.44,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",273912,"(+/- 3619 )",319147,"(+/- 3627 )",323384,"(+/- 4108 )",267232,"(+/- 4274 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",77248,"(+/- 3984 )",105181,"(+/- 5386 )",107489,"(+/- 5152 )",63566,"(+/- 3838 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",54942,"(+/- 4140 )",71398,"(+/- 5098 )",76642,"(+/- 4406 )",54725,"(+/- 4179 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",35416,"(+/- 2847 )",37269,"(+/- 3562 )",42453,"(+/- 3246 )",35270,"(+/- 2410 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",49692,"(+/- 3216 )",48167,"(+/- 4192 )",49519,"(+/- 3543 )",51914,"(+/- 3036 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",27943,"(+/- 2337 )",28308,"(+/- 2646 )",25516,"(+/- 2857 )",28493,"(+/- 2292 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",28671,"(+/- 2677 )",28824,"(+/- 2418 )",21765,"(+/- 2526 )",33264,"(+/- 2460 )"
Housing,Value,"Owner-occupied units",187597,"(+/- 4519 )",203248,"(+/- 4333 )",213858,"(+/- 5314 )",188335,"(+/- 3758 )"
Housing,Value,"Less than $50,000",27892,"(+/- 2222 )",17369,"(+/- 2572 )",13192,"(+/- 2027 )",29062,"(+/- 2466 )"
Housing,Value,"$50,000 to $99,999",43933,"(+/- 3029 )",27426,"(+/- 3374 )",20139,"(+/- 2640 )",45046,"(+/- 2940 )"
Housing,Value,"$100,000 to $149,999",35370,"(+/- 3013 )",32277,"(+/- 2879 )",29208,"(+/- 3193 )",34204,"(+/- 2834 )"
Housing,Value,"$150,000 to $199,999",31800,"(+/- 3289 )",39940,"(+/- 3179 )",41508,"(+/- 3333 )",28736,"(+/- 2434 )"
Housing,Value,"$200,000 to $299,999",28404,"(+/- 2524 )",42745,"(+/- 3136 )",53307,"(+/- 3737 )",30716,"(+/- 2756 )"
Housing,Value,"$300,000 to $499,999",14394,"(+/- 2155 )",28319,"(+/- 2855 )",38064,"(+/- 3300 )",14524,"(+/- 1824 )"
Housing,Value,"$500,000 to $999,999",4685,"(+/- 1148 )",12319,"(+/- 1815 )",15817,"(+/- 2274 )",4759,"(+/- 1020 )"
Housing,Value,"$1,000,000 or more",1119,"(+/- 620 )",2853,"(+/- 979 )",2623,"(+/- 908 )",1288,"(+/- 552 )"
Housing,Value,"Median (dollars)",127600,"(+/- 5593 )",179000,"(+/- 5270 )",204700,"(+/- 6133 )",126300,"(+/- 5328 )"
Housing,"Mortgage Status","Owner-occupied units",187597,"(+/- 4519 )",203248,"(+/- 4333 )",213858,"(+/- 5314 )",188335,"(+/- 3758 )"
Housing,"Mortgage Status","Housing units with a mortgage",93211,"(+/- 4479 )",122176,"(+/- 4357 )",126650,"(+/- 5614 )",86141,"(+/- 3602 )"
Housing,"Mortgage Status","Housing units without a mortgage",94386,"(+/- 4262 )",81072,"(+/- 4614 )",87208,"(+/- 4340 )",102194,"(+/- 3420 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",93211,"(+/- 4479 )",122176,"(+/- 4357 )",126650,"(+/- 5614 )",86141,"(+/- 3602 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2789,"(+/- 860 )",2847,"(+/- 855 )",2038,"(+/- 850 )",3379,"(+/- 861 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",43163,"(+/- 3337 )",33412,"(+/- 2849 )",33940,"(+/- 3138 )",38636,"(+/- 2900 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",28490,"(+/- 2906 )",45425,"(+/- 3642 )",46707,"(+/- 3860 )",27648,"(+/- 2552 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",12128,"(+/- 1818 )",20519,"(+/- 2202 )",25246,"(+/- 2952 )",11276,"(+/- 1507 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",3666,"(+/- 915 )",11496,"(+/- 2010 )",10335,"(+/- 1667 )",3062,"(+/- 1010 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",2152,"(+/- 778 )",3547,"(+/- 933 )",4521,"(+/- 1031 )",1013,"(+/- 559 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",823,"(+/- 521 )",4930,"(+/- 1212 )",3863,"(+/- 875 )",1127,"(+/- 493 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1009,"(+/- 33 )",1232,"(+/- 30 )",1249,"(+/- 34 )",1014,"(+/- 32 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",94386,"(+/- 4262 )",81072,"(+/- 4614 )",87208,"(+/- 4340 )",102194,"(+/- 3420 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",20538,"(+/- 2299 )",14864,"(+/- 2620 )",14594,"(+/- 1860 )",22499,"(+/- 2385 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",35877,"(+/- 2928 )",26121,"(+/- 2686 )",32479,"(+/- 3184 )",39997,"(+/- 2999 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",26720,"(+/- 2280 )",24346,"(+/- 2148 )",24740,"(+/- 2707 )",26807,"(+/- 2621 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",8100,"(+/- 1589 )",8003,"(+/- 1472 )",8529,"(+/- 1674 )",8695,"(+/- 1350 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1702,"(+/- 539 )",3291,"(+/- 1205 )",3503,"(+/- 917 )",2576,"(+/- 803 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1449,"(+/- 632 )",4447,"(+/- 1551 )",3363,"(+/- 1009 )",1620,"(+/- 750 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",356,"(+/- 11 )",398,"(+/- 13 )",385,"(+/- 12 )",354,"(+/- 10 )"
