Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Place of Birth","State of residence",405425,"(+/- 6788 )",381601,"(+/- 9498 )",425861,"(+/- 7373 )"
People,"Place of Birth","Different state",182436,"(+/- 6475 )",221813,"(+/- 9458 )",127891,"(+/- 7052 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3046,"(+/- 860 )",4784,"(+/- 1308 )",2241,"(+/- 945 )"
People,"Place of Birth","Foreign born",9794,"(+/- 1503 )",12100,"(+/- 2145 )",5967,"(+/- 1415 )"
People,Ancestry,"Total population",600701,"(+/- 4617 )",620298,"(+/- 4340 )",561960,"(+/- 1162 )"
People,Ancestry,American,56739,"(+/- 6644 )",57888,"(+/- 7397 )",54202,"(+/- 5432 )"
People,Ancestry,Arab,2971,"(+/- 1095 )",1452,"(+/- 602 )",2489,"(+/- 1870 )"
People,Ancestry,Czech,1040,"(+/- 635 )",1134,"(+/- 677 )",234,"(+/- 231 )"
People,Ancestry,Danish,238,"(+/- 207 )",392,"(+/- 360 )",169,"(+/- 208 )"
People,Ancestry,Dutch,7173,"(+/- 1998 )",4631,"(+/- 1530 )",2426,"(+/- 1001 )"
People,Ancestry,English,84842,"(+/- 6522 )",86885,"(+/- 6394 )",119338,"(+/- 7158 )"
People,Ancestry,"French (except Basque)",7404,"(+/- 1785 )",7162,"(+/- 1946 )",4864,"(+/- 1580 )"
People,Ancestry,"French Canadian",668,"(+/- 708 )",1487,"(+/- 809 )",83,"(+/- 96 )"
People,Ancestry,German,116245,"(+/- 8005 )",109533,"(+/- 7903 )",47865,"(+/- 4961 )"
People,Ancestry,Greek,1747,"(+/- 1063 )",2165,"(+/- 1028 )",645,"(+/- 618 )"
People,Ancestry,Hungarian,4326,"(+/- 1572 )",2308,"(+/- 1126 )",2250,"(+/- 1113 )"
People,Ancestry,Irish,85366,"(+/- 7354 )",80950,"(+/- 6646 )",60969,"(+/- 6482 )"
People,Ancestry,Italian,40373,"(+/- 4368 )",23617,"(+/- 3798 )",10897,"(+/- 2326 )"
People,Ancestry,Lithuanian,529,"(+/- 417 )",139,"(+/- 130 )",108,"(+/- 147 )"
People,Ancestry,Norwegian,1355,"(+/- 639 )",1063,"(+/- 417 )",1493,"(+/- 679 )"
People,Ancestry,Polish,18618,"(+/- 3268 )",7207,"(+/- 2622 )",4824,"(+/- 1974 )"
People,Ancestry,Portuguese,15,"(+/- 31 )",287,"(+/- 290 )",39,"(+/- 68 )"
People,Ancestry,Russian,2245,"(+/- 1207 )",1105,"(+/- 814 )",494,"(+/- 312 )"
People,Ancestry,Scotch-Irish,7895,"(+/- 1738 )",10995,"(+/- 2733 )",6912,"(+/- 1669 )"
People,Ancestry,Scottish,14869,"(+/- 2654 )",13300,"(+/- 2576 )",8670,"(+/- 2186 )"
People,Ancestry,Slovak,2823,"(+/- 1304 )",317,"(+/- 276 )",502,"(+/- 456 )"
People,Ancestry,"Subsaharan African",2810,"(+/- 1049 )",2265,"(+/- 1046 )",650,"(+/- 552 )"
People,Ancestry,Swedish,2488,"(+/- 901 )",1718,"(+/- 972 )",1056,"(+/- 525 )"
People,Ancestry,Swiss,1243,"(+/- 617 )",1562,"(+/- 773 )",156,"(+/- 145 )"
People,Ancestry,Ukrainian,597,"(+/- 357 )",147,"(+/- 154 )",503,"(+/- 448 )"
People,Ancestry,Welsh,5349,"(+/- 1823 )",3063,"(+/- 967 )",1859,"(+/- 854 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",87,"(+/- 86 )",400,"(+/- 406 )",149,"(+/- 175 )"
People,"Veteran Status","Civilian population 18 years and over",481884,"(+/- 3476 )",489834,"(+/- 3600 )",447840,"(+/- 1383 )"
People,"Veteran Status","Civilian veterans",35112,"(+/- 2454 )",40007,"(+/- 3378 )",32152,"(+/- 2605 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",590144,"(+/- 5321 )",613399,"(+/- 4541 )",552344,"(+/- 2251 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",94800,"(+/- 3965 )",101454,"(+/- 5873 )",132604,"(+/- 6104 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",118032,"(+/- 2687 )",128800,"(+/- 2402 )",113538,"(+/- 1427 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6021,"(+/- 1393 )",6508,"(+/- 1580 )",7612,"(+/- 1927 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",354947,"(+/- 3801 )",362608,"(+/- 4064 )",316651,"(+/- 2532 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",49467,"(+/- 3501 )",53837,"(+/- 4210 )",70714,"(+/- 4793 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",117165,"(+/- 2125 )",121991,"(+/- 2537 )",122155,"(+/- 2000 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39312,"(+/- 2088 )",41109,"(+/- 3097 )",54278,"(+/- 3147 )"
People,"Residence 1 Year Ago","Population 1 year and over",595333,"(+/- 4635 )",614171,"(+/- 4724 )",558288,"(+/- 1531 )"
People,"Residence 1 Year Ago","Same house",525914,"(+/- 8336 )",554349,"(+/- 7256 )",503778,"(+/- 6060 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",69419,"(+/- 6731 )",59822,"(+/- 6095 )",54510,"(+/- 5664 )"
People,"Residence 1 Year Ago","Different house in the U.S.",68641,"(+/- 6649 )",59145,"(+/- 6095 )",53772,"(+/- 5606 )"
People,"Residence 1 Year Ago","Same county",32142,"(+/- 4671 )",26081,"(+/- 4059 )",28837,"(+/- 4397 )"
People,"Residence 1 Year Ago","Different county",36499,"(+/- 4499 )",33064,"(+/- 4902 )",24935,"(+/- 3501 )"
People,"Residence 1 Year Ago","Same state",21407,"(+/- 3580 )",12368,"(+/- 2034 )",16922,"(+/- 2847 )"
People,"Residence 1 Year Ago","Different state",15092,"(+/- 3035 )",20696,"(+/- 4661 )",8013,"(+/- 2344 )"
People,"Residence 1 Year Ago",Abroad,778,"(+/- 647 )",677,"(+/- 556 )",738,"(+/- 558 )"
Workers,"Employment Status","Population 16 years and over",496306,"(+/- 3549 )",507720,"(+/- 3882 )",461729,"(+/- 2086 )"
Workers,"Employment Status","In labor force",277600,"(+/- 6453 )",282247,"(+/- 6454 )",211582,"(+/- 6371 )"
Workers,"Employment Status","Civilian labor force",277222,"(+/- 6433 )",280858,"(+/- 6568 )",211340,"(+/- 6371 )"
Workers,"Employment Status",Employed,259285,"(+/- 6245 )",263991,"(+/- 6506 )",198203,"(+/- 6279 )"
Workers,"Employment Status",Unemployed,17937,"(+/- 2654 )",16867,"(+/- 3161 )",13137,"(+/- 2040 )"
Workers,"Employment Status","Armed Forces",378,"(+/- 390 )",1389,"(+/- 708 )",242,"(+/- 335 )"
Workers,"Employment Status","Not in labor force",218706,"(+/- 5888 )",225473,"(+/- 6368 )",250147,"(+/- 6320 )"
Workers,"Employment Status","Civilian labor force",277222,"(+/- 6433 )",280858,"(+/- 6568 )",211340,"(+/- 6371 )"
Workers,"Employment Status","Unemployment Rate",6.5,"(+/- 0.9 )",6.0,"(+/- 1.1 )",6.2,"(+/- 0.9 )"
Workers,"Commuting to Work","Workers 16 years and over",253671,"(+/- 5862 )",259014,"(+/- 6264 )",194614,"(+/- 6240 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",192937,"(+/- 6152 )",196218,"(+/- 6608 )",156354,"(+/- 6181 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",22468,"(+/- 2458 )",22653,"(+/- 3361 )",17443,"(+/- 2891 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",782,"(+/- 403 )",935,"(+/- 575 )",811,"(+/- 360 )"
Workers,"Commuting to Work",Walked,6749,"(+/- 1523 )",5166,"(+/- 1470 )",3185,"(+/- 1135 )"
Workers,"Commuting to Work","Other means",2934,"(+/- 981 )",3689,"(+/- 1266 )",2706,"(+/- 1083 )"
Workers,"Commuting to Work","Worked from home",27801,"(+/- 2861 )",30353,"(+/- 4088 )",14115,"(+/- 2173 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.3,"(+/- 0.8 )",27.2,"(+/- 1.0 )",25.4,"(+/- 1.0 )"
Workers,Occupation,"Civilian employed population 16 years and over",259285,"(+/- 6245 )",263991,"(+/- 6506 )",198203,"(+/- 6279 )"
Workers,Occupation,"Management, business, science, and arts occupations",102226,"(+/- 4853 )",99075,"(+/- 5843 )",67064,"(+/- 4660 )"
Workers,Occupation,"Service occupations",45686,"(+/- 3702 )",44655,"(+/- 3607 )",41488,"(+/- 3753 )"
Workers,Occupation,"Sales and office occupations",50020,"(+/- 3424 )",56541,"(+/- 4468 )",40100,"(+/- 3706 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",25001,"(+/- 2518 )",25201,"(+/- 3157 )",23378,"(+/- 3281 )"
Workers,Occupation,"Production, transportation, and material moving occupations",36352,"(+/- 3322 )",38519,"(+/- 3514 )",26173,"(+/- 2721 )"
Workers,Industry,"Civilian employed population 16 years and over",259285,"(+/- 6245 )",263991,"(+/- 6506 )",198203,"(+/- 6279 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",8514,"(+/- 1486 )",5605,"(+/- 1294 )",7325,"(+/- 1575 )"
Workers,Industry,Construction,16421,"(+/- 2255 )",18920,"(+/- 2793 )",12134,"(+/- 2225 )"
Workers,Industry,Manufacturing,20304,"(+/- 2479 )",23322,"(+/- 3158 )",14653,"(+/- 2151 )"
Workers,Industry,"Wholesale trade",4773,"(+/- 1217 )",4324,"(+/- 1439 )",4473,"(+/- 1173 )"
Workers,Industry,"Retail trade",31721,"(+/- 2722 )",29528,"(+/- 3626 )",25524,"(+/- 3273 )"
Workers,Industry,"Transportation and warehousing, and utilities",14493,"(+/- 2193 )",16731,"(+/- 2438 )",11089,"(+/- 1884 )"
Workers,Industry,Information,3344,"(+/- 971 )",4199,"(+/- 1112 )",3317,"(+/- 1008 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",9790,"(+/- 1580 )",16013,"(+/- 2469 )",7477,"(+/- 1625 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",18933,"(+/- 2243 )",25320,"(+/- 3170 )",12460,"(+/- 1868 )"
Workers,Industry,"Educational services, and health care and social assistance",77747,"(+/- 4392 )",69764,"(+/- 4563 )",60205,"(+/- 4739 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",22127,"(+/- 3056 )",21011,"(+/- 3198 )",18937,"(+/- 2800 )"
Workers,Industry,"Other services, except public administration",14438,"(+/- 2308 )",9613,"(+/- 1592 )",9241,"(+/- 2046 )"
Workers,Industry,"Public administration",16680,"(+/- 2232 )",19641,"(+/- 2546 )",11368,"(+/- 2362 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",259285,"(+/- 6245 )",263991,"(+/- 6506 )",198203,"(+/- 6279 )"
Workers,"Class of Worker","Private wage and salary workers",192568,"(+/- 6294 )",201259,"(+/- 6426 )",149184,"(+/- 6351 )"
Workers,"Class of Worker","Government workers",55325,"(+/- 4404 )",50930,"(+/- 3620 )",37623,"(+/- 4470 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",11020,"(+/- 2056 )",11417,"(+/- 2484 )",10172,"(+/- 1970 )"
Workers,"Class of Worker","Unpaid family workers",372,"(+/- 252 )",385,"(+/- 302 )",1224,"(+/- 872 )"
Housing,"Housing Occupancy","Total housing units",285738,"(+/- 2154 )",292061,"(+/- 1873 )",280663,"(+/- 1525 )"
Housing,"Housing Occupancy","Occupied housing units",245955,"(+/- 3529 )",248904,"(+/- 3359 )",227342,"(+/- 3498 )"
Housing,"Housing Occupancy","Vacant housing units",39783,"(+/- 3029 )",43157,"(+/- 3265 )",53321,"(+/- 3566 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.2,"(+/- 0.5 )",0.9,"(+/- 0.4 )",1.1,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",9.3,"(+/- 2.2 )",3.7,"(+/- 1.5 )",6.1,"(+/- 2.1 )"
Housing,"Housing Tenure","Occupied housing units",245955,"(+/- 3529 )",248904,"(+/- 3359 )",227342,"(+/- 3498 )"
Housing,"Housing Tenure",Owner-occupied,183033,"(+/- 4303 )",187978,"(+/- 4229 )",171794,"(+/- 4567 )"
Housing,"Housing Tenure",Renter-occupied,62922,"(+/- 4148 )",60926,"(+/- 3733 )",55548,"(+/- 3585 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.45,"(+/- 0.04 )",2.52,"(+/- 0.05 )",2.51,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.09,"(+/- 0.07 )",2.24,"(+/- 0.10 )",2.10,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",245955,"(+/- 3529 )",248904,"(+/- 3359 )",227342,"(+/- 3498 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",52204,"(+/- 3757 )",51971,"(+/- 3558 )",42297,"(+/- 3418 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",42299,"(+/- 3293 )",49781,"(+/- 3545 )",39770,"(+/- 3261 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",32064,"(+/- 3160 )",31401,"(+/- 2989 )",27969,"(+/- 2925 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",45491,"(+/- 2851 )",48298,"(+/- 3096 )",46361,"(+/- 3718 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",28910,"(+/- 2464 )",28809,"(+/- 2784 )",31461,"(+/- 2889 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",44987,"(+/- 2614 )",38644,"(+/- 2455 )",39484,"(+/- 2666 )"
Housing,Value,"Owner-occupied units",183033,"(+/- 4303 )",187978,"(+/- 4229 )",171794,"(+/- 4567 )"
Housing,Value,"Less than $50,000",24795,"(+/- 2548 )",20954,"(+/- 2340 )",32837,"(+/- 2882 )"
Housing,Value,"$50,000 to $99,999",37478,"(+/- 2999 )",27208,"(+/- 2111 )",47917,"(+/- 3210 )"
Housing,Value,"$100,000 to $149,999",31360,"(+/- 2691 )",30665,"(+/- 2838 )",28143,"(+/- 3506 )"
Housing,Value,"$150,000 to $199,999",31409,"(+/- 2837 )",31188,"(+/- 2817 )",27548,"(+/- 2728 )"
Housing,Value,"$200,000 to $299,999",32510,"(+/- 2211 )",40442,"(+/- 3126 )",21911,"(+/- 2597 )"
Housing,Value,"$300,000 to $499,999",19484,"(+/- 2124 )",28962,"(+/- 2850 )",9236,"(+/- 1601 )"
Housing,Value,"$500,000 to $999,999",4752,"(+/- 1208 )",6782,"(+/- 1203 )",3642,"(+/- 1113 )"
Housing,Value,"$1,000,000 or more",1245,"(+/- 647 )",1777,"(+/- 651 )",560,"(+/- 408 )"
Housing,Value,"Median (dollars)",146100,"(+/- 6053 )",172300,"(+/- 4645 )",107000,"(+/- 4257 )"
Housing,"Mortgage Status","Owner-occupied units",183033,"(+/- 4303 )",187978,"(+/- 4229 )",171794,"(+/- 4567 )"
Housing,"Mortgage Status","Housing units with a mortgage",85654,"(+/- 3870 )",99161,"(+/- 4084 )",66195,"(+/- 4040 )"
Housing,"Mortgage Status","Housing units without a mortgage",97379,"(+/- 4395 )",88817,"(+/- 4046 )",105599,"(+/- 3902 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",85654,"(+/- 3870 )",99161,"(+/- 4084 )",66195,"(+/- 4040 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",3654,"(+/- 829 )",1708,"(+/- 710 )",3122,"(+/- 981 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",37832,"(+/- 3404 )",32687,"(+/- 3095 )",32792,"(+/- 3343 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",24297,"(+/- 2329 )",34742,"(+/- 3123 )",20807,"(+/- 2575 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",12273,"(+/- 1860 )",18107,"(+/- 1994 )",6291,"(+/- 1319 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",4755,"(+/- 1012 )",7335,"(+/- 1361 )",1373,"(+/- 687 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1438,"(+/- 561 )",1989,"(+/- 684 )",985,"(+/- 551 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",1405,"(+/- 621 )",2593,"(+/- 808 )",825,"(+/- 438 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1023,"(+/- 43 )",1185,"(+/- 29 )",956,"(+/- 34 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",97379,"(+/- 4395 )",88817,"(+/- 4046 )",105599,"(+/- 3902 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",27534,"(+/- 2407 )",19303,"(+/- 2103 )",29101,"(+/- 2964 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",39963,"(+/- 3121 )",35464,"(+/- 3253 )",36616,"(+/- 2832 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",20323,"(+/- 2153 )",21978,"(+/- 2076 )",29233,"(+/- 2745 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",6951,"(+/- 1367 )",8605,"(+/- 1600 )",7498,"(+/- 1631 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1853,"(+/- 721 )",2431,"(+/- 744 )",2394,"(+/- 799 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",755,"(+/- 378 )",1036,"(+/- 538 )",757,"(+/- 384 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",327,"(+/- 8 )",345,"(+/- 8 )",343,"(+/- 11 )"
Housing,"Gross Rent","Occupied units paying rent",54387,"(+/- 4069 )",53284,"(+/- 3561 )",45372,"(+/- 3514 )"
Housing,"Gross Rent","Less than $500",10689,"(+/- 1873 )",8583,"(+/- 1404 )",9569,"(+/- 1425 )"
Housing,"Gross Rent","$500 to $999",32397,"(+/- 3033 )",27189,"(+/- 2984 )",28480,"(+/- 3044 )"
Housing,"Gross Rent","$1,000 to $1,499",9460,"(+/- 1904 )",14305,"(+/- 2433 )",6340,"(+/- 1596 )"
Housing,"Gross Rent","$1,500 to $1,999",1524,"(+/- 706 )",2138,"(+/- 753 )",791,"(+/- 479 )"
Housing,"Gross Rent","$2,000 to $2,499",260,"(+/- 233 )",895,"(+/- 577 )",192,"(+/- 313 )"
Housing,"Gross Rent","$2,500 to $2,999",57,"(+/- 102 )",0,"(+/- 216 )",0,"(+/- 216 )"
Housing,"Gross Rent","$3,000 or more",0,"(+/- 216 )",174,"(+/- 160 )",0,"(+/- 216 )"
Housing,"Gross Rent","Median (dollars)",732,"(+/- 38 )",855,"(+/- 25 )",716,"(+/- 26 )"
Housing,"Gross Rent","No rent paid",8535,"(+/- 1408 )",7642,"(+/- 1313 )",10176,"(+/- 1706 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",245955,"(+/- 3529 )",248904,"(+/- 3359 )",227342,"(+/- 3498 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",17904,"(+/- 2444 )",16701,"(+/- 2510 )",26328,"(+/- 3030 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",13282,"(+/- 1869 )",13240,"(+/- 2062 )",15948,"(+/- 2322 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",25749,"(+/- 2401 )",25177,"(+/- 2567 )",27672,"(+/- 2379 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",24983,"(+/- 2511 )",19327,"(+/- 2400 )",26166,"(+/- 3034 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",33967,"(+/- 2959 )",32555,"(+/- 2708 )",34133,"(+/- 2858 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",38684,"(+/- 3097 )",45555,"(+/- 3511 )",39055,"(+/- 3340 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",30212,"(+/- 3120 )",33304,"(+/- 3437 )",21874,"(+/- 2409 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",35549,"(+/- 2846 )",36381,"(+/- 3423 )",21604,"(+/- 2619 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",12618,"(+/- 1677 )",14873,"(+/- 2028 )",7918,"(+/- 1500 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",13007,"(+/- 1719 )",11791,"(+/- 1852 )",6644,"(+/- 1442 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",52996,"(+/- 2355 )",59295,"(+/- 2079 )",42238,"(+/- 2203 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",77846,"(+/- 3248 )",77653,"(+/- 3078 )",60420,"(+/- 2698 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",590144,"(+/- 5321 )",613399,"(+/- 4541 )",552344,"(+/- 2251 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",553405,"(+/- 6381 )",577655,"(+/- 5938 )",518010,"(+/- 4828 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",396284,"(+/- 9899 )",392367,"(+/- 11246 )",311919,"(+/- 8883 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",258194,"(+/- 9502 )",287054,"(+/- 10214 )",312462,"(+/- 9139 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",36739,"(+/- 4011 )",35744,"(+/- 4728 )",34334,"(+/- 4562 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",126070,"(+/- 3125 )",136155,"(+/- 2782 )",118611,"(+/- 2104 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",3574,"(+/- 1235 )",4683,"(+/- 1563 )",4359,"(+/- 1698 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",10.4,"(+/- 1.2 )",11.2,"(+/- 1.4 )",15.5,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",17.0,"(+/- 2.4 )",18.3,"(+/- 3.0 )",24.4,"(+/- 3.3 )"
