Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",6663,"(+/- 2573 )",6481,"(+/- 1883 )",6538,"(+/- 2186 )",11835,"(+/- 3109 )",14042,"(+/- 3166 )",10051,"(+/- 2679 )",7059,"(+/- 2293 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",709818,"(+/- 2788 )",660414,"(+/- 7284 )",718615,"(+/- 5831 )",656700,"(+/- 5877 )",728901,"(+/- 5 )",689393,"(+/- 10790 )",638602,"(+/- 12640 )"
People,"Place of Birth","Total population",735373,"(+/- 2819 )",690107,"(+/- 6886 )",742147,"(+/- 5538 )",708532,"(+/- 6011 )",773212,"(+/- 216 )",723686,"(+/- 10486 )",666820,"(+/- 12561 )"
People,"Place of Birth",Native,712995,"(+/- 4528 )",670896,"(+/- 7121 )",716780,"(+/- 7014 )",681986,"(+/- 6236 )",737420,"(+/- 4081 )",695654,"(+/- 10652 )",647632,"(+/- 12544 )"
People,"Place of Birth","Born in United States",707811,"(+/- 4534 )",662696,"(+/- 7375 )",710022,"(+/- 7403 )",677937,"(+/- 6622 )",725590,"(+/- 4343 )",690216,"(+/- 10723 )",643680,"(+/- 12507 )"
People,"Place of Birth","State of residence",501576,"(+/- 10092 )",477728,"(+/- 8995 )",472377,"(+/- 11085 )",518305,"(+/- 9510 )",461110,"(+/- 9775 )",515146,"(+/- 11164 )",527342,"(+/- 12422 )"
People,"Place of Birth","Different state",206235,"(+/- 10274 )",184968,"(+/- 8122 )",237645,"(+/- 9177 )",159632,"(+/- 8351 )",264480,"(+/- 9261 )",175070,"(+/- 7036 )",116338,"(+/- 8578 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5184,"(+/- 1947 )",8200,"(+/- 1651 )",6758,"(+/- 1533 )",4049,"(+/- 1298 )",11830,"(+/- 2382 )",5438,"(+/- 1359 )",3952,"(+/- 1340 )"
People,"Place of Birth","Foreign born",22378,"(+/- 3389 )",19211,"(+/- 2420 )",25367,"(+/- 2946 )",26546,"(+/- 2356 )",35792,"(+/- 4081 )",28032,"(+/- 3058 )",19188,"(+/- 3084 )"
People,Ancestry,"Total population",735373,"(+/- 2819 )",690107,"(+/- 6886 )",742147,"(+/- 5538 )",708532,"(+/- 6011 )",773212,"(+/- 216 )",723686,"(+/- 10486 )",666820,"(+/- 12561 )"
People,Ancestry,American,86117,"(+/- 8875 )",106455,"(+/- 9181 )",93553,"(+/- 9861 )",126410,"(+/- 9452 )",77824,"(+/- 7265 )",75904,"(+/- 8487 )",80364,"(+/- 10453 )"
People,Ancestry,Arab,2898,"(+/- 1844 )",312,"(+/- 245 )",502,"(+/- 339 )",18,"(+/- 29 )",914,"(+/- 613 )",3805,"(+/- 1731 )",1119,"(+/- 815 )"
People,Ancestry,Czech,3103,"(+/- 2618 )",576,"(+/- 509 )",1364,"(+/- 1296 )",298,"(+/- 230 )",824,"(+/- 845 )",782,"(+/- 537 )",96,"(+/- 119 )"
People,Ancestry,Danish,1494,"(+/- 1214 )",1907,"(+/- 1901 )",266,"(+/- 262 )",97,"(+/- 135 )",1070,"(+/- 620 )",2132,"(+/- 1698 )",117,"(+/- 145 )"
People,Ancestry,Dutch,4165,"(+/- 2325 )",2643,"(+/- 912 )",3380,"(+/- 1392 )",2785,"(+/- 900 )",7253,"(+/- 2277 )",3482,"(+/- 958 )",854,"(+/- 343 )"
People,Ancestry,English,81734,"(+/- 6569 )",74601,"(+/- 5527 )",90993,"(+/- 9104 )",102227,"(+/- 7828 )",112880,"(+/- 8014 )",114946,"(+/- 6986 )",36175,"(+/- 4404 )"
People,Ancestry,"French (except Basque)",17852,"(+/- 4835 )",7609,"(+/- 2136 )",4950,"(+/- 1275 )",7055,"(+/- 2457 )",8431,"(+/- 1812 )",7444,"(+/- 2040 )",2302,"(+/- 794 )"
People,Ancestry,"French Canadian",2262,"(+/- 949 )",853,"(+/- 483 )",1280,"(+/- 858 )",540,"(+/- 333 )",1338,"(+/- 662 )",506,"(+/- 463 )",308,"(+/- 266 )"
People,Ancestry,German,56278,"(+/- 7681 )",40056,"(+/- 4635 )",49887,"(+/- 5971 )",46806,"(+/- 4919 )",69397,"(+/- 6399 )",55812,"(+/- 6224 )",17411,"(+/- 3222 )"
People,Ancestry,Greek,1951,"(+/- 1091 )",302,"(+/- 207 )",743,"(+/- 412 )",499,"(+/- 452 )",586,"(+/- 327 )",1436,"(+/- 705 )",666,"(+/- 736 )"
People,Ancestry,Hungarian,654,"(+/- 413 )",524,"(+/- 365 )",650,"(+/- 438 )",225,"(+/- 284 )",787,"(+/- 492 )",1108,"(+/- 692 )",195,"(+/- 254 )"
People,Ancestry,Irish,60251,"(+/- 6182 )",49797,"(+/- 5799 )",70347,"(+/- 6507 )",64332,"(+/- 5698 )",70747,"(+/- 6658 )",72385,"(+/- 6680 )",25754,"(+/- 4296 )"
People,Ancestry,Italian,15152,"(+/- 2943 )",9383,"(+/- 2001 )",9810,"(+/- 2004 )",10364,"(+/- 3094 )",16028,"(+/- 3222 )",18636,"(+/- 3751 )",5782,"(+/- 2123 )"
People,Ancestry,Lithuanian,256,"(+/- 299 )",385,"(+/- 367 )",10,"(+/- 17 )",138,"(+/- 135 )",285,"(+/- 234 )",379,"(+/- 396 )",25,"(+/- 42 )"
People,Ancestry,Norwegian,2590,"(+/- 1360 )",1707,"(+/- 694 )",3074,"(+/- 2490 )",1916,"(+/- 829 )",2367,"(+/- 962 )",2249,"(+/- 982 )",655,"(+/- 462 )"
People,Ancestry,Polish,4132,"(+/- 1702 )",3154,"(+/- 1317 )",5563,"(+/- 2319 )",2217,"(+/- 713 )",7442,"(+/- 2612 )",4275,"(+/- 1192 )",1012,"(+/- 400 )"
People,Ancestry,Portuguese,332,"(+/- 369 )",268,"(+/- 252 )",138,"(+/- 134 )",496,"(+/- 334 )",163,"(+/- 205 )",937,"(+/- 757 )",65,"(+/- 95 )"
People,Ancestry,Russian,597,"(+/- 523 )",503,"(+/- 345 )",313,"(+/- 255 )",1043,"(+/- 676 )",1225,"(+/- 734 )",2176,"(+/- 981 )",416,"(+/- 368 )"
People,Ancestry,Scotch-Irish,9092,"(+/- 2395 )",6568,"(+/- 1492 )",7994,"(+/- 2006 )",5411,"(+/- 1352 )",12708,"(+/- 3532 )",11587,"(+/- 2137 )",3226,"(+/- 1075 )"
People,Ancestry,Scottish,10713,"(+/- 2925 )",10694,"(+/- 1966 )",15114,"(+/- 2729 )",12411,"(+/- 2654 )",16981,"(+/- 3051 )",17706,"(+/- 3441 )",7294,"(+/- 1613 )"
People,Ancestry,Slovak,415,"(+/- 358 )",30,"(+/- 36 )",0,"(+/- 216 )",305,"(+/- 261 )",150,"(+/- 175 )",553,"(+/- 400 )",52,"(+/- 90 )"
People,Ancestry,"Subsaharan African",3631,"(+/- 1611 )",6904,"(+/- 3036 )",5895,"(+/- 2270 )",789,"(+/- 625 )",4010,"(+/- 1693 )",3825,"(+/- 1350 )",10277,"(+/- 2839 )"
People,Ancestry,Swedish,2457,"(+/- 996 )",1053,"(+/- 582 )",2696,"(+/- 1245 )",1701,"(+/- 913 )",3406,"(+/- 1158 )",1667,"(+/- 647 )",571,"(+/- 414 )"
People,Ancestry,Swiss,468,"(+/- 442 )",795,"(+/- 692 )",790,"(+/- 753 )",663,"(+/- 673 )",721,"(+/- 405 )",1627,"(+/- 810 )",884,"(+/- 529 )"
People,Ancestry,Ukrainian,1070,"(+/- 812 )",164,"(+/- 224 )",132,"(+/- 161 )",598,"(+/- 660 )",310,"(+/- 282 )",451,"(+/- 391 )",472,"(+/- 710 )"
People,Ancestry,Welsh,4942,"(+/- 3122 )",2273,"(+/- 904 )",3289,"(+/- 1746 )",1670,"(+/- 623 )",4573,"(+/- 1839 )",3944,"(+/- 1276 )",679,"(+/- 418 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",843,"(+/- 590 )",1132,"(+/- 520 )",1312,"(+/- 896 )",717,"(+/- 430 )",1674,"(+/- 860 )",455,"(+/- 321 )",1322,"(+/- 1095 )"
People,"Veteran Status","Civilian population 18 years and over",569640,"(+/- 2844 )",522182,"(+/- 5277 )",577073,"(+/- 4436 )",546676,"(+/- 4770 )",604591,"(+/- 1081 )",559738,"(+/- 7446 )",519272,"(+/- 9406 )"
People,"Veteran Status","Civilian veterans",50393,"(+/- 4385 )",52408,"(+/- 3811 )",47227,"(+/- 3315 )",36809,"(+/- 2770 )",58593,"(+/- 4158 )",33738,"(+/- 2985 )",35974,"(+/- 3646 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",726418,"(+/- 3533 )",666676,"(+/- 7382 )",727786,"(+/- 5745 )",703177,"(+/- 6119 )",760041,"(+/- 1741 )",717172,"(+/- 10692 )",656363,"(+/- 12252 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",106002,"(+/- 6576 )",116979,"(+/- 5499 )",133246,"(+/- 6722 )",127590,"(+/- 5284 )",108232,"(+/- 5951 )",100736,"(+/- 5218 )",115286,"(+/- 6330 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",163775,"(+/- 1759 )",157632,"(+/- 3882 )",159290,"(+/- 3025 )",161166,"(+/- 3071 )",167435,"(+/- 751 )",162984,"(+/- 5197 )",145981,"(+/- 5752 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5832,"(+/- 1370 )",7496,"(+/- 1615 )",6444,"(+/- 1452 )",8649,"(+/- 1936 )",7343,"(+/- 1945 )",8774,"(+/- 2158 )",8044,"(+/- 1801 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",426673,"(+/- 3722 )",391080,"(+/- 5570 )",443803,"(+/- 4545 )",413258,"(+/- 4979 )",463775,"(+/- 1862 )",431885,"(+/- 7115 )",402223,"(+/- 8824 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",52074,"(+/- 5569 )",61933,"(+/- 4362 )",74329,"(+/- 6028 )",65880,"(+/- 4281 )",54197,"(+/- 4965 )",50825,"(+/- 4230 )",65736,"(+/- 4583 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",135970,"(+/- 2200 )",117964,"(+/- 2254 )",124693,"(+/- 1840 )",128753,"(+/- 2473 )",128831,"(+/- 1528 )",122303,"(+/- 2857 )",108159,"(+/- 3147 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",48096,"(+/- 3305 )",47550,"(+/- 2801 )",52473,"(+/- 3715 )",53061,"(+/- 2864 )",46692,"(+/- 3267 )",41137,"(+/- 3243 )",41506,"(+/- 2864 )"
People,"Residence 1 Year Ago","Population 1 year and over",726871,"(+/- 3475 )",683603,"(+/- 6952 )",735443,"(+/- 5525 )",700225,"(+/- 5970 )",765624,"(+/- 1846 )",716987,"(+/- 10419 )",661044,"(+/- 12589 )"
People,"Residence 1 Year Ago","Same house",644435,"(+/- 9551 )",605989,"(+/- 11109 )",640586,"(+/- 10736 )",628082,"(+/- 9046 )",664847,"(+/- 10449 )",632365,"(+/- 11776 )",576267,"(+/- 15606 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",82436,"(+/- 8704 )",77614,"(+/- 7860 )",94857,"(+/- 9483 )",72143,"(+/- 8436 )",100777,"(+/- 10409 )",84622,"(+/- 7566 )",84777,"(+/- 11110 )"
People,"Residence 1 Year Ago","Different house in the U.S.",81422,"(+/- 8773 )",74810,"(+/- 7926 )",93697,"(+/- 9519 )",71297,"(+/- 8392 )",96667,"(+/- 9936 )",83795,"(+/- 7545 )",82917,"(+/- 11080 )"
People,"Residence 1 Year Ago","Same county",51806,"(+/- 8173 )",37648,"(+/- 5288 )",48044,"(+/- 7427 )",40517,"(+/- 6171 )",52161,"(+/- 7559 )",50471,"(+/- 6006 )",50339,"(+/- 7955 )"
People,"Residence 1 Year Ago","Different county",29616,"(+/- 4893 )",37162,"(+/- 4841 )",45653,"(+/- 5747 )",30780,"(+/- 5112 )",44506,"(+/- 7992 )",33324,"(+/- 4750 )",32578,"(+/- 7847 )"
People,"Residence 1 Year Ago","Same state",8160,"(+/- 1887 )",17641,"(+/- 3254 )",25081,"(+/- 4158 )",20901,"(+/- 4447 )",25503,"(+/- 6071 )",23435,"(+/- 3892 )",17257,"(+/- 5418 )"
People,"Residence 1 Year Ago","Different state",21456,"(+/- 4558 )",19521,"(+/- 3727 )",20572,"(+/- 4302 )",9879,"(+/- 3383 )",19003,"(+/- 4675 )",9889,"(+/- 2237 )",15321,"(+/- 5248 )"
People,"Residence 1 Year Ago",Abroad,1014,"(+/- 766 )",2804,"(+/- 1302 )",1160,"(+/- 535 )",846,"(+/- 527 )",4110,"(+/- 1766 )",827,"(+/- 444 )",1860,"(+/- 853 )"
Workers,"Employment Status","Population 16 years and over",589957,"(+/- 3375 )",551583,"(+/- 5171 )",599266,"(+/- 4378 )",564198,"(+/- 4869 )",625198,"(+/- 2327 )",581505,"(+/- 7763 )",534920,"(+/- 9538 )"
Workers,"Employment Status","In labor force",338596,"(+/- 6765 )",309644,"(+/- 7213 )",330234,"(+/- 7110 )",319548,"(+/- 6749 )",376095,"(+/- 7479 )",364101,"(+/- 8196 )",297268,"(+/- 9238 )"
Workers,"Employment Status","Civilian labor force",336935,"(+/- 6875 )",299541,"(+/- 7259 )",324926,"(+/- 7061 )",319007,"(+/- 6650 )",375075,"(+/- 7480 )",363288,"(+/- 8274 )",295951,"(+/- 9102 )"
Workers,"Employment Status",Employed,317205,"(+/- 7405 )",282186,"(+/- 6992 )",307438,"(+/- 6995 )",301804,"(+/- 7265 )",361049,"(+/- 7876 )",350135,"(+/- 7834 )",271098,"(+/- 8751 )"
Workers,"Employment Status",Unemployed,19730,"(+/- 2841 )",17355,"(+/- 2440 )",17488,"(+/- 2946 )",17203,"(+/- 2779 )",14026,"(+/- 2293 )",13153,"(+/- 1894 )",24853,"(+/- 3786 )"
Workers,"Employment Status","Armed Forces",1661,"(+/- 839 )",10103,"(+/- 1906 )",5308,"(+/- 1476 )",541,"(+/- 439 )",1020,"(+/- 634 )",813,"(+/- 532 )",1317,"(+/- 867 )"
Workers,"Employment Status","Not in labor force",251361,"(+/- 6997 )",241939,"(+/- 6717 )",269032,"(+/- 7690 )",244650,"(+/- 6495 )",249103,"(+/- 7638 )",217404,"(+/- 7149 )",237652,"(+/- 7874 )"
Workers,"Employment Status","Civilian labor force",336935,"(+/- 6875 )",299541,"(+/- 7259 )",324926,"(+/- 7061 )",319007,"(+/- 6650 )",375075,"(+/- 7480 )",363288,"(+/- 8274 )",295951,"(+/- 9102 )"
Workers,"Employment Status","Unemployment Rate",5.9,"(+/- 0.9 )",5.8,"(+/- 0.8 )",5.4,"(+/- 0.9 )",5.4,"(+/- 0.9 )",3.7,"(+/- 0.6 )",3.6,"(+/- 0.5 )",8.4,"(+/- 1.2 )"
Workers,"Commuting to Work","Workers 16 years and over",310529,"(+/- 7446 )",286409,"(+/- 6784 )",304834,"(+/- 6853 )",297130,"(+/- 7369 )",356779,"(+/- 7826 )",346022,"(+/- 7894 )",263885,"(+/- 9028 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",255304,"(+/- 7929 )",243442,"(+/- 6571 )",246463,"(+/- 7435 )",248979,"(+/- 7871 )",272447,"(+/- 8899 )",267597,"(+/- 7668 )",209103,"(+/- 8185 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",20697,"(+/- 3663 )",20073,"(+/- 2392 )",25053,"(+/- 4043 )",27793,"(+/- 3246 )",26160,"(+/- 4119 )",23446,"(+/- 3007 )",22127,"(+/- 3578 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",958,"(+/- 632 )",389,"(+/- 279 )",953,"(+/- 601 )",487,"(+/- 497 )",202,"(+/- 177 )",108,"(+/- 148 )",1881,"(+/- 819 )"
Workers,"Commuting to Work",Walked,1488,"(+/- 718 )",2404,"(+/- 600 )",3511,"(+/- 1182 )",2587,"(+/- 1058 )",2985,"(+/- 931 )",3117,"(+/- 1089 )",3971,"(+/- 953 )"
Workers,"Commuting to Work","Other means",3289,"(+/- 1420 )",3485,"(+/- 1135 )",4286,"(+/- 1057 )",1155,"(+/- 553 )",4255,"(+/- 1364 )",3622,"(+/- 1329 )",3004,"(+/- 1167 )"
Workers,"Commuting to Work","Worked from home",28793,"(+/- 3303 )",16616,"(+/- 2594 )",24568,"(+/- 3101 )",16129,"(+/- 2632 )",50730,"(+/- 4785 )",48132,"(+/- 4186 )",23799,"(+/- 4135 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.5,"(+/- 0.8 )",24.0,"(+/- 0.9 )",25.6,"(+/- 0.8 )",25.4,"(+/- 0.7 )",24.2,"(+/- 0.6 )",27.0,"(+/- 0.8 )",24.2,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",317205,"(+/- 7405 )",282186,"(+/- 6992 )",307438,"(+/- 6995 )",301804,"(+/- 7265 )",361049,"(+/- 7876 )",350135,"(+/- 7834 )",271098,"(+/- 8751 )"
Workers,Occupation,"Management, business, science, and arts occupations",107934,"(+/- 6107 )",90842,"(+/- 5487 )",112426,"(+/- 6800 )",95563,"(+/- 5765 )",165469,"(+/- 6375 )",161750,"(+/- 6756 )",83242,"(+/- 4239 )"
Workers,Occupation,"Service occupations",56030,"(+/- 4779 )",45848,"(+/- 3073 )",49527,"(+/- 4928 )",46246,"(+/- 4758 )",47046,"(+/- 4232 )",45268,"(+/- 4415 )",56483,"(+/- 4478 )"
Workers,Occupation,"Sales and office occupations",70104,"(+/- 4840 )",62295,"(+/- 4230 )",64781,"(+/- 4920 )",58725,"(+/- 3565 )",65262,"(+/- 5425 )",69468,"(+/- 4555 )",53068,"(+/- 4422 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",33458,"(+/- 4167 )",28409,"(+/- 2697 )",30161,"(+/- 3340 )",33881,"(+/- 3272 )",30497,"(+/- 3446 )",32888,"(+/- 3439 )",21308,"(+/- 2734 )"
Workers,Occupation,"Production, transportation, and material moving occupations",49679,"(+/- 4626 )",54792,"(+/- 3794 )",50543,"(+/- 4150 )",67389,"(+/- 4688 )",52775,"(+/- 4820 )",40761,"(+/- 4136 )",56997,"(+/- 4731 )"
Workers,Industry,"Civilian employed population 16 years and over",317205,"(+/- 7405 )",282186,"(+/- 6992 )",307438,"(+/- 6995 )",301804,"(+/- 7265 )",361049,"(+/- 7876 )",350135,"(+/- 7834 )",271098,"(+/- 8751 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4090,"(+/- 1159 )",4381,"(+/- 892 )",3642,"(+/- 1391 )",6118,"(+/- 1270 )",2585,"(+/- 980 )",2744,"(+/- 1018 )",3646,"(+/- 1003 )"
Workers,Industry,Construction,25391,"(+/- 3162 )",17992,"(+/- 2150 )",22125,"(+/- 2990 )",24906,"(+/- 2863 )",22357,"(+/- 3067 )",25215,"(+/- 2715 )",14475,"(+/- 2363 )"
Workers,Industry,Manufacturing,32554,"(+/- 3249 )",42232,"(+/- 3406 )",45268,"(+/- 4062 )",55435,"(+/- 4537 )",53869,"(+/- 4993 )",33908,"(+/- 3901 )",37988,"(+/- 3858 )"
Workers,Industry,"Wholesale trade",8131,"(+/- 1975 )",5557,"(+/- 1156 )",4786,"(+/- 1493 )",6507,"(+/- 1423 )",7385,"(+/- 1833 )",11519,"(+/- 1693 )",4586,"(+/- 1523 )"
Workers,Industry,"Retail trade",42574,"(+/- 4051 )",33286,"(+/- 3308 )",34782,"(+/- 3826 )",40129,"(+/- 3834 )",38627,"(+/- 4215 )",41547,"(+/- 3410 )",32070,"(+/- 3471 )"
