Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
People,Ancestry,"Subsaharan African",1240,"(+/- 667 )",2723,"(+/- 1107 )",8443,"(+/- 2948 )",1465,"(+/- 889 )",4801,"(+/- 2168 )",8618,"(+/- 2926 )",5744,"(+/- 2441 )",1685,"(+/- 866 )",9794,"(+/- 3806 )",3106,"(+/- 2284 )",7704,"(+/- 2212 )",9098,"(+/- 2909 )",17476,"(+/- 3889 )",1750,"(+/- 1009 )",8324,"(+/- 3995 )",3775,"(+/- 2256 )",6350,"(+/- 2513 )",6162,"(+/- 2017 )",5317,"(+/- 2616 )",3528,"(+/- 1183 )",1295,"(+/- 976 )",4307,"(+/- 1900 )",3911,"(+/- 2734 )",2283,"(+/- 1076 )",3369,"(+/- 1482 )",2415,"(+/- 1277 )",3694,"(+/- 2159 )",3444,"(+/- 1351 )",3132,"(+/- 1562 )",6451,"(+/- 2498 )",8676,"(+/- 4146 )",614,"(+/- 391 )",6410,"(+/- 1955 )",5124,"(+/- 1435 )",8514,"(+/- 3426 )",3733,"(+/- 1728 )",17678,"(+/- 4208 )",4434,"(+/- 2208 )",4686,"(+/- 2688 )",1688,"(+/- 1033 )",7321,"(+/- 2399 )",4911,"(+/- 2249 )",14575,"(+/- 4101 )",8980,"(+/- 2726 )",3213,"(+/- 1665 )",3356,"(+/- 1804 )",3811,"(+/- 2219 )",1821,"(+/- 1108 )",5042,"(+/- 2295 )",4305,"(+/- 2165 )",10308,"(+/- 3009 )",5071,"(+/- 1953 )",13739,"(+/- 4076 )"
People,Ancestry,Swedish,10112,"(+/- 2263 )",10441,"(+/- 2476 )",6651,"(+/- 1740 )",13666,"(+/- 1885 )",9406,"(+/- 2039 )",5767,"(+/- 1696 )",9849,"(+/- 2180 )",3468,"(+/- 1207 )",3290,"(+/- 911 )",7754,"(+/- 1851 )",8076,"(+/- 1685 )",8689,"(+/- 1789 )",6063,"(+/- 1571 )",5318,"(+/- 1557 )",6662,"(+/- 1803 )",3282,"(+/- 1859 )",4194,"(+/- 1434 )",10015,"(+/- 2163 )",4101,"(+/- 1251 )",7049,"(+/- 1832 )",2160,"(+/- 1016 )",5523,"(+/- 2306 )",2905,"(+/- 941 )",12251,"(+/- 2547 )",6372,"(+/- 1831 )",8870,"(+/- 2223 )",5095,"(+/- 1523 )",6572,"(+/- 1706 )",2373,"(+/- 782 )",4579,"(+/- 1264 )",5118,"(+/- 1667 )",1587,"(+/- 707 )",7282,"(+/- 1542 )",2438,"(+/- 760 )",1541,"(+/- 853 )",5029,"(+/- 1274 )",3266,"(+/- 1015 )",1319,"(+/- 930 )",6258,"(+/- 2666 )",178,"(+/- 150 )",2540,"(+/- 898 )",8835,"(+/- 2691 )",908,"(+/- 353 )",1088,"(+/- 494 )",12150,"(+/- 3675 )",2504,"(+/- 968 )",4520,"(+/- 1543 )",9829,"(+/- 2294 )",10673,"(+/- 2454 )",8897,"(+/- 2119 )",967,"(+/- 455 )",11478,"(+/- 2076 )",7761,"(+/- 2174 )"
People,Ancestry,Swiss,3524,"(+/- 1824 )",5365,"(+/- 1575 )",1921,"(+/- 775 )",3966,"(+/- 1165 )",4190,"(+/- 2120 )",1269,"(+/- 608 )",2791,"(+/- 1617 )",1139,"(+/- 877 )",1098,"(+/- 603 )",1968,"(+/- 824 )",2554,"(+/- 1096 )",2969,"(+/- 1024 )",2888,"(+/- 1108 )",1292,"(+/- 570 )",1765,"(+/- 1588 )",813,"(+/- 693 )",1083,"(+/- 457 )",2776,"(+/- 881 )",1606,"(+/- 757 )",3973,"(+/- 1577 )",327,"(+/- 330 )",1157,"(+/- 631 )",2014,"(+/- 1599 )",3849,"(+/- 1264 )",552,"(+/- 374 )",2099,"(+/- 843 )",511,"(+/- 304 )",1123,"(+/- 554 )",582,"(+/- 382 )",1392,"(+/- 565 )",852,"(+/- 573 )",46,"(+/- 56 )",2017,"(+/- 756 )",1536,"(+/- 883 )",463,"(+/- 329 )",1671,"(+/- 922 )",855,"(+/- 440 )",400,"(+/- 292 )",977,"(+/- 651 )",0,"(+/- 218 )",525,"(+/- 331 )",1463,"(+/- 843 )",191,"(+/- 177 )",0,"(+/- 218 )",906,"(+/- 422 )",352,"(+/- 269 )",811,"(+/- 364 )",1577,"(+/- 619 )",2215,"(+/- 1227 )",801,"(+/- 685 )",556,"(+/- 405 )",2315,"(+/- 860 )",2150,"(+/- 1003 )"
People,Ancestry,Ukrainian,998,"(+/- 596 )",2965,"(+/- 1144 )",1493,"(+/- 754 )",5024,"(+/- 2611 )",1360,"(+/- 635 )",15073,"(+/- 4637 )",10071,"(+/- 3100 )",791,"(+/- 587 )",1003,"(+/- 746 )",1902,"(+/- 1421 )",2189,"(+/- 1006 )",3106,"(+/- 1111 )",3655,"(+/- 1300 )",2742,"(+/- 976 )",1517,"(+/- 656 )",53,"(+/- 86 )",1824,"(+/- 904 )",3250,"(+/- 994 )",1318,"(+/- 602 )",1597,"(+/- 732 )",40,"(+/- 64 )",2877,"(+/- 2442 )",564,"(+/- 620 )",1626,"(+/- 698 )",1754,"(+/- 800 )",823,"(+/- 454 )",1290,"(+/- 580 )",4564,"(+/- 1261 )",1270,"(+/- 591 )",6687,"(+/- 1839 )",633,"(+/- 504 )",181,"(+/- 198 )",6369,"(+/- 2100 )",1883,"(+/- 1607 )",135,"(+/- 120 )",1282,"(+/- 579 )",1392,"(+/- 621 )",245,"(+/- 220 )",1055,"(+/- 1023 )",0,"(+/- 218 )",207,"(+/- 273 )",891,"(+/- 561 )",634,"(+/- 478 )",235,"(+/- 212 )",3662,"(+/- 1558 )",339,"(+/- 288 )",747,"(+/- 446 )",1975,"(+/- 818 )",1618,"(+/- 640 )",1072,"(+/- 463 )",622,"(+/- 431 )",4836,"(+/- 1881 )",2695,"(+/- 997 )"
People,Ancestry,Welsh,4074,"(+/- 1018 )",4540,"(+/- 1178 )",2958,"(+/- 1028 )",5277,"(+/- 1174 )",3418,"(+/- 953 )",2339,"(+/- 815 )",3894,"(+/- 1316 )",1817,"(+/- 830 )",2381,"(+/- 904 )",2245,"(+/- 1164 )",4585,"(+/- 1299 )",3828,"(+/- 1356 )",2614,"(+/- 802 )",2650,"(+/- 1047 )",2076,"(+/- 855 )",516,"(+/- 381 )",1049,"(+/- 502 )",1850,"(+/- 635 )",2152,"(+/- 908 )",3581,"(+/- 1236 )",350,"(+/- 333 )",2785,"(+/- 1196 )",3157,"(+/- 1209 )",4440,"(+/- 1402 )",3260,"(+/- 1938 )",3219,"(+/- 1315 )",1801,"(+/- 788 )",2627,"(+/- 888 )",835,"(+/- 424 )",1452,"(+/- 710 )",1278,"(+/- 593 )",410,"(+/- 333 )",1809,"(+/- 590 )",1107,"(+/- 631 )",1411,"(+/- 1046 )",3371,"(+/- 1034 )",961,"(+/- 441 )",731,"(+/- 511 )",2064,"(+/- 924 )",148,"(+/- 152 )",866,"(+/- 544 )",3455,"(+/- 1639 )",742,"(+/- 488 )",374,"(+/- 301 )",3692,"(+/- 1432 )",1549,"(+/- 1204 )",3183,"(+/- 978 )",3276,"(+/- 997 )",3312,"(+/- 1207 )",3552,"(+/- 1145 )",1019,"(+/- 563 )",5101,"(+/- 2419 )",2689,"(+/- 1050 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1126,"(+/- 1375 )",1614,"(+/- 977 )",1318,"(+/- 730 )",974,"(+/- 874 )",568,"(+/- 348 )",2688,"(+/- 1397 )",1398,"(+/- 1067 )",546,"(+/- 498 )",556,"(+/- 470 )",345,"(+/- 347 )",1884,"(+/- 1202 )",1328,"(+/- 803 )",3338,"(+/- 1201 )",647,"(+/- 507 )",693,"(+/- 449 )",263,"(+/- 211 )",507,"(+/- 365 )",1727,"(+/- 1118 )",1040,"(+/- 631 )",727,"(+/- 455 )",600,"(+/- 706 )",730,"(+/- 555 )",3338,"(+/- 2361 )",785,"(+/- 534 )",3143,"(+/- 1792 )",2220,"(+/- 1082 )",2492,"(+/- 1000 )",2580,"(+/- 996 )",1699,"(+/- 828 )",1880,"(+/- 1023 )",3484,"(+/- 1836 )",1772,"(+/- 967 )",4171,"(+/- 1926 )",2857,"(+/- 1378 )",2475,"(+/- 1298 )",1498,"(+/- 915 )",11307,"(+/- 3610 )",796,"(+/- 471 )",1277,"(+/- 910 )",2260,"(+/- 1469 )",953,"(+/- 654 )",1216,"(+/- 829 )",5657,"(+/- 2245 )",1106,"(+/- 702 )",522,"(+/- 408 )",352,"(+/- 276 )",3507,"(+/- 2394 )",1178,"(+/- 973 )",1866,"(+/- 1203 )",1476,"(+/- 1033 )",1690,"(+/- 1008 )",1473,"(+/- 841 )",2406,"(+/- 971 )"
People,"Veteran Status","Civilian population 18 years and over",558272,"(+/- 5308 )",581134,"(+/- 5131 )",576970,"(+/- 5751 )",622327,"(+/- 6541 )",571959,"(+/- 7032 )",608031,"(+/- 8738 )",600247,"(+/- 9031 )",544394,"(+/- 9810 )",599851,"(+/- 8930 )",565427,"(+/- 5202 )",601670,"(+/- 9097 )",622172,"(+/- 6429 )",621978,"(+/- 5669 )",580909,"(+/- 8457 )",608491,"(+/- 7164 )",528538,"(+/- 8259 )",616235,"(+/- 10119 )",564027,"(+/- 9774 )",564496,"(+/- 10793 )",564218,"(+/- 5435 )",495781,"(+/- 12357 )",585131,"(+/- 9680 )",556763,"(+/- 12726 )",586136,"(+/- 3181 )",556062,"(+/- 10686 )",548949,"(+/- 4032 )",558539,"(+/- 8469 )",583648,"(+/- 13307 )",539289,"(+/- 14125 )",612177,"(+/- 16163 )",564617,"(+/- 11564 )",538502,"(+/- 9093 )",565800,"(+/- 11941 )",572499,"(+/- 16809 )",552484,"(+/- 9432 )",600082,"(+/- 10258 )",566464,"(+/- 15143 )",536262,"(+/- 11837 )",581919,"(+/- 9456 )",506048,"(+/- 11709 )",573874,"(+/- 9560 )",613206,"(+/- 12208 )",558648,"(+/- 12588 )",525487,"(+/- 13538 )",630184,"(+/- 9094 )",539470,"(+/- 10527 )",557618,"(+/- 12193 )",578554,"(+/- 8385 )",549306,"(+/- 9594 )",556043,"(+/- 10455 )",521797,"(+/- 11698 )",601624,"(+/- 11597 )",597627,"(+/- 13818 )"
People,"Veteran Status","Civilian veterans",43915,"(+/- 3318 )",29046,"(+/- 2821 )",39371,"(+/- 3527 )",48089,"(+/- 3427 )",30240,"(+/- 2839 )",27886,"(+/- 2794 )",38653,"(+/- 2935 )",38855,"(+/- 3383 )",28145,"(+/- 2894 )",24585,"(+/- 2864 )",23222,"(+/- 2460 )",16280,"(+/- 2145 )",20456,"(+/- 2024 )",17487,"(+/- 2636 )",23990,"(+/- 3027 )",22149,"(+/- 1931 )",16531,"(+/- 2244 )",16081,"(+/- 1727 )",20048,"(+/- 2369 )",22165,"(+/- 2311 )",17011,"(+/- 2219 )",28513,"(+/- 3141 )",35516,"(+/- 3331 )",35588,"(+/- 3217 )",25065,"(+/- 2465 )",31549,"(+/- 3095 )",15701,"(+/- 2078 )",13935,"(+/- 2110 )",10269,"(+/- 1471 )",17238,"(+/- 2227 )",24849,"(+/- 2879 )",15379,"(+/- 1954 )",18974,"(+/- 2036 )",11132,"(+/- 1696 )",17578,"(+/- 2309 )",36392,"(+/- 2730 )",13519,"(+/- 1664 )",15630,"(+/- 1780 )",22092,"(+/- 2380 )",7550,"(+/- 1699 )",23205,"(+/- 2651 )",43233,"(+/- 3675 )",20018,"(+/- 3767 )",14144,"(+/- 1879 )",22900,"(+/- 2844 )",12994,"(+/- 1875 )",21040,"(+/- 2311 )",23327,"(+/- 2193 )",37732,"(+/- 3744 )",47440,"(+/- 4208 )",27412,"(+/- 2575 )",40811,"(+/- 3453 )",47407,"(+/- 3621 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",684526,"(+/- 7082 )",709328,"(+/- 6159 )",742681,"(+/- 7014 )",772784,"(+/- 8576 )",704982,"(+/- 8607 )",779212,"(+/- 11058 )",778874,"(+/- 13378 )",738445,"(+/- 11323 )",799680,"(+/- 10858 )",770266,"(+/- 6534 )",767447,"(+/- 10081 )",715513,"(+/- 8256 )",758188,"(+/- 4239 )",716991,"(+/- 10707 )",779918,"(+/- 7238 )",738620,"(+/- 14032 )",767128,"(+/- 10768 )",717637,"(+/- 13770 )",720126,"(+/- 13874 )",731980,"(+/- 7340 )",674419,"(+/- 17330 )",804046,"(+/- 16495 )",752254,"(+/- 17116 )",726857,"(+/- 3481 )",728821,"(+/- 12144 )",710156,"(+/- 3812 )",682753,"(+/- 9100 )",690766,"(+/- 16086 )",687994,"(+/- 17757 )",761195,"(+/- 21605 )",742725,"(+/- 12313 )",685996,"(+/- 10074 )",684053,"(+/- 14007 )",678822,"(+/- 19028 )",742647,"(+/- 10147 )",750371,"(+/- 10354 )",698537,"(+/- 21196 )",686894,"(+/- 13010 )",727484,"(+/- 9604 )",680222,"(+/- 15311 )",762115,"(+/- 8894 )",834246,"(+/- 13593 )",724986,"(+/- 18838 )",693345,"(+/- 17688 )",807074,"(+/- 9106 )",693513,"(+/- 12236 )",698292,"(+/- 13642 )",710427,"(+/- 8313 )",707759,"(+/- 10108 )",739749,"(+/- 13458 )",670327,"(+/- 14632 )",748307,"(+/- 14505 )",742816,"(+/- 17227 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",116139,"(+/- 5325 )",101675,"(+/- 5902 )",98016,"(+/- 5288 )",102348,"(+/- 6118 )",94056,"(+/- 5964 )",99115,"(+/- 6439 )",92274,"(+/- 4788 )",112414,"(+/- 7392 )",103325,"(+/- 6160 )",90057,"(+/- 6272 )",84545,"(+/- 5780 )",85090,"(+/- 4801 )",84591,"(+/- 4761 )",70442,"(+/- 5240 )",70281,"(+/- 4499 )",107610,"(+/- 6703 )",63279,"(+/- 4612 )",57880,"(+/- 4425 )",72534,"(+/- 4630 )",70422,"(+/- 4968 )",65733,"(+/- 5128 )",94222,"(+/- 5668 )",95833,"(+/- 6969 )",93431,"(+/- 5143 )",77728,"(+/- 5080 )",82720,"(+/- 4726 )",65140,"(+/- 4866 )",76984,"(+/- 4958 )",83729,"(+/- 6262 )",77991,"(+/- 5854 )",79954,"(+/- 5640 )",80779,"(+/- 4096 )",55928,"(+/- 5765 )",73730,"(+/- 4525 )",66984,"(+/- 4591 )",110651,"(+/- 6144 )",80137,"(+/- 4316 )",71420,"(+/- 4929 )",65587,"(+/- 3947 )",77819,"(+/- 4327 )",76260,"(+/- 5044 )",87511,"(+/- 6167 )",83021,"(+/- 5419 )",82109,"(+/- 6316 )",64563,"(+/- 4396 )",61231,"(+/- 4713 )",71395,"(+/- 4136 )",63301,"(+/- 4017 )",62986,"(+/- 4876 )",92669,"(+/- 6682 )",86457,"(+/- 5987 )",63194,"(+/- 4099 )",77065,"(+/- 5859 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",141999,"(+/- 3262 )",135797,"(+/- 3676 )",177812,"(+/- 4813 )",158841,"(+/- 3673 )",137589,"(+/- 4776 )",175500,"(+/- 7128 )",188781,"(+/- 7390 )",204037,"(+/- 7850 )",208149,"(+/- 6637 )",208903,"(+/- 4604 )",168815,"(+/- 5443 )",96204,"(+/- 2846 )",138595,"(+/- 4531 )",138639,"(+/- 4315 )",175005,"(+/- 5552 )",222482,"(+/- 8189 )",154345,"(+/- 5908 )",156826,"(+/- 7708 )",157587,"(+/- 7089 )",179469,"(+/- 3025 )",217232,"(+/- 8512 )",223536,"(+/- 9988 )",210707,"(+/- 8668 )",149687,"(+/- 991 )",180934,"(+/- 7914 )",165399,"(+/- 2186 )",129018,"(+/- 6940 )",110771,"(+/- 7827 )",151656,"(+/- 7665 )",152105,"(+/- 9177 )",193072,"(+/- 7738 )",150098,"(+/- 6733 )",120476,"(+/- 7044 )",123665,"(+/- 7878 )",195035,"(+/- 7438 )",160923,"(+/- 8359 )",133994,"(+/- 9342 )",154738,"(+/- 6956 )",146917,"(+/- 6342 )",175460,"(+/- 8427 )",190386,"(+/- 7044 )",225778,"(+/- 8448 )",168806,"(+/- 9746 )",172164,"(+/- 9751 )",177874,"(+/- 7676 )",161381,"(+/- 6128 )",143645,"(+/- 6767 )",132972,"(+/- 6785 )",161373,"(+/- 8007 )",186620,"(+/- 9454 )",166204,"(+/- 5592 )",152016,"(+/- 8250 )",148756,"(+/- 8666 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8098,"(+/- 1763 )",5899,"(+/- 1619 )",6775,"(+/- 1744 )",4440,"(+/- 1136 )",6212,"(+/- 1422 )",6515,"(+/- 1657 )",6435,"(+/- 1656 )",12133,"(+/- 2676 )",9121,"(+/- 1966 )",7552,"(+/- 1656 )",6865,"(+/- 1539 )",3368,"(+/- 1123 )",5076,"(+/- 1294 )",3671,"(+/- 1190 )",6243,"(+/- 1348 )",12483,"(+/- 2735 )",3608,"(+/- 1244 )",3724,"(+/- 1191 )",7010,"(+/- 1815 )",6383,"(+/- 1824 )",7836,"(+/- 1954 )",7390,"(+/- 1712 )",9699,"(+/- 2472 )",5604,"(+/- 1374 )",6566,"(+/- 1761 )",9475,"(+/- 1947 )",3177,"(+/- 836 )",2073,"(+/- 686 )",6621,"(+/- 1597 )",4623,"(+/- 1143 )",8757,"(+/- 2062 )",5822,"(+/- 1286 )",2553,"(+/- 1007 )",3471,"(+/- 936 )",4944,"(+/- 1283 )",9234,"(+/- 2445 )",3454,"(+/- 1058 )",4946,"(+/- 1369 )",5363,"(+/- 1400 )",10664,"(+/- 1748 )",6879,"(+/- 1824 )",8679,"(+/- 2121 )",6639,"(+/- 1400 )",7545,"(+/- 1621 )",3762,"(+/- 1036 )",4659,"(+/- 1292 )",3735,"(+/- 1158 )",4600,"(+/- 1360 )",6021,"(+/- 1784 )",9149,"(+/- 2241 )",6934,"(+/- 1659 )",4800,"(+/- 1448 )",4863,"(+/- 1568 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",388554,"(+/- 4847 )",410795,"(+/- 5422 )",452921,"(+/- 6358 )",442506,"(+/- 5797 )",427198,"(+/- 7149 )",495871,"(+/- 7351 )",469295,"(+/- 9342 )",427730,"(+/- 8718 )",481192,"(+/- 7502 )",458981,"(+/- 5346 )",471287,"(+/- 6637 )",496477,"(+/- 5528 )",507148,"(+/- 6082 )",451533,"(+/- 7386 )",486336,"(+/- 7103 )",430902,"(+/- 8247 )",514562,"(+/- 10631 )",442101,"(+/- 9839 )",459433,"(+/- 11119 )",441465,"(+/- 4996 )",393048,"(+/- 11702 )",476081,"(+/- 9836 )",441756,"(+/- 12159 )",444922,"(+/- 3414 )",450419,"(+/- 10450 )",426677,"(+/- 3745 )",425938,"(+/- 8814 )",458333,"(+/- 13527 )",454998,"(+/- 12376 )",490926,"(+/- 14573 )",460498,"(+/- 10566 )",435442,"(+/- 8596 )",434833,"(+/- 11699 )",467301,"(+/- 14734 )",473632,"(+/- 8975 )",418677,"(+/- 9591 )",465614,"(+/- 13785 )",426656,"(+/- 10176 )",457043,"(+/- 8906 )",434667,"(+/- 10811 )",496327,"(+/- 8610 )",502631,"(+/- 11290 )",465284,"(+/- 11635 )",435166,"(+/- 11784 )",501704,"(+/- 9111 )",452952,"(+/- 9430 )",454245,"(+/- 10853 )",441279,"(+/- 8253 )",428468,"(+/- 9483 )",434653,"(+/- 9761 )",410248,"(+/- 10089 )",480171,"(+/- 11022 )",492658,"(+/- 13110 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",56377,"(+/- 4504 )",48559,"(+/- 3893 )",51600,"(+/- 4101 )",42367,"(+/- 4615 )",42576,"(+/- 4356 )",55221,"(+/- 4746 )",46493,"(+/- 3780 )",59888,"(+/- 5576 )",53169,"(+/- 4231 )",44656,"(+/- 4413 )",38471,"(+/- 4657 )",39705,"(+/- 3771 )",45580,"(+/- 4081 )",29205,"(+/- 3945 )",29079,"(+/- 2900 )",55267,"(+/- 4789 )",29267,"(+/- 3348 )",23974,"(+/- 3011 )",30980,"(+/- 3223 )",31935,"(+/- 3886 )",34425,"(+/- 3924 )",50622,"(+/- 4210 )",50507,"(+/- 5427 )",44432,"(+/- 4303 )",39980,"(+/- 3831 )",36875,"(+/- 2966 )",26084,"(+/- 2647 )",29733,"(+/- 2898 )",44780,"(+/- 3722 )",33565,"(+/- 3816 )",40248,"(+/- 4472 )",38630,"(+/- 2995 )",22105,"(+/- 3795 )",39885,"(+/- 3470 )",36254,"(+/- 3622 )",45911,"(+/- 3915 )",40837,"(+/- 2985 )",29592,"(+/- 2801 )",26839,"(+/- 2987 )",40204,"(+/- 3098 )",43196,"(+/- 4043 )",43354,"(+/- 4718 )",43336,"(+/- 4317 )",41484,"(+/- 4357 )",29024,"(+/- 3205 )",30405,"(+/- 3116 )",34467,"(+/- 3165 )",24788,"(+/- 2505 )",28702,"(+/- 3527 )",44655,"(+/- 4389 )",40333,"(+/- 4047 )",27639,"(+/- 2906 )",40275,"(+/- 4510 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",153973,"(+/- 3054 )",162736,"(+/- 3520 )",111948,"(+/- 3369 )",171437,"(+/- 3139 )",140195,"(+/- 3995 )",107841,"(+/- 4996 )",120798,"(+/- 4281 )",106678,"(+/- 5067 )",110339,"(+/- 4502 )",102382,"(+/- 2721 )",127345,"(+/- 4342 )",122832,"(+/- 1924 )",112445,"(+/- 4038 )",126819,"(+/- 3013 )",118577,"(+/- 4680 )",85236,"(+/- 3077 )",98221,"(+/- 5367 )",118710,"(+/- 4883 )",103106,"(+/- 4185 )",111046,"(+/- 2139 )",64139,"(+/- 3007 )",104429,"(+/- 3638 )",99791,"(+/- 3827 )",132248,"(+/- 1296 )",97468,"(+/- 6138 )",118080,"(+/- 2443 )",127797,"(+/- 6635 )",121662,"(+/- 5163 )",81340,"(+/- 4587 )",118164,"(+/- 5723 )",89155,"(+/- 4568 )",100456,"(+/- 4615 )",128744,"(+/- 5486 )",87856,"(+/- 4863 )",73980,"(+/- 4229 )",170771,"(+/- 5797 )",98929,"(+/- 5241 )",105500,"(+/- 5190 )",123524,"(+/- 6383 )",70095,"(+/- 4723 )",75402,"(+/- 4830 )",105837,"(+/- 5215 )",90896,"(+/- 5097 )",86015,"(+/- 5015 )",127496,"(+/- 4912 )",79180,"(+/- 4193 )",100402,"(+/- 4680 )",136176,"(+/- 5235 )",117918,"(+/- 6561 )",118476,"(+/- 6068 )",93875,"(+/- 4721 )",116120,"(+/- 6222 )",101402,"(+/- 5748 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",51664,"(+/- 2828 )",47217,"(+/- 3085 )",39641,"(+/- 2720 )",55541,"(+/- 3648 )",45268,"(+/- 3099 )",37379,"(+/- 3123 )",39346,"(+/- 2806 )",40393,"(+/- 3263 )",41035,"(+/- 3185 )",37849,"(+/- 2791 )",39209,"(+/- 2709 )",42017,"(+/- 2628 )",33935,"(+/- 2480 )",37566,"(+/- 2666 )",34959,"(+/- 3162 )",39860,"(+/- 2544 )",30404,"(+/- 3020 )",30182,"(+/- 2870 )",34544,"(+/- 2771 )",32104,"(+/- 2493 )",23472,"(+/- 2622 )",36210,"(+/- 2941 )",35627,"(+/- 3352 )",43395,"(+/- 2795 )",31182,"(+/- 3098 )",36370,"(+/- 2676 )",35879,"(+/- 3500 )",45178,"(+/- 3675 )",32328,"(+/- 3204 )",39803,"(+/- 3442 )",30949,"(+/- 2765 )",36327,"(+/- 2555 )",31270,"(+/- 3335 )",30374,"(+/- 2510 )",25786,"(+/- 2307 )",55506,"(+/- 3336 )",35846,"(+/- 2885 )",36882,"(+/- 2859 )",33385,"(+/- 2707 )",26951,"(+/- 2650 )",26185,"(+/- 2521 )",35478,"(+/- 3195 )",33046,"(+/- 2831 )",33080,"(+/- 2915 )",31777,"(+/- 2932 )",26167,"(+/- 2940 )",33193,"(+/- 2713 )",33913,"(+/- 2758 )",28263,"(+/- 3160 )",38865,"(+/- 3590 )",39190,"(+/- 3573 )",30755,"(+/- 2880 )",31927,"(+/- 3378 )"
People,"Residence 1 Year Ago","Population 1 year and over",695474,"(+/- 7029 )",711529,"(+/- 5752 )",752992,"(+/- 7071 )",776097,"(+/- 8589 )",704126,"(+/- 8391 )",775906,"(+/- 11063 )",782875,"(+/- 12133 )",750305,"(+/- 10767 )",798857,"(+/- 11262 )",766342,"(+/- 6561 )",763698,"(+/- 10308 )",710576,"(+/- 8539 )",755070,"(+/- 4097 )",713781,"(+/- 10691 )",775618,"(+/- 6790 )",741683,"(+/- 13421 )",761384,"(+/- 10202 )",715052,"(+/- 13809 )",716339,"(+/- 13631 )",741137,"(+/- 7011 )",710376,"(+/- 17010 )",799718,"(+/- 15967 )",759683,"(+/- 16714 )",732761,"(+/- 2613 )",728915,"(+/- 11743 )",708544,"(+/- 3856 )",682751,"(+/- 8854 )",690199,"(+/- 16030 )",684822,"(+/- 17788 )",758274,"(+/- 21502 )",752073,"(+/- 12537 )",683346,"(+/- 9883 )",682101,"(+/- 13731 )",689221,"(+/- 19611 )",739058,"(+/- 9542 )",753819,"(+/- 10403 )",692375,"(+/- 21109 )",684908,"(+/- 13159 )",722850,"(+/- 9751 )",675789,"(+/- 15196 )",757417,"(+/- 9013 )",833380,"(+/- 12953 )",720113,"(+/- 18469 )",690845,"(+/- 17616 )",799662,"(+/- 8812 )",694392,"(+/- 12166 )",695350,"(+/- 13594 )",707188,"(+/- 8317 )",732711,"(+/- 10807 )",739305,"(+/- 13075 )",698485,"(+/- 15226 )",771895,"(+/- 14143 )",752030,"(+/- 16936 )"
