Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","45 to 54 years",81284,"(+/- 5691 )",85093,"(+/- 5580 )",98554,"(+/- 6502 )",83376,"(+/- 4633 )",85233,"(+/- 5715 )",104718,"(+/- 4508 )",81979,"(+/- 6254 )",90745,"(+/- 5376 )",95527,"(+/- 5325 )",95660,"(+/- 4083 )",99103,"(+/- 5296 )",80172,"(+/- 1978 )",77576,"(+/- 3661 )",103098,"(+/- 5197 )",79503,"(+/- 2148 )",81390,"(+/- 3019 )",81481,"(+/- 3042 )",81623,"(+/- 2875 )"
People,"Sex and Age","55 to 59 years",49082,"(+/- 4653 )",40565,"(+/- 3491 )",45675,"(+/- 3836 )",36000,"(+/- 3300 )",41699,"(+/- 3798 )",53926,"(+/- 3348 )",39273,"(+/- 4170 )",46708,"(+/- 3412 )",48853,"(+/- 3794 )",47369,"(+/- 3436 )",48539,"(+/- 3796 )",43384,"(+/- 2544 )",41783,"(+/- 2627 )",52552,"(+/- 3694 )",46903,"(+/- 2434 )",46748,"(+/- 2985 )",46308,"(+/- 2935 )",44786,"(+/- 2686 )"
People,"Sex and Age","60 to 64 years",46537,"(+/- 4716 )",49141,"(+/- 4093 )",51212,"(+/- 3801 )",35683,"(+/- 3311 )",38884,"(+/- 3346 )",53622,"(+/- 3655 )",41306,"(+/- 3672 )",44233,"(+/- 3103 )",47439,"(+/- 4252 )",44350,"(+/- 3383 )",41587,"(+/- 3685 )",48422,"(+/- 3229 )",44933,"(+/- 2576 )",49498,"(+/- 3963 )",50292,"(+/- 2614 )",49116,"(+/- 2486 )",45738,"(+/- 2469 )",49259,"(+/- 2851 )"
People,"Sex and Age","65 to 74 years",74232,"(+/- 4148 )",69132,"(+/- 3911 )",75263,"(+/- 5262 )",46066,"(+/- 4036 )",55178,"(+/- 3706 )",76231,"(+/- 3607 )",59410,"(+/- 3914 )",64613,"(+/- 4539 )",80009,"(+/- 4726 )",70414,"(+/- 2966 )",62169,"(+/- 3591 )",74283,"(+/- 1689 )",72818,"(+/- 2831 )",71072,"(+/- 3910 )",77170,"(+/- 1716 )",77190,"(+/- 1601 )",78529,"(+/- 2320 )",79264,"(+/- 2233 )"
People,"Sex and Age","75 to 84 years",34160,"(+/- 3005 )",35815,"(+/- 3006 )",34620,"(+/- 3432 )",23570,"(+/- 2571 )",31613,"(+/- 2734 )",36070,"(+/- 2692 )",27294,"(+/- 2529 )",27386,"(+/- 2804 )",40021,"(+/- 3140 )",35322,"(+/- 2285 )",25799,"(+/- 2346 )",37019,"(+/- 2108 )",34066,"(+/- 2209 )",31922,"(+/- 2999 )",39819,"(+/- 1898 )",36855,"(+/- 1950 )",38908,"(+/- 1767 )",41062,"(+/- 2252 )"
People,"Sex and Age","85 years and over",12877,"(+/- 1740 )",11490,"(+/- 1642 )",15378,"(+/- 1987 )",8374,"(+/- 1481 )",10798,"(+/- 2084 )",13714,"(+/- 1691 )",10301,"(+/- 2098 )",12445,"(+/- 1813 )",16749,"(+/- 1896 )",12234,"(+/- 1668 )",9649,"(+/- 1725 )",11768,"(+/- 1569 )",12879,"(+/- 1417 )",8802,"(+/- 1606 )",15554,"(+/- 1511 )",15190,"(+/- 1546 )",14394,"(+/- 1389 )",16349,"(+/- 1805 )"
People,"Sex and Age","Median age (years)",40.0,"(+/- 1.1 )",38.9,"(+/- 1.1 )",40.6,"(+/- 0.8 )",35.9,"(+/- 0.6 )",35.6,"(+/- 0.5 )",40.6,"(+/- 0.7 )",34.7,"(+/- 0.7 )",38.2,"(+/- 0.9 )",41.0,"(+/- 0.9 )",39.0,"(+/- 0.6 )",37.7,"(+/- 0.9 )",40.6,"(+/- 0.5 )",37.3,"(+/- 0.6 )",40.2,"(+/- 0.6 )",41.4,"(+/- 0.5 )",40.3,"(+/- 0.6 )",41.7,"(+/- 0.6 )",40.6,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",528956,"(+/- 12152 )",522310,"(+/- 9887 )",560156,"(+/- 13149 )",502244,"(+/- 13294 )",604311,"(+/- 12416 )",572652,"(+/- 9545 )",602064,"(+/- 13513 )",540390,"(+/- 9905 )",579501,"(+/- 11541 )",550254,"(+/- 6098 )",547657,"(+/- 8387 )",521738,"(+/- 3559 )",554153,"(+/- 6320 )",559724,"(+/- 10233 )",524066,"(+/- 4307 )",536212,"(+/- 5477 )",520235,"(+/- 6518 )",544669,"(+/- 6218 )"
People,"Sex and Age","65 years and over",121269,"(+/- 5440 )",116437,"(+/- 4916 )",125261,"(+/- 6124 )",78010,"(+/- 5278 )",97589,"(+/- 4591 )",126015,"(+/- 5293 )",97005,"(+/- 4581 )",104444,"(+/- 5836 )",136779,"(+/- 5753 )",117970,"(+/- 3620 )",97617,"(+/- 4783 )",123070,"(+/- 2124 )",119763,"(+/- 3240 )",111796,"(+/- 4200 )",132543,"(+/- 2507 )",129235,"(+/- 1972 )",131831,"(+/- 2818 )",136675,"(+/- 2800 )"
People,Race,"Total population",676454,"(+/- 15806 )",681277,"(+/- 13064 )",722714,"(+/- 18534 )",640957,"(+/- 17022 )",750823,"(+/- 16266 )",754166,"(+/- 11681 )",747262,"(+/- 17159 )",701275,"(+/- 11419 )",735119,"(+/- 15261 )",719131,"(+/- 8210 )",717925,"(+/- 10449 )",667669,"(+/- 3947 )",690804,"(+/- 8093 )",736577,"(+/- 12115 )",675647,"(+/- 5436 )",686140,"(+/- 7373 )",665076,"(+/- 8977 )",702453,"(+/- 8183 )"
People,Race,"One race",624299,"(+/- 15650 )",633484,"(+/- 13394 )",599739,"(+/- 17654 )",469720,"(+/- 16706 )",657208,"(+/- 16371 )",684577,"(+/- 12351 )",676857,"(+/- 17657 )",587116,"(+/- 12711 )",663092,"(+/- 14781 )",611354,"(+/- 10636 )",591834,"(+/- 14068 )",618674,"(+/- 6577 )",648494,"(+/- 9004 )",654085,"(+/- 13652 )",642177,"(+/- 6138 )",630846,"(+/- 8598 )",603051,"(+/- 8930 )",668392,"(+/- 8539 )"
People,Race,White,234693,"(+/- 9225 )",183371,"(+/- 7815 )",416079,"(+/- 12678 )",194062,"(+/- 9572 )",496643,"(+/- 15424 )",543917,"(+/- 12111 )",228447,"(+/- 10212 )",357771,"(+/- 10351 )",464806,"(+/- 12637 )",400115,"(+/- 10509 )",371469,"(+/- 13617 )",500051,"(+/- 4941 )",536848,"(+/- 8072 )",567905,"(+/- 12957 )",603577,"(+/- 5584 )",560945,"(+/- 7199 )",497301,"(+/- 6482 )",612962,"(+/- 6640 )"
People,Race,"Black or African American",337416,"(+/- 12968 )",377029,"(+/- 13508 )",35198,"(+/- 6905 )",32575,"(+/- 5057 )",24122,"(+/- 3825 )",22499,"(+/- 4644 )",316420,"(+/- 14972 )",35266,"(+/- 6297 )",62209,"(+/- 7949 )",45444,"(+/- 3937 )",83534,"(+/- 6551 )",101337,"(+/- 3981 )",74876,"(+/- 4859 )",23051,"(+/- 4062 )",27759,"(+/- 2710 )",26471,"(+/- 3761 )",67596,"(+/- 6170 )",29802,"(+/- 4569 )"
People,Race,"American Indian and Alaska Native",4923,"(+/- 3645 )",3847,"(+/- 2254 )",6555,"(+/- 2767 )",13791,"(+/- 4548 )",4467,"(+/- 1812 )",3180,"(+/- 1736 )",5597,"(+/- 3169 )",8623,"(+/- 3721 )",4878,"(+/- 1582 )",7845,"(+/- 2770 )",6787,"(+/- 2955 )",2303,"(+/- 954 )",885,"(+/- 433 )",3001,"(+/- 1477 )",1186,"(+/- 669 )",2553,"(+/- 1167 )",3028,"(+/- 1265 )",1264,"(+/- 740 )"
People,Race,Asian,15370,"(+/- 3391 )",5118,"(+/- 1625 )",30678,"(+/- 4148 )",26789,"(+/- 4133 )",67638,"(+/- 7575 )",76017,"(+/- 7475 )",50847,"(+/- 7119 )",93435,"(+/- 7258 )",91842,"(+/- 7529 )",93146,"(+/- 6389 )",59505,"(+/- 5584 )",6924,"(+/- 947 )",28821,"(+/- 2676 )",39593,"(+/- 5554 )",3706,"(+/- 976 )",10932,"(+/- 1536 )",9620,"(+/- 1496 )",18550,"(+/- 2135 )"
People,Race,"Native Hawaiian and Other Pacific Islander",824,"(+/- 780 )",334,"(+/- 309 )",418,"(+/- 690 )",451,"(+/- 455 )",33,"(+/- 59 )",140,"(+/- 138 )",151,"(+/- 251 )",863,"(+/- 650 )",327,"(+/- 463 )",378,"(+/- 305 )",15,"(+/- 33 )",100,"(+/- 248 )",329,"(+/- 329 )",94,"(+/- 122 )",126,"(+/- 149 )",237,"(+/- 288 )",750,"(+/- 824 )",210,"(+/- 275 )"
People,Race,"Some other race",31073,"(+/- 6013 )",63785,"(+/- 9997 )",110811,"(+/- 12189 )",202052,"(+/- 14445 )",64305,"(+/- 7363 )",38824,"(+/- 8037 )",75395,"(+/- 10733 )",91158,"(+/- 10238 )",39030,"(+/- 6957 )",64426,"(+/- 8298 )",70524,"(+/- 7728 )",7959,"(+/- 2185 )",6735,"(+/- 1575 )",20441,"(+/- 4137 )",5823,"(+/- 1716 )",29708,"(+/- 4670 )",24756,"(+/- 4314 )",5604,"(+/- 1827 )"
People,Race,"Two or more races",52155,"(+/- 7664 )",47793,"(+/- 7597 )",122975,"(+/- 11728 )",171237,"(+/- 13081 )",93615,"(+/- 9333 )",69589,"(+/- 7779 )",70405,"(+/- 7839 )",114159,"(+/- 8887 )",72027,"(+/- 7127 )",107777,"(+/- 8060 )",126091,"(+/- 9954 )",48995,"(+/- 4584 )",42310,"(+/- 4127 )",82492,"(+/- 8446 )",33470,"(+/- 4119 )",55294,"(+/- 5494 )",62025,"(+/- 6702 )",34061,"(+/- 3593 )"
People,"Hispanic or Latino and Race","Total population",676454,"(+/- 15806 )",681277,"(+/- 13064 )",722714,"(+/- 18534 )",640957,"(+/- 17022 )",750823,"(+/- 16266 )",754166,"(+/- 11681 )",747262,"(+/- 17159 )",701275,"(+/- 11419 )",735119,"(+/- 15261 )",719131,"(+/- 8210 )",717925,"(+/- 10449 )",667669,"(+/- 3947 )",690804,"(+/- 8093 )",736577,"(+/- 12115 )",675647,"(+/- 5436 )",686140,"(+/- 7373 )",665076,"(+/- 8977 )",702453,"(+/- 8183 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",72956,"(+/- 9671 )",113439,"(+/- 10658 )",251626,"(+/- 16023 )",422254,"(+/- 18879 )",155584,"(+/- 10575 )",88249,"(+/- 8684 )",146394,"(+/- 12424 )",216050,"(+/- 12653 )",96024,"(+/- 9862 )",175783,"(+/- 7438 )",200654,"(+/- 8707 )",25763,"(+/- 1426 )",26236,"(+/- 2349 )",101374,"(+/- 7502 )",21429,"(+/- 2334 )",75627,"(+/- 3818 )",67766,"(+/- 3856 )",20122,"(+/- 2299 )"
People,"Hispanic or Latino and Race",Mexican,58807,"(+/- 8667 )",99177,"(+/- 10680 )",227923,"(+/- 15944 )",325183,"(+/- 17448 )",84807,"(+/- 8064 )",63593,"(+/- 8089 )",107075,"(+/- 13423 )",174140,"(+/- 12162 )",58280,"(+/- 8089 )",138751,"(+/- 7048 )",166686,"(+/- 8287 )",15293,"(+/- 2228 )",14963,"(+/- 2261 )",75992,"(+/- 7672 )",15886,"(+/- 2001 )",63304,"(+/- 4313 )",53802,"(+/- 3476 )",13644,"(+/- 2381 )"
People,"Hispanic or Latino and Race","Puerto Rican",6348,"(+/- 2245 )",7647,"(+/- 2790 )",10114,"(+/- 2992 )",48153,"(+/- 7120 )",25323,"(+/- 5112 )",6605,"(+/- 2261 )",20415,"(+/- 3935 )",14747,"(+/- 3869 )",11825,"(+/- 3402 )",10422,"(+/- 2852 )",14271,"(+/- 3326 )",3786,"(+/- 1784 )",3972,"(+/- 1397 )",9667,"(+/- 2989 )",1024,"(+/- 549 )",4814,"(+/- 1538 )",4922,"(+/- 1421 )",2007,"(+/- 801 )"
People,"Hispanic or Latino and Race",Cuban,348,"(+/- 296 )",520,"(+/- 478 )",1012,"(+/- 705 )",2108,"(+/- 1202 )",2939,"(+/- 1112 )",1681,"(+/- 969 )",1101,"(+/- 619 )",2409,"(+/- 1223 )",4747,"(+/- 1810 )",1334,"(+/- 753 )",1998,"(+/- 1559 )",1248,"(+/- 670 )",704,"(+/- 594 )",1736,"(+/- 1064 )",528,"(+/- 406 )",570,"(+/- 431 )",1027,"(+/- 592 )",846,"(+/- 584 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",7453,"(+/- 2715 )",6095,"(+/- 2787 )",12577,"(+/- 3458 )",46810,"(+/- 7328 )",42515,"(+/- 6142 )",16370,"(+/- 3930 )",17803,"(+/- 4605 )",24754,"(+/- 4167 )",21172,"(+/- 3498 )",25276,"(+/- 4843 )",17699,"(+/- 3517 )",5436,"(+/- 1658 )",6597,"(+/- 1362 )",13979,"(+/- 3907 )",3991,"(+/- 1082 )",6939,"(+/- 2205 )",8015,"(+/- 2185 )",3625,"(+/- 1210 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",603498,"(+/- 15190 )",567838,"(+/- 13543 )",471088,"(+/- 12382 )",218703,"(+/- 10343 )",595239,"(+/- 16368 )",665917,"(+/- 12196 )",600868,"(+/- 16564 )",485225,"(+/- 12544 )",639095,"(+/- 14607 )",543348,"(+/- 9742 )",517271,"(+/- 13460 )",641906,"(+/- 3928 )",664568,"(+/- 8012 )",635203,"(+/- 12024 )",654218,"(+/- 5362 )",610513,"(+/- 6230 )",597310,"(+/- 7668 )",682331,"(+/- 8249 )"
People,"Place of Birth","Total population",676454,"(+/- 15806 )",681277,"(+/- 13064 )",722714,"(+/- 18534 )",640957,"(+/- 17022 )",750823,"(+/- 16266 )",754166,"(+/- 11681 )",747262,"(+/- 17159 )",701275,"(+/- 11419 )",735119,"(+/- 15261 )",719131,"(+/- 8210 )",717925,"(+/- 10449 )",667669,"(+/- 3947 )",690804,"(+/- 8093 )",736577,"(+/- 12115 )",675647,"(+/- 5436 )",686140,"(+/- 7373 )",665076,"(+/- 8977 )",702453,"(+/- 8183 )"
People,"Place of Birth",Native,619090,"(+/- 14851 )",630524,"(+/- 12823 )",566184,"(+/- 17041 )",434224,"(+/- 13816 )",587852,"(+/- 15103 )",638748,"(+/- 10908 )",637980,"(+/- 16935 )",494600,"(+/- 12003 )",556523,"(+/- 12689 )",537197,"(+/- 9733 )",582120,"(+/- 12491 )",650944,"(+/- 4202 )",654272,"(+/- 7714 )",662024,"(+/- 11878 )",663873,"(+/- 5666 )",648449,"(+/- 8014 )",625540,"(+/- 8685 )",676763,"(+/- 7388 )"
People,"Place of Birth","Born in United States",614030,"(+/- 14929 )",622277,"(+/- 12989 )",556113,"(+/- 17009 )",412090,"(+/- 12928 )",572896,"(+/- 15150 )",631383,"(+/- 10709 )",629078,"(+/- 16542 )",479418,"(+/- 11590 )",543722,"(+/- 12149 )",527860,"(+/- 9554 )",570278,"(+/- 12324 )",644660,"(+/- 4851 )",649411,"(+/- 8135 )",655562,"(+/- 11983 )",660576,"(+/- 5744 )",642751,"(+/- 7907 )",621053,"(+/- 8645 )",673014,"(+/- 7206 )"
People,"Place of Birth","State of residence",515970,"(+/- 14854 )",520995,"(+/- 12896 )",499482,"(+/- 16238 )",341748,"(+/- 12150 )",406555,"(+/- 12713 )",493482,"(+/- 10660 )",466646,"(+/- 14761 )",406768,"(+/- 11935 )",396923,"(+/- 12249 )",394701,"(+/- 10121 )",467504,"(+/- 12341 )",448376,"(+/- 9459 )",515736,"(+/- 8910 )",525826,"(+/- 14024 )",510520,"(+/- 6683 )",533759,"(+/- 9075 )",474487,"(+/- 9725 )",557810,"(+/- 8807 )"
People,"Place of Birth","Different state",98060,"(+/- 5702 )",101282,"(+/- 6293 )",56631,"(+/- 4607 )",70342,"(+/- 4381 )",166341,"(+/- 7596 )",137901,"(+/- 6206 )",162432,"(+/- 8233 )",72650,"(+/- 6218 )",146799,"(+/- 6665 )",133159,"(+/- 6256 )",102774,"(+/- 5407 )",196284,"(+/- 8028 )",133675,"(+/- 6930 )",129736,"(+/- 7000 )",150056,"(+/- 6831 )",108992,"(+/- 6555 )",146566,"(+/- 5746 )",115204,"(+/- 6230 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5060,"(+/- 1288 )",8247,"(+/- 3113 )",10071,"(+/- 2096 )",22134,"(+/- 2896 )",14956,"(+/- 3040 )",7365,"(+/- 1580 )",8902,"(+/- 2127 )",15182,"(+/- 3621 )",12801,"(+/- 2690 )",9337,"(+/- 1788 )",11842,"(+/- 2753 )",6284,"(+/- 1324 )",4861,"(+/- 1457 )",6462,"(+/- 1409 )",3297,"(+/- 950 )",5698,"(+/- 1651 )",4487,"(+/- 1148 )",3749,"(+/- 920 )"
People,"Place of Birth","Foreign born",57364,"(+/- 6790 )",50753,"(+/- 5480 )",156530,"(+/- 9031 )",206733,"(+/- 9829 )",162971,"(+/- 9330 )",115418,"(+/- 7173 )",109282,"(+/- 8546 )",206675,"(+/- 9386 )",178596,"(+/- 8817 )",181934,"(+/- 7275 )",135805,"(+/- 7573 )",16725,"(+/- 2049 )",36532,"(+/- 3755 )",74553,"(+/- 6269 )",11774,"(+/- 1806 )",37691,"(+/- 3975 )",39536,"(+/- 4030 )",25690,"(+/- 4523 )"
People,Ancestry,"Total population",676454,"(+/- 15806 )",681277,"(+/- 13064 )",722714,"(+/- 18534 )",640957,"(+/- 17022 )",750823,"(+/- 16266 )",754166,"(+/- 11681 )",747262,"(+/- 17159 )",701275,"(+/- 11419 )",735119,"(+/- 15261 )",719131,"(+/- 8210 )",717925,"(+/- 10449 )",667669,"(+/- 3947 )",690804,"(+/- 8093 )",736577,"(+/- 12115 )",675647,"(+/- 5436 )",686140,"(+/- 7373 )",665076,"(+/- 8977 )",702453,"(+/- 8183 )"
People,Ancestry,American,15486,"(+/- 3577 )",20909,"(+/- 4911 )",15496,"(+/- 3425 )",9417,"(+/- 2608 )",19987,"(+/- 3548 )",18517,"(+/- 2994 )",12329,"(+/- 3463 )",13506,"(+/- 2504 )",22630,"(+/- 3311 )",25392,"(+/- 3994 )",19203,"(+/- 4979 )",26916,"(+/- 3408 )",35837,"(+/- 4116 )",24207,"(+/- 6107 )",44162,"(+/- 3928 )",22592,"(+/- 3405 )",29305,"(+/- 4031 )",34661,"(+/- 3782 )"
People,Ancestry,Arab,8131,"(+/- 2570 )",314,"(+/- 288 )",16168,"(+/- 4433 )",3335,"(+/- 1664 )",9473,"(+/- 2985 )",5433,"(+/- 1588 )",5392,"(+/- 1851 )",6267,"(+/- 2661 )",8201,"(+/- 2680 )",4640,"(+/- 2098 )",2681,"(+/- 1299 )",1669,"(+/- 983 )",1973,"(+/- 1328 )",1389,"(+/- 776 )",1022,"(+/- 560 )",1852,"(+/- 1196 )",754,"(+/- 418 )",4254,"(+/- 1951 )"
People,Ancestry,Czech,2583,"(+/- 1013 )",1542,"(+/- 792 )",12538,"(+/- 3065 )",5662,"(+/- 2300 )",5651,"(+/- 1211 )",8992,"(+/- 1565 )",2991,"(+/- 854 )",4932,"(+/- 1507 )",6322,"(+/- 1690 )",3270,"(+/- 991 )",10461,"(+/- 2303 )",2094,"(+/- 914 )",2735,"(+/- 1145 )",7739,"(+/- 1911 )",1784,"(+/- 865 )",5222,"(+/- 1579 )",2159,"(+/- 592 )",1905,"(+/- 849 )"
People,Ancestry,Danish,1129,"(+/- 569 )",888,"(+/- 396 )",1054,"(+/- 387 )",519,"(+/- 313 )",2397,"(+/- 676 )",4907,"(+/- 1475 )",1688,"(+/- 899 )",2141,"(+/- 723 )",3375,"(+/- 1061 )",1962,"(+/- 751 )",1612,"(+/- 841 )",746,"(+/- 382 )",1577,"(+/- 696 )",2973,"(+/- 1197 )",510,"(+/- 298 )",2370,"(+/- 677 )",3349,"(+/- 1038 )",3321,"(+/- 1209 )"
People,Ancestry,Dutch,8965,"(+/- 2863 )",6902,"(+/- 1810 )",6870,"(+/- 2583 )",2594,"(+/- 834 )",5832,"(+/- 1717 )",9332,"(+/- 2217 )",5503,"(+/- 2355 )",3297,"(+/- 1014 )",5913,"(+/- 1356 )",4521,"(+/- 1145 )",7567,"(+/- 2530 )",5986,"(+/- 1484 )",7666,"(+/- 1468 )",7758,"(+/- 1747 )",6292,"(+/- 1547 )",8810,"(+/- 1813 )",11457,"(+/- 2035 )",9835,"(+/- 2852 )"
People,Ancestry,English,17484,"(+/- 2846 )",21329,"(+/- 3360 )",21986,"(+/- 2825 )",15279,"(+/- 2672 )",41830,"(+/- 4334 )",59307,"(+/- 4094 )",27667,"(+/- 3449 )",26014,"(+/- 3224 )",46597,"(+/- 3868 )",35655,"(+/- 4102 )",33037,"(+/- 4588 )",79300,"(+/- 6545 )",82029,"(+/- 5923 )",60355,"(+/- 6325 )",79389,"(+/- 5148 )",70247,"(+/- 4985 )",62177,"(+/- 4027 )",102766,"(+/- 6150 )"
