Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","45 to 54 years",98197,"(+/- 2921 )",88022,"(+/- 3756 )",94062,"(+/- 3625 )",115411,"(+/- 4159 )",85837,"(+/- 4291 )",95524,"(+/- 2919 )",99794,"(+/- 4268 )",92356,"(+/- 2113 )",131218,"(+/- 7106 )",108322,"(+/- 6248 )",85117,"(+/- 4703 )",106295,"(+/- 3418 )",89893,"(+/- 3212 )",106876,"(+/- 4114 )",107385,"(+/- 6046 )",102231,"(+/- 4714 )",88883,"(+/- 4300 )",97958,"(+/- 3696 )",96327,"(+/- 3660 )",98026,"(+/- 6524 )",97963,"(+/- 4036 )",101915,"(+/- 5770 )",106321,"(+/- 5694 )",92722,"(+/- 5873 )",109060,"(+/- 6213 )",118610,"(+/- 6748 )",102783,"(+/- 6169 )"
People,"Sex and Age","55 to 59 years",53621,"(+/- 3524 )",48421,"(+/- 3384 )",44986,"(+/- 2849 )",55914,"(+/- 4174 )",44892,"(+/- 3763 )",57047,"(+/- 4018 )",46162,"(+/- 3417 )",65966,"(+/- 3856 )",59234,"(+/- 5964 )",50751,"(+/- 4311 )",54448,"(+/- 4214 )",58933,"(+/- 3319 )",58969,"(+/- 3647 )",49277,"(+/- 3118 )",55852,"(+/- 4241 )",58971,"(+/- 4072 )",57209,"(+/- 4330 )",59259,"(+/- 4001 )",57588,"(+/- 3661 )",55093,"(+/- 4173 )",48396,"(+/- 3598 )",61145,"(+/- 4913 )",49601,"(+/- 4263 )",46374,"(+/- 3655 )",58440,"(+/- 4317 )",62220,"(+/- 4336 )",50040,"(+/- 4114 )"
People,"Sex and Age","60 to 64 years",59342,"(+/- 3826 )",54419,"(+/- 3070 )",53026,"(+/- 3411 )",64375,"(+/- 5211 )",45200,"(+/- 3527 )",70031,"(+/- 3505 )",51581,"(+/- 3585 )",62650,"(+/- 3603 )",57620,"(+/- 6155 )",46502,"(+/- 4151 )",68921,"(+/- 4234 )",59969,"(+/- 3172 )",58716,"(+/- 3456 )",51962,"(+/- 3687 )",48549,"(+/- 3638 )",66078,"(+/- 3423 )",66343,"(+/- 4237 )",64118,"(+/- 5001 )",65837,"(+/- 3549 )",44804,"(+/- 4513 )",53235,"(+/- 3747 )",58893,"(+/- 3745 )",53042,"(+/- 4454 )",45530,"(+/- 3811 )",46743,"(+/- 4378 )",44740,"(+/- 4084 )",47580,"(+/- 4090 )"
People,"Sex and Age","65 to 74 years",87535,"(+/- 1418 )",95141,"(+/- 3536 )",83558,"(+/- 3041 )",97315,"(+/- 4305 )",66404,"(+/- 3898 )",128466,"(+/- 3616 )",73561,"(+/- 3191 )",114964,"(+/- 1275 )",92229,"(+/- 4279 )",67497,"(+/- 3898 )",162509,"(+/- 3900 )",110659,"(+/- 3168 )",100076,"(+/- 3012 )",69391,"(+/- 3375 )",83010,"(+/- 4847 )",130499,"(+/- 4259 )",144746,"(+/- 5008 )",112703,"(+/- 3319 )",145688,"(+/- 3761 )",68982,"(+/- 4746 )",103262,"(+/- 4174 )",93021,"(+/- 5112 )",74570,"(+/- 4641 )",64754,"(+/- 4398 )",73753,"(+/- 4573 )",75783,"(+/- 4975 )",73184,"(+/- 4642 )"
People,"Sex and Age","75 to 84 years",41982,"(+/- 1978 )",47515,"(+/- 2765 )",35819,"(+/- 2847 )",44051,"(+/- 3152 )",28626,"(+/- 2232 )",67739,"(+/- 2769 )",36120,"(+/- 2668 )",66520,"(+/- 3430 )",51277,"(+/- 3930 )",28032,"(+/- 2738 )",110387,"(+/- 4298 )",66252,"(+/- 3052 )",60292,"(+/- 3439 )",33247,"(+/- 2339 )",40772,"(+/- 2870 )",81589,"(+/- 3851 )",91954,"(+/- 4012 )",73979,"(+/- 3630 )",100961,"(+/- 4241 )",34054,"(+/- 3385 )",67861,"(+/- 3339 )",56007,"(+/- 3912 )",43999,"(+/- 3668 )",32335,"(+/- 2782 )",49855,"(+/- 4074 )",38619,"(+/- 3102 )",43138,"(+/- 3434 )"
People,"Sex and Age","85 years and over",12272,"(+/- 1797 )",13666,"(+/- 2077 )",17023,"(+/- 2290 )",17567,"(+/- 2385 )",9488,"(+/- 1445 )",21053,"(+/- 2199 )",13399,"(+/- 2054 )",27179,"(+/- 3027 )",13141,"(+/- 1780 )",10716,"(+/- 1810 )",31857,"(+/- 3872 )",20993,"(+/- 2190 )",19934,"(+/- 2732 )",11706,"(+/- 1690 )",13596,"(+/- 2549 )",31649,"(+/- 2917 )",29332,"(+/- 2994 )",28917,"(+/- 3268 )",30617,"(+/- 3400 )",15076,"(+/- 2814 )",33848,"(+/- 3346 )",20897,"(+/- 2749 )",17751,"(+/- 2404 )",13894,"(+/- 2095 )",20999,"(+/- 3082 )",16264,"(+/- 2373 )",19920,"(+/- 2551 )"
People,"Sex and Age","Median age (years)",39.6,"(+/- 0.4 )",41.8,"(+/- 0.7 )",38.7,"(+/- 0.4 )",40.8,"(+/- 0.7 )",35.1,"(+/- 0.8 )",48.9,"(+/- 0.6 )",37.9,"(+/- 0.7 )",48.9,"(+/- 0.3 )",38.2,"(+/- 0.6 )",36.3,"(+/- 0.7 )",55.4,"(+/- 0.9 )",45.9,"(+/- 0.6 )",48.4,"(+/- 0.5 )",37.3,"(+/- 0.8 )",39.7,"(+/- 1.0 )",46.8,"(+/- 0.8 )",53.9,"(+/- 0.7 )",48.7,"(+/- 0.6 )",51.8,"(+/- 0.7 )",39.0,"(+/- 1.0 )",45.6,"(+/- 0.9 )",45.0,"(+/- 1.0 )",41.5,"(+/- 0.7 )",38.3,"(+/- 0.7 )",42.8,"(+/- 0.8 )",41.4,"(+/- 1.0 )",42.0,"(+/- 1.1 )"
People,"Sex and Age","18 years and over",644035,"(+/- 1462 )",594074,"(+/- 10107 )",616461,"(+/- 6088 )",703434,"(+/- 13109 )",581793,"(+/- 13713 )",675974,"(+/- 9903 )",639825,"(+/- 13941 )",654852,"(+/- 2899 )",775903,"(+/- 19701 )",650204,"(+/- 16149 )",718636,"(+/- 10041 )",669472,"(+/- 7366 )",610029,"(+/- 7331 )",642675,"(+/- 10737 )",640944,"(+/- 14261 )",732897,"(+/- 11243 )",672995,"(+/- 10497 )",663612,"(+/- 9526 )",723623,"(+/- 9607 )",589433,"(+/- 13190 )",642687,"(+/- 9544 )",646928,"(+/- 9582 )",596757,"(+/- 8809 )",582176,"(+/- 14001 )",613912,"(+/- 12276 )",617721,"(+/- 12846 )",592253,"(+/- 14192 )"
People,"Sex and Age","65 years and over",141789,"(+/- 1481 )",156322,"(+/- 4016 )",136400,"(+/- 3139 )",158933,"(+/- 5522 )",104518,"(+/- 4739 )",217258,"(+/- 4236 )",123080,"(+/- 4149 )",208663,"(+/- 1667 )",156647,"(+/- 5224 )",106245,"(+/- 5198 )",304753,"(+/- 4792 )",197904,"(+/- 3730 )",180302,"(+/- 3610 )",114344,"(+/- 4673 )",137378,"(+/- 6294 )",243737,"(+/- 5578 )",266032,"(+/- 6469 )",215599,"(+/- 5335 )",277266,"(+/- 5940 )",118112,"(+/- 5773 )",204971,"(+/- 6797 )",169925,"(+/- 7221 )",136320,"(+/- 6306 )",110983,"(+/- 5191 )",144607,"(+/- 5856 )",130666,"(+/- 6566 )",136242,"(+/- 6454 )"
People,Race,"Total population",821362,"(+/- 1734 )",749149,"(+/- 12832 )",774718,"(+/- 7665 )",893302,"(+/- 17862 )",747582,"(+/- 18495 )",814531,"(+/- 12192 )",787989,"(+/- 17445 )",793922,"(+/- 3216 )",1002804,"(+/- 25300 )",859992,"(+/- 21270 )",850097,"(+/- 13189 )",829889,"(+/- 8923 )",723346,"(+/- 8713 )",810520,"(+/- 15432 )",820172,"(+/- 20305 )",907070,"(+/- 16904 )",802733,"(+/- 12562 )",809802,"(+/- 11489 )",864808,"(+/- 13259 )",761114,"(+/- 15672 )",797947,"(+/- 11935 )",783681,"(+/- 10237 )",765245,"(+/- 10105 )",735549,"(+/- 17682 )",761486,"(+/- 15207 )",784436,"(+/- 16458 )",727882,"(+/- 18944 )"
People,Race,"One race",743037,"(+/- 6902 )",685505,"(+/- 13483 )",684743,"(+/- 9410 )",799091,"(+/- 17122 )",685494,"(+/- 17617 )",750559,"(+/- 11580 )",640646,"(+/- 18545 )",711326,"(+/- 9966 )",780338,"(+/- 23135 )",676598,"(+/- 19257 )",760625,"(+/- 14034 )",739969,"(+/- 11825 )",648509,"(+/- 10046 )",632227,"(+/- 17451 )",690144,"(+/- 21421 )",790221,"(+/- 17083 )",719999,"(+/- 12731 )",708285,"(+/- 12746 )",714939,"(+/- 15071 )",634948,"(+/- 16725 )",651565,"(+/- 14264 )",614445,"(+/- 13584 )",555501,"(+/- 13976 )",507071,"(+/- 16881 )",379225,"(+/- 16026 )",376781,"(+/- 17487 )",334297,"(+/- 12589 )"
People,Race,White,595131,"(+/- 5659 )",561910,"(+/- 8890 )",516369,"(+/- 8917 )",640272,"(+/- 13473 )",299021,"(+/- 12086 )",596132,"(+/- 11020 )",455475,"(+/- 12490 )",580750,"(+/- 6168 )",414084,"(+/- 18415 )",322616,"(+/- 14503 )",658884,"(+/- 12411 )",630264,"(+/- 11041 )",512925,"(+/- 10589 )",391318,"(+/- 14558 )",458902,"(+/- 17869 )",623673,"(+/- 12921 )",602680,"(+/- 13285 )",547854,"(+/- 10437 )",595578,"(+/- 11854 )",161019,"(+/- 11835 )",418272,"(+/- 10291 )",428632,"(+/- 11498 )",362179,"(+/- 13588 )",127268,"(+/- 10943 )",264844,"(+/- 11135 )",213315,"(+/- 12404 )",231372,"(+/- 10362 )"
People,Race,"Black or African American",100495,"(+/- 5016 )",90726,"(+/- 7917 )",115548,"(+/- 5990 )",83801,"(+/- 9052 )",334680,"(+/- 11567 )",77650,"(+/- 4451 )",88908,"(+/- 7859 )",74632,"(+/- 4505 )",118259,"(+/- 10983 )",228049,"(+/- 11404 )",58528,"(+/- 7015 )",44587,"(+/- 4115 )",88375,"(+/- 4219 )",133609,"(+/- 9528 )",118368,"(+/- 10693 )",92272,"(+/- 9252 )",52634,"(+/- 5929 )",108588,"(+/- 7086 )",59876,"(+/- 5066 )",399111,"(+/- 14635 )",132160,"(+/- 9152 )",121996,"(+/- 10497 )",108213,"(+/- 10056 )",311362,"(+/- 12694 )",32057,"(+/- 5256 )",83177,"(+/- 10741 )",27957,"(+/- 6870 )"
People,Race,"American Indian and Alaska Native",1710,"(+/- 972 )",4035,"(+/- 1557 )",1475,"(+/- 754 )",1793,"(+/- 1554 )",3868,"(+/- 2246 )",919,"(+/- 507 )",1551,"(+/- 1414 )",1696,"(+/- 1079 )",1631,"(+/- 1132 )",3850,"(+/- 2396 )",2179,"(+/- 1070 )",3103,"(+/- 1494 )",1503,"(+/- 1006 )",2485,"(+/- 1143 )",4143,"(+/- 2152 )",3439,"(+/- 2511 )",4138,"(+/- 2373 )",1118,"(+/- 734 )",1072,"(+/- 762 )",2820,"(+/- 1598 )",3025,"(+/- 2221 )",1802,"(+/- 945 )",1581,"(+/- 698 )",233,"(+/- 187 )",856,"(+/- 474 )",2842,"(+/- 2702 )",4673,"(+/- 2621 )"
People,Race,Asian,22354,"(+/- 2143 )",11035,"(+/- 1832 )",28245,"(+/- 1805 )",43082,"(+/- 4408 )",22811,"(+/- 4209 )",14829,"(+/- 1902 )",41021,"(+/- 5583 )",18203,"(+/- 2101 )",29691,"(+/- 6058 )",41481,"(+/- 4829 )",11876,"(+/- 1955 )",25590,"(+/- 2477 )",27964,"(+/- 2413 )",38889,"(+/- 4411 )",28712,"(+/- 3867 )",17794,"(+/- 2215 )",13436,"(+/- 2767 )",16077,"(+/- 2361 )",14835,"(+/- 2590 )",25932,"(+/- 4269 )",22128,"(+/- 2954 )",21271,"(+/- 3025 )",36319,"(+/- 3804 )",8494,"(+/- 2403 )",10050,"(+/- 2308 )",12850,"(+/- 2548 )",15291,"(+/- 2415 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1281,"(+/- 1530 )",847,"(+/- 723 )",122,"(+/- 217 )",724,"(+/- 615 )",150,"(+/- 220 )",269,"(+/- 253 )",149,"(+/- 252 )",228,"(+/- 130 )",554,"(+/- 673 )",1539,"(+/- 2434 )",0,"(+/- 242 )",670,"(+/- 383 )",586,"(+/- 377 )",997,"(+/- 612 )",394,"(+/- 504 )",1123,"(+/- 856 )",316,"(+/- 279 )",45,"(+/- 71 )",285,"(+/- 288 )",0,"(+/- 242 )",88,"(+/- 103 )",362,"(+/- 380 )",854,"(+/- 529 )",162,"(+/- 268 )",437,"(+/- 615 )",271,"(+/- 264 )",0,"(+/- 242 )"
People,Race,"Some other race",22066,"(+/- 4095 )",16952,"(+/- 3848 )",22984,"(+/- 5147 )",29419,"(+/- 6986 )",24964,"(+/- 6275 )",60760,"(+/- 7044 )",53542,"(+/- 7895 )",35817,"(+/- 7102 )",216119,"(+/- 17263 )",79063,"(+/- 11715 )",29158,"(+/- 5808 )",35755,"(+/- 6231 )",17156,"(+/- 3618 )",64929,"(+/- 9722 )",79625,"(+/- 11067 )",51920,"(+/- 8501 )",46795,"(+/- 8278 )",34603,"(+/- 6610 )",43293,"(+/- 7608 )",46066,"(+/- 7476 )",75892,"(+/- 8398 )",40382,"(+/- 6179 )",46355,"(+/- 7292 )",59552,"(+/- 8539 )",70981,"(+/- 10124 )",64326,"(+/- 11104 )",55004,"(+/- 6849 )"
People,Race,"Two or more races",78325,"(+/- 6672 )",63644,"(+/- 6451 )",89975,"(+/- 7957 )",94211,"(+/- 7667 )",62088,"(+/- 7900 )",63972,"(+/- 7299 )",147343,"(+/- 10826 )",82596,"(+/- 9579 )",222466,"(+/- 20673 )",183394,"(+/- 16975 )",89472,"(+/- 10422 )",89920,"(+/- 8387 )",74837,"(+/- 6558 )",178293,"(+/- 11686 )",130028,"(+/- 12437 )",116849,"(+/- 9913 )",82734,"(+/- 7547 )",101517,"(+/- 9984 )",149869,"(+/- 10424 )",126166,"(+/- 11083 )",146382,"(+/- 11689 )",169236,"(+/- 11570 )",209744,"(+/- 13186 )",228478,"(+/- 15198 )",382261,"(+/- 15242 )",407655,"(+/- 16190 )",393585,"(+/- 17782 )"
People,"Hispanic or Latino and Race","Total population",821362,"(+/- 1734 )",749149,"(+/- 12832 )",774718,"(+/- 7665 )",893302,"(+/- 17862 )",747582,"(+/- 18495 )",814531,"(+/- 12192 )",787989,"(+/- 17445 )",793922,"(+/- 3216 )",1002804,"(+/- 25300 )",859992,"(+/- 21270 )",850097,"(+/- 13189 )",829889,"(+/- 8923 )",723346,"(+/- 8713 )",810520,"(+/- 15432 )",820172,"(+/- 20305 )",907070,"(+/- 16904 )",802733,"(+/- 12562 )",809802,"(+/- 11489 )",864808,"(+/- 13259 )",761114,"(+/- 15672 )",797947,"(+/- 11935 )",783681,"(+/- 10237 )",765245,"(+/- 10105 )",735549,"(+/- 17682 )",761486,"(+/- 15207 )",784436,"(+/- 16458 )",727882,"(+/- 18944 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",61001,"(+/- 667 )",55491,"(+/- 4020 )",86558,"(+/- 4841 )",92236,"(+/- 6787 )",68671,"(+/- 6709 )",118463,"(+/- 4397 )",203355,"(+/- 11574 )",95902,"(+/- 1626 )",462474,"(+/- 18654 )",256930,"(+/- 16450 )",112009,"(+/- 8660 )",131829,"(+/- 5188 )",76419,"(+/- 5152 )",263706,"(+/- 10965 )",214936,"(+/- 14750 )",164352,"(+/- 8515 )",133863,"(+/- 9020 )",146027,"(+/- 6808 )",201506,"(+/- 8016 )",204681,"(+/- 12538 )",209194,"(+/- 9537 )",194770,"(+/- 11894 )",308463,"(+/- 12479 )",335058,"(+/- 14855 )",564092,"(+/- 13410 )",560555,"(+/- 18258 )",508374,"(+/- 17396 )"
People,"Hispanic or Latino and Race",Mexican,24870,"(+/- 3422 )",18630,"(+/- 3873 )",18630,"(+/- 3356 )",15688,"(+/- 4001 )",16174,"(+/- 3909 )",25893,"(+/- 4996 )",14882,"(+/- 3734 )",17309,"(+/- 4601 )",44385,"(+/- 7928 )",42127,"(+/- 11058 )",19369,"(+/- 4733 )",26260,"(+/- 6284 )",15731,"(+/- 3571 )",28335,"(+/- 4761 )",53406,"(+/- 9899 )",68176,"(+/- 8693 )",66736,"(+/- 7357 )",25946,"(+/- 5910 )",49358,"(+/- 8265 )",25212,"(+/- 4777 )",31408,"(+/- 6177 )",17239,"(+/- 4342 )",12789,"(+/- 4137 )",8155,"(+/- 3479 )",51054,"(+/- 8958 )",30514,"(+/- 7592 )",16908,"(+/- 4047 )"
People,"Hispanic or Latino and Race","Puerto Rican",7499,"(+/- 2116 )",11868,"(+/- 3095 )",29585,"(+/- 4849 )",23531,"(+/- 4308 )",22364,"(+/- 4444 )",54640,"(+/- 6080 )",89068,"(+/- 10305 )",34415,"(+/- 5404 )",226968,"(+/- 18589 )",80119,"(+/- 11644 )",58168,"(+/- 9338 )",44352,"(+/- 5839 )",19423,"(+/- 3523 )",59275,"(+/- 6588 )",71346,"(+/- 9498 )",27016,"(+/- 5805 )",24793,"(+/- 4188 )",26491,"(+/- 5771 )",33566,"(+/- 6516 )",30966,"(+/- 5240 )",26712,"(+/- 5421 )",34711,"(+/- 4973 )",37812,"(+/- 5638 )",30472,"(+/- 5467 )",17036,"(+/- 3660 )",36744,"(+/- 6171 )",17525,"(+/- 3918 )"
People,"Hispanic or Latino and Race",Cuban,5087,"(+/- 2233 )",8358,"(+/- 3508 )",7167,"(+/- 1697 )",12613,"(+/- 3653 )",11733,"(+/- 4597 )",9298,"(+/- 4150 )",22675,"(+/- 4515 )",10330,"(+/- 3576 )",22239,"(+/- 5353 )",19477,"(+/- 7544 )",13117,"(+/- 3505 )",18979,"(+/- 4442 )",14510,"(+/- 3347 )",90282,"(+/- 9820 )",22497,"(+/- 5521 )",22719,"(+/- 5164 )",20323,"(+/- 3761 )",17405,"(+/- 4311 )",47080,"(+/- 8082 )",43102,"(+/- 7532 )",36827,"(+/- 5537 )",24662,"(+/- 4554 )",72636,"(+/- 8256 )",115591,"(+/- 11049 )",300845,"(+/- 10567 )",300572,"(+/- 18352 )",251435,"(+/- 14814 )"
