Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,Ancestry,Swiss,667,"(+/- 351 )",2193,"(+/- 1008 )"
People,Ancestry,Ukrainian,479,"(+/- 329 )",827,"(+/- 458 )"
People,Ancestry,Welsh,1651,"(+/- 721 )",2950,"(+/- 1067 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1748,"(+/- 1361 )",1774,"(+/- 937 )"
People,"Veteran Status","Civilian population 18 years and over",547325,"(+/- 6684 )",540891,"(+/- 7061 )"
People,"Veteran Status","Civilian veterans",47240,"(+/- 3064 )",40117,"(+/- 2915 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",680403,"(+/- 9791 )",701310,"(+/- 10373 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",81575,"(+/- 3705 )",84503,"(+/- 5382 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",139460,"(+/- 5893 )",164584,"(+/- 5859 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4367,"(+/- 1180 )",4712,"(+/- 1252 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",400112,"(+/- 5931 )",398830,"(+/- 6193 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",30401,"(+/- 2745 )",38857,"(+/- 3504 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",140831,"(+/- 3005 )",137896,"(+/- 2916 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",46807,"(+/- 2680 )",40934,"(+/- 3135 )"
People,"Residence 1 Year Ago","Population 1 year and over",707903,"(+/- 10420 )",718395,"(+/- 10543 )"
People,"Residence 1 Year Ago","Same house",611869,"(+/- 9951 )",618892,"(+/- 12653 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",96034,"(+/- 8330 )",99503,"(+/- 7363 )"
People,"Residence 1 Year Ago","Different house in the U.S.",87119,"(+/- 8105 )",95297,"(+/- 7407 )"
People,"Residence 1 Year Ago","Same county",52486,"(+/- 5627 )",51151,"(+/- 6749 )"
People,"Residence 1 Year Ago","Different county",34633,"(+/- 5752 )",44146,"(+/- 5604 )"
People,"Residence 1 Year Ago","Same state",813,"(+/- 401 )",6340,"(+/- 2432 )"
People,"Residence 1 Year Ago","Different state",33820,"(+/- 5735 )",37806,"(+/- 5415 )"
People,"Residence 1 Year Ago",Abroad,8915,"(+/- 2642 )",4206,"(+/- 1659 )"
Workers,"Employment Status","Population 16 years and over",589319,"(+/- 7021 )",576901,"(+/- 7347 )"
Workers,"Employment Status","In labor force",379635,"(+/- 6824 )",359701,"(+/- 6734 )"
Workers,"Employment Status","Civilian labor force",351332,"(+/- 6654 )",338868,"(+/- 6549 )"
Workers,"Employment Status",Employed,328267,"(+/- 6389 )",308696,"(+/- 6360 )"
Workers,"Employment Status",Unemployed,23065,"(+/- 2956 )",30172,"(+/- 3063 )"
Workers,"Employment Status","Armed Forces",28303,"(+/- 3284 )",20833,"(+/- 1944 )"
Workers,"Employment Status","Not in labor force",209684,"(+/- 5296 )",217200,"(+/- 6496 )"
Workers,"Employment Status","Civilian labor force",351332,"(+/- 6654 )",338868,"(+/- 6549 )"
Workers,"Employment Status","Unemployment Rate",6.6,"(+/- 0.8 )",8.9,"(+/- 0.9 )"
Workers,"Commuting to Work","Workers 16 years and over",347551,"(+/- 6961 )",320895,"(+/- 6263 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",219182,"(+/- 6389 )",217615,"(+/- 7344 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",46897,"(+/- 4131 )",46117,"(+/- 4617 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",16463,"(+/- 2952 )",5562,"(+/- 1454 )"
Workers,"Commuting to Work",Walked,16362,"(+/- 2239 )",10472,"(+/- 2013 )"
Workers,"Commuting to Work","Other means",10279,"(+/- 1843 )",7797,"(+/- 1599 )"
Workers,"Commuting to Work","Worked from home",38368,"(+/- 3488 )",33332,"(+/- 4191 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.1,"(+/- 0.6 )",25.6,"(+/- 1.0 )"
Workers,Occupation,"Civilian employed population 16 years and over",328267,"(+/- 6389 )",308696,"(+/- 6360 )"
Workers,Occupation,"Management, business, science, and arts occupations",138046,"(+/- 5117 )",113832,"(+/- 5181 )"
Workers,Occupation,"Service occupations",63138,"(+/- 4760 )",69285,"(+/- 5162 )"
Workers,Occupation,"Sales and office occupations",75304,"(+/- 3975 )",63857,"(+/- 3972 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",25693,"(+/- 2373 )",33922,"(+/- 3293 )"
Workers,Occupation,"Production, transportation, and material moving occupations",26086,"(+/- 2599 )",27800,"(+/- 2692 )"
Workers,Industry,"Civilian employed population 16 years and over",328267,"(+/- 6389 )",308696,"(+/- 6360 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1518,"(+/- 674 )",5674,"(+/- 1681 )"
Workers,Industry,Construction,21692,"(+/- 2515 )",27435,"(+/- 3301 )"
Workers,Industry,Manufacturing,10162,"(+/- 1611 )",6845,"(+/- 1333 )"
Workers,Industry,"Wholesale trade",8346,"(+/- 2154 )",6147,"(+/- 1363 )"
Workers,Industry,"Retail trade",32976,"(+/- 2881 )",35219,"(+/- 3446 )"
Workers,Industry,"Transportation and warehousing, and utilities",20963,"(+/- 2012 )",19809,"(+/- 2373 )"
Workers,Industry,Information,5024,"(+/- 1259 )",2977,"(+/- 949 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",26060,"(+/- 2170 )",18434,"(+/- 2411 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",35243,"(+/- 3254 )",33051,"(+/- 3193 )"
Workers,Industry,"Educational services, and health care and social assistance",80312,"(+/- 3981 )",75541,"(+/- 4199 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",41920,"(+/- 4098 )",45249,"(+/- 4471 )"
Workers,Industry,"Other services, except public administration",12439,"(+/- 1632 )",11756,"(+/- 1772 )"
Workers,Industry,"Public administration",31612,"(+/- 3128 )",20559,"(+/- 1855 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",328267,"(+/- 6389 )",308696,"(+/- 6360 )"
Workers,"Class of Worker","Private wage and salary workers",227782,"(+/- 6828 )",220750,"(+/- 6741 )"
Workers,"Class of Worker","Government workers",80087,"(+/- 5307 )",64299,"(+/- 3977 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",19791,"(+/- 2349 )",22785,"(+/- 2479 )"
Workers,"Class of Worker","Unpaid family workers",607,"(+/- 365 )",862,"(+/- 539 )"
Housing,"Housing Occupancy","Total housing units",279526,"(+/- 2905 )",285352,"(+/- 2901 )"
Housing,"Housing Occupancy","Occupied housing units",253890,"(+/- 3520 )",236190,"(+/- 4233 )"
Housing,"Housing Occupancy","Vacant housing units",25636,"(+/- 2814 )",49162,"(+/- 3685 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.3,"(+/- 0.6 )",0.8,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",4.5,"(+/- 1.1 )",12.5,"(+/- 2.1 )"
Housing,"Housing Tenure","Occupied housing units",253890,"(+/- 3520 )",236190,"(+/- 4233 )"
Housing,"Housing Tenure",Owner-occupied,148456,"(+/- 4150 )",158197,"(+/- 4608 )"
Housing,"Housing Tenure",Renter-occupied,105434,"(+/- 4207 )",77993,"(+/- 4599 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.86,"(+/- 0.07 )",3.06,"(+/- 0.08 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.56,"(+/- 0.08 )",2.82,"(+/- 0.11 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",253890,"(+/- 3520 )",236190,"(+/- 4233 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",71109,"(+/- 3578 )",62755,"(+/- 4118 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",46155,"(+/- 3365 )",42263,"(+/- 3312 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",31576,"(+/- 2502 )",27457,"(+/- 2418 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",40043,"(+/- 3053 )",41890,"(+/- 3226 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",25530,"(+/- 2360 )",24381,"(+/- 2523 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",39477,"(+/- 2143 )",37444,"(+/- 2433 )"
Housing,Value,"Owner-occupied units",148456,"(+/- 4150 )",158197,"(+/- 4608 )"
Housing,Value,"Less than $50,000",906,"(+/- 457 )",2287,"(+/- 676 )"
Housing,Value,"$50,000 to $99,999",2041,"(+/- 638 )",2550,"(+/- 679 )"
Housing,Value,"$100,000 to $149,999",1639,"(+/- 488 )",3085,"(+/- 739 )"
Housing,Value,"$150,000 to $199,999",824,"(+/- 391 )",3469,"(+/- 952 )"
Housing,Value,"$200,000 to $299,999",3995,"(+/- 1013 )",9254,"(+/- 1745 )"
Housing,Value,"$300,000 to $499,999",24990,"(+/- 2658 )",29752,"(+/- 2981 )"
Housing,Value,"$500,000 to $999,999",77050,"(+/- 3372 )",74523,"(+/- 4505 )"
Housing,Value,"$1,000,000 or more",37011,"(+/- 2411 )",33277,"(+/- 2682 )"
Housing,Value,"Median (dollars)",767300,"(+/- 17237 )",679600,"(+/- 17633 )"
Housing,"Mortgage Status","Owner-occupied units",148456,"(+/- 4150 )",158197,"(+/- 4608 )"
Housing,"Mortgage Status","Housing units with a mortgage",97614,"(+/- 4018 )",99243,"(+/- 4566 )"
Housing,"Mortgage Status","Housing units without a mortgage",50842,"(+/- 2886 )",58954,"(+/- 3247 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",97614,"(+/- 4018 )",99243,"(+/- 4566 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",469,"(+/- 290 )",723,"(+/- 451 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",2496,"(+/- 747 )",4928,"(+/- 1047 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",6805,"(+/- 1085 )",14649,"(+/- 2156 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",15551,"(+/- 1793 )",14408,"(+/- 2046 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",15269,"(+/- 1969 )",17831,"(+/- 2281 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",16914,"(+/- 2142 )",14716,"(+/- 2046 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",40110,"(+/- 3024 )",31988,"(+/- 3041 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",2743,"(+/- 74 )",2418,"(+/- 74 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",50842,"(+/- 2886 )",58954,"(+/- 3247 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",2353,"(+/- 683 )",9126,"(+/- 1595 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",5447,"(+/- 1104 )",11778,"(+/- 1607 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",12267,"(+/- 1458 )",14442,"(+/- 1639 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",12252,"(+/- 1790 )",11243,"(+/- 1633 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",7990,"(+/- 1229 )",5409,"(+/- 1033 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",10533,"(+/- 1778 )",6956,"(+/- 1386 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",677,"(+/- 21 )",516,"(+/- 30 )"
Housing,"Gross Rent","Occupied units paying rent",99891,"(+/- 4107 )",72221,"(+/- 4524 )"
Housing,"Gross Rent","Less than $500",5239,"(+/- 1062 )",3661,"(+/- 829 )"
Housing,"Gross Rent","$500 to $999",7220,"(+/- 1287 )",10537,"(+/- 1787 )"
Housing,"Gross Rent","$1,000 to $1,499",22766,"(+/- 2660 )",16030,"(+/- 2507 )"
Housing,"Gross Rent","$1,500 to $1,999",22740,"(+/- 2155 )",14797,"(+/- 2182 )"
Housing,"Gross Rent","$2,000 to $2,499",13129,"(+/- 1913 )",9564,"(+/- 1862 )"
Housing,"Gross Rent","$2,500 to $2,999",11374,"(+/- 1718 )",8624,"(+/- 1674 )"
Housing,"Gross Rent","$3,000 or more",17423,"(+/- 2255 )",9008,"(+/- 1502 )"
Housing,"Gross Rent","Median (dollars)",1824,"(+/- 49 )",1699,"(+/- 71 )"
Housing,"Gross Rent","No rent paid",5543,"(+/- 1311 )",5772,"(+/- 1238 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",253890,"(+/- 3520 )",236190,"(+/- 4233 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",12962,"(+/- 2080 )",13573,"(+/- 2206 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",6980,"(+/- 1493 )",7910,"(+/- 1394 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",13321,"(+/- 1845 )",15468,"(+/- 1998 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",12833,"(+/- 2089 )",11715,"(+/- 1899 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",21582,"(+/- 2545 )",23724,"(+/- 2859 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",39056,"(+/- 2896 )",38609,"(+/- 3322 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",34402,"(+/- 3092 )",32403,"(+/- 3315 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",48710,"(+/- 3701 )",40277,"(+/- 2835 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",28901,"(+/- 2196 )",22552,"(+/- 2306 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",35143,"(+/- 2858 )",29959,"(+/- 2593 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",89243,"(+/- 2471 )",79376,"(+/- 2927 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",114984,"(+/- 3407 )",108276,"(+/- 3897 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",680403,"(+/- 9791 )",701310,"(+/- 10373 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",655651,"(+/- 9619 )",671600,"(+/- 10563 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",528491,"(+/- 11124 )",500982,"(+/- 10704 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",253674,"(+/- 8293 )",296165,"(+/- 10415 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",24752,"(+/- 2793 )",29710,"(+/- 4207 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",146433,"(+/- 5969 )",171701,"(+/- 6148 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",3798,"(+/- 1565 )",5157,"(+/- 1632 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.5,"(+/- 1.0 )",9.4,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",9.5,"(+/- 1.9 )",14.9,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",9.0,"(+/- 5.0 )",9.2,"(+/- 4.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.3,"(+/- 1.0 )",6.4,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",5.2,"(+/- 1.8 )",8.6,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",6.3,"(+/- 5.2 )",6.4,"(+/- 4.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",14.0,"(+/- 3.6 )",20.8,"(+/- 4.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",25.1,"(+/- 6.7 )",32.1,"(+/- 6.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",30.9,"(+/- 22.4 )",19.2,"(+/- 13.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",9.7,"(+/- 1.0 )",12.6,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",10.8,"(+/- 2.2 )",16.1,"(+/- 2.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",10.4,"(+/- 2.2 )",15.6,"(+/- 2.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",11.1,"(+/- 3.8 )",13.2,"(+/- 3.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",10.1,"(+/- 2.2 )",16.4,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.5,"(+/- 0.9 )",11.6,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",10.0,"(+/- 1.4 )",8.7,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.1,"(+/- 1.0 )",9.3,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",24.5,"(+/- 2.1 )",28.2,"(+/- 2.2 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",163300,"(+/- 6870 )",170421,"(+/- 6253 )"
Education,"School Enrollment","Nursery school, preschool",7797,"(+/- 1407 )",9267,"(+/- 1568 )"
Education,"School Enrollment",Kindergarten,7727,"(+/- 1541 )",8928,"(+/- 1604 )"
Education,"School Enrollment","Elementary school (grades 1-8)",60903,"(+/- 3724 )",75111,"(+/- 3845 )"
Education,"School Enrollment","High school (grades 9-12)",31742,"(+/- 2642 )",34978,"(+/- 2344 )"
Education,"School Enrollment","College or graduate school",55131,"(+/- 4143 )",42137,"(+/- 3243 )"
Education,"Educational Attainment","Population 25 years and over",519330,"(+/- 5884 )",502357,"(+/- 6086 )"
Education,"Educational Attainment","Less than 9th grade",21964,"(+/- 2429 )",11963,"(+/- 1876 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",17487,"(+/- 2551 )",20797,"(+/- 2644 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",122299,"(+/- 5776 )",146796,"(+/- 6445 )"
Education,"Educational Attainment","Some college, no degree",97636,"(+/- 5237 )",109255,"(+/- 5542 )"
Education,"Educational Attainment","Associate's degree",59024,"(+/- 4638 )",53785,"(+/- 3862 )"
Education,"Educational Attainment","Bachelor's degree",127573,"(+/- 5594 )",99276,"(+/- 5296 )"
Education,"Educational Attainment","Graduate or professional degree",73347,"(+/- 4055 )",60485,"(+/- 3781 )"
Education,"Educational Attainment","Percent high school graduate or higher",92.4,"(+/- 0.7 )",93.5,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",38.7,"(+/- 1.2 )",31.8,"(+/- 1.2 )"

"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",325336,G,188662,G
