Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","55 to 59 years",47487,"(+/- 2700 )",44113,"(+/- 2494 )",45983,"(+/- 2369 )",45524,"(+/- 3394 )",50798,"(+/- 3226 )",48740,"(+/- 3073 )",44975,"(+/- 3448 )",46294,"(+/- 2655 )",49714,"(+/- 2999 )"
People,"Sex and Age","60 to 64 years",52738,"(+/- 2770 )",45086,"(+/- 2269 )",49876,"(+/- 2396 )",50075,"(+/- 3453 )",52728,"(+/- 3637 )",51773,"(+/- 2976 )",44175,"(+/- 3074 )",51713,"(+/- 2835 )",49739,"(+/- 2888 )"
People,"Sex and Age","65 to 74 years",80236,"(+/- 1297 )",73772,"(+/- 1554 )",78208,"(+/- 1215 )",74994,"(+/- 2038 )",81545,"(+/- 2683 )",79301,"(+/- 1289 )",58471,"(+/- 2503 )",79147,"(+/- 1122 )",79112,"(+/- 1734 )"
People,"Sex and Age","75 to 84 years",35935,"(+/- 1999 )",34160,"(+/- 2269 )",35245,"(+/- 1435 )",35952,"(+/- 2109 )",35265,"(+/- 2318 )",39541,"(+/- 1427 )",24645,"(+/- 2266 )",36358,"(+/- 1773 )",36699,"(+/- 1989 )"
People,"Sex and Age","85 years and over",13171,"(+/- 1582 )",15189,"(+/- 1773 )",11588,"(+/- 1281 )",14270,"(+/- 1726 )",14600,"(+/- 1800 )",12492,"(+/- 1478 )",9538,"(+/- 1406 )",14597,"(+/- 1683 )",11548,"(+/- 1463 )"
People,"Sex and Age","Median age (years)",40.4,"(+/- 0.4 )",38.2,"(+/- 0.3 )",37.4,"(+/- 0.4 )",37.7,"(+/- 0.6 )",38.6,"(+/- 0.5 )",40.3,"(+/- 0.4 )",33.6,"(+/- 0.4 )",39.8,"(+/- 0.4 )",38.3,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",570716,"(+/- 2363 )",549618,"(+/- 3240 )",569397,"(+/- 2353 )",598422,"(+/- 4289 )",627790,"(+/- 6909 )",563448,"(+/- 3256 )",578775,"(+/- 6531 )",558094,"(+/- 2461 )",604327,"(+/- 4094 )"
People,"Sex and Age","65 years and over",129342,"(+/- 1746 )",123121,"(+/- 1951 )",125041,"(+/- 1508 )",125216,"(+/- 2374 )",131410,"(+/- 3619 )",131334,"(+/- 1385 )",92654,"(+/- 3194 )",130102,"(+/- 1668 )",127359,"(+/- 2155 )"
People,Race,"Total population",735140,"(+/- 2800 )",729230,"(+/- 4150 )",761500,"(+/- 2932 )",769259,"(+/- 5145 )",822535,"(+/- 8284 )",721123,"(+/- 4183 )",775837,"(+/- 8086 )",717065,"(+/- 2569 )",774296,"(+/- 5869 )"
People,Race,"One race",653041,"(+/- 6908 )",664384,"(+/- 6962 )",703636,"(+/- 5782 )",713070,"(+/- 6826 )",765776,"(+/- 9927 )",685188,"(+/- 5339 )",706859,"(+/- 9180 )",679573,"(+/- 4136 )",732439,"(+/- 7429 )"
People,Race,White,462826,"(+/- 3948 )",573218,"(+/- 5923 )",623184,"(+/- 4235 )",637883,"(+/- 6112 )",645902,"(+/- 9790 )",650684,"(+/- 4886 )",401547,"(+/- 9211 )",635044,"(+/- 4663 )",678232,"(+/- 6203 )"
People,Race,"Black or African American",125998,"(+/- 3534 )",46563,"(+/- 3450 )",39697,"(+/- 3130 )",31415,"(+/- 3761 )",71004,"(+/- 9068 )",12043,"(+/- 1983 )",223760,"(+/- 9211 )",27818,"(+/- 2661 )",23130,"(+/- 2533 )"
People,Race,"American Indian and Alaska Native",3171,"(+/- 1468 )",1912,"(+/- 818 )",1748,"(+/- 883 )",2701,"(+/- 1946 )",2567,"(+/- 1343 )",680,"(+/- 360 )",3170,"(+/- 1920 )",1799,"(+/- 1436 )",1426,"(+/- 843 )"
People,Race,Asian,10728,"(+/- 1019 )",9595,"(+/- 1002 )",22127,"(+/- 1069 )",20823,"(+/- 2008 )",30505,"(+/- 3279 )",10534,"(+/- 1210 )",31926,"(+/- 3299 )",5847,"(+/- 1014 )",20236,"(+/- 2037 )"
People,Race,"Native Hawaiian and Other Pacific Islander",136,"(+/- 145 )",268,"(+/- 343 )",129,"(+/- 165 )",0,"(+/- 208 )",319,"(+/- 398 )",23,"(+/- 48 )",0,"(+/- 208 )",530,"(+/- 402 )",282,"(+/- 394 )"
People,Race,"Some other race",50182,"(+/- 5388 )",32828,"(+/- 4966 )",16751,"(+/- 3811 )",20248,"(+/- 3396 )",15479,"(+/- 4607 )",11224,"(+/- 2501 )",46456,"(+/- 7712 )",8535,"(+/- 2998 )",9133,"(+/- 2443 )"
People,Race,"Two or more races",82099,"(+/- 6486 )",64846,"(+/- 6045 )",57864,"(+/- 5043 )",56189,"(+/- 5193 )",56759,"(+/- 7034 )",35935,"(+/- 3100 )",68978,"(+/- 8562 )",37492,"(+/- 3251 )",41857,"(+/- 4242 )"
People,"Hispanic or Latino and Race","Total population",735140,"(+/- 2800 )",729230,"(+/- 4150 )",761500,"(+/- 2932 )",769259,"(+/- 5145 )",822535,"(+/- 8284 )",721123,"(+/- 4183 )",775837,"(+/- 8086 )",717065,"(+/- 2569 )",774296,"(+/- 5869 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",125223,"(+/- 1179 )",78677,"(+/- 1896 )",51024,"(+/- 1749 )",53633,"(+/- 1152 )",44989,"(+/- 5189 )",23057,"(+/- 513 )",92767,"(+/- 5171 )",19292,"(+/- 833 )",29339,"(+/- 1180 )"
People,"Hispanic or Latino and Race",Mexican,95700,"(+/- 4541 )",55861,"(+/- 4745 )",35309,"(+/- 3421 )",34556,"(+/- 3034 )",28697,"(+/- 5167 )",17828,"(+/- 1377 )",62301,"(+/- 6639 )",10726,"(+/- 1656 )",15523,"(+/- 2654 )"
People,"Hispanic or Latino and Race","Puerto Rican",19752,"(+/- 4209 )",7191,"(+/- 2475 )",3740,"(+/- 2628 )",4174,"(+/- 1674 )",4441,"(+/- 1691 )",1963,"(+/- 987 )",5663,"(+/- 2385 )",1972,"(+/- 978 )",4680,"(+/- 1988 )"
People,"Hispanic or Latino and Race",Cuban,532,"(+/- 479 )",513,"(+/- 532 )",116,"(+/- 130 )",2579,"(+/- 1005 )",1067,"(+/- 861 )",123,"(+/- 144 )",935,"(+/- 632 )",458,"(+/- 630 )",705,"(+/- 708 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",9239,"(+/- 2250 )",15112,"(+/- 3726 )",11859,"(+/- 2690 )",12324,"(+/- 2833 )",10784,"(+/- 2778 )",3143,"(+/- 1155 )",23868,"(+/- 4935 )",6136,"(+/- 1699 )",8431,"(+/- 2176 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",609917,"(+/- 2838 )",650553,"(+/- 4230 )",710476,"(+/- 2789 )",715626,"(+/- 5066 )",777546,"(+/- 8146 )",698066,"(+/- 4137 )",683070,"(+/- 7737 )",697773,"(+/- 2656 )",744957,"(+/- 5949 )"
People,"Place of Birth","Total population",735140,"(+/- 2800 )",729230,"(+/- 4150 )",761500,"(+/- 2932 )",769259,"(+/- 5145 )",822535,"(+/- 8284 )",721123,"(+/- 4183 )",775837,"(+/- 8086 )",717065,"(+/- 2569 )",774296,"(+/- 5869 )"
People,"Place of Birth",Native,690785,"(+/- 4586 )",689033,"(+/- 5650 )",722446,"(+/- 4157 )",723516,"(+/- 7342 )",769580,"(+/- 10006 )",702246,"(+/- 4461 )",684865,"(+/- 9962 )",701620,"(+/- 3340 )",742487,"(+/- 6470 )"
People,"Place of Birth","Born in United States",685176,"(+/- 4555 )",682213,"(+/- 5716 )",715182,"(+/- 4201 )",717279,"(+/- 7146 )",761578,"(+/- 10183 )",698686,"(+/- 4675 )",677970,"(+/- 9874 )",697372,"(+/- 3508 )",738957,"(+/- 6549 )"
People,"Place of Birth","State of residence",427722,"(+/- 8369 )",503802,"(+/- 9224 )",539396,"(+/- 8676 )",519093,"(+/- 10687 )",527611,"(+/- 11028 )",508395,"(+/- 7929 )",519678,"(+/- 12869 )",545138,"(+/- 8413 )",501544,"(+/- 11454 )"
People,"Place of Birth","Different state",257454,"(+/- 7889 )",178411,"(+/- 8055 )",175786,"(+/- 8692 )",198186,"(+/- 8834 )",233967,"(+/- 10542 )",190291,"(+/- 7612 )",158292,"(+/- 8828 )",152234,"(+/- 7833 )",237413,"(+/- 8863 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5609,"(+/- 1906 )",6820,"(+/- 2125 )",7264,"(+/- 2464 )",6237,"(+/- 2120 )",8002,"(+/- 2056 )",3560,"(+/- 1017 )",6895,"(+/- 2216 )",4248,"(+/- 1437 )",3530,"(+/- 1064 )"
People,"Place of Birth","Foreign born",44355,"(+/- 3670 )",40197,"(+/- 3658 )",39054,"(+/- 3201 )",45743,"(+/- 4914 )",52955,"(+/- 7222 )",18877,"(+/- 2139 )",90972,"(+/- 8274 )",15445,"(+/- 1842 )",31809,"(+/- 3021 )"
People,Ancestry,"Total population",735140,"(+/- 2800 )",729230,"(+/- 4150 )",761500,"(+/- 2932 )",769259,"(+/- 5145 )",822535,"(+/- 8284 )",721123,"(+/- 4183 )",775837,"(+/- 8086 )",717065,"(+/- 2569 )",774296,"(+/- 5869 )"
People,Ancestry,American,18561,"(+/- 2754 )",40670,"(+/- 4578 )",45353,"(+/- 4618 )",81827,"(+/- 8909 )",49252,"(+/- 6535 )",72074,"(+/- 6267 )",36947,"(+/- 4781 )",46719,"(+/- 4931 )",65383,"(+/- 7027 )"
People,Ancestry,Arab,4543,"(+/- 2654 )",2267,"(+/- 1252 )",1996,"(+/- 996 )",902,"(+/- 615 )",6811,"(+/- 3106 )",322,"(+/- 341 )",3271,"(+/- 1623 )",780,"(+/- 542 )",1271,"(+/- 1002 )"
People,Ancestry,Czech,5958,"(+/- 2515 )",4399,"(+/- 2004 )",859,"(+/- 417 )",1761,"(+/- 869 )",2077,"(+/- 1145 )",758,"(+/- 449 )",949,"(+/- 661 )",251,"(+/- 237 )",745,"(+/- 433 )"
People,Ancestry,Danish,3365,"(+/- 2335 )",1622,"(+/- 999 )",796,"(+/- 428 )",888,"(+/- 519 )",2068,"(+/- 1555 )",713,"(+/- 374 )",1204,"(+/- 676 )",129,"(+/- 153 )",1652,"(+/- 942 )"
People,Ancestry,Dutch,17893,"(+/- 3942 )",12590,"(+/- 3095 )",9799,"(+/- 1747 )",10347,"(+/- 1813 )",10018,"(+/- 2370 )",5743,"(+/- 1936 )",5168,"(+/- 1294 )",6664,"(+/- 1726 )",9318,"(+/- 3386 )"
People,Ancestry,English,54226,"(+/- 4452 )",72503,"(+/- 5924 )",86243,"(+/- 5423 )",84992,"(+/- 7096 )",122683,"(+/- 11312 )",96310,"(+/- 6127 )",60543,"(+/- 5522 )",106182,"(+/- 7794 )",103503,"(+/- 7355 )"
People,Ancestry,"French (except Basque)",9814,"(+/- 1939 )",11592,"(+/- 2069 )",16216,"(+/- 2425 )",10501,"(+/- 2066 )",14875,"(+/- 3294 )",8771,"(+/- 1895 )",8426,"(+/- 1918 )",14203,"(+/- 2634 )",11503,"(+/- 2058 )"
People,Ancestry,"French Canadian",1137,"(+/- 596 )",2030,"(+/- 920 )",2153,"(+/- 808 )",1042,"(+/- 498 )",450,"(+/- 367 )",1264,"(+/- 863 )",820,"(+/- 540 )",1369,"(+/- 660 )",1238,"(+/- 1106 )"
People,Ancestry,German,122822,"(+/- 7456 )",149905,"(+/- 8205 )",202036,"(+/- 9173 )",133363,"(+/- 7861 )",184393,"(+/- 11030 )",149945,"(+/- 7792 )",97244,"(+/- 7903 )",174785,"(+/- 7240 )",154696,"(+/- 9827 )"
People,Ancestry,Greek,7756,"(+/- 3126 )",1517,"(+/- 819 )",1346,"(+/- 688 )",2169,"(+/- 776 )",2487,"(+/- 1050 )",683,"(+/- 433 )",1033,"(+/- 561 )",778,"(+/- 554 )",1705,"(+/- 813 )"
People,Ancestry,Hungarian,7382,"(+/- 2157 )",7805,"(+/- 1840 )",1870,"(+/- 778 )",1486,"(+/- 620 )",1677,"(+/- 806 )",655,"(+/- 398 )",1236,"(+/- 628 )",862,"(+/- 466 )",1029,"(+/- 540 )"
People,Ancestry,Irish,85923,"(+/- 8568 )",74566,"(+/- 5593 )",69448,"(+/- 5066 )",74311,"(+/- 6222 )",90570,"(+/- 7657 )",80353,"(+/- 6860 )",58908,"(+/- 6547 )",75444,"(+/- 6587 )",86702,"(+/- 6829 )"
People,Ancestry,Italian,30538,"(+/- 4445 )",18597,"(+/- 2692 )",14204,"(+/- 2093 )",18418,"(+/- 3217 )",25775,"(+/- 4807 )",14154,"(+/- 2792 )",11951,"(+/- 2074 )",9982,"(+/- 1957 )",17826,"(+/- 3297 )"
People,Ancestry,Lithuanian,2610,"(+/- 1075 )",1907,"(+/- 1008 )",510,"(+/- 316 )",1200,"(+/- 753 )",1187,"(+/- 810 )",271,"(+/- 251 )",890,"(+/- 889 )",972,"(+/- 800 )",270,"(+/- 212 )"
People,Ancestry,Norwegian,3429,"(+/- 1624 )",3106,"(+/- 945 )",3846,"(+/- 1201 )",2945,"(+/- 998 )",6001,"(+/- 3121 )",1800,"(+/- 615 )",2424,"(+/- 869 )",2508,"(+/- 1319 )",3931,"(+/- 1507 )"
People,Ancestry,Polish,63849,"(+/- 6150 )",36035,"(+/- 4244 )",14081,"(+/- 2027 )",12658,"(+/- 2584 )",20468,"(+/- 4485 )",6637,"(+/- 1246 )",9433,"(+/- 3027 )",11129,"(+/- 2855 )",8800,"(+/- 1727 )"
People,Ancestry,Portuguese,329,"(+/- 311 )",813,"(+/- 673 )",46,"(+/- 79 )",520,"(+/- 360 )",674,"(+/- 469 )",538,"(+/- 407 )",266,"(+/- 294 )",256,"(+/- 391 )",513,"(+/- 422 )"
People,Ancestry,Russian,3885,"(+/- 1317 )",2437,"(+/- 927 )",1654,"(+/- 793 )",754,"(+/- 367 )",4245,"(+/- 1532 )",700,"(+/- 714 )",1283,"(+/- 876 )",2125,"(+/- 866 )",2752,"(+/- 1949 )"
People,Ancestry,Scotch-Irish,3880,"(+/- 2129 )",4350,"(+/- 1584 )",4886,"(+/- 1501 )",4998,"(+/- 1006 )",6271,"(+/- 1472 )",6691,"(+/- 1699 )",5671,"(+/- 1646 )",4941,"(+/- 1218 )",6209,"(+/- 1529 )"
People,Ancestry,Scottish,7745,"(+/- 1598 )",10179,"(+/- 2145 )",11488,"(+/- 1873 )",13470,"(+/- 2463 )",14458,"(+/- 2256 )",11889,"(+/- 1975 )",9537,"(+/- 1775 )",12953,"(+/- 2912 )",16215,"(+/- 2423 )"
People,Ancestry,Slovak,8283,"(+/- 1509 )",980,"(+/- 423 )",1051,"(+/- 625 )",1357,"(+/- 660 )",2162,"(+/- 1974 )",544,"(+/- 572 )",2070,"(+/- 1757 )",372,"(+/- 311 )",967,"(+/- 763 )"
People,Ancestry,"Subsaharan African",4134,"(+/- 1553 )",8992,"(+/- 2588 )",1722,"(+/- 740 )",8576,"(+/- 4995 )",12066,"(+/- 6318 )",3339,"(+/- 1677 )",36303,"(+/- 6272 )",1705,"(+/- 1005 )",2262,"(+/- 1239 )"
People,Ancestry,Swedish,10062,"(+/- 2515 )",6637,"(+/- 1509 )",5607,"(+/- 1729 )",6602,"(+/- 1846 )",7143,"(+/- 2054 )",3131,"(+/- 968 )",3096,"(+/- 1146 )",2065,"(+/- 873 )",5741,"(+/- 1644 )"
People,Ancestry,Swiss,1013,"(+/- 487 )",9829,"(+/- 3881 )",13303,"(+/- 3403 )",2750,"(+/- 1055 )",3210,"(+/- 1211 )",2064,"(+/- 1099 )",1465,"(+/- 730 )",2829,"(+/- 1785 )",2008,"(+/- 820 )"
People,Ancestry,Ukrainian,1872,"(+/- 798 )",1565,"(+/- 1763 )",454,"(+/- 293 )",774,"(+/- 670 )",1055,"(+/- 609 )",432,"(+/- 408 )",1068,"(+/- 699 )",92,"(+/- 126 )",615,"(+/- 649 )"
People,Ancestry,Welsh,1989,"(+/- 962 )",3607,"(+/- 1247 )",3561,"(+/- 1475 )",2806,"(+/- 903 )",4009,"(+/- 918 )",3858,"(+/- 1355 )",2621,"(+/- 867 )",3414,"(+/- 1137 )",5131,"(+/- 1381 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1530,"(+/- 995 )",520,"(+/- 393 )",667,"(+/- 462 )",715,"(+/- 480 )",783,"(+/- 591 )",758,"(+/- 593 )",6728,"(+/- 3104 )",3378,"(+/- 1719 )",648,"(+/- 444 )"
People,"Veteran Status","Civilian population 18 years and over",569791,"(+/- 2548 )",549414,"(+/- 3176 )",568841,"(+/- 2395 )",597207,"(+/- 4183 )",625407,"(+/- 6845 )",563166,"(+/- 3271 )",578314,"(+/- 6541 )",557640,"(+/- 2444 )",603128,"(+/- 4051 )"
People,"Veteran Status","Civilian veterans",34869,"(+/- 2801 )",34345,"(+/- 2758 )",36503,"(+/- 3578 )",38920,"(+/- 3109 )",35216,"(+/- 2860 )",40519,"(+/- 3268 )",32001,"(+/- 3118 )",41574,"(+/- 3314 )",41301,"(+/- 2892 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",722422,"(+/- 3252 )",720127,"(+/- 4259 )",754108,"(+/- 3568 )",756755,"(+/- 5265 )",811559,"(+/- 8319 )",708658,"(+/- 4479 )",767919,"(+/- 8292 )",701151,"(+/- 3157 )",765176,"(+/- 6094 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",93184,"(+/- 5792 )",97365,"(+/- 5648 )",98261,"(+/- 5387 )",95906,"(+/- 5279 )",95282,"(+/- 5974 )",111690,"(+/- 5482 )",113181,"(+/- 6265 )",107467,"(+/- 4706 )",108490,"(+/- 5969 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",163954,"(+/- 2011 )",179233,"(+/- 2216 )",191860,"(+/- 1789 )",170287,"(+/- 2466 )",194509,"(+/- 6169 )",156998,"(+/- 2498 )",196407,"(+/- 5669 )",158640,"(+/- 2135 )",169874,"(+/- 3065 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5840,"(+/- 1048 )",8158,"(+/- 1866 )",8862,"(+/- 1446 )",7803,"(+/- 1484 )",9174,"(+/- 1837 )",10081,"(+/- 1804 )",11919,"(+/- 2533 )",9127,"(+/- 1969 )",6224,"(+/- 1191 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",431736,"(+/- 2707 )",421461,"(+/- 3381 )",441313,"(+/- 2887 )",465168,"(+/- 4364 )",488535,"(+/- 6464 )",425037,"(+/- 3467 )",480949,"(+/- 6003 )",417059,"(+/- 2778 )",471543,"(+/- 3910 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",47035,"(+/- 4012 )",49338,"(+/- 4616 )",52278,"(+/- 3913 )",47072,"(+/- 4122 )",47293,"(+/- 3896 )",58684,"(+/- 3827 )",66607,"(+/- 5143 )",53391,"(+/- 3800 )",58243,"(+/- 4235 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",126732,"(+/- 1825 )",119433,"(+/- 1965 )",120935,"(+/- 1709 )",121300,"(+/- 2376 )",128515,"(+/- 3734 )",126623,"(+/- 1571 )",90563,"(+/- 3204 )",125452,"(+/- 1870 )",123759,"(+/- 2263 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",40309,"(+/- 3001 )",39869,"(+/- 2560 )",37121,"(+/- 2547 )",41031,"(+/- 2286 )",38815,"(+/- 3215 )",42925,"(+/- 2709 )",34655,"(+/- 2994 )",44949,"(+/- 2742 )",44023,"(+/- 2787 )"
People,"Residence 1 Year Ago","Population 1 year and over",728236,"(+/- 3059 )",721146,"(+/- 4542 )",751831,"(+/- 3414 )",761196,"(+/- 5321 )",813687,"(+/- 8271 )",712295,"(+/- 4159 )",764077,"(+/- 7595 )",709862,"(+/- 2866 )",767441,"(+/- 6180 )"
People,"Residence 1 Year Ago","Same house",644839,"(+/- 8417 )",638239,"(+/- 7663 )",647234,"(+/- 8104 )",647476,"(+/- 10772 )",702341,"(+/- 12983 )",613558,"(+/- 7388 )",666649,"(+/- 10380 )",616537,"(+/- 7246 )",659083,"(+/- 9342 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",83397,"(+/- 8079 )",82907,"(+/- 7243 )",104597,"(+/- 8229 )",113720,"(+/- 9337 )",111346,"(+/- 10447 )",98737,"(+/- 6907 )",97428,"(+/- 9369 )",93325,"(+/- 7048 )",108358,"(+/- 8446 )"
People,"Residence 1 Year Ago","Different house in the U.S.",82462,"(+/- 8027 )",80962,"(+/- 7292 )",102042,"(+/- 8185 )",111208,"(+/- 9194 )",107920,"(+/- 10394 )",97807,"(+/- 6831 )",92122,"(+/- 8513 )",91491,"(+/- 6889 )",104787,"(+/- 8507 )"
People,"Residence 1 Year Ago","Same county",36045,"(+/- 6015 )",40280,"(+/- 5078 )",65761,"(+/- 5812 )",54413,"(+/- 6888 )",54298,"(+/- 7856 )",53021,"(+/- 5386 )",61045,"(+/- 8408 )",45638,"(+/- 6071 )",47605,"(+/- 6129 )"
People,"Residence 1 Year Ago","Different county",46417,"(+/- 5892 )",40682,"(+/- 4612 )",36281,"(+/- 5752 )",56795,"(+/- 6043 )",53622,"(+/- 7672 )",44786,"(+/- 5215 )",31077,"(+/- 3546 )",45853,"(+/- 4508 )",57182,"(+/- 5957 )"
People,"Residence 1 Year Ago","Same state",18593,"(+/- 3791 )",21215,"(+/- 3349 )",23589,"(+/- 4063 )",36460,"(+/- 4691 )",35968,"(+/- 5060 )",31488,"(+/- 3930 )",21227,"(+/- 3309 )",30884,"(+/- 4467 )",36854,"(+/- 5069 )"
People,"Residence 1 Year Ago","Different state",27824,"(+/- 4809 )",19467,"(+/- 3542 )",12692,"(+/- 3933 )",20335,"(+/- 3680 )",17654,"(+/- 5160 )",13298,"(+/- 3248 )",9850,"(+/- 2128 )",14969,"(+/- 2631 )",20328,"(+/- 3884 )"
People,"Residence 1 Year Ago",Abroad,935,"(+/- 484 )",1945,"(+/- 790 )",2555,"(+/- 1064 )",2512,"(+/- 928 )",3426,"(+/- 1830 )",930,"(+/- 663 )",5306,"(+/- 3212 )",1834,"(+/- 922 )",3571,"(+/- 1259 )"
Workers,"Employment Status","Population 16 years and over",590522,"(+/- 2682 )",570411,"(+/- 3710 )",590578,"(+/- 2717 )",617188,"(+/- 4737 )",649526,"(+/- 7323 )",582413,"(+/- 3429 )",599273,"(+/- 6767 )",576364,"(+/- 2750 )",624802,"(+/- 4574 )"
Workers,"Employment Status","In labor force",353640,"(+/- 6111 )",354927,"(+/- 5529 )",383279,"(+/- 5498 )",387102,"(+/- 6121 )",443221,"(+/- 8667 )",361464,"(+/- 5605 )",398592,"(+/- 7629 )",357115,"(+/- 5828 )",387557,"(+/- 6617 )"
Workers,"Employment Status","Civilian labor force",352715,"(+/- 6157 )",354723,"(+/- 5516 )",382723,"(+/- 5373 )",385887,"(+/- 6013 )",440838,"(+/- 8618 )",361182,"(+/- 5595 )",398131,"(+/- 7595 )",356661,"(+/- 5786 )",386358,"(+/- 6585 )"
Workers,"Employment Status",Employed,331530,"(+/- 6308 )",337962,"(+/- 6035 )",366037,"(+/- 5505 )",373033,"(+/- 6212 )",422093,"(+/- 8316 )",343904,"(+/- 5046 )",372400,"(+/- 8652 )",341511,"(+/- 5784 )",370708,"(+/- 6958 )"
Workers,"Employment Status",Unemployed,21185,"(+/- 2549 )",16761,"(+/- 2255 )",16686,"(+/- 2307 )",12854,"(+/- 2056 )",18745,"(+/- 3066 )",17278,"(+/- 2496 )",25731,"(+/- 3846 )",15150,"(+/- 1721 )",15650,"(+/- 2420 )"
Workers,"Employment Status","Armed Forces",925,"(+/- 670 )",204,"(+/- 201 )",556,"(+/- 665 )",1215,"(+/- 884 )",2383,"(+/- 1552 )",282,"(+/- 269 )",461,"(+/- 430 )",454,"(+/- 324 )",1199,"(+/- 668 )"
