Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","45 to 54 years","89,509","(+/-3,927)","105,144","(+/-3,860)","83,524","(+/-3,641)","94,992","(+/-2,172)","92,052","(+/-2,871)","97,483","(+/-2,449)","89,781","(+/-2,669)","107,013","(+/-3,416)","88,396","(+/-2,875)","106,847","(+/-2,931)","90,003","(+/-2,000)","103,038","(+/-4,642)","103,856","(+/-4,926)","101,809","(+/-4,343)"
People,"Sex and Age","55 to 59 years","51,036","(+/-3,174)","45,266","(+/-3,588)","46,424","(+/-3,157)","45,894","(+/-3,028)","49,786","(+/-2,934)","47,245","(+/-3,391)","50,072","(+/-3,574)","54,202","(+/-3,352)","40,786","(+/-2,501)","50,882","(+/-2,729)","53,546","(+/-3,914)","42,026","(+/-3,609)","48,005","(+/-4,115)","50,627","(+/-3,235)"
People,"Sex and Age","60 to 64 years","49,752","(+/-2,978)","40,421","(+/-3,766)","50,669","(+/-3,033)","47,939","(+/-3,047)","55,300","(+/-2,813)","52,625","(+/-3,344)","57,561","(+/-3,372)","49,923","(+/-3,385)","45,618","(+/-2,431)","56,565","(+/-3,005)","55,850","(+/-3,935)","43,849","(+/-3,311)","49,009","(+/-4,551)","37,337","(+/-3,208)"
People,"Sex and Age","65 to 74 years","90,926","(+/-1,968)","57,258","(+/-2,592)","83,526","(+/-2,233)","74,742","(+/-1,900)","90,203","(+/-2,307)","74,581","(+/-1,797)","103,366","(+/-1,655)","78,944","(+/-1,971)","74,160","(+/-2,158)","86,100","(+/-1,663)","107,701","(+/-1,642)","55,742","(+/-3,335)","66,907","(+/-3,234)","62,816","(+/-2,885)"
People,"Sex and Age","75 to 84 years","41,661","(+/-1,911)","25,798","(+/-1,939)","39,818","(+/-2,536)","33,220","(+/-2,260)","43,621","(+/-2,218)","39,600","(+/-1,868)","43,178","(+/-1,814)","35,300","(+/-1,957)","37,071","(+/-1,881)","43,503","(+/-2,338)","54,477","(+/-2,047)","23,351","(+/-2,185)","29,351","(+/-2,554)","29,193","(+/-1,949)"
People,"Sex and Age","85 years and over","13,798","(+/-1,834)","8,678","(+/-1,358)","11,791","(+/-1,846)","11,526","(+/-1,816)","14,897","(+/-1,682)","11,589","(+/-1,472)","11,991","(+/-1,645)","12,406","(+/-1,525)","12,242","(+/-1,421)","12,481","(+/-1,630)","19,573","(+/-1,881)","8,806","(+/-1,422)","10,471","(+/-1,715)","10,006","(+/-1,668)"
People,"Sex and Age","Median age (years)",40.7,(+/-0.6),36.9,(+/-0.7),38.1,(+/-0.7),38.1,(+/-0.4),42,(+/-0.6),39.3,(+/-0.4),42.4,(+/-0.5),40.8,(+/-0.5),36.5,(+/-0.5),42.4,(+/-0.5),45.7,(+/-0.4),35.9,(+/-0.6),38.2,(+/-0.7),37,(+/-0.6)
People,"Sex and Age","18 years and over","591,178","(+/-3,691)","584,146","(+/-10,419)","586,615","(+/-4,783)","598,374",(+/-732),"596,019","(+/-6,091)","586,088","(+/-6,030)","604,475","(+/-2,846)","578,930","(+/-5,505)","576,456","(+/-4,469)","594,682","(+/-4,619)","615,093","(+/-2,931)","562,769","(+/-10,840)","580,953","(+/-12,226)","595,638","(+/-10,661)"
People,"Sex and Age","65 years and over","146,385","(+/-2,109)","91,734","(+/-3,568)","135,135","(+/-2,278)","119,488","(+/-1,682)","148,721","(+/-2,890)","125,770","(+/-2,293)","158,535","(+/-1,599)","126,650","(+/-2,551)","123,473","(+/-2,423)","142,084","(+/-2,540)","181,751","(+/-1,984)","87,899","(+/-4,432)","106,729","(+/-4,330)","102,015","(+/-3,995)"
People,Race,"Total population","747,139","(+/-4,793)","752,758","(+/-13,694)","749,741","(+/-7,209)","750,874",(+/-572),"743,662","(+/-8,572)","754,077","(+/-8,173)","757,948","(+/-4,245)","756,029","(+/-6,556)","755,891","(+/-6,589)","754,893","(+/-5,827)","750,100","(+/-3,065)","743,616","(+/-14,800)","770,237","(+/-16,397)","764,197","(+/-14,129)"
People,Race,"One race","707,073","(+/-7,183)","690,958","(+/-13,373)","684,847","(+/-9,436)","682,276","(+/-6,838)","689,097","(+/-9,607)","690,752","(+/-10,319)","704,353","(+/-7,073)","692,925","(+/-8,730)","679,739","(+/-8,145)","687,207","(+/-8,462)","688,738","(+/-6,116)","683,401","(+/-14,646)","698,050","(+/-17,931)","686,583","(+/-13,987)"
People,Race,White,"358,789","(+/-4,988)","441,466","(+/-9,578)","495,191","(+/-5,755)","415,468","(+/-3,459)","565,371","(+/-6,022)","389,172","(+/-6,416)","475,229","(+/-5,261)","544,955","(+/-7,075)","447,046","(+/-6,997)","582,551","(+/-6,590)","637,524","(+/-4,132)","318,788","(+/-9,815)","472,440","(+/-10,563)","443,463","(+/-9,505)"
People,Race,"Black or African American","303,378","(+/-6,800)","132,915","(+/-9,813)","127,677","(+/-5,340)","186,413","(+/-4,524)","78,769","(+/-6,304)","236,679","(+/-8,527)","130,187","(+/-6,167)","97,706","(+/-5,687)","168,934","(+/-6,485)","60,916","(+/-4,056)","20,906","(+/-2,485)","264,726","(+/-10,178)","154,763","(+/-9,935)","154,364","(+/-9,929)"
People,Race,"American Indian and Alaska Native","5,427","(+/-1,975)","2,515","(+/-1,417)","5,000","(+/-1,915)","4,014","(+/-1,633)","3,802","(+/-1,235)","3,091","(+/-2,068)","55,897","(+/-1,534)","5,190","(+/-1,559)","10,478","(+/-1,182)","2,204","(+/-1,147)","9,099","(+/-1,854)","1,937","(+/-1,607)","5,376","(+/-2,457)","2,712","(+/-1,429)"
People,Race,Asian,"6,943","(+/-1,291)","75,780","(+/-4,130)","11,268","(+/-2,047)","31,023","(+/-1,789)","10,316","(+/-1,840)","29,888","(+/-1,599)","7,401","(+/-1,366)","17,565","(+/-2,218)","10,619","(+/-1,725)","16,244","(+/-1,557)","6,714","(+/-1,529)","37,501","(+/-4,538)","18,130","(+/-3,270)","45,619","(+/-4,204)"
People,Race,"Native Hawaiian and Other Pacific Islander",464,(+/-450),74,(+/-118),571,(+/-622),108,(+/-173),408,(+/-409),588,(+/-468),115,(+/-135),97,(+/-119),"2,700","(+/-1,552)",176,(+/-233),42,(+/-84),179,(+/-189),330,(+/-298),63,(+/-87)
People,Race,"Some other race","32,072","(+/-5,068)","38,208","(+/-6,374)","45,140","(+/-5,568)","45,250","(+/-5,386)","30,431","(+/-6,161)","31,334","(+/-4,881)","35,524","(+/-4,450)","27,412","(+/-5,315)","39,962","(+/-5,432)","25,116","(+/-4,029)","14,453","(+/-3,807)","60,270","(+/-7,157)","47,011","(+/-7,486)","40,362","(+/-5,912)"
People,Race,"Two or more races","40,066","(+/-5,280)","61,800","(+/-5,712)","64,894","(+/-6,933)","68,598","(+/-6,897)","54,565","(+/-6,685)","63,325","(+/-7,284)","53,595","(+/-6,296)","63,104","(+/-8,278)","76,152","(+/-6,607)","67,686","(+/-5,939)","61,362","(+/-5,261)","60,215","(+/-8,063)","72,187","(+/-10,056)","77,614","(+/-7,341)"
People,"Hispanic or Latino and Race","Total population","747,139","(+/-4,793)","752,758","(+/-13,694)","749,741","(+/-7,209)","750,874",(+/-572),"743,662","(+/-8,572)","754,077","(+/-8,173)","757,948","(+/-4,245)","756,029","(+/-6,556)","755,891","(+/-6,589)","754,893","(+/-5,827)","750,100","(+/-3,065)","743,616","(+/-14,800)","770,237","(+/-16,397)","764,197","(+/-14,129)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","48,448","(+/-2,891)","75,765","(+/-7,913)","87,048","(+/-3,859)","89,746",(+/-8),"71,849","(+/-4,803)","71,461","(+/-4,835)","54,849","(+/-2,822)","72,024","(+/-3,062)","96,889","(+/-3,410)","52,123",(+/-883),"50,960",(+/-614),"107,860","(+/-6,583)","97,929","(+/-8,561)","93,050","(+/-6,269)"
People,"Hispanic or Latino and Race",Mexican,"29,389","(+/-3,642)","30,554","(+/-7,100)","45,982","(+/-5,195)","50,335","(+/-4,702)","44,248","(+/-4,971)","42,201","(+/-5,717)","24,877","(+/-4,277)","43,524","(+/-4,741)","46,701","(+/-4,891)","28,618","(+/-3,288)","28,561","(+/-3,516)","39,497","(+/-6,233)","55,778","(+/-8,043)","27,919","(+/-5,345)"
People,"Hispanic or Latino and Race","Puerto Rican","6,331","(+/-2,120)","6,373","(+/-2,162)","13,196","(+/-3,580)","4,357","(+/-1,527)","7,252","(+/-2,359)","6,306","(+/-1,889)","11,010","(+/-2,772)","6,778","(+/-2,349)","19,844","(+/-3,128)","4,392","(+/-1,494)","5,450","(+/-2,184)","9,231","(+/-3,351)","11,148","(+/-3,203)","10,604","(+/-2,694)"
People,"Hispanic or Latino and Race",Cuban,"1,246",(+/-712),"3,446","(+/-2,045)","1,920","(+/-1,023)","3,250","(+/-1,683)","1,715",(+/-738),"3,121","(+/-1,916)","1,832","(+/-1,137)","3,093","(+/-2,459)","1,479",(+/-833),"1,215",(+/-939),"2,246","(+/-1,543)","3,814","(+/-1,639)","1,648",(+/-843),"3,233","(+/-1,449)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","11,482","(+/-2,727)","35,392","(+/-7,157)","25,950","(+/-4,981)","31,804","(+/-4,202)","18,634","(+/-4,456)","19,833","(+/-4,486)","17,130","(+/-3,857)","18,629","(+/-4,907)","28,865","(+/-4,375)","17,898","(+/-3,399)","14,703","(+/-3,104)","55,318","(+/-7,603)","29,355","(+/-6,149)","51,294","(+/-6,642)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","698,691","(+/-4,713)","676,993","(+/-12,477)","662,693","(+/-6,037)","661,128",(+/-572),"671,813","(+/-7,939)","682,616","(+/-7,237)","703,099","(+/-4,455)","684,005","(+/-5,559)","659,002","(+/-6,376)","702,770","(+/-5,946)","699,140","(+/-3,143)","635,756","(+/-13,418)","672,308","(+/-15,060)","671,147","(+/-13,718)"
People,"Place of Birth","Total population","747,139","(+/-4,793)","752,758","(+/-13,694)","749,741","(+/-7,209)","750,874",(+/-572),"743,662","(+/-8,572)","754,077","(+/-8,173)","757,948","(+/-4,245)","756,029","(+/-6,556)","755,891","(+/-6,589)","754,893","(+/-5,827)","750,100","(+/-3,065)","743,616","(+/-14,800)","770,237","(+/-16,397)","764,197","(+/-14,129)"
People,"Place of Birth",Native,"718,200","(+/-5,228)","630,416","(+/-13,562)","710,332","(+/-7,419)","666,840","(+/-5,182)","701,895","(+/-7,953)","684,892","(+/-9,799)","727,402","(+/-5,004)","702,022","(+/-7,239)","704,419","(+/-7,221)","719,713","(+/-7,496)","715,586","(+/-4,650)","637,592","(+/-13,682)","702,608","(+/-16,645)","659,459","(+/-14,094)"
People,"Place of Birth","Born in United States","711,701","(+/-5,438)","619,011","(+/-12,959)","698,276","(+/-7,867)","657,690","(+/-5,502)","696,801","(+/-7,702)","673,641","(+/-10,124)","715,067","(+/-5,539)","695,294","(+/-7,569)","684,708","(+/-7,327)","713,450","(+/-7,502)","708,076","(+/-4,806)","624,006","(+/-13,885)","691,046","(+/-16,430)","647,071","(+/-13,974)"
People,"Place of Birth","State of residence","515,104","(+/-9,869)","309,712","(+/-14,505)","394,761","(+/-12,360)","393,972","(+/-9,311)","479,025","(+/-12,021)","442,931","(+/-13,090)","426,156","(+/-8,060)","450,156","(+/-11,076)","381,351","(+/-10,721)","477,792","(+/-10,773)","381,641","(+/-9,397)","329,462","(+/-11,687)","401,307","(+/-17,071)","334,812","(+/-11,429)"
People,"Place of Birth","Different state","196,597","(+/-8,867)","309,299","(+/-11,931)","303,515","(+/-11,057)","263,718","(+/-8,913)","217,776","(+/-9,595)","230,710","(+/-11,515)","288,911","(+/-8,940)","245,138","(+/-11,085)","303,357","(+/-10,821)","235,658","(+/-8,497)","326,435","(+/-9,130)","294,544","(+/-11,466)","289,739","(+/-13,467)","312,259","(+/-11,237)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,499","(+/-1,663)","11,405","(+/-2,305)","12,056","(+/-2,566)","9,150","(+/-2,273)","5,094","(+/-1,414)","11,251","(+/-2,957)","12,335","(+/-2,432)","6,728","(+/-1,778)","19,711","(+/-2,859)","6,263","(+/-1,839)","7,510","(+/-2,138)","13,586","(+/-2,582)","11,562","(+/-2,299)","12,388","(+/-2,825)"
People,"Place of Birth","Foreign born","28,939","(+/-3,218)","122,342","(+/-7,897)","39,409","(+/-3,762)","84,034","(+/-5,162)","41,767","(+/-3,637)","69,185","(+/-6,440)","30,546","(+/-3,397)","54,007","(+/-4,640)","51,472","(+/-3,761)","35,180","(+/-3,316)","34,514","(+/-3,509)","106,024","(+/-8,086)","67,629","(+/-5,696)","104,738","(+/-6,387)"
People,Ancestry,"Total population","747,139","(+/-4,793)","752,758","(+/-13,694)","749,741","(+/-7,209)","750,874",(+/-572),"743,662","(+/-8,572)","754,077","(+/-8,173)","757,948","(+/-4,245)","756,029","(+/-6,556)","755,891","(+/-6,589)","754,893","(+/-5,827)","750,100","(+/-3,065)","743,616","(+/-14,800)","770,237","(+/-16,397)","764,197","(+/-14,129)"
People,Ancestry,American,"58,002","(+/-5,959)","38,460","(+/-5,178)","74,020","(+/-6,301)","39,290","(+/-4,864)","93,356","(+/-7,399)","44,014","(+/-5,711)","82,971","(+/-6,842)","71,566","(+/-9,843)","42,721","(+/-5,379)","116,585","(+/-9,975)","71,425","(+/-7,497)","48,657","(+/-8,378)","68,980","(+/-7,953)","49,457","(+/-7,198)"
People,Ancestry,Arab,"2,183","(+/-1,027)","11,429","(+/-4,563)","2,231","(+/-1,492)","2,839","(+/-1,256)",960,(+/-633),"3,111","(+/-1,617)","3,666","(+/-1,972)","2,331","(+/-1,557)","3,497","(+/-2,216)",901,(+/-568),"1,110",(+/-550),"4,301","(+/-1,865)","5,338","(+/-2,670)","4,488","(+/-1,843)"
People,Ancestry,Czech,619,(+/-343),"1,618",(+/-824),"1,027",(+/-754),"2,028","(+/-1,004)","1,210",(+/-638),466,(+/-412),933,(+/-644),997,(+/-661),"1,972",(+/-902),714,(+/-540),"1,664",(+/-841),"1,109",(+/-958),"1,422",(+/-919),"1,781",(+/-708)
People,Ancestry,Danish,409,(+/-381),958,(+/-459),958,(+/-513),"1,584",(+/-756),503,(+/-410),540,(+/-272),"1,074",(+/-421),"1,462",(+/-868),"1,448",(+/-903),"1,034",(+/-595),"1,350",(+/-572),614,(+/-485),776,(+/-458),"1,506",(+/-720)
People,Ancestry,Dutch,"2,978",(+/-922),"5,755","(+/-1,702)","4,152","(+/-1,485)","6,474","(+/-2,444)","5,970","(+/-1,740)","5,224","(+/-2,129)","3,913","(+/-1,106)","6,764","(+/-2,054)","5,157","(+/-2,443)","7,053","(+/-1,959)","5,689","(+/-1,406)","2,211",(+/-858),"5,607","(+/-1,898)","5,811","(+/-1,793)"
People,Ancestry,English,"83,281","(+/-6,240)","107,107","(+/-8,466)","93,556","(+/-7,953)","92,890","(+/-5,754)","113,215","(+/-6,560)","87,046","(+/-7,929)","95,091","(+/-7,086)","92,601","(+/-7,115)","94,150","(+/-7,766)","100,497","(+/-8,186)","153,853","(+/-10,249)","64,069","(+/-6,424)","99,534","(+/-9,884)","92,580","(+/-8,176)"
People,Ancestry,"French (except Basque)","6,256","(+/-1,762)","12,012","(+/-2,948)","9,413","(+/-2,092)","9,725","(+/-1,704)","9,267","(+/-2,227)","9,473","(+/-2,066)","12,068","(+/-2,248)","8,151","(+/-2,289)","9,459","(+/-3,243)","13,636","(+/-3,087)","16,506","(+/-3,106)","8,918","(+/-2,377)","11,433","(+/-2,631)","11,452","(+/-2,122)"
People,Ancestry,"French Canadian",486,(+/-380),"2,613","(+/-1,356)","3,929","(+/-1,319)","3,091","(+/-1,508)","1,254",(+/-682),"1,965","(+/-1,159)","3,199","(+/-1,268)",976,(+/-768),"4,208","(+/-2,008)","2,449",(+/-948),"3,440","(+/-1,270)","1,500",(+/-784),"2,529","(+/-1,119)","2,165","(+/-1,436)"
People,Ancestry,German,"35,286","(+/-3,649)","77,972","(+/-6,263)","75,476","(+/-7,790)","64,568","(+/-5,518)","84,779","(+/-7,238)","58,185","(+/-6,177)","72,179","(+/-7,307)","87,233","(+/-7,568)","76,541","(+/-6,382)","105,044","(+/-7,531)","80,525","(+/-5,905)","59,237","(+/-5,051)","65,326","(+/-8,012)","82,118","(+/-6,277)"
People,Ancestry,Greek,"1,010",(+/-584),"2,626","(+/-1,424)","2,031","(+/-1,104)","1,983",(+/-998),"1,989","(+/-1,041)",690,(+/-380),"1,488",(+/-698),"3,156","(+/-1,656)","1,663",(+/-876),858,(+/-494),"2,628","(+/-1,174)","3,286","(+/-1,740)","3,051","(+/-1,408)","6,689","(+/-2,429)"
People,Ancestry,Hungarian,"1,061",(+/-458),"2,793",(+/-965),"1,090",(+/-536),"2,913","(+/-1,107)",776,(+/-391),648,(+/-344),"2,703","(+/-1,298)","2,307","(+/-1,354)","2,640","(+/-1,928)","1,976",(+/-928),"2,056",(+/-814),"2,153",(+/-887),"1,527",(+/-663),"2,725","(+/-1,164)"
People,Ancestry,Irish,"41,716","(+/-4,733)","71,378","(+/-6,521)","76,115","(+/-7,667)","60,499","(+/-5,564)","66,086","(+/-6,218)","48,577","(+/-4,398)","70,575","(+/-5,756)","67,167","(+/-6,421)","65,446","(+/-6,893)","72,768","(+/-5,818)","85,391","(+/-6,914)","44,138","(+/-5,137)","71,413","(+/-8,996)","72,180","(+/-6,826)"
People,Ancestry,Italian,"12,607","(+/-2,527)","40,761","(+/-5,213)","24,750","(+/-5,337)","25,998","(+/-3,151)","19,205","(+/-2,681)","17,280","(+/-3,057)","30,877","(+/-4,551)","25,566","(+/-4,007)","19,481","(+/-2,857)","25,083","(+/-3,703)","20,841","(+/-3,070)","27,564","(+/-4,018)","31,512","(+/-4,983)","32,187","(+/-4,720)"
People,Ancestry,Lithuanian,0,(+/-224),"1,620",(+/-769),466,(+/-344),"1,465",(+/-805),952,(+/-563),694,(+/-747),803,(+/-456),660,(+/-553),655,(+/-414),676,(+/-481),"1,017",(+/-495),900,(+/-509),"1,048","(+/-1,074)",663,(+/-314)
People,Ancestry,Norwegian,860,(+/-424),"5,221","(+/-1,475)","3,425","(+/-1,724)","4,492","(+/-1,824)","1,902",(+/-910),"2,859","(+/-1,289)","4,192","(+/-2,025)","1,475",(+/-708),"4,670","(+/-2,525)","3,075","(+/-1,279)","3,174",(+/-897),"2,378","(+/-1,380)","4,466","(+/-2,111)","4,053","(+/-1,198)"
People,Ancestry,Polish,"6,251","(+/-1,905)","13,649","(+/-2,555)","12,572","(+/-2,687)","10,846","(+/-2,018)","8,704","(+/-1,622)","8,513","(+/-2,110)","13,681","(+/-2,744)","10,561","(+/-2,470)","10,149","(+/-1,799)","11,661","(+/-2,413)","10,529","(+/-2,046)","8,327","(+/-1,682)","11,510","(+/-2,725)","10,836","(+/-1,762)"
People,Ancestry,Portuguese,538,(+/-381),"2,783","(+/-1,232)","1,331",(+/-762),"2,629","(+/-1,058)",864,(+/-522),"1,132",(+/-668),"1,271",(+/-716),762,(+/-500),"1,683","(+/-1,072)",954,(+/-601),754,(+/-398),"1,357","(+/-1,012)","1,758","(+/-1,061)","1,784",(+/-760)
People,Ancestry,Russian,942,(+/-741),"7,011","(+/-2,833)","1,806",(+/-889),"5,116","(+/-1,642)","2,079",(+/-917),"2,171",(+/-689),951,(+/-494),"1,603",(+/-751),"1,294",(+/-640),"1,689",(+/-870),"3,681","(+/-1,166)","2,130",(+/-892),"3,075","(+/-1,495)","6,643","(+/-1,722)"
People,Ancestry,Scotch-Irish,"8,351","(+/-2,348)","10,961","(+/-2,046)","7,960","(+/-1,652)","15,663","(+/-2,593)","19,087","(+/-2,963)","14,019","(+/-3,186)","14,790","(+/-2,429)","14,504","(+/-2,556)","12,338","(+/-2,610)","15,054","(+/-2,797)","24,272","(+/-3,208)","8,699","(+/-2,126)","12,992","(+/-3,178)","15,582","(+/-2,414)"
People,Ancestry,Scottish,"7,974","(+/-1,845)","16,042","(+/-2,714)","15,715","(+/-2,977)","16,886","(+/-2,614)","19,185","(+/-3,540)","18,068","(+/-4,008)","18,660","(+/-3,218)","14,371","(+/-2,825)","18,915","(+/-2,792)","18,999","(+/-3,265)","27,465","(+/-3,397)","10,006","(+/-1,847)","16,534","(+/-2,566)","17,547","(+/-2,496)"
People,Ancestry,Slovak,439,(+/-400),"1,491",(+/-989),435,(+/-275),835,(+/-631),780,(+/-566),"1,462",(+/-963),"2,188","(+/-1,701)",688,(+/-433),"1,495",(+/-991),559,(+/-426),739,(+/-685),948,(+/-666),"2,000","(+/-1,087)","1,626","(+/-1,209)"
People,Ancestry,"Subsaharan African","7,876","(+/-2,566)","17,018","(+/-4,823)","5,846","(+/-1,979)","13,629","(+/-3,208)","3,981","(+/-1,302)","15,747","(+/-4,597)","6,238","(+/-2,429)","3,789","(+/-1,314)","6,687","(+/-1,567)","4,020","(+/-1,953)","1,559",(+/-677),"21,301","(+/-5,260)","7,503","(+/-2,968)","13,413","(+/-4,914)"
People,Ancestry,Swedish,"1,542",(+/-668),"5,394","(+/-1,486)","2,393",(+/-836),"4,501","(+/-1,481)","4,703","(+/-1,771)","2,104",(+/-784),"4,857","(+/-1,512)","2,896","(+/-1,242)","3,180","(+/-1,314)","2,673",(+/-936),"4,141","(+/-1,261)","3,493","(+/-1,408)","4,473","(+/-1,998)","4,622","(+/-1,392)"
People,Ancestry,Swiss,399,(+/-260),"1,667",(+/-768),995,(+/-487),"1,388",(+/-799),921,(+/-504),402,(+/-269),"1,840","(+/-1,031)",863,(+/-578),477,(+/-329),975,(+/-495),"1,157",(+/-533),995,(+/-611),"1,095",(+/-635),"1,633",(+/-995)
People,Ancestry,Ukrainian,"1,303","(+/-1,017)","1,892",(+/-884),688,(+/-388),"1,885",(+/-827),870,(+/-454),988,(+/-721),"1,081",(+/-672),"1,887","(+/-1,197)",713,(+/-440),417,(+/-307),"3,157","(+/-1,798)","2,830","(+/-1,292)","2,080","(+/-1,864)","1,612",(+/-838)
People,Ancestry,Welsh,"1,960","(+/-1,067)","4,600","(+/-1,289)","2,418",(+/-702),"5,105","(+/-1,450)","4,144","(+/-1,403)","3,013",(+/-987),"4,097","(+/-1,341)","3,290","(+/-1,956)","3,317","(+/-1,342)","3,715","(+/-1,188)","6,059","(+/-1,500)","2,449",(+/-964),"3,514","(+/-1,391)","3,930","(+/-1,091)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","3,898","(+/-1,333)","4,373","(+/-2,346)","2,161",(+/-986),"5,738","(+/-2,317)","1,405","(+/-1,051)","4,069","(+/-1,523)","2,382","(+/-1,034)","2,689","(+/-2,285)","5,876","(+/-2,022)","1,358",(+/-680),746,(+/-442),"7,026","(+/-2,307)","3,238","(+/-1,498)","4,959","(+/-2,137)"
