Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","45 to 54 years",90381,"(+/- 2392 )",96416,"(+/- 3057 )",102560,"(+/- 5681 )",103269,"(+/- 3834 )",103283,"(+/- 4681 )",100925,"(+/- 4080 )",79649,"(+/- 4145 )",97372,"(+/- 4395 )",101808,"(+/- 3242 )"
People,"Sex and Age","55 to 59 years",52381,"(+/- 2631 )",53889,"(+/- 3395 )",56974,"(+/- 4382 )",55418,"(+/- 3906 )",47884,"(+/- 3513 )",61494,"(+/- 3643 )",39206,"(+/- 3530 )",56581,"(+/- 4096 )",59999,"(+/- 3577 )"
People,"Sex and Age","60 to 64 years",52419,"(+/- 2691 )",54536,"(+/- 4081 )",60481,"(+/- 3672 )",54702,"(+/- 3533 )",44719,"(+/- 3674 )",57314,"(+/- 3958 )",40291,"(+/- 3314 )",52065,"(+/- 3855 )",63143,"(+/- 4092 )"
People,"Sex and Age","65 to 74 years",84843,"(+/- 2123 )",79066,"(+/- 3081 )",77647,"(+/- 4184 )",78060,"(+/- 3741 )",69820,"(+/- 3893 )",91530,"(+/- 3094 )",60243,"(+/- 3331 )",79300,"(+/- 4067 )",110276,"(+/- 3387 )"
People,"Sex and Age","75 to 84 years",35079,"(+/- 2276 )",35675,"(+/- 2282 )",34205,"(+/- 2764 )",36298,"(+/- 3027 )",37155,"(+/- 2450 )",42702,"(+/- 2647 )",26249,"(+/- 2102 )",36951,"(+/- 2498 )",52462,"(+/- 2660 )"
People,"Sex and Age","85 years and over",19362,"(+/- 1914 )",14952,"(+/- 1900 )",12314,"(+/- 1916 )",15918,"(+/- 1972 )",18362,"(+/- 2050 )",19146,"(+/- 2346 )",11725,"(+/- 1868 )",16363,"(+/- 1964 )",20744,"(+/- 1996 )"
People,"Sex and Age","Median age (years)",41.5,"(+/- 0.4 )",38.9,"(+/- 0.5 )",39.9,"(+/- 0.8 )",41.3,"(+/- 0.8 )",38.7,"(+/- 0.7 )",43.5,"(+/- 0.7 )",33.1,"(+/- 0.4 )",39.2,"(+/- 0.7 )",46.5,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",584019,"(+/- 5305 )",627986,"(+/- 7348 )",615267,"(+/- 9587 )",604670,"(+/- 7689 )",628010,"(+/- 8285 )",624299,"(+/- 5200 )",657407,"(+/- 8208 )",638921,"(+/- 8852 )",642204,"(+/- 7157 )"
People,"Sex and Age","65 years and over",139284,"(+/- 2511 )",129693,"(+/- 3819 )",124166,"(+/- 5227 )",130276,"(+/- 4600 )",125337,"(+/- 4679 )",153378,"(+/- 3912 )",98217,"(+/- 4164 )",132614,"(+/- 5221 )",183482,"(+/- 4269 )"
People,Race,"Total population",730798,"(+/- 6780 )",779662,"(+/- 8920 )",790963,"(+/- 10950 )",767979,"(+/- 8522 )",781372,"(+/- 8486 )",774905,"(+/- 4865 )",779197,"(+/- 8822 )",792652,"(+/- 9709 )",787195,"(+/- 8170 )"
People,Race,"One race",628436,"(+/- 9398 )",702777,"(+/- 11111 )",687510,"(+/- 13730 )",704634,"(+/- 10356 )",697958,"(+/- 11026 )",718767,"(+/- 8029 )",626887,"(+/- 11934 )",718277,"(+/- 10872 )",720359,"(+/- 8931 )"
People,Race,White,521883,"(+/- 7297 )",572677,"(+/- 10017 )",511070,"(+/- 15301 )",609844,"(+/- 10855 )",506878,"(+/- 10500 )",612246,"(+/- 10122 )",312088,"(+/- 8427 )",541500,"(+/- 10140 )",644009,"(+/- 9308 )"
People,Race,"Black or African American",46633,"(+/- 3531 )",45817,"(+/- 4060 )",31516,"(+/- 4685 )",19479,"(+/- 4230 )",39629,"(+/- 6550 )",27922,"(+/- 4825 )",160652,"(+/- 7560 )",73823,"(+/- 6029 )",21264,"(+/- 2919 )"
People,Race,"American Indian and Alaska Native",1893,"(+/- 946 )",1284,"(+/- 717 )",2280,"(+/- 1070 )",1354,"(+/- 673 )",1102,"(+/- 577 )",1836,"(+/- 1189 )",2249,"(+/- 1374 )",936,"(+/- 553 )",2901,"(+/- 1255 )"
People,Race,Asian,18493,"(+/- 2506 )",42974,"(+/- 3422 )",62128,"(+/- 6611 )",53319,"(+/- 4923 )",108753,"(+/- 8843 )",35227,"(+/- 4085 )",88016,"(+/- 7452 )",73592,"(+/- 5006 )",11145,"(+/- 1837 )"
People,Race,"Native Hawaiian and Other Pacific Islander",39,"(+/- 66 )",555,"(+/- 429 )",99,"(+/- 96 )",240,"(+/- 303 )",149,"(+/- 185 )",33,"(+/- 58 )",742,"(+/- 510 )",119,"(+/- 143 )",130,"(+/- 189 )"
People,Race,"Some other race",39495,"(+/- 5395 )",39470,"(+/- 7302 )",80417,"(+/- 7115 )",20398,"(+/- 4853 )",41447,"(+/- 7648 )",41503,"(+/- 5886 )",63140,"(+/- 7294 )",28307,"(+/- 4812 )",40910,"(+/- 5744 )"
People,Race,"Two or more races",102362,"(+/- 7489 )",76885,"(+/- 7235 )",103453,"(+/- 8632 )",63345,"(+/- 6333 )",83414,"(+/- 9194 )",56138,"(+/- 6329 )",152310,"(+/- 9395 )",74375,"(+/- 6792 )",66836,"(+/- 7329 )"
People,"Hispanic or Latino and Race","Total population",730798,"(+/- 6780 )",779662,"(+/- 8920 )",790963,"(+/- 10950 )",767979,"(+/- 8522 )",781372,"(+/- 8486 )",774905,"(+/- 4865 )",779197,"(+/- 8822 )",792652,"(+/- 9709 )",787195,"(+/- 8170 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",145310,"(+/- 2296 )",90227,"(+/- 5092 )",171254,"(+/- 8175 )",41559,"(+/- 5465 )",82535,"(+/- 7030 )",81727,"(+/- 5267 )",178859,"(+/- 6728 )",49983,"(+/- 4353 )",55896,"(+/- 4306 )"
People,"Hispanic or Latino and Race",Mexican,7970,"(+/- 2456 )",4155,"(+/- 2133 )",6170,"(+/- 2488 )",4674,"(+/- 2087 )",6542,"(+/- 2988 )",4402,"(+/- 1709 )",10052,"(+/- 2069 )",2888,"(+/- 948 )",4068,"(+/- 2172 )"
People,"Hispanic or Latino and Race","Puerto Rican",109754,"(+/- 4334 )",47756,"(+/- 5329 )",53628,"(+/- 6518 )",11838,"(+/- 3238 )",13419,"(+/- 3464 )",15553,"(+/- 4196 )",34276,"(+/- 5524 )",13882,"(+/- 2729 )",23422,"(+/- 4019 )"
People,"Hispanic or Latino and Race",Cuban,1128,"(+/- 774 )",1044,"(+/- 623 )",1634,"(+/- 946 )",1617,"(+/- 851 )",522,"(+/- 360 )",1233,"(+/- 923 )",2037,"(+/- 667 )",2423,"(+/- 1223 )",713,"(+/- 522 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",26458,"(+/- 4139 )",37272,"(+/- 5466 )",109822,"(+/- 6971 )",23430,"(+/- 4199 )",62052,"(+/- 6780 )",60539,"(+/- 5995 )",132494,"(+/- 7617 )",30790,"(+/- 4195 )",27693,"(+/- 4700 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",585488,"(+/- 6597 )",689435,"(+/- 9844 )",619709,"(+/- 14923 )",726420,"(+/- 9803 )",698837,"(+/- 10010 )",693178,"(+/- 7741 )",600338,"(+/- 10704 )",742669,"(+/- 9958 )",731299,"(+/- 9312 )"
People,"Place of Birth","Total population",730798,"(+/- 6780 )",779662,"(+/- 8920 )",790963,"(+/- 10950 )",767979,"(+/- 8522 )",781372,"(+/- 8486 )",774905,"(+/- 4865 )",779197,"(+/- 8822 )",792652,"(+/- 9709 )",787195,"(+/- 8170 )"
People,"Place of Birth",Native,670087,"(+/- 7877 )",677688,"(+/- 11162 )",631481,"(+/- 15077 )",655755,"(+/- 10224 )",578580,"(+/- 9932 )",663257,"(+/- 10011 )",529993,"(+/- 11301 )",649533,"(+/- 10447 )",700861,"(+/- 8377 )"
People,"Place of Birth","Born in United States",616363,"(+/- 9104 )",650038,"(+/- 12171 )",601221,"(+/- 15111 )",642531,"(+/- 9478 )",562982,"(+/- 10010 )",651254,"(+/- 10154 )",502774,"(+/- 11836 )",635436,"(+/- 11137 )",682409,"(+/- 8171 )"
People,"Place of Birth","State of residence",471356,"(+/- 10221 )",494871,"(+/- 11657 )",467506,"(+/- 12872 )",446720,"(+/- 8718 )",385526,"(+/- 9621 )",517167,"(+/- 9779 )",308557,"(+/- 10532 )",505006,"(+/- 12171 )",528929,"(+/- 9936 )"
People,"Place of Birth","Different state",145007,"(+/- 8296 )",155167,"(+/- 6819 )",133715,"(+/- 7208 )",195811,"(+/- 8113 )",177456,"(+/- 7263 )",134087,"(+/- 7296 )",194217,"(+/- 9024 )",130430,"(+/- 5850 )",153480,"(+/- 6280 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",53724,"(+/- 4596 )",27650,"(+/- 3588 )",30260,"(+/- 4352 )",13224,"(+/- 3386 )",15598,"(+/- 2574 )",12003,"(+/- 2680 )",27219,"(+/- 4012 )",14097,"(+/- 3002 )",18452,"(+/- 2886 )"
People,"Place of Birth","Foreign born",60711,"(+/- 5169 )",101974,"(+/- 7682 )",159482,"(+/- 8806 )",112224,"(+/- 7407 )",202792,"(+/- 8355 )",111648,"(+/- 8738 )",249204,"(+/- 10338 )",143119,"(+/- 6784 )",86334,"(+/- 6310 )"
People,Ancestry,"Total population",730798,"(+/- 6780 )",779662,"(+/- 8920 )",790963,"(+/- 10950 )",767979,"(+/- 8522 )",781372,"(+/- 8486 )",774905,"(+/- 4865 )",779197,"(+/- 8822 )",792652,"(+/- 9709 )",787195,"(+/- 8170 )"
People,Ancestry,American,51302,"(+/- 5499 )",31679,"(+/- 5263 )",21087,"(+/- 3262 )",30211,"(+/- 4854 )",21689,"(+/- 3447 )",27571,"(+/- 4651 )",16457,"(+/- 2695 )",23761,"(+/- 4685 )",26783,"(+/- 3733 )"
People,Ancestry,Arab,4376,"(+/- 1931 )",8897,"(+/- 3293 )",9052,"(+/- 2858 )",8927,"(+/- 2315 )",10854,"(+/- 2807 )",6077,"(+/- 2169 )",10315,"(+/- 2383 )",11731,"(+/- 3267 )",3739,"(+/- 1619 )"
People,Ancestry,Czech,1579,"(+/- 697 )",1473,"(+/- 824 )",851,"(+/- 483 )",791,"(+/- 412 )",1584,"(+/- 518 )",702,"(+/- 366 )",2122,"(+/- 847 )",961,"(+/- 457 )",690,"(+/- 385 )"
People,Ancestry,Danish,791,"(+/- 323 )",1207,"(+/- 766 )",1405,"(+/- 675 )",1126,"(+/- 546 )",1761,"(+/- 852 )",1376,"(+/- 1163 )",1497,"(+/- 619 )",2866,"(+/- 1580 )",2355,"(+/- 1775 )"
People,Ancestry,Dutch,3019,"(+/- 906 )",4029,"(+/- 1416 )",2469,"(+/- 841 )",3598,"(+/- 1477 )",3295,"(+/- 1082 )",2946,"(+/- 910 )",3350,"(+/- 905 )",2405,"(+/- 874 )",3145,"(+/- 1126 )"
People,Ancestry,English,62454,"(+/- 3919 )",76173,"(+/- 5164 )",68085,"(+/- 5742 )",90037,"(+/- 6580 )",67802,"(+/- 5373 )",98576,"(+/- 7187 )",36031,"(+/- 3031 )",72572,"(+/- 5873 )",110473,"(+/- 6938 )"
People,Ancestry,"French (except Basque)",70902,"(+/- 6178 )",55002,"(+/- 5191 )",56600,"(+/- 6758 )",42112,"(+/- 4767 )",17688,"(+/- 3043 )",31182,"(+/- 3712 )",12931,"(+/- 2386 )",19463,"(+/- 3290 )",46778,"(+/- 5051 )"
People,Ancestry,"French Canadian",31317,"(+/- 3651 )",33453,"(+/- 3603 )",30723,"(+/- 3468 )",19970,"(+/- 2805 )",16310,"(+/- 2555 )",25840,"(+/- 3023 )",7352,"(+/- 1352 )",12802,"(+/- 2191 )",19613,"(+/- 3007 )"
People,Ancestry,German,42010,"(+/- 3856 )",44887,"(+/- 4446 )",37601,"(+/- 4041 )",45582,"(+/- 5455 )",48273,"(+/- 4164 )",38138,"(+/- 4736 )",32328,"(+/- 4039 )",42083,"(+/- 3963 )",48441,"(+/- 4397 )"
People,Ancestry,Greek,4245,"(+/- 1113 )",5212,"(+/- 1453 )",7523,"(+/- 1918 )",6463,"(+/- 1887 )",9739,"(+/- 3030 )",17680,"(+/- 3948 )",5729,"(+/- 1819 )",7898,"(+/- 1868 )",6445,"(+/- 1858 )"
People,Ancestry,Hungarian,1563,"(+/- 620 )",1749,"(+/- 669 )",1705,"(+/- 796 )",2664,"(+/- 1111 )",1511,"(+/- 603 )",1048,"(+/- 441 )",972,"(+/- 466 )",2240,"(+/- 937 )",1456,"(+/- 645 )"
People,Ancestry,Irish,106841,"(+/- 6929 )",133083,"(+/- 8891 )",134863,"(+/- 9515 )",155769,"(+/- 8142 )",130472,"(+/- 7947 )",166377,"(+/- 8846 )",72767,"(+/- 5073 )",205814,"(+/- 10208 )",175240,"(+/- 8189 )"
People,Ancestry,Italian,71470,"(+/- 6304 )",79818,"(+/- 6344 )",78482,"(+/- 6009 )",92676,"(+/- 6920 )",105660,"(+/- 7411 )",117500,"(+/- 8151 )",49144,"(+/- 3888 )",80477,"(+/- 6462 )",84525,"(+/- 5769 )"
People,Ancestry,Lithuanian,2489,"(+/- 1185 )",7676,"(+/- 1808 )",4458,"(+/- 1205 )",4265,"(+/- 1302 )",3971,"(+/- 1136 )",4193,"(+/- 1392 )",2469,"(+/- 1016 )",4528,"(+/- 1495 )",4545,"(+/- 1703 )"
People,Ancestry,Norwegian,1599,"(+/- 715 )",3304,"(+/- 1184 )",3255,"(+/- 1417 )",3246,"(+/- 1115 )",4900,"(+/- 1953 )",4240,"(+/- 1153 )",3005,"(+/- 949 )",2480,"(+/- 1004 )",5017,"(+/- 1495 )"
People,Ancestry,Polish,56514,"(+/- 5058 )",44410,"(+/- 4414 )",22210,"(+/- 3073 )",25169,"(+/- 3471 )",23157,"(+/- 3473 )",24185,"(+/- 3432 )",15214,"(+/- 2170 )",20383,"(+/- 3066 )",20835,"(+/- 2489 )"
People,Ancestry,Portuguese,12275,"(+/- 3008 )",9677,"(+/- 2388 )",20258,"(+/- 3240 )",65935,"(+/- 5699 )",11046,"(+/- 2198 )",18825,"(+/- 3980 )",7360,"(+/- 1901 )",13938,"(+/- 2386 )",94599,"(+/- 6882 )"
People,Ancestry,Russian,7546,"(+/- 1961 )",5926,"(+/- 1401 )",7349,"(+/- 1980 )",14243,"(+/- 2326 )",14599,"(+/- 2440 )",12025,"(+/- 2592 )",6780,"(+/- 1156 )",9988,"(+/- 1829 )",4839,"(+/- 1155 )"
People,Ancestry,Scotch-Irish,2933,"(+/- 762 )",3273,"(+/- 790 )",3757,"(+/- 1129 )",3809,"(+/- 1067 )",4030,"(+/- 1126 )",4590,"(+/- 1651 )",2104,"(+/- 672 )",5316,"(+/- 1326 )",5335,"(+/- 1479 )"
People,Ancestry,Scottish,11550,"(+/- 2209 )",12161,"(+/- 2076 )",10854,"(+/- 2097 )",14567,"(+/- 2684 )",12098,"(+/- 1595 )",18255,"(+/- 2903 )",7079,"(+/- 1740 )",16640,"(+/- 2785 )",16802,"(+/- 2256 )"
People,Ancestry,Slovak,792,"(+/- 428 )",931,"(+/- 509 )",1047,"(+/- 730 )",856,"(+/- 623 )",987,"(+/- 713 )",683,"(+/- 342 )",648,"(+/- 405 )",1002,"(+/- 650 )",625,"(+/- 534 )"
People,Ancestry,"Subsaharan African",8984,"(+/- 2942 )",16324,"(+/- 3351 )",10077,"(+/- 3632 )",14421,"(+/- 3743 )",10951,"(+/- 4167 )",8342,"(+/- 3144 )",28688,"(+/- 6328 )",32452,"(+/- 5282 )",20918,"(+/- 4081 )"
People,Ancestry,Swedish,8380,"(+/- 1768 )",17001,"(+/- 2571 )",8999,"(+/- 1916 )",9723,"(+/- 2059 )",7519,"(+/- 1728 )",10926,"(+/- 2238 )",6447,"(+/- 2228 )",10164,"(+/- 1840 )",13707,"(+/- 2416 )"
People,Ancestry,Swiss,1387,"(+/- 607 )",890,"(+/- 540 )",1038,"(+/- 496 )",1055,"(+/- 386 )",1777,"(+/- 800 )",1128,"(+/- 532 )",1622,"(+/- 798 )",1246,"(+/- 806 )",393,"(+/- 337 )"
People,Ancestry,Ukrainian,5343,"(+/- 2509 )",3090,"(+/- 1040 )",2394,"(+/- 1290 )",2423,"(+/- 809 )",2844,"(+/- 1214 )",3808,"(+/- 1893 )",2133,"(+/- 688 )",1731,"(+/- 738 )",1491,"(+/- 664 )"
People,Ancestry,Welsh,1896,"(+/- 649 )",2130,"(+/- 723 )",3287,"(+/- 1446 )",2897,"(+/- 1248 )",1936,"(+/- 641 )",3472,"(+/- 1541 )",1598,"(+/- 696 )",1334,"(+/- 790 )",2134,"(+/- 733 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",7386,"(+/- 2169 )",9463,"(+/- 3240 )",7511,"(+/- 2368 )",6040,"(+/- 1972 )",15208,"(+/- 5467 )",5820,"(+/- 2131 )",57133,"(+/- 7069 )",21253,"(+/- 4644 )",9343,"(+/- 2452 )"
People,"Veteran Status","Civilian population 18 years and over",582876,"(+/- 5250 )",627827,"(+/- 7402 )",614776,"(+/- 9544 )",604312,"(+/- 7706 )",627303,"(+/- 8362 )",624009,"(+/- 5156 )",656845,"(+/- 8194 )",638156,"(+/- 8926 )",641172,"(+/- 7149 )"
People,"Veteran Status","Civilian veterans",33545,"(+/- 2696 )",30173,"(+/- 2693 )",25419,"(+/- 2474 )",23345,"(+/- 2240 )",17365,"(+/- 2029 )",28309,"(+/- 2448 )",11500,"(+/- 1829 )",26530,"(+/- 2405 )",41853,"(+/- 3135 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",722465,"(+/- 7061 )",771993,"(+/- 8876 )",780669,"(+/- 10721 )",760701,"(+/- 8790 )",775837,"(+/- 8572 )",767577,"(+/- 5308 )",775393,"(+/- 8957 )",782727,"(+/- 9731 )",778744,"(+/- 8490 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",112624,"(+/- 4908 )",99518,"(+/- 4896 )",94219,"(+/- 5553 )",78421,"(+/- 5118 )",69714,"(+/- 5111 )",86484,"(+/- 5611 )",94121,"(+/- 6436 )",74356,"(+/- 4771 )",100689,"(+/- 4996 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",146300,"(+/- 3152 )",151271,"(+/- 4114 )",175480,"(+/- 5965 )",162943,"(+/- 5451 )",153262,"(+/- 5351 )",150527,"(+/- 4314 )",121645,"(+/- 5126 )",153512,"(+/- 4917 )",144862,"(+/- 4253 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",10922,"(+/- 2562 )",6226,"(+/- 1375 )",7891,"(+/- 1661 )",6154,"(+/- 1698 )",4952,"(+/- 1862 )",6147,"(+/- 1528 )",7816,"(+/- 1644 )",6335,"(+/- 1592 )",6785,"(+/- 1592 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",441464,"(+/- 4840 )",495222,"(+/- 6745 )",484941,"(+/- 8295 )",470912,"(+/- 7939 )",500968,"(+/- 7716 )",467238,"(+/- 5045 )",557236,"(+/- 7788 )",501701,"(+/- 8188 )",454704,"(+/- 8014 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",56750,"(+/- 4167 )",53191,"(+/- 3802 )",49671,"(+/- 3556 )",35866,"(+/- 3127 )",28821,"(+/- 3214 )",38300,"(+/- 3811 )",48535,"(+/- 4644 )",33630,"(+/- 3446 )",44221,"(+/- 3944 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",134701,"(+/- 2653 )",125500,"(+/- 3781 )",120248,"(+/- 5122 )",126846,"(+/- 4615 )",121607,"(+/- 4715 )",149812,"(+/- 3951 )",96512,"(+/- 4200 )",127514,"(+/- 5167 )",179178,"(+/- 4133 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44952,"(+/- 2897 )",40101,"(+/- 2817 )",36657,"(+/- 3159 )",36401,"(+/- 3037 )",35941,"(+/- 3203 )",42037,"(+/- 3758 )",37770,"(+/- 2988 )",34391,"(+/- 2719 )",49683,"(+/- 3706 )"
People,"Residence 1 Year Ago","Population 1 year and over",724235,"(+/- 6838 )",772959,"(+/- 8717 )",780813,"(+/- 11022 )",760072,"(+/- 8742 )",773521,"(+/- 8900 )",767423,"(+/- 4816 )",770868,"(+/- 9071 )",785350,"(+/- 9714 )",781073,"(+/- 8228 )"
People,"Residence 1 Year Ago","Same house",653941,"(+/- 8979 )",662595,"(+/- 10423 )",689440,"(+/- 12262 )",675462,"(+/- 10800 )",657108,"(+/- 10767 )",683913,"(+/- 9991 )",620651,"(+/- 10510 )",695633,"(+/- 11379 )",705216,"(+/- 10521 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",70294,"(+/- 6784 )",110364,"(+/- 5769 )",91373,"(+/- 7210 )",84610,"(+/- 7714 )",116413,"(+/- 8534 )",83510,"(+/- 8935 )",150217,"(+/- 7787 )",89717,"(+/- 8129 )",75857,"(+/- 6787 )"
People,"Residence 1 Year Ago","Different house in the U.S.",66675,"(+/- 6821 )",104148,"(+/- 5586 )",89872,"(+/- 7172 )",78614,"(+/- 7387 )",104742,"(+/- 7368 )",81412,"(+/- 8748 )",135486,"(+/- 7481 )",87075,"(+/- 8023 )",73441,"(+/- 6685 )"
People,"Residence 1 Year Ago","Same county",40593,"(+/- 5672 )",50033,"(+/- 5482 )",59431,"(+/- 6202 )",38327,"(+/- 5431 )",57852,"(+/- 6365 )",46073,"(+/- 6564 )",64043,"(+/- 5660 )",41254,"(+/- 6058 )",35403,"(+/- 4630 )"
People,"Residence 1 Year Ago","Different county",26082,"(+/- 3559 )",54115,"(+/- 4557 )",30441,"(+/- 3831 )",40287,"(+/- 4778 )",46890,"(+/- 4911 )",35339,"(+/- 4927 )",71443,"(+/- 5124 )",45821,"(+/- 4689 )",38038,"(+/- 4965 )"
People,"Residence 1 Year Ago","Same state",14487,"(+/- 2686 )",32770,"(+/- 3442 )",18971,"(+/- 3381 )",28827,"(+/- 4554 )",26227,"(+/- 3990 )",22540,"(+/- 4213 )",31908,"(+/- 4098 )",33235,"(+/- 4279 )",21180,"(+/- 3797 )"
People,"Residence 1 Year Ago","Different state",11595,"(+/- 2358 )",21345,"(+/- 2845 )",11470,"(+/- 2688 )",11460,"(+/- 2284 )",20663,"(+/- 2891 )",12799,"(+/- 3322 )",39535,"(+/- 3720 )",12586,"(+/- 2466 )",16858,"(+/- 3277 )"
People,"Residence 1 Year Ago",Abroad,3619,"(+/- 1398 )",6216,"(+/- 2264 )",1501,"(+/- 783 )",5996,"(+/- 1978 )",11671,"(+/- 3554 )",2098,"(+/- 1023 )",14731,"(+/- 2289 )",2642,"(+/- 1001 )",2416,"(+/- 1279 )"
Workers,"Employment Status","Population 16 years and over",602754,"(+/- 5465 )",648347,"(+/- 7590 )",637342,"(+/- 9552 )",627179,"(+/- 7520 )",646587,"(+/- 8361 )",642657,"(+/- 4980 )",669201,"(+/- 8301 )",655991,"(+/- 9180 )",660203,"(+/- 7534 )"
Workers,"Employment Status","In labor force",363964,"(+/- 6789 )",426707,"(+/- 7559 )",426388,"(+/- 8588 )",423563,"(+/- 8267 )",452139,"(+/- 8428 )",436788,"(+/- 7028 )",458810,"(+/- 9149 )",460633,"(+/- 7989 )",416425,"(+/- 9933 )"
Workers,"Employment Status","Civilian labor force",362821,"(+/- 6704 )",426548,"(+/- 7584 )",425897,"(+/- 8507 )",423205,"(+/- 8291 )",451432,"(+/- 8487 )",436498,"(+/- 7038 )",458248,"(+/- 9081 )",459868,"(+/- 8040 )",415393,"(+/- 9953 )"
Workers,"Employment Status",Employed,335274,"(+/- 7111 )",395044,"(+/- 7894 )",395131,"(+/- 8218 )",396673,"(+/- 8354 )",426916,"(+/- 8349 )",411734,"(+/- 7399 )",421138,"(+/- 9408 )",431047,"(+/- 8245 )",391715,"(+/- 9820 )"
Workers,"Employment Status",Unemployed,27547,"(+/- 2984 )",31504,"(+/- 3202 )",30766,"(+/- 3479 )",26532,"(+/- 3116 )",24516,"(+/- 3023 )",24764,"(+/- 2976 )",37110,"(+/- 3313 )",28821,"(+/- 2950 )",23678,"(+/- 2429 )"
