Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE"
People,"Sex and Age","45 to 54 years",111898,"(+/- 3779 )",82853,"(+/- 2372 )",77340,"(+/- 3028 )",91500,"(+/- 4468 )",87768,"(+/- 3450 )",89173,"(+/- 2642 )",107440,"(+/- 4642 )",105585,"(+/- 3819 )",84975,"(+/- 1960 )",133569,"(+/- 4068 )",107829,"(+/- 3811 )"
People,"Sex and Age","55 to 59 years",56735,"(+/- 3473 )",44583,"(+/- 2442 )",49973,"(+/- 3001 )",50497,"(+/- 3032 )",52299,"(+/- 3277 )",47254,"(+/- 3616 )",54150,"(+/- 3243 )",47761,"(+/- 3251 )",46919,"(+/- 2878 )",61064,"(+/- 3700 )",47593,"(+/- 3264 )"
People,"Sex and Age","60 to 64 years",54637,"(+/- 3758 )",49061,"(+/- 2965 )",44641,"(+/- 2705 )",54402,"(+/- 3458 )",56935,"(+/- 3147 )",52164,"(+/- 3133 )",58363,"(+/- 3423 )",42204,"(+/- 3401 )",50760,"(+/- 2883 )",55060,"(+/- 3334 )",43990,"(+/- 2764 )"
People,"Sex and Age","65 to 74 years",83435,"(+/- 2369 )",73316,"(+/- 2174 )",66234,"(+/- 2249 )",77842,"(+/- 2497 )",94750,"(+/- 2441 )",84781,"(+/- 1991 )",89930,"(+/- 3208 )",63897,"(+/- 2606 )",88961,"(+/- 1853 )",69054,"(+/- 2485 )",63703,"(+/- 2884 )"
People,"Sex and Age","75 to 84 years",39490,"(+/- 2222 )",35013,"(+/- 1888 )",29857,"(+/- 2017 )",32450,"(+/- 2271 )",46314,"(+/- 2503 )",41040,"(+/- 2003 )",40036,"(+/- 2418 )",28712,"(+/- 2107 )",45557,"(+/- 1926 )",36091,"(+/- 1950 )",29140,"(+/- 1769 )"
People,"Sex and Age","85 years and over",12732,"(+/- 1825 )",12719,"(+/- 1671 )",12966,"(+/- 1519 )",11479,"(+/- 1668 )",15332,"(+/- 1764 )",18181,"(+/- 1870 )",13934,"(+/- 1814 )",11328,"(+/- 1426 )",16413,"(+/- 1829 )",10409,"(+/- 1392 )",11384,"(+/- 1474 )"
People,"Sex and Age","Median age (years)",39.8,"(+/- 0.5 )",37.0,"(+/- 0.4 )",35.2,"(+/- 0.4 )",37.9,"(+/- 0.6 )",43.0,"(+/- 0.5 )",39.6,"(+/- 0.5 )",40.7,"(+/- 0.7 )",37.3,"(+/- 0.4 )",43.3,"(+/- 0.4 )",39.2,"(+/- 0.4 )",37.0,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",644778,"(+/- 8728 )",588311,"(+/- 5740 )",590418,"(+/- 7417 )",621479,"(+/- 10360 )",600185,"(+/- 4948 )",609871,"(+/- 3519 )",639472,"(+/- 9072 )",623061,"(+/- 9597 )",567221,"(+/- 3728 )",663751,"(+/- 9089 )",611909,"(+/- 13255 )"
People,"Sex and Age","65 years and over",135657,"(+/- 2586 )",121048,"(+/- 2580 )",109057,"(+/- 3035 )",121771,"(+/- 3431 )",156396,"(+/- 2852 )",144002,"(+/- 2328 )",143900,"(+/- 3528 )",103937,"(+/- 2873 )",150931,"(+/- 2372 )",115554,"(+/- 3298 )",104227,"(+/- 3510 )"
People,Race,"Total population",836319,"(+/- 12075 )",748533,"(+/- 7736 )",761402,"(+/- 9305 )",781353,"(+/- 13031 )",742839,"(+/- 6693 )",763436,"(+/- 4851 )",830040,"(+/- 11302 )",788119,"(+/- 13227 )",693122,"(+/- 4180 )",895085,"(+/- 12606 )",802026,"(+/- 17952 )"
People,Race,"One race",746548,"(+/- 14139 )",672629,"(+/- 8173 )",687064,"(+/- 10085 )",725796,"(+/- 13482 )",697977,"(+/- 7696 )",706514,"(+/- 6612 )",770299,"(+/- 11414 )",670296,"(+/- 11769 )",665331,"(+/- 5458 )",787622,"(+/- 14199 )",688915,"(+/- 17760 )"
People,Race,White,550161,"(+/- 11493 )",463643,"(+/- 6415 )",305538,"(+/- 7002 )",371134,"(+/- 9968 )",534790,"(+/- 6634 )",597258,"(+/- 6067 )",534525,"(+/- 7854 )",403881,"(+/- 9009 )",609869,"(+/- 4624 )",516589,"(+/- 10514 )",363724,"(+/- 11772 )"
People,Race,"Black or African American",125931,"(+/- 6063 )",140659,"(+/- 6353 )",334200,"(+/- 9285 )",302787,"(+/- 9724 )",134871,"(+/- 5629 )",77579,"(+/- 3592 )",147783,"(+/- 7806 )",112559,"(+/- 5963 )",38885,"(+/- 3275 )",59175,"(+/- 5230 )",113404,"(+/- 8678 )"
People,Race,"American Indian and Alaska Native",2583,"(+/- 1321 )",1370,"(+/- 546 )",1992,"(+/- 786 )",3760,"(+/- 1770 )",2575,"(+/- 1353 )",3209,"(+/- 1620 )",3555,"(+/- 2154 )",4819,"(+/- 2321 )",1219,"(+/- 560 )",4728,"(+/- 2585 )",7208,"(+/- 3649 )"
People,Race,Asian,31011,"(+/- 3743 )",42076,"(+/- 3159 )",22267,"(+/- 2160 )",16453,"(+/- 3142 )",13502,"(+/- 1266 )",14135,"(+/- 1363 )",44122,"(+/- 2886 )",87902,"(+/- 5635 )",8835,"(+/- 1383 )",156312,"(+/- 6871 )",149616,"(+/- 8469 )"
People,Race,"Native Hawaiian and Other Pacific Islander",185,"(+/- 205 )",572,"(+/- 593 )",799,"(+/- 1061 )",3374,"(+/- 2437 )",731,"(+/- 929 )",338,"(+/- 405 )",74,"(+/- 126 )",193,"(+/- 199 )",567,"(+/- 517 )",1121,"(+/- 866 )",376,"(+/- 340 )"
People,Race,"Some other race",36677,"(+/- 6292 )",24309,"(+/- 4350 )",22268,"(+/- 4355 )",28288,"(+/- 4637 )",11508,"(+/- 2681 )",13995,"(+/- 2692 )",40240,"(+/- 5873 )",60942,"(+/- 8827 )",5956,"(+/- 1999 )",49697,"(+/- 5867 )",54587,"(+/- 7998 )"
People,Race,"Two or more races",89771,"(+/- 8286 )",75904,"(+/- 5381 )",74338,"(+/- 7197 )",55557,"(+/- 5659 )",44862,"(+/- 4479 )",56922,"(+/- 4445 )",59741,"(+/- 7014 )",117823,"(+/- 8631 )",27791,"(+/- 3501 )",107463,"(+/- 9113 )",113111,"(+/- 8845 )"
People,"Hispanic or Latino and Race","Total population",836319,"(+/- 12075 )",748533,"(+/- 7736 )",761402,"(+/- 9305 )",781353,"(+/- 13031 )",742839,"(+/- 6693 )",763436,"(+/- 4851 )",830040,"(+/- 11302 )",788119,"(+/- 13227 )",693122,"(+/- 4180 )",895085,"(+/- 12606 )",802026,"(+/- 17952 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",98158,"(+/- 7573 )",67888,"(+/- 2930 )",56056,"(+/- 3370 )",51798,"(+/- 4514 )",31018,"(+/- 2012 )",47260,"(+/- 1192 )",69829,"(+/- 4607 )",150758,"(+/- 7952 )",21527,"(+/- 1138 )",130492,"(+/- 6392 )",154566,"(+/- 10358 )"
People,"Hispanic or Latino and Race",Mexican,21463,"(+/- 3517 )",23595,"(+/- 4313 )",15503,"(+/- 2787 )",14824,"(+/- 2956 )",12128,"(+/- 2842 )",17468,"(+/- 2463 )",14208,"(+/- 3424 )",18077,"(+/- 3344 )",11535,"(+/- 1652 )",25283,"(+/- 5200 )",22459,"(+/- 5015 )"
People,"Hispanic or Latino and Race","Puerto Rican",11672,"(+/- 3261 )",15308,"(+/- 2884 )",19826,"(+/- 3803 )",7825,"(+/- 2292 )",5111,"(+/- 1659 )",7194,"(+/- 2367 )",9505,"(+/- 2180 )",11007,"(+/- 2568 )",1508,"(+/- 811 )",8935,"(+/- 2169 )",11548,"(+/- 2651 )"
People,"Hispanic or Latino and Race",Cuban,1118,"(+/- 862 )",1275,"(+/- 749 )",2022,"(+/- 1040 )",2021,"(+/- 1012 )",913,"(+/- 653 )",1005,"(+/- 590 )",2551,"(+/- 1277 )",3392,"(+/- 1292 )",185,"(+/- 148 )",4546,"(+/- 2205 )",1272,"(+/- 786 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",63905,"(+/- 7546 )",27710,"(+/- 4203 )",18705,"(+/- 3456 )",27128,"(+/- 4187 )",12866,"(+/- 2797 )",21593,"(+/- 3226 )",43565,"(+/- 5319 )",118282,"(+/- 9051 )",8299,"(+/- 1972 )",91728,"(+/- 6335 )",119287,"(+/- 10371 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",738161,"(+/- 8854 )",680645,"(+/- 7344 )",705346,"(+/- 9176 )",729555,"(+/- 12400 )",711821,"(+/- 6974 )",716176,"(+/- 4738 )",760211,"(+/- 10456 )",637361,"(+/- 10812 )",671595,"(+/- 4231 )",764593,"(+/- 12476 )",647460,"(+/- 15154 )"
People,"Place of Birth","Total population",836319,"(+/- 12075 )",748533,"(+/- 7736 )",761402,"(+/- 9305 )",781353,"(+/- 13031 )",742839,"(+/- 6693 )",763436,"(+/- 4851 )",830040,"(+/- 11302 )",788119,"(+/- 13227 )",693122,"(+/- 4180 )",895085,"(+/- 12606 )",802026,"(+/- 17952 )"
People,"Place of Birth",Native,747424,"(+/- 10390 )",686906,"(+/- 8281 )",716938,"(+/- 10257 )",737761,"(+/- 12933 )",710142,"(+/- 7269 )",723750,"(+/- 6351 )",749555,"(+/- 10812 )",581475,"(+/- 12906 )",674164,"(+/- 4358 )",688976,"(+/- 12343 )",554836,"(+/- 12519 )"
People,"Place of Birth","Born in United States",729018,"(+/- 10056 )",666273,"(+/- 8345 )",700736,"(+/- 9969 )",725871,"(+/- 12943 )",700907,"(+/- 7415 )",711086,"(+/- 6632 )",735426,"(+/- 10372 )",556503,"(+/- 12627 )",668989,"(+/- 4272 )",668645,"(+/- 11930 )",532256,"(+/- 12510 )"
People,"Place of Birth","State of residence",409663,"(+/- 11325 )",322023,"(+/- 8431 )",427317,"(+/- 9974 )",480414,"(+/- 13025 )",461988,"(+/- 11398 )",489387,"(+/- 9005 )",459605,"(+/- 12662 )",202999,"(+/- 9453 )",446610,"(+/- 8639 )",324144,"(+/- 11828 )",250931,"(+/- 11291 )"
People,"Place of Birth","Different state",319355,"(+/- 9740 )",344250,"(+/- 7797 )",273419,"(+/- 9084 )",245457,"(+/- 10544 )",238919,"(+/- 9749 )",221699,"(+/- 8449 )",275821,"(+/- 8771 )",353504,"(+/- 9844 )",222379,"(+/- 7519 )",344501,"(+/- 9764 )",281325,"(+/- 9481 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",18406,"(+/- 2504 )",20633,"(+/- 2764 )",16202,"(+/- 2531 )",11890,"(+/- 2153 )",9235,"(+/- 1799 )",12664,"(+/- 2509 )",14129,"(+/- 2440 )",24972,"(+/- 2935 )",5175,"(+/- 1308 )",20331,"(+/- 2556 )",22580,"(+/- 2542 )"
People,"Place of Birth","Foreign born",88895,"(+/- 8698 )",61627,"(+/- 4147 )",44464,"(+/- 4220 )",43592,"(+/- 4451 )",32697,"(+/- 3030 )",39686,"(+/- 3626 )",80485,"(+/- 5270 )",206644,"(+/- 9746 )",18958,"(+/- 2286 )",206109,"(+/- 8950 )",247190,"(+/- 12601 )"
People,Ancestry,"Total population",836319,"(+/- 12075 )",748533,"(+/- 7736 )",761402,"(+/- 9305 )",781353,"(+/- 13031 )",742839,"(+/- 6693 )",763436,"(+/- 4851 )",830040,"(+/- 11302 )",788119,"(+/- 13227 )",693122,"(+/- 4180 )",895085,"(+/- 12606 )",802026,"(+/- 17952 )"
People,Ancestry,American,80382,"(+/- 8872 )",87482,"(+/- 8154 )",43679,"(+/- 5517 )",48512,"(+/- 4980 )",109680,"(+/- 8089 )",88528,"(+/- 7071 )",48667,"(+/- 5621 )",21253,"(+/- 2883 )",179423,"(+/- 9793 )",40606,"(+/- 5830 )",29889,"(+/- 3996 )"
People,Ancestry,Arab,8845,"(+/- 4644 )",2594,"(+/- 1844 )",4300,"(+/- 2190 )",3114,"(+/- 1646 )",2517,"(+/- 1421 )",2358,"(+/- 1248 )",6162,"(+/- 2556 )",19004,"(+/- 4882 )",2972,"(+/- 1671 )",13612,"(+/- 4085 )",22023,"(+/- 5071 )"
People,Ancestry,Czech,3808,"(+/- 1367 )",1352,"(+/- 714 )",1615,"(+/- 1104 )",1566,"(+/- 771 )",1869,"(+/- 765 )",1249,"(+/- 656 )",1491,"(+/- 785 )",3355,"(+/- 1111 )",491,"(+/- 292 )",2535,"(+/- 1053 )",1826,"(+/- 841 )"
People,Ancestry,Danish,2616,"(+/- 905 )",1860,"(+/- 894 )",694,"(+/- 402 )",672,"(+/- 345 )",1464,"(+/- 816 )",965,"(+/- 542 )",1760,"(+/- 930 )",2127,"(+/- 688 )",608,"(+/- 462 )",2670,"(+/- 1130 )",2756,"(+/- 1334 )"
People,Ancestry,Dutch,4913,"(+/- 1539 )",5438,"(+/- 1300 )",4450,"(+/- 1354 )",2866,"(+/- 850 )",7303,"(+/- 2098 )",5207,"(+/- 1422 )",4856,"(+/- 1395 )",6411,"(+/- 1546 )",2405,"(+/- 772 )",5747,"(+/- 1319 )",6720,"(+/- 1722 )"
People,Ancestry,English,120709,"(+/- 8252 )",92169,"(+/- 6768 )",63593,"(+/- 5135 )",80783,"(+/- 5259 )",102897,"(+/- 7605 )",105093,"(+/- 6672 )",116923,"(+/- 6891 )",88819,"(+/- 5933 )",92210,"(+/- 6254 )",101815,"(+/- 6578 )",70253,"(+/- 5361 )"
People,Ancestry,"French (except Basque)",14202,"(+/- 2574 )",15575,"(+/- 2819 )",9207,"(+/- 1998 )",7883,"(+/- 1688 )",9414,"(+/- 2241 )",9533,"(+/- 1775 )",16125,"(+/- 2990 )",15602,"(+/- 2434 )",4684,"(+/- 1191 )",15842,"(+/- 2362 )",11633,"(+/- 2288 )"
People,Ancestry,"French Canadian",2166,"(+/- 750 )",2957,"(+/- 1059 )",2462,"(+/- 1023 )",1544,"(+/- 645 )",1893,"(+/- 898 )",2086,"(+/- 1370 )",2552,"(+/- 1188 )",2473,"(+/- 841 )",1083,"(+/- 560 )",2552,"(+/- 828 )",2015,"(+/- 721 )"
People,Ancestry,German,101224,"(+/- 7628 )",81003,"(+/- 6121 )",52377,"(+/- 4552 )",57270,"(+/- 4335 )",73447,"(+/- 6162 )",106554,"(+/- 7268 )",93612,"(+/- 6364 )",86957,"(+/- 6659 )",60849,"(+/- 5333 )",114515,"(+/- 7591 )",75531,"(+/- 5280 )"
People,Ancestry,Greek,3594,"(+/- 1413 )",3338,"(+/- 1134 )",3164,"(+/- 1102 )",1683,"(+/- 541 )",1778,"(+/- 1026 )",1064,"(+/- 611 )",2894,"(+/- 933 )",5978,"(+/- 1833 )",750,"(+/- 495 )",5920,"(+/- 2003 )",3411,"(+/- 994 )"
People,Ancestry,Hungarian,2699,"(+/- 1212 )",1883,"(+/- 661 )",1077,"(+/- 619 )",2557,"(+/- 1183 )",2496,"(+/- 1035 )",2082,"(+/- 1038 )",1460,"(+/- 534 )",2363,"(+/- 753 )",706,"(+/- 489 )",4607,"(+/- 1498 )",2427,"(+/- 720 )"
People,Ancestry,Irish,88724,"(+/- 6523 )",79436,"(+/- 5254 )",51819,"(+/- 4962 )",53001,"(+/- 5114 )",66190,"(+/- 5965 )",70008,"(+/- 6244 )",85096,"(+/- 6674 )",81936,"(+/- 5509 )",61978,"(+/- 5372 )",99284,"(+/- 7367 )",63439,"(+/- 5750 )"
People,Ancestry,Italian,32340,"(+/- 4275 )",36543,"(+/- 4886 )",18525,"(+/- 2711 )",25163,"(+/- 3674 )",24866,"(+/- 3311 )",20354,"(+/- 2684 )",39455,"(+/- 4005 )",37571,"(+/- 3578 )",12731,"(+/- 2329 )",51739,"(+/- 5628 )",29787,"(+/- 3198 )"
People,Ancestry,Lithuanian,1012,"(+/- 598 )",1173,"(+/- 1207 )",450,"(+/- 278 )",1532,"(+/- 897 )",760,"(+/- 436 )",483,"(+/- 265 )",1150,"(+/- 703 )",1321,"(+/- 587 )",525,"(+/- 356 )",1912,"(+/- 774 )",1171,"(+/- 425 )"
People,Ancestry,Norwegian,4701,"(+/- 1500 )",3723,"(+/- 1260 )",5228,"(+/- 2228 )",2607,"(+/- 1092 )",4049,"(+/- 1320 )",3642,"(+/- 1049 )",3863,"(+/- 1345 )",6179,"(+/- 1203 )",2583,"(+/- 1258 )",6244,"(+/- 2154 )",5185,"(+/- 1145 )"
People,Ancestry,Polish,14427,"(+/- 2347 )",17989,"(+/- 2351 )",11931,"(+/- 2656 )",8882,"(+/- 1771 )",6767,"(+/- 1456 )",11044,"(+/- 2652 )",15611,"(+/- 3191 )",19078,"(+/- 2720 )",5619,"(+/- 1768 )",19135,"(+/- 3002 )",16859,"(+/- 2472 )"
People,Ancestry,Portuguese,2793,"(+/- 1294 )",559,"(+/- 398 )",1161,"(+/- 666 )",1187,"(+/- 723 )",832,"(+/- 570 )",1161,"(+/- 893 )",1467,"(+/- 748 )",2139,"(+/- 866 )",498,"(+/- 363 )",2460,"(+/- 1020 )",1813,"(+/- 956 )"
People,Ancestry,Russian,4058,"(+/- 1533 )",5050,"(+/- 1553 )",3283,"(+/- 1818 )",2141,"(+/- 875 )",2989,"(+/- 1323 )",3164,"(+/- 1323 )",4991,"(+/- 2001 )",8505,"(+/- 1705 )",1214,"(+/- 776 )",5705,"(+/- 1441 )",9000,"(+/- 1800 )"
People,Ancestry,Scotch-Irish,9129,"(+/- 2310 )",8719,"(+/- 1931 )",4201,"(+/- 1256 )",8900,"(+/- 2011 )",10376,"(+/- 1851 )",14012,"(+/- 2474 )",12168,"(+/- 2953 )",7994,"(+/- 1448 )",11531,"(+/- 2023 )",7510,"(+/- 1699 )",6269,"(+/- 1535 )"
People,Ancestry,Scottish,16987,"(+/- 3322 )",15035,"(+/- 2565 )",10761,"(+/- 2774 )",8729,"(+/- 1829 )",12645,"(+/- 2651 )",17684,"(+/- 3146 )",17255,"(+/- 2811 )",16255,"(+/- 2128 )",11823,"(+/- 1668 )",14308,"(+/- 2285 )",11000,"(+/- 2044 )"
People,Ancestry,Slovak,1479,"(+/- 658 )",1195,"(+/- 672 )",1326,"(+/- 1247 )",735,"(+/- 731 )",1062,"(+/- 720 )",1246,"(+/- 977 )",1317,"(+/- 582 )",1770,"(+/- 723 )",365,"(+/- 264 )",2613,"(+/- 932 )",1780,"(+/- 691 )"
People,Ancestry,"Subsaharan African",16856,"(+/- 3965 )",12441,"(+/- 3601 )",17487,"(+/- 3526 )",24964,"(+/- 5340 )",10103,"(+/- 2888 )",12411,"(+/- 3434 )",10282,"(+/- 3856 )",39872,"(+/- 6768 )",2716,"(+/- 1501 )",12417,"(+/- 3274 )",30597,"(+/- 5855 )"
People,Ancestry,Swedish,4250,"(+/- 1249 )",4815,"(+/- 1539 )",2388,"(+/- 740 )",2679,"(+/- 976 )",4859,"(+/- 1943 )",4467,"(+/- 1656 )",6454,"(+/- 2125 )",8620,"(+/- 1808 )",2127,"(+/- 867 )",8726,"(+/- 1886 )",5334,"(+/- 1206 )"
People,Ancestry,Swiss,1803,"(+/- 845 )",704,"(+/- 419 )",1345,"(+/- 637 )",2183,"(+/- 1515 )",1406,"(+/- 628 )",6769,"(+/- 2326 )",851,"(+/- 390 )",1943,"(+/- 640 )",1201,"(+/- 718 )",1941,"(+/- 769 )",2879,"(+/- 950 )"
People,Ancestry,Ukrainian,3070,"(+/- 1196 )",1871,"(+/- 1051 )",1003,"(+/- 577 )",879,"(+/- 476 )",1848,"(+/- 1188 )",1287,"(+/- 740 )",984,"(+/- 419 )",2839,"(+/- 1158 )",428,"(+/- 296 )",2131,"(+/- 967 )",2842,"(+/- 1329 )"
People,Ancestry,Welsh,6680,"(+/- 2016 )",4713,"(+/- 1271 )",2507,"(+/- 890 )",4095,"(+/- 1257 )",3274,"(+/- 821 )",4721,"(+/- 1508 )",6214,"(+/- 1621 )",5164,"(+/- 1199 )",2589,"(+/- 992 )",4723,"(+/- 1355 )",4679,"(+/- 1352 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",5272,"(+/- 1962 )",6000,"(+/- 2637 )",8577,"(+/- 2609 )",3286,"(+/- 1147 )",724,"(+/- 502 )",1332,"(+/- 593 )",4149,"(+/- 1850 )",4287,"(+/- 1463 )",535,"(+/- 321 )",4650,"(+/- 2595 )",6950,"(+/- 2469 )"
People,"Veteran Status","Civilian population 18 years and over",631504,"(+/- 8645 )",535483,"(+/- 5830 )",557755,"(+/- 7728 )",611679,"(+/- 10457 )",599406,"(+/- 4955 )",608719,"(+/- 3599 )",637734,"(+/- 9132 )",608906,"(+/- 9723 )",565702,"(+/- 3957 )",661399,"(+/- 9141 )",606080,"(+/- 13500 )"
People,"Veteran Status","Civilian veterans",79430,"(+/- 4171 )",84592,"(+/- 4631 )",79477,"(+/- 4670 )",57483,"(+/- 3761 )",49630,"(+/- 3174 )",49644,"(+/- 3947 )",52675,"(+/- 3676 )",49637,"(+/- 3312 )",37685,"(+/- 3113 )",52298,"(+/- 3636 )",48593,"(+/- 3259 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",814654,"(+/- 12656 )",692033,"(+/- 8069 )",722311,"(+/- 9465 )",753722,"(+/- 12408 )",728684,"(+/- 7030 )",753349,"(+/- 5294 )",819630,"(+/- 11542 )",771235,"(+/- 13211 )",675443,"(+/- 5358 )",887605,"(+/- 12498 )",794092,"(+/- 18039 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",89972,"(+/- 4942 )",93900,"(+/- 5499 )",104849,"(+/- 6024 )",114803,"(+/- 6078 )",104898,"(+/- 4672 )",103079,"(+/- 5443 )",94960,"(+/- 5907 )",63026,"(+/- 4031 )",137282,"(+/- 5365 )",73085,"(+/- 4540 )",65192,"(+/- 4409 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",191325,"(+/- 5889 )",160125,"(+/- 4243 )",170603,"(+/- 4668 )",159650,"(+/- 6049 )",142429,"(+/- 3878 )",153255,"(+/- 2962 )",189878,"(+/- 5476 )",165029,"(+/- 6093 )",125455,"(+/- 2973 )",231061,"(+/- 5759 )",190063,"(+/- 7572 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8130,"(+/- 1556 )",9872,"(+/- 1768 )",9620,"(+/- 1776 )",10246,"(+/- 1844 )",7488,"(+/- 1744 )",7953,"(+/- 1809 )",8344,"(+/- 1870 )",5436,"(+/- 1233 )",8113,"(+/- 1339 )",8171,"(+/- 1974 )",7247,"(+/- 1598 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",489202,"(+/- 9485 )",411981,"(+/- 5890 )",444862,"(+/- 7313 )",474060,"(+/- 9680 )",433027,"(+/- 5272 )",459596,"(+/- 3866 )",487651,"(+/- 8723 )",503791,"(+/- 9500 )",402220,"(+/- 4703 )",541704,"(+/- 8417 )",500827,"(+/- 12973 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44393,"(+/- 4000 )",46179,"(+/- 3932 )",55983,"(+/- 4400 )",62681,"(+/- 4945 )",48786,"(+/- 3264 )",50931,"(+/- 3746 )",45094,"(+/- 3574 )",29754,"(+/- 2894 )",70079,"(+/- 4202 )",34155,"(+/- 3033 )",33490,"(+/- 3355 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",134127,"(+/- 2608 )",119927,"(+/- 2537 )",106846,"(+/- 3046 )",120012,"(+/- 3467 )",153228,"(+/- 3147 )",140498,"(+/- 2511 )",142101,"(+/- 3637 )",102415,"(+/- 2921 )",147768,"(+/- 2375 )",114840,"(+/- 3299 )",103202,"(+/- 3542 )"
