Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39836,"(+/- 2759 )",45113,"(+/- 2599 )",40837,"(+/- 2908 )",41114,"(+/- 2355 )"
People,"Residence 1 Year Ago","Population 1 year and over",768134,"(+/- 1995 )",776656,"(+/- 2235 )",859390,"(+/- 2219 )",755492,"(+/- 2248 )"
People,"Residence 1 Year Ago","Same house",678503,"(+/- 6456 )",666276,"(+/- 8161 )",727933,"(+/- 9514 )",652705,"(+/- 6574 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",89631,"(+/- 6427 )",110380,"(+/- 8380 )",131457,"(+/- 9642 )",102787,"(+/- 6480 )"
People,"Residence 1 Year Ago","Different house in the U.S.",88024,"(+/- 6386 )",107200,"(+/- 8346 )",129037,"(+/- 9503 )",100356,"(+/- 6291 )"
People,"Residence 1 Year Ago","Same county",47902,"(+/- 4998 )",62303,"(+/- 6860 )",68051,"(+/- 7204 )",49350,"(+/- 5292 )"
People,"Residence 1 Year Ago","Different county",40122,"(+/- 4051 )",44897,"(+/- 4320 )",60986,"(+/- 6831 )",51006,"(+/- 3957 )"
People,"Residence 1 Year Ago","Same state",25270,"(+/- 3625 )",27191,"(+/- 3799 )",36799,"(+/- 4704 )",30506,"(+/- 2880 )"
People,"Residence 1 Year Ago","Different state",14852,"(+/- 2337 )",17706,"(+/- 2739 )",24187,"(+/- 5345 )",20500,"(+/- 2786 )"
People,"Residence 1 Year Ago",Abroad,1607,"(+/- 1099 )",3180,"(+/- 1474 )",2420,"(+/- 1189 )",2431,"(+/- 941 )"
Workers,"Employment Status","Population 16 years and over",621533,"(+/- 2192 )",628931,"(+/- 2471 )",679727,"(+/- 2189 )",613334,"(+/- 2146 )"
Workers,"Employment Status","In labor force",406205,"(+/- 5086 )",407687,"(+/- 4793 )",469433,"(+/- 5001 )",397762,"(+/- 5725 )"
Workers,"Employment Status","Civilian labor force",406027,"(+/- 5090 )",406604,"(+/- 4741 )",467036,"(+/- 5257 )",397064,"(+/- 5737 )"
Workers,"Employment Status",Employed,390641,"(+/- 5329 )",390532,"(+/- 5082 )",450380,"(+/- 5264 )",384980,"(+/- 5958 )"
Workers,"Employment Status",Unemployed,15386,"(+/- 2125 )",16072,"(+/- 2187 )",16656,"(+/- 2249 )",12084,"(+/- 1514 )"
Workers,"Employment Status","Armed Forces",178,"(+/- 129 )",1083,"(+/- 548 )",2397,"(+/- 1322 )",698,"(+/- 521 )"
Workers,"Employment Status","Not in labor force",215328,"(+/- 4659 )",221244,"(+/- 4566 )",210294,"(+/- 5319 )",215572,"(+/- 5499 )"
Workers,"Employment Status","Civilian labor force",406027,"(+/- 5090 )",406604,"(+/- 4741 )",467036,"(+/- 5257 )",397064,"(+/- 5737 )"
Workers,"Employment Status","Unemployment Rate",3.8,"(+/- 0.5 )",4.0,"(+/- 0.5 )",3.6,"(+/- 0.5 )",3.0,"(+/- 0.4 )"
Workers,"Commuting to Work","Workers 16 years and over",384936,"(+/- 5463 )",382371,"(+/- 5297 )",443532,"(+/- 4998 )",377283,"(+/- 5764 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",290176,"(+/- 6384 )",287978,"(+/- 6488 )",308805,"(+/- 7519 )",294914,"(+/- 5848 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",24933,"(+/- 2539 )",29339,"(+/- 3160 )",35291,"(+/- 4161 )",28925,"(+/- 2667 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1354,"(+/- 767 )",2899,"(+/- 1110 )",1203,"(+/- 629 )",2271,"(+/- 888 )"
Workers,"Commuting to Work",Walked,11931,"(+/- 1644 )",13236,"(+/- 2124 )",7546,"(+/- 1569 )",12198,"(+/- 1750 )"
Workers,"Commuting to Work","Other means",5044,"(+/- 1487 )",5885,"(+/- 1156 )",7627,"(+/- 1704 )",3261,"(+/- 750 )"
Workers,"Commuting to Work","Worked from home",51498,"(+/- 3517 )",43034,"(+/- 3601 )",83060,"(+/- 6601 )",35714,"(+/- 2868 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.4,"(+/- 0.6 )",21.1,"(+/- 0.6 )",20.0,"(+/- 0.5 )",18.4,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",390641,"(+/- 5329 )",390532,"(+/- 5082 )",450380,"(+/- 5264 )",384980,"(+/- 5958 )"
Workers,Occupation,"Management, business, science, and arts occupations",150264,"(+/- 5445 )",151729,"(+/- 5292 )",191904,"(+/- 6346 )",136916,"(+/- 4236 )"
Workers,Occupation,"Service occupations",58924,"(+/- 3524 )",57841,"(+/- 4096 )",64600,"(+/- 4508 )",58587,"(+/- 3582 )"
Workers,Occupation,"Sales and office occupations",73610,"(+/- 3481 )",75672,"(+/- 4182 )",93974,"(+/- 5093 )",75111,"(+/- 4377 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",37846,"(+/- 2793 )",38162,"(+/- 3626 )",37938,"(+/- 3520 )",42157,"(+/- 3007 )"
Workers,Occupation,"Production, transportation, and material moving occupations",69997,"(+/- 3475 )",67128,"(+/- 3865 )",61964,"(+/- 3817 )",72209,"(+/- 3550 )"
Workers,Industry,"Civilian employed population 16 years and over",390641,"(+/- 5329 )",390532,"(+/- 5082 )",450380,"(+/- 5264 )",384980,"(+/- 5958 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",15007,"(+/- 1844 )",11004,"(+/- 1550 )",10467,"(+/- 1756 )",24332,"(+/- 2043 )"
Workers,Industry,Construction,26321,"(+/- 2523 )",25988,"(+/- 2580 )",30421,"(+/- 3296 )",27458,"(+/- 2671 )"
Workers,Industry,Manufacturing,70925,"(+/- 4344 )",65872,"(+/- 4285 )",46417,"(+/- 3915 )",60046,"(+/- 3273 )"
Workers,Industry,"Wholesale trade",10621,"(+/- 1603 )",8907,"(+/- 1457 )",10272,"(+/- 1705 )",12513,"(+/- 1646 )"
Workers,Industry,"Retail trade",42686,"(+/- 3192 )",49414,"(+/- 3218 )",56708,"(+/- 4153 )",43801,"(+/- 3095 )"
Workers,Industry,"Transportation and warehousing, and utilities",17535,"(+/- 1824 )",20258,"(+/- 2683 )",24076,"(+/- 2525 )",19524,"(+/- 2072 )"
Workers,Industry,Information,5855,"(+/- 1519 )",5233,"(+/- 1183 )",6821,"(+/- 1501 )",4525,"(+/- 902 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",24432,"(+/- 2580 )",23194,"(+/- 2300 )",59989,"(+/- 5168 )",19303,"(+/- 1602 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",31120,"(+/- 2913 )",24424,"(+/- 2603 )",42772,"(+/- 3895 )",23386,"(+/- 2426 )"
Workers,Industry,"Educational services, and health care and social assistance",93535,"(+/- 3938 )",99754,"(+/- 4857 )",94934,"(+/- 4723 )",97690,"(+/- 4250 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",25651,"(+/- 2573 )",26010,"(+/- 2474 )",31856,"(+/- 3888 )",23196,"(+/- 2553 )"
Workers,Industry,"Other services, except public administration",16526,"(+/- 1929 )",17170,"(+/- 2395 )",17967,"(+/- 2204 )",15951,"(+/- 1592 )"
Workers,Industry,"Public administration",10427,"(+/- 1393 )",13304,"(+/- 1629 )",17680,"(+/- 2199 )",13255,"(+/- 1762 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",390641,"(+/- 5329 )",390532,"(+/- 5082 )",450380,"(+/- 5264 )",384980,"(+/- 5958 )"
Workers,"Class of Worker","Private wage and salary workers",314671,"(+/- 6351 )",304098,"(+/- 5972 )",367167,"(+/- 5955 )",292226,"(+/- 6731 )"
Workers,"Class of Worker","Government workers",49056,"(+/- 3100 )",63396,"(+/- 3959 )",58654,"(+/- 3398 )",61899,"(+/- 3580 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",26073,"(+/- 2456 )",22622,"(+/- 2494 )",23718,"(+/- 2722 )",30206,"(+/- 2557 )"
Workers,"Class of Worker","Unpaid family workers",841,"(+/- 383 )",416,"(+/- 224 )",841,"(+/- 468 )",649,"(+/- 340 )"
Housing,"Housing Occupancy","Total housing units",348567,"(+/- 1132 )",351380,"(+/- 1176 )",376588,"(+/- 1231 )",349504,"(+/- 1240 )"
Housing,"Housing Occupancy","Occupied housing units",318625,"(+/- 3342 )",317583,"(+/- 3385 )",352077,"(+/- 3242 )",312182,"(+/- 3148 )"
Housing,"Housing Occupancy","Vacant housing units",29942,"(+/- 3116 )",33797,"(+/- 3423 )",24511,"(+/- 3001 )",37322,"(+/- 2777 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,"(+/- 0.4 )",1.0,"(+/- 0.3 )",0.6,"(+/- 0.2 )",0.7,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.6,"(+/- 1.6 )",4.6,"(+/- 1.6 )",5.7,"(+/- 1.3 )",4.4,"(+/- 1.1 )"
Housing,"Housing Tenure","Occupied housing units",318625,"(+/- 3342 )",317583,"(+/- 3385 )",352077,"(+/- 3242 )",312182,"(+/- 3148 )"
Housing,"Housing Tenure",Owner-occupied,238524,"(+/- 4198 )",224171,"(+/- 4294 )",244600,"(+/- 4501 )",227816,"(+/- 3931 )"
Housing,"Housing Tenure",Renter-occupied,80101,"(+/- 3692 )",93412,"(+/- 3992 )",107477,"(+/- 4308 )",84366,"(+/- 3684 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.48,"(+/- 0.03 )",2.55,"(+/- 0.03 )",2.62,"(+/- 0.03 )",2.45,"(+/- 0.03 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.01,"(+/- 0.07 )",2.06,"(+/- 0.07 )",1.94,"(+/- 0.07 )",2.09,"(+/- 0.06 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",318625,"(+/- 3342 )",317583,"(+/- 3385 )",352077,"(+/- 3242 )",312182,"(+/- 3148 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",78900,"(+/- 4103 )",83680,"(+/- 3988 )",106446,"(+/- 4773 )",73847,"(+/- 3039 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",63579,"(+/- 3576 )",64663,"(+/- 3971 )",84502,"(+/- 4639 )",59228,"(+/- 2958 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",43680,"(+/- 2866 )",40658,"(+/- 2833 )",42203,"(+/- 3739 )",40860,"(+/- 2578 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",58809,"(+/- 3299 )",58631,"(+/- 2966 )",58825,"(+/- 3209 )",56574,"(+/- 3081 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",34147,"(+/- 2476 )",33923,"(+/- 2696 )",29181,"(+/- 2284 )",37056,"(+/- 2337 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",39510,"(+/- 2398 )",36028,"(+/- 2448 )",30920,"(+/- 2243 )",44617,"(+/- 1918 )"
Housing,Value,"Owner-occupied units",238524,"(+/- 4198 )",224171,"(+/- 4294 )",244600,"(+/- 4501 )",227816,"(+/- 3931 )"
Housing,Value,"Less than $50,000",15829,"(+/- 1825 )",20735,"(+/- 1744 )",11632,"(+/- 1678 )",21610,"(+/- 1787 )"
Housing,Value,"$50,000 to $99,999",31940,"(+/- 2233 )",36845,"(+/- 2273 )",21209,"(+/- 2022 )",47115,"(+/- 2440 )"
Housing,Value,"$100,000 to $149,999",46513,"(+/- 2527 )",38535,"(+/- 2309 )",33038,"(+/- 2802 )",42898,"(+/- 2404 )"
Housing,Value,"$150,000 to $199,999",48371,"(+/- 3028 )",35610,"(+/- 2605 )",43163,"(+/- 3266 )",38402,"(+/- 2348 )"
Housing,Value,"$200,000 to $299,999",52234,"(+/- 3032 )",44992,"(+/- 2820 )",64063,"(+/- 3662 )",43216,"(+/- 2498 )"
Housing,Value,"$300,000 to $499,999",33014,"(+/- 2562 )",36184,"(+/- 2581 )",55069,"(+/- 3568 )",25461,"(+/- 2137 )"
Housing,Value,"$500,000 to $999,999",8892,"(+/- 1698 )",9883,"(+/- 1789 )",14652,"(+/- 1811 )",7827,"(+/- 1375 )"
Housing,Value,"$1,000,000 or more",1731,"(+/- 575 )",1387,"(+/- 544 )",1774,"(+/- 591 )",1287,"(+/- 472 )"
Housing,Value,"Median (dollars)",169700,"(+/- 2617 )",169200,"(+/- 3648 )",219400,"(+/- 4813 )",152400,"(+/- 3345 )"
Housing,"Mortgage Status","Owner-occupied units",238524,"(+/- 4198 )",224171,"(+/- 4294 )",244600,"(+/- 4501 )",227816,"(+/- 3931 )"
Housing,"Mortgage Status","Housing units with a mortgage",144439,"(+/- 4394 )",134001,"(+/- 4143 )",161714,"(+/- 4926 )",122700,"(+/- 4085 )"
Housing,"Mortgage Status","Housing units without a mortgage",94085,"(+/- 3412 )",90170,"(+/- 3678 )",82886,"(+/- 3612 )",105116,"(+/- 3180 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",144439,"(+/- 4394 )",134001,"(+/- 4143 )",161714,"(+/- 4926 )",122700,"(+/- 4085 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1991,"(+/- 586 )",1674,"(+/- 586 )",1634,"(+/- 680 )",2129,"(+/- 480 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",36045,"(+/- 2742 )",34500,"(+/- 2333 )",23514,"(+/- 2186 )",40524,"(+/- 2322 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",55305,"(+/- 3241 )",44131,"(+/- 3251 )",57630,"(+/- 4082 )",45519,"(+/- 2780 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",29944,"(+/- 2072 )",28586,"(+/- 2317 )",41903,"(+/- 3235 )",19515,"(+/- 2025 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",11636,"(+/- 1588 )",14108,"(+/- 1726 )",20681,"(+/- 2809 )",8728,"(+/- 1290 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4313,"(+/- 1013 )",4554,"(+/- 973 )",8103,"(+/- 1841 )",3199,"(+/- 767 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",5205,"(+/- 1341 )",6448,"(+/- 1304 )",8249,"(+/- 1289 )",3086,"(+/- 922 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1280,"(+/- 27 )",1325,"(+/- 32 )",1484,"(+/- 28 )",1174,"(+/- 18 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",94085,"(+/- 3412 )",90170,"(+/- 3678 )",82886,"(+/- 3612 )",105116,"(+/- 3180 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",5102,"(+/- 879 )",6751,"(+/- 956 )",4643,"(+/- 834 )",9333,"(+/- 1131 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",16976,"(+/- 1944 )",16705,"(+/- 1864 )",12055,"(+/- 1579 )",27816,"(+/- 1926 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",37326,"(+/- 2513 )",35101,"(+/- 2209 )",26673,"(+/- 2535 )",39561,"(+/- 2489 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",20622,"(+/- 1976 )",18642,"(+/- 2010 )",20280,"(+/- 1763 )",17239,"(+/- 1486 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",8545,"(+/- 1378 )",7431,"(+/- 1284 )",10884,"(+/- 1561 )",5995,"(+/- 1015 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",5514,"(+/- 1597 )",5540,"(+/- 1177 )",8351,"(+/- 1427 )",5172,"(+/- 924 )"
