Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,Ancestry,Hungarian,1626,"(+/- 798 )",1499,"(+/- 839 )"
People,Ancestry,Irish,143576,"(+/- 9114 )",129145,"(+/- 7053 )"
People,Ancestry,Italian,68209,"(+/- 6199 )",59997,"(+/- 5917 )"
People,Ancestry,Lithuanian,3261,"(+/- 1134 )",2874,"(+/- 1352 )"
People,Ancestry,Norwegian,5631,"(+/- 1368 )",5303,"(+/- 1398 )"
People,Ancestry,Polish,27909,"(+/- 3351 )",25062,"(+/- 4003 )"
People,Ancestry,Portuguese,10263,"(+/- 2394 )",7368,"(+/- 2300 )"
People,Ancestry,Russian,6335,"(+/- 1956 )",7173,"(+/- 1900 )"
People,Ancestry,Scotch-Irish,8471,"(+/- 2531 )",5538,"(+/- 1174 )"
People,Ancestry,Scottish,22653,"(+/- 2936 )",27563,"(+/- 3562 )"
People,Ancestry,Slovak,646,"(+/- 403 )",1041,"(+/- 709 )"
People,Ancestry,"Subsaharan African",5601,"(+/- 2092 )",2732,"(+/- 1438 )"
People,Ancestry,Swedish,10379,"(+/- 2191 )",9928,"(+/- 1926 )"
People,Ancestry,Swiss,1528,"(+/- 776 )",1490,"(+/- 773 )"
People,Ancestry,Ukrainian,2060,"(+/- 932 )",2374,"(+/- 1128 )"
People,Ancestry,Welsh,4840,"(+/- 1572 )",3411,"(+/- 1096 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",5413,"(+/- 2428 )",2317,"(+/- 1068 )"
People,"Veteran Status","Civilian population 18 years and over",575826,"(+/- 5240 )",554524,"(+/- 5398 )"
People,"Veteran Status","Civilian veterans",42301,"(+/- 3435 )",45303,"(+/- 2410 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",700694,"(+/- 6028 )",672224,"(+/- 6237 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",83503,"(+/- 5054 )",84431,"(+/- 4711 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",130504,"(+/- 3312 )",125386,"(+/- 3324 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5823,"(+/- 1314 )",5939,"(+/- 1397 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",443605,"(+/- 5264 )",412404,"(+/- 5562 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42383,"(+/- 3773 )",42389,"(+/- 3214 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",126585,"(+/- 3731 )",134434,"(+/- 3896 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",35297,"(+/- 2775 )",36103,"(+/- 2542 )"
People,"Residence 1 Year Ago","Population 1 year and over",702661,"(+/- 6247 )",674977,"(+/- 5978 )"
People,"Residence 1 Year Ago","Same house",623006,"(+/- 9694 )",600833,"(+/- 9413 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",79655,"(+/- 7374 )",74144,"(+/- 7601 )"
People,"Residence 1 Year Ago","Different house in the U.S.",78248,"(+/- 7318 )",72260,"(+/- 7546 )"
People,"Residence 1 Year Ago","Same county",34951,"(+/- 4982 )",32988,"(+/- 5030 )"
People,"Residence 1 Year Ago","Different county",43297,"(+/- 5040 )",39272,"(+/- 5597 )"
People,"Residence 1 Year Ago","Same state",16499,"(+/- 3121 )",12825,"(+/- 2266 )"
People,"Residence 1 Year Ago","Different state",26798,"(+/- 3901 )",26447,"(+/- 5088 )"
People,"Residence 1 Year Ago",Abroad,1407,"(+/- 787 )",1884,"(+/- 942 )"
Workers,"Employment Status","Population 16 years and over",593328,"(+/- 5661 )",570925,"(+/- 5376 )"
Workers,"Employment Status","In labor force",405696,"(+/- 6576 )",370365,"(+/- 6688 )"
Workers,"Employment Status","Civilian labor force",403742,"(+/- 6527 )",369931,"(+/- 6724 )"
Workers,"Employment Status",Employed,390238,"(+/- 7000 )",355512,"(+/- 7010 )"
Workers,"Employment Status",Unemployed,13504,"(+/- 2493 )",14419,"(+/- 2032 )"
Workers,"Employment Status","Armed Forces",1954,"(+/- 1021 )",434,"(+/- 364 )"
Workers,"Employment Status","Not in labor force",187632,"(+/- 6010 )",200560,"(+/- 5960 )"
Workers,"Employment Status","Civilian labor force",403742,"(+/- 6527 )",369931,"(+/- 6724 )"
Workers,"Employment Status","Unemployment Rate",3.3,"(+/- 0.6 )",3.9,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",384614,"(+/- 7485 )",348515,"(+/- 7323 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",265126,"(+/- 8008 )",247742,"(+/- 8104 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",26172,"(+/- 3250 )",24868,"(+/- 2793 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1259,"(+/- 595 )",1271,"(+/- 692 )"
Workers,"Commuting to Work",Walked,6998,"(+/- 1421 )",8824,"(+/- 1603 )"
Workers,"Commuting to Work","Other means",4950,"(+/- 1713 )",4111,"(+/- 977 )"
Workers,"Commuting to Work","Worked from home",80109,"(+/- 5436 )",61699,"(+/- 4359 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.0,"(+/- 0.7 )",25.4,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",390238,"(+/- 7000 )",355512,"(+/- 7010 )"
Workers,Occupation,"Management, business, science, and arts occupations",176026,"(+/- 6664 )",155296,"(+/- 5621 )"
Workers,Occupation,"Service occupations",50007,"(+/- 4477 )",53358,"(+/- 4366 )"
Workers,Occupation,"Sales and office occupations",84032,"(+/- 5095 )",69598,"(+/- 4174 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",33804,"(+/- 3463 )",31328,"(+/- 3196 )"
Workers,Occupation,"Production, transportation, and material moving occupations",46369,"(+/- 3873 )",45932,"(+/- 3882 )"
Workers,Industry,"Civilian employed population 16 years and over",390238,"(+/- 7000 )",355512,"(+/- 7010 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1924,"(+/- 963 )",2813,"(+/- 811 )"
Workers,Industry,Construction,26089,"(+/- 3124 )",27256,"(+/- 2964 )"
Workers,Industry,Manufacturing,48427,"(+/- 3853 )",45115,"(+/- 3624 )"
Workers,Industry,"Wholesale trade",6683,"(+/- 1303 )",9623,"(+/- 1482 )"
Workers,Industry,"Retail trade",45147,"(+/- 4201 )",44659,"(+/- 3907 )"
Workers,Industry,"Transportation and warehousing, and utilities",17556,"(+/- 2390 )",12696,"(+/- 1592 )"
Workers,Industry,Information,7989,"(+/- 1694 )",7394,"(+/- 1610 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",28232,"(+/- 2770 )",19338,"(+/- 2669 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",52138,"(+/- 4019 )",39683,"(+/- 3514 )"
Workers,Industry,"Educational services, and health care and social assistance",94392,"(+/- 4879 )",94174,"(+/- 4807 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",29539,"(+/- 3294 )",24696,"(+/- 2580 )"
Workers,Industry,"Other services, except public administration",15150,"(+/- 2231 )",12548,"(+/- 1773 )"
Workers,Industry,"Public administration",16972,"(+/- 2540 )",15517,"(+/- 2011 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",390238,"(+/- 7000 )",355512,"(+/- 7010 )"
Workers,"Class of Worker","Private wage and salary workers",311947,"(+/- 7562 )",286653,"(+/- 7676 )"
Workers,"Class of Worker","Government workers",54306,"(+/- 4147 )",48004,"(+/- 3227 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",23139,"(+/- 2574 )",19341,"(+/- 2215 )"
Workers,"Class of Worker","Unpaid family workers",846,"(+/- 620 )",1514,"(+/- 932 )"
Housing,"Housing Occupancy","Total housing units",328356,"(+/- 3419 )",315623,"(+/- 3435 )"
Housing,"Housing Occupancy","Occupied housing units",285096,"(+/- 4832 )",262930,"(+/- 4215 )"
Housing,"Housing Occupancy","Vacant housing units",43260,"(+/- 3565 )",52693,"(+/- 3388 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.3,"(+/- 0.2 )",0.5,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",3.9,"(+/- 1.3 )",2.3,"(+/- 0.9 )"
Housing,"Housing Tenure","Occupied housing units",285096,"(+/- 4832 )",262930,"(+/- 4215 )"
Housing,"Housing Tenure",Owner-occupied,204928,"(+/- 4137 )",192297,"(+/- 4419 )"
Housing,"Housing Tenure",Renter-occupied,80168,"(+/- 4329 )",70633,"(+/- 4321 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.55,"(+/- 0.05 )",2.68,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.07,"(+/- 0.07 )",2.05,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",285096,"(+/- 4832 )",262930,"(+/- 4215 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",65927,"(+/- 4255 )",60097,"(+/- 4200 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",68678,"(+/- 4408 )",52849,"(+/- 3256 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",38667,"(+/- 2870 )",32661,"(+/- 2768 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",53580,"(+/- 3484 )",50985,"(+/- 2939 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",30511,"(+/- 2568 )",29908,"(+/- 2564 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",27733,"(+/- 2693 )",36430,"(+/- 2315 )"
Housing,Value,"Owner-occupied units",204928,"(+/- 4137 )",192297,"(+/- 4419 )"
Housing,Value,"Less than $50,000",6673,"(+/- 1384 )",8103,"(+/- 1232 )"
Housing,Value,"$50,000 to $99,999",3592,"(+/- 1018 )",7540,"(+/- 1233 )"
Housing,Value,"$100,000 to $149,999",6049,"(+/- 1189 )",9566,"(+/- 1498 )"
Housing,Value,"$150,000 to $199,999",11390,"(+/- 1929 )",17714,"(+/- 1849 )"
Housing,Value,"$200,000 to $299,999",38704,"(+/- 3108 )",45242,"(+/- 2699 )"
Housing,Value,"$300,000 to $499,999",87823,"(+/- 4587 )",73328,"(+/- 3162 )"
Housing,Value,"$500,000 to $999,999",44546,"(+/- 2995 )",28470,"(+/- 2416 )"
Housing,Value,"$1,000,000 or more",6151,"(+/- 1324 )",2334,"(+/- 683 )"
Housing,Value,"Median (dollars)",366500,"(+/- 5256 )",318500,"(+/- 5914 )"
Housing,"Mortgage Status","Owner-occupied units",204928,"(+/- 4137 )",192297,"(+/- 4419 )"
Housing,"Mortgage Status","Housing units with a mortgage",133260,"(+/- 4710 )",116575,"(+/- 4333 )"
Housing,"Mortgage Status","Housing units without a mortgage",71668,"(+/- 4130 )",75722,"(+/- 3241 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",133260,"(+/- 4710 )",116575,"(+/- 4333 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",576,"(+/- 280 )",994,"(+/- 404 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",6888,"(+/- 1398 )",6032,"(+/- 1050 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",18991,"(+/- 2331 )",23908,"(+/- 2257 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",34894,"(+/- 3166 )",32162,"(+/- 2495 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",31265,"(+/- 2765 )",23757,"(+/- 2571 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",20700,"(+/- 2826 )",13639,"(+/- 1735 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",19946,"(+/- 2388 )",16083,"(+/- 1890 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",2084,"(+/- 52 )",1923,"(+/- 37 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",71668,"(+/- 4130 )",75722,"(+/- 3241 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",2808,"(+/- 880 )",1185,"(+/- 473 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",2177,"(+/- 683 )",4589,"(+/- 806 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",10225,"(+/- 1805 )",10590,"(+/- 1396 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",14419,"(+/- 2135 )",18477,"(+/- 1850 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",15027,"(+/- 1955 )",17059,"(+/- 1904 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",27012,"(+/- 2479 )",23822,"(+/- 2395 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",899,"(+/- 28 )",832,"(+/- 19 )"
Housing,"Gross Rent","Occupied units paying rent",76714,"(+/- 4254 )",67757,"(+/- 4199 )"
Housing,"Gross Rent","Less than $500",5419,"(+/- 1166 )",6269,"(+/- 1218 )"
Housing,"Gross Rent","$500 to $999",13639,"(+/- 2505 )",16192,"(+/- 2047 )"
Housing,"Gross Rent","$1,000 to $1,499",28160,"(+/- 3163 )",24468,"(+/- 3269 )"
Housing,"Gross Rent","$1,500 to $1,999",20259,"(+/- 2242 )",15126,"(+/- 2152 )"
Housing,"Gross Rent","$2,000 to $2,499",6552,"(+/- 1487 )",3930,"(+/- 1240 )"
Housing,"Gross Rent","$2,500 to $2,999",1121,"(+/- 524 )",597,"(+/- 454 )"
Housing,"Gross Rent","$3,000 or more",1564,"(+/- 728 )",1175,"(+/- 590 )"
Housing,"Gross Rent","Median (dollars)",1316,"(+/- 44 )",1213,"(+/- 38 )"
Housing,"Gross Rent","No rent paid",3454,"(+/- 1042 )",2876,"(+/- 625 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",285096,"(+/- 4832 )",262930,"(+/- 4215 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",8084,"(+/- 1344 )",9151,"(+/- 1353 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",8193,"(+/- 1756 )",7333,"(+/- 1269 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",13228,"(+/- 1987 )",16920,"(+/- 1913 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",16828,"(+/- 1911 )",18529,"(+/- 2306 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",25341,"(+/- 2750 )",27197,"(+/- 2784 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",44454,"(+/- 3345 )",40760,"(+/- 3310 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",38413,"(+/- 3562 )",31628,"(+/- 2483 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",63016,"(+/- 3847 )",53580,"(+/- 3333 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",34871,"(+/- 2856 )",28362,"(+/- 2195 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",32668,"(+/- 2611 )",29470,"(+/- 2372 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",92065,"(+/- 2889 )",83874,"(+/- 3643 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",113220,"(+/- 2713 )",110485,"(+/- 3855 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",700694,"(+/- 6028 )",672224,"(+/- 6237 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",665048,"(+/- 6982 )",637359,"(+/- 7509 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",542944,"(+/- 9919 )",508425,"(+/- 10262 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",217513,"(+/- 8433 )",230503,"(+/- 6552 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",35646,"(+/- 4918 )",34865,"(+/- 4731 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",138899,"(+/- 3782 )",134530,"(+/- 3416 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",5761,"(+/- 2013 )",5058,"(+/- 1420 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",4.3,"(+/- 0.7 )",5.3,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.9,"(+/- 1.6 )",9.5,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",7.4,"(+/- 5.1 )",3.7,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",1.8,"(+/- 0.6 )",2.8,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",1.7,"(+/- 0.8 )",3.0,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.5,"(+/- 2.2 )",0.0,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",16.2,"(+/- 3.8 )",16.4,"(+/- 4.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",25.9,"(+/- 5.8 )",26.5,"(+/- 7.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",27.7,"(+/- 15.2 )",22.8,"(+/- 14.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",6.4,"(+/- 0.7 )",8.1,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",7.9,"(+/- 1.8 )",10.5,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",7.3,"(+/- 1.8 )",10.4,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",8.6,"(+/- 3.1 )",9.0,"(+/- 3.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",6.8,"(+/- 2.0 )",10.8,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",6.0,"(+/- 0.6 )",7.5,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.9,"(+/- 1.1 )",6.8,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",3.9,"(+/- 0.7 )",5.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",15.7,"(+/- 1.9 )",18.3,"(+/- 1.8 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",151305,"(+/- 5239 )",142436,"(+/- 5062 )"
Education,"School Enrollment","Nursery school, preschool",8054,"(+/- 1625 )",5981,"(+/- 1102 )"
Education,"School Enrollment",Kindergarten,6397,"(+/- 1099 )",6371,"(+/- 1194 )"
Education,"School Enrollment","Elementary school (grades 1-8)",58631,"(+/- 2586 )",57155,"(+/- 2802 )"
Education,"School Enrollment","High school (grades 9-12)",31286,"(+/- 2726 )",32965,"(+/- 2257 )"
Education,"School Enrollment","College or graduate school",46937,"(+/- 3222 )",39964,"(+/- 3477 )"
Education,"Educational Attainment","Population 25 years and over",514070,"(+/- 5166 )",494248,"(+/- 5131 )"
Education,"Educational Attainment","Less than 9th grade",10809,"(+/- 2216 )",10329,"(+/- 1958 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",15926,"(+/- 2202 )",19016,"(+/- 2274 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",123817,"(+/- 6411 )",144087,"(+/- 5814 )"
Education,"Educational Attainment","Some college, no degree",94423,"(+/- 5024 )",84834,"(+/- 4867 )"
Education,"Educational Attainment","Associate's degree",50980,"(+/- 3861 )",48282,"(+/- 3428 )"
Education,"Educational Attainment","Bachelor's degree",138290,"(+/- 7081 )",109066,"(+/- 5592 )"
Education,"Educational Attainment","Graduate or professional degree",79825,"(+/- 4316 )",78634,"(+/- 4707 )"
Education,"Educational Attainment","Percent high school graduate or higher",94.8,"(+/- 0.6 )",94.1,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",42.4,"(+/- 1.4 )",38.0,"(+/- 1.3 )"

"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
