,Handle,Type,Gender,FirstName,LastName,Age,Party,Experience,State,District,City
126,RepDanBishop,Representative,M,Dan,Bishop,58,R,"North Carolina Senate
North Carolina House of Representatives
Mecklenburg County Commission",NC,9,
127,SanfordBishop,Representative,M,Sanford,Bishop,75,D,"Georgia Senate
Georgia House of Representatives",GA,2,
128,repblumenauer,Representative,M,Earl,Blumenauer,74,D,"Oregon House of Representatives
Multnomah County Commissioner
Portland City Commissioner",OR,3,
129,RepLBR,Representative,F,Lisa,Blunt Rochester,60,D,"Delaware Health and Social Services Secretary
Delaware Labor Secretary
Delaware Personnel Director",DE,0,
130,RepBoebert,Representative,F,Lauren,Boebert,35,R,"Businesswoman
Restaurateur",CO,3,
131,RepBonamici,Representative,F,Suzanne,Bonamici,68,D,"Oregon House of Representatives
Oregon State Senate",OR,1,
132,RepBost,Representative,M,Mike,Bost,61,R,"Illinois House of Representatives
Firefighter",IL,12,
133,RepBourdeaux,Representative,F,Carolyn,Bourdeaux,52,D,Professor,GA,7,
134,RepBowman,Representative,M,Jamaal,Bowman,46,D,Middle school principal,NY,16,
135,CongBoyle,Representative,M,Brendan,Boyle,45,D,Pennsylvania House of Representatives,PA,2,
136,RepKevinBrady,Representative,M,Kevin,Brady,67,R,Texas House of Representatives,TX,8,
137,RepMoBrooks,Representative,M,Mo,Brooks,68,R,"Alabama House of Representatives
Madison County Commissioner",AL,5,
138,RepAnthonyBrown,Representative,M,Anthony,Brown,60,D,"Lieutenant Governor of Maryland
Maryland House of Delegates",MD,4,
139,RepShontelBrown,Representative,F,Shontel,Brown,47,D,Cuyahoga County Council,OH,11,
140,RepBrownley,Representative,F,Julia,Brownley,70,D,California State Assembly,CA,26,
141,VernBuchanan,Representative,M,Vern,Buchanan,71,R,Auto dealer,FL,16,
142,RepKenBuck,Representative,M,Ken,Buck,63,R,Weld County District Attorney,CO,4,
143,RepLarryBucshon,Representative,M,Larry,Bucshon,60,R,Heart surgeon,IN,8,
144,RepTedBudd,Representative,M,Ted,Budd,51,R,Businessman,NC,13,
145,RepTimBurchett,Representative,M,Tim,Burchett,58,R,"Mayor of Knox County
Tennessee Senate
Tennessee House of Representatives",TN,2,
146,michaelcburgess,Representative,M,Michael,Burgess,71,R,Physician,TX,26,
147,RepCori,Representative,F,Cori,Bush,46,D,"Registered nurse
Pastor
Activist",MO,1,
148,RepCheri,Representative,F,Cheri,Bustos,61,D,"East Moline City Council
Healthcare executive
Journalist",IL,17,
149,GKButterfield,Representative,M,G.,Butterfield,75,D,North Carolina Supreme Court Justice,NC,1,
150,KenCalvert,Representative,M,Ken,Calvert,69,R,Real estate executive,CA,42,
151,RepKatCammack,Representative,F,Kat,Cammack,34,R,Political advisor,FL,3,
152,RepCarbajal,Representative,M,Salud,Carbajal,57,D,Santa Barbara County Board of Supervisors,CA,24,
153,RepCardenas,Representative,M,Tony,Cárdenas,59,D,Los Angeles City Council,CA,29,
154,RepMikeCarey,Representative,M,Mike,Carey,51,R,Lobbyist,OH,15,
155,RepJerryCarl,Representative,M,Jerry,Carl,64,R,Mobile County Commission,AL,1,
156,RepAndreCarson,Representative,M,André,Carson,48,D,Indianapolis City-County Council,IN,7,
157,RepBuddyCarter,Representative,M,Buddy,Carter,65,R,"Georgia Senate
Georgia House of Representatives
Mayor of Pooler",GA,1,
158,JudgeCarter,Representative,M,John,Carter,81,R,Texas state district judge,TX,31,
159,RepTroyCarter,Representative,M,Troy,Carter,59,D,"Louisiana State Senate
Louisiana House of Representatives
New Orleans City Council",LA,2,
160,RepCartwright,Representative,M,Matt,Cartwright,61,D,Attorney,PA,8,
161,RepEdCase,Representative,M,Ed,Case,70,D,"U.S. House
Hawaii House of Representatives",HI,1,
162,RepCasten,Representative,M,Sean,Casten,50,D,Entrepreneur,IL,6,
163,USRepKCastor,Representative,F,Kathy,Castor,56,D,"Assistant General Counsel to the Florida Department of Community Affairs
President of the Florida Association of Women Lawyers
Hillsborough County Board of Commissioners",FL,14,
164,JoaquinCastrotx,Representative,M,Joaquin,Castro,48,D,Texas House of Representatives,TX,20,
165,RepCawthorn,Representative,F,Madison,Cawthorn,27,R,"Congressional staffer[57]
Restaurant worker[58]",NC,11,
166,RepSteveChabot,Representative,M,Steve,Chabot,69,R,"Cincinnati City Council
Hamilton County Commissioner
U.S. House",OH,1,
167,RepLizCheney,Representative,F,Liz,Cheney,56,R,Principal Deputy Assistant Secretary of State for Near Eastern Affairs,WY,0,
168,CongresswomanSC,Representative,F,Sheila,Cherfilus-McCormick,43,D,CEO of Trinity Health,FL,20,
169,RepJudyChu,Representative,F,Judy,Chu,69,D,"Mayor of Monterey Park
Monterey Park City Council
California State Assembly
California State Board of Equalization",CA,27,
170,davidcicilline,Representative,M,David,Cicilline,61,D,"Mayor of Providence
Rhode Island House of Representatives",RI,1,
175,RepKClark,Representative,F,Katherine,Clark,59,D,"Massachusetts Senate
Massachusetts House of Representatives
Attorney",MA,5,
176,RepYvetteClarke,Representative,F,Yvette,Clarke,57,D,New York City Council,NY,9,
177,repcleaver,Representative,M,Emanuel,Cleaver,78,D,"Mayor of Kansas City
Pastor
Radio show host",MO,5,
178,RepBenCline,Representative,M,Ben,Cline,50,R,Virginia House of Delegates,VA,6,
179,RepCloudTX,Representative,M,Michael,Cloud,47,R,Chair of the Victoria County Republican Party,TX,27,
180,WhipClyburn,Representative,M,James,Clyburn,82,D,"Political aide
Teacher",SC,6,
181,Rep_Clyde,Representative,M,Andrew,Clyde,58,R,U.S. Navy Commander,GA,9,
182,RepCohen,Representative,M,Steve,Cohen,73,D,"Tennessee Senate
Attorney",TN,9,
183,TomColeOK04,Representative,M,Tom,Cole,73,R,"Oklahoma Senate
Oklahoma Secretary of State
College professor",OK,4,
184,RepJamesComer,Representative,M,James,Comer,50,R,"Kentucky House of Representatives
Agriculture Commissioner of Kentucky",KY,1,
185,RepConnieConway,Representative,M,Connie,Conway,72,R,California State Assembly,CA,22,
186,GerryConnolly,Representative,M,Gerald,Connolly,72,D,Fairfax County Board of Supervisors Chair,VA,11,
187,repjimcooper,Representative,M,Jim,Cooper,68,D,"U.S. House
College professor",TN,5,
188,RepLouCorrea,Representative,M,Lou,Correa,64,D,"California State Senate
Orange County Board of Supervisors
California State Assembly",CA,46,
189,RepJimCosta,Representative,M,Jim,Costa,70,D,"California State Senate
California State Assembly",CA,16,
190,RepJoeCourtney,Representative,M,Joe,Courtney,69,D,Connecticut House of Representatives,CT,2,
191,RepAngieCraig,Representative,F,Angie,Craig,50,D,"Medical technology executive
Reporter",MN,2,
192,RepDanCrenshaw,Representative,M,Dan,Crenshaw,38,R,U.S. Navy SEAL,TX,2,
193,RepJasonCrow,Representative,M,Jason,Crow,43,D,"Attorney
U.S. Army Captain",CO,6,
194,RepCuellar,Representative,M,Henry,Cuellar,67,D,"Texas House of Representatives
Texas Secretary of State",TX,28,
195,RepJohnCurtis,Representative,M,John,Curtis,62,R,Mayor of Provo,UT,3,
196,RepDavids,Representative,F,Sharice,Davids,42,D,"Attorney
Mixed martial artist",KS,3,
197,WarrenDavidson,Representative,M,Warren,Davidson,52,R,Businessman,OH,8,
198,RepDannyDavis,Representative,M,Danny,Davis,81,D,"Chicago City Council
Cook County Board of Commissioners",IL,7,
199,RodneyDavis,Representative,M,Rodney,Davis,52,R,Congressional staffer,IL,13,
200,RepDean,Representative,F,Madeleine,Dean,63,D,Pennsylvania House of Representatives,PA,4,
201,RepPeterDeFazio,Representative,M,Peter,DeFazio,75,D,Lane County Commissioner,OR,4,
202,RepDianaDeGette,Representative,F,Diana,DeGette,65,D,Colorado House of Representatives,CO,1,
203,rosadelauro,Representative,F,Rosa,DeLauro,79,D,"Executive Director of EMILY's List
Political aide",CT,3,
204,RepDelBene,Representative,F,Suzan,DelBene,60,D,Washington Department of Revenue Director,WA,1,
205,RepValDemings,Representative,F,Val,Demings,65,D,Chief of the Orlando Police Department,FL,10,
206,RepDeSaulnier,Representative,M,Mark,DeSaulnier,70,D,"California State Senate
California State Assembly
Contra Costa County Board of Supervisors",CA,11,
207,DesJarlaisTN04,Representative,M,Scott,DesJarlais,58,R,Physician,TN,4,
208,RepDebDingell,Representative,F,Debbie,Dingell,68,D,"President of the General Motors Foundation, Wayne State University Board of Governors, Lobbyist",MI,12,
209,RepLloydDoggett,Representative,M,Lloyd,Doggett,76,D,"Texas Senate
Texas Supreme Court justice
College professor",TX,35,
210,RepDonaldsPress,Representative,M,Byron,Donalds,44,R,Florida House of Representatives,FL,19,
211,USRepMikeDoyle,Representative,M,Michael,Doyle,69,D,Pennsylvania State Senate Chief of Staff,PA,18,
212,RepJeffDuncan,Representative,M,Jeff,Duncan,56,R,South Carolina House of Representatives,SC,3,
213,DrNealDunnFL2,Representative,M,Neal,Dunn,69,R,Surgeon,FL,2,
214,RepEllzey,Representative,M,Jake,Ellzey,52,R,"Texas House of Representatives
United States Navy commander",TX,6,
215,RepTomEmmer,Representative,M,Tom,Emmer,61,R,Minnesota House of Representatives,MN,6,
216,RepEscobar,Representative,F,Veronica,Escobar,53,D,"El Paso County Commission
El Paso County Judge",TX,16,
217,RepAnnaEshoo,Representative,F,Anna,Eshoo,79,D,San Mateo County Board of Supervisors,CA,18,
218,RepEspaillat,Representative,M,Adriano,Espaillat,68,D,"New York State Senate
New York State Assembly",NY,13,
219,RepRonEstes,Representative,M,Ron,Estes,66,R,Kansas State Treasurer,KS,4,
220,RepDwightEvans,Representative,M,Dwight,Evans,68,D,Pennsylvania House of Representatives,PA,3,
221,RepPatFallon,Representative,M,Pat,Fallon,54,R,"Texas Senate
Texas House of Representatives
United States Air Force second lieutenant",TX,4,
222,RepFeenstra,Representative,M,Randy,Feenstra,53,R,"Iowa Senate
Sioux County Treasurer",IA,4,
223,RepDrewFerguson,Representative,M,Drew,Ferguson,55,R,Mayor of West Point,GA,3,
224,repfinstad,Representative,M,Brad,Finstad,46,R,"Director of USDA Rural Development for Minnesota
Minnesota House of Representatives",MN,1,
225,RepFischbach,Representative,F,Michelle,Fischbach,57,R,"Lieutenant Governor of Minnesota
President of the Minnesota Senate
Minnesota Senate",MN,7,
226,RepFitzgerald,Representative,M,Scott,Fitzgerald,58,R,Wisconsin State Senate,WI,5,
227,RepBrianFitz,Representative,M,Brian,Fitzpatrick,48,R,"FBI agent
Special Assistant U.S. Attorney",PA,1,
228,RepChuck,Representative,M,Chuck,Fleischmann,60,R,Attorney,TN,3,
229,RepFletcher,Representative,F,Lizzie,Fletcher,47,D,Attorney,TX,7,
230,USRepMikeFlood,Representative,M,Mike,Flood,47,R,Speaker of the Nebraska Legislature,NE,1,
231,repmayraflores,Representative,F,Mayra,Flores,36,R,Respiratory therapist,TX,34,
232,RepBillFoster,Representative,M,Bill,Foster,67,D,"U.S. House
Research physicist
Businessman",IL,11,
233,virginiafoxx,Representative,F,Virginia,Foxx,79,R,North Carolina Senate,NC,5,
234,RepLoisFrankel,Representative,F,Lois,Frankel,74,D,"Mayor of West Palm Beach
Florida House of Representatives",FL,21,
235,RepFranklin,Representative,M,Scott,Franklin,58,R,Lakeland City Commission,FL,15,
236,RepRussFulcher,Representative,M,Russ,Fulcher,60,R,Idaho Senate,ID,1,
237,RepMattGaetz,Representative,M,Matt,Gaetz,40,R,Florida House of Representatives,FL,1,
238,RepGallagher,Representative,M,Mike,Gallagher,38,R,"Political advisor
U.S. Marine Corps",WI,8,
239,RepRubenGallego,Representative,M,Ruben,Gallego,42,D,Arizona House of Representatives,AZ,7,
240,RepGaramendi,Representative,M,John,Garamendi,77,D,"United States Deputy Secretary of the Interior
Lieutenant Governor of California
California Insurance Commissioner
California State Senate
California State Assembly",CA,3,
241,RepGarbarino,Representative,M,Andrew,Garbarino,38,R,New York State Assembly,NY,2,
242,RepMikeGarcia,Representative,M,Mike,Garcia,46,R,"Businessman
United States Navy",CA,25,
243,RepSylviaGarcia,Representative,F,Sylvia,Garcia,72,D,Texas Senate,TX,29,
244,RepChuyGarcia,Representative,M,Chuy,García,66,D,"Cook County Board of Commissioners
Illinois Senate
Chicago City Council",IL,4,
245,RepBobGibbs,Representative,M,Bob,Gibbs,68,R,"Ohio Senate
Ohio House of Representatives",OH,7,
246,replouiegohmert,Representative,M,Louie,Gohmert,69,R,Texas appeals court judge,TX,1,
247,RepGolden,Representative,M,Jared,Golden,40,D,Maine House of Representatives,ME,2,
248,RepJimmyGomez,Representative,M,Jimmy,Gomez,47,D,California State Assembly,CA,34,
249,RepTonyGonzales,Representative,M,Tony,Gonzales,42,R,United States Navy Master Chief Petty Officer,TX,23,
250,RepAGonzalez,Representative,M,Anthony,Gonzalez,38,R,Football player,OH,16,
251,RepGonzalez,Representative,M,Vicente,Gonzalez,55,D,"Food processing executive
Texas State Board of Education",TX,15,
252,RepBobGood,Representative,M,Bob,Good,57,R,"Liberty University Athletic Director
Campbell County Board of Supervisors",VA,5,
253,,Representative,M,Lance,Gooden,39,R,Texas House of Representatives,TX,5,
254,RepGosar,Representative,M,Paul,Gosar,63,R,President of the Northern Arizona Dental Society,AZ,4,
255,RepJoshG,Representative,M,Josh,Gottheimer,47,D,"Attorney
Political aide",NJ,5,
256,RepKayGranger,Representative,F,Kay,Granger,79,R,Mayor of Fort Worth,TX,12,
257,RepGarretGraves,Representative,M,Garret,Graves,50,R,Louisiana Coastal Protection and Restoration Authority,LA,6,
258,RepSamGraves,Representative,M,Sam,Graves,59,R,Missouri Senate,MO,6,
259,RepAlGreen,Representative,M,Al,Green,75,D,"Harris County Justice of the Peace
Houston NAACP president",TX,9,
260,RepMarkGreen,Representative,M,Mark,Green,58,R,Tennessee Senate,TN,7,
261,RepMTG,Representative,F,Marjorie,Greene,48,R,"Businesswoman
Activist",GA,14,
262,RepMGriffith,Representative,M,Morgan,Griffith,64,R,Virginia House of Delegates,VA,9,
263,RepRaulGrijalva,Representative,M,Raúl,Grijalva,74,D,Pima County Board of Supervisors,AZ,3,
264,RepGrothman,Representative,M,Glenn,Grothman,67,R,"Wisconsin Senate
Wisconsin State Assembly",WI,6,
265,RepMichaelGuest,Representative,M,Michael,Guest,52,R,District Attorney for Madison and Rankin Counties,MS,3,
266,RepGuthrie,Representative,M,Brett,Guthrie,58,R,Kentucky Senate,KY,2,
